constant,signature,reference_value,low_value,high_value,reference_metric,low_metric,high_metric,reference_auxiliary_rate,low_auxiliary_rate,high_auxiliary_rate,main_fractional_change,auxiliary_fractional_change,central_fractional_change,material,resolved,paired_noncausal
dyad_learning_rate,"S4",1.0,0.95,1.05,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
dyad_learning_rate,"S5",1.0,0.95,1.05,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_learning_rate,"S6",1.0,0.95,1.05,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_learning_rate,"S7",1.0,0.95,1.05,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_learning_rate,"S8",1.0,0.95,1.05,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_learning_rate,"S9",1.0,0.95,1.05,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_learning_rate,"S10",1.0,0.95,1.05,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S1",1.0,0.95,1.05,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S2",1.0,0.95,1.05,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S3",1.0,0.95,1.05,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S4",1.0,0.95,1.05,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S5",1.0,0.95,1.05,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S6",1.0,0.95,1.05,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S7",1.0,0.95,1.05,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S8",1.0,0.95,1.05,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S9",1.0,0.95,1.05,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_packet_mass,"S10",1.0,0.95,1.05,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S1",0.08,0.076,0.084,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S2",0.08,0.076,0.084,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S3",0.08,0.076,0.084,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S4",0.08,0.076,0.084,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S5",0.08,0.076,0.084,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S6",0.08,0.076,0.084,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S7",0.08,0.076,0.084,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S8",0.08,0.076,0.084,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S9",0.08,0.076,0.084,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_floor,"S10",0.08,0.076,0.084,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S1",0.84,0.7979999999999999,0.882,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S2",0.84,0.7979999999999999,0.882,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S3",0.84,0.7979999999999999,0.882,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S4",0.84,0.7979999999999999,0.882,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S5",0.84,0.7979999999999999,0.882,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S6",0.84,0.7979999999999999,0.882,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S7",0.84,0.7979999999999999,0.882,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S8",0.84,0.7979999999999999,0.882,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S9",0.84,0.7979999999999999,0.882,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_regulated_span,"S10",0.84,0.7979999999999999,0.882,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_broadcast_mix,"S1",0.35,0.33249999999999996,0.3675,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_broadcast_mix,"S2",0.35,0.33249999999999996,0.3675,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_broadcast_mix,"S3",0.35,0.33249999999999996,0.3675,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_broadcast_mix,"S4",0.35,0.33249999999999996,0.3675,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
field_broadcast_mix,"S5",0.35,0.33249999999999996,0.3675,0.42518946131113944,0.4255192521831456,0.4248652213709093,nothing,nothing,nothing,-0.001538210307987168,0.0,-0.001538210307987168,false,true,false
field_broadcast_mix,"S6",0.35,0.33249999999999996,0.3675,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_broadcast_mix,"S7",0.35,0.33249999999999996,0.3675,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_broadcast_mix,"S8",0.35,0.33249999999999996,0.3675,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_broadcast_mix,"S9",0.35,0.33249999999999996,0.3675,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_broadcast_mix,"S10",0.35,0.33249999999999996,0.3675,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_context_precision,"S1",0.9,0.855,0.9450000000000001,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_context_precision,"S2",0.9,0.855,0.9450000000000001,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_context_precision,"S3",0.9,0.855,0.9450000000000001,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_context_precision,"S4",0.9,0.855,0.9450000000000001,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
field_context_precision,"S5",0.9,0.855,0.9450000000000001,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_context_precision,"S6",0.9,0.855,0.9450000000000001,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_context_precision,"S7",0.9,0.855,0.9450000000000001,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_context_precision,"S8",0.9,0.855,0.9450000000000001,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_context_precision,"S9",0.9,0.855,0.9450000000000001,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_context_precision,"S10",0.9,0.855,0.9450000000000001,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_learning_rate,"S1",0.24,0.22799999999999998,0.252,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_learning_rate,"S2",0.24,0.22799999999999998,0.252,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_learning_rate,"S3",0.24,0.22799999999999998,0.252,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_learning_rate,"S4",0.24,0.22799999999999998,0.252,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
field_learning_rate,"S5",0.24,0.22799999999999998,0.252,0.42518946131113944,0.4276561492379257,0.42272872042752513,nothing,nothing,nothing,-0.011588783962815258,0.0,-0.011588783962815258,false,true,false
field_learning_rate,"S6",0.24,0.22799999999999998,0.252,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_learning_rate,"S7",0.24,0.22799999999999998,0.252,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_learning_rate,"S8",0.24,0.22799999999999998,0.252,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_learning_rate,"S9",0.24,0.22799999999999998,0.252,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_learning_rate,"S10",0.24,0.22799999999999998,0.252,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_narrowing_strength,"S1",0.65,0.6174999999999999,0.6825000000000001,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_narrowing_strength,"S2",0.65,0.6174999999999999,0.6825000000000001,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
field_narrowing_strength,"S3",0.65,0.6174999999999999,0.6825000000000001,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
