seed,arm,root_revision,root_revised,untreated_transfer,identity_cross,threat_cross,identity_before_threat
703125,matched_exposure,0.009056211640538972,false,0.006520472381188053,0,20,false
703125,reversed_graph,0.0,false,0.0,0,20,false
703126,witnessing,0.9086914120695432,true,0.6542578166900712,12,23,true
703126,matched_exposure,0.2774247432979975,false,0.1997458151745582,0,23,false
703126,reversed_graph,0.0,false,0.0,0,23,false
703127,witnessing,0.6593309688177451,true,0.4747182975487764,22,0,true
703127,matched_exposure,0.0903880603610962,false,0.06507940345998925,0,0,false
703127,reversed_graph,0.0,false,0.0,0,0,false
703128,witnessing,0.7636430154987595,true,0.5498229711591069,19,20,true
703128,matched_exposure,0.06450509970142242,false,0.04644367178502412,0,20,false
703128,reversed_graph,0.0,false,0.0,0,20,false
703129,witnessing,0.06648199107687784,false,0.04786703357535205,0,19,false
703129,matched_exposure,0.0003828026628236584,false,0.0002756179172330453,0,19,false
703129,reversed_graph,0.0,false,0.0,0,19,false
703130,witnessing,0.007194478431638003,false,0.005180024470779365,0,0,false
703130,matched_exposure,0.00035663335403761875,false,0.0002567760149070897,0,0,false
703130,reversed_graph,0.0,false,0.0,0,0,false
703131,witnessing,0.0022102551817712655,false,0.0015913837308753065,0,0,false
703131,matched_exposure,0.00024194793648697735,false,0.0001742025142706105,0,0,false
703131,reversed_graph,0.0,false,0.0,0,0,false
703132,witnessing,0.5085398794361943,false,0.3661487131940599,0,22,false
703132,matched_exposure,0.013631172887150184,false,0.00981444447874813,0,22,false
703132,reversed_graph,0.0,false,0.0,0,22,false
703133,witnessing,0.9362914196472859,true,0.6741298221460459,17,22,true
703133,matched_exposure,0.25406427898935235,false,0.1829262808723337,0,22,false
703133,reversed_graph,0.0,false,0.0,0,22,false
703134,witnessing,0.8020251665527538,true,0.5774581199179827,16,0,true
703134,matched_exposure,0.12541405539058317,false,0.09029811988121988,0,0,false
703134,reversed_graph,0.0,false,0.0,0,0,false
703135,witnessing,0.016303878692031218,false,0.01173879265826247,0,0,false
703135,matched_exposure,0.001807478627964358,false,0.001301384612134332,0,0,false
703135,reversed_graph,0.0,false,0.0,0,0,false
703136,witnessing,0.2729531071116732,true,0.19652623712040468,1,20,true
703136,matched_exposure,0.2461529299466847,true,0.17723010956161295,1,20,true
