seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63074,bernoulli,64,middle,1,0.5,-2.96020549853446,0.1009082225808526,0.18309989371141008,0.05604700369574256
63075,clustered,64,middle,1,0.0,-3.0121243708099676,0.1009082225808526,0.22866237488729707,0.0404066589653822
63076,periodic,80,middle,1,0.75,-2.4859172719259925,0.1009082225808526,0.2775295807194637,0.06055142190827284
63077,jittered,80,middle,1,0.25,-3.1148315895154917,0.1009082225808526,0.2108077157508722,0.04629801699890082
63078,bernoulli,80,middle,1,1.0,-0.35943997774324354,0.1009082225808526,0.45861590877397085,0.05352981068796547
63079,clustered,80,middle,1,0.5,0.6554067896052042,-0.6528635797955276,0.8736077567199338,0.03919811086520897
63080,periodic,16,late,1,0.0,-0.3733763665055294,-0.6528635797955276,0.4243936518870837,0.0297069447965278
63081,jittered,16,late,1,0.75,0.036567722531095616,0.1009082225808526,0.443390064836359,0.021640638320059524
63082,bernoulli,16,late,1,0.25,-2.2982140378696796,0.1009082225808526,0.26752293977168407,0.05492080990603482
63083,clustered,16,late,1,1.0,-0.27965222401473694,0.1009082225808526,0.3806694559783411,0.03250593235500032
63084,periodic,32,late,1,0.5,-1.2235074768140715,0.1009082225808526,0.3710242915766155,0.05161756090573161
63085,jittered,32,late,1,0.0,-3.5485377768901705,0.1009082225808526,0.14775341603765743,0.03972784692725578
63086,bernoulli,32,late,1,0.75,0.9368504021547294,-0.6528635797955276,0.5668341821533656,0.05707577554470339
63087,clustered,32,late,1,0.25,-0.8772240962455671,0.1009082225808526,0.3745700495736861,0.044626321013517545
63088,periodic,64,late,1,1.0,1.502100645438974,0.1009082225808526,0.6955652604316481,0.04956900381232027
63089,jittered,64,late,1,0.5,-2.4563783514010002,-0.6528635797955276,0.32148164300956594,0.06182549155286626
63090,bernoulli,64,late,1,0.0,-3.21105635601897,0.1009082225808526,0.23827223505387649,0.04515150739279275
63091,clustered,64,late,1,0.75,-0.6836209801751296,0.1009082225808526,0.41146393103900114,0.05519661937093795
63092,periodic,80,late,1,0.25,-3.705754734721616,0.1009082225808526,0.13109844730888429,0.05234472240038934
63093,jittered,80,late,1,1.0,-1.200117868788006,0.1009082225808526,0.29245106101399554,0.05384937023080233
63094,bernoulli,80,late,1,0.5,-0.2402503223147978,0.1009082225808526,0.5486610880911371,0.04571472457568698
63095,clustered,80,late,1,0.0,-1.682530119073677,0.1009082225808526,0.23359678013937435,0.05677523533195272
63096,periodic,16,early,3,0.75,1.174707284282301,0.3027246677425578,0.8462818728081527,0.16193025886244977
63097,jittered,16,early,3,0.25,1.0246698802460026,0.3027246677425578,0.7922379189626827,0.15821435489957553
63098,bernoulli,16,early,3,1.0,1.326184061506176,0.3027246677425578,0.679775109672045,0.08910026301028395
63099,clustered,16,early,3,0.5,-2.022280579265047,0.3027246677425578,0.3229484264390156,0.03798543584342168
63100,periodic,32,early,3,0.0,-2.6607061756886545,0.3027246677425578,0.2462642237048799,0.0509745797658957
63101,jittered,32,early,3,0.75,0.6435768189291866,-0.45104713463382234,0.5352377316125816,0.03771741408782131
63102,bernoulli,32,early,3,0.25,-2.1342969112813415,0.3027246677425578,0.2959383055155501,0.045832247248875024
63103,clustered,32,early,3,1.0,1.846624294136642,0.3027246677425578,0.8737397818985889,0.08918629588337568
63104,periodic,64,early,3,0.5,-1.5793443418193958,-0.45104713463382234,0.2671484229961735,0.05605522954202907
63105,jittered,64,early,3,0.0,-3.7937063704038647,-0.4510471346338224,0.1579293516102281,0.05381088069723769
63106,bernoulli,64,early,3,0.75,2.035335897740841,-0.45104713463382234,0.8734602655908928,0.08040198293203438
63107,clustered,64,early,3,0.25,-2.3057257573628482,0.3027246677425578,0.2797947454526261,0.053535635588142894
63108,periodic,80,early,3,1.0,1.8469772816476502,0.3027246677425578,0.8834226352005886,0.044181473839408736
63109,jittered,80,early,3,0.5,-1.924976326080375,0.3027246677425578,0.16374125721095445,0.04542626883602968
63110,bernoulli,80,early,3,0.0,-2.9251528163264098,0.3027246677425578,0.2775864506769251,0.06114427183111332
63111,clustered,80,early,3,0.75,-2.8839257225171218,0.3027246677425578,0.16353406305080137,0.04199591720316276
63112,periodic,16,middle,3,0.25,-0.7970545568703904,0.3027246677425578,0.3497143569495824,0.0350418302753433
63113,jittered,16,middle,3,1.0,-0.5260661103933075,0.3027246677425578,0.2661198244815889,0.04219746932430635
63114,bernoulli,16,middle,3,0.5,-0.934478382817017,0.3027246677425578,0.31992293940505423,0.041124480062414315
63115,clustered,16,middle,3,0.0,-2.8488173361980205,0.3027246677425578,0.16471683755081015,0.05649954502025764
63116,periodic,32,middle,3,0.75,2.8173931518466375,0.3027246677425578,0.8218897298786335,0.05600628322444656
63117,jittered,32,middle,3,0.25,-1.6532397184930259,0.3027246677425578,0.30198479439105336,0.044555623456808024
63118,bernoulli,32,middle,3,1.0,0.6616026963471617,-0.45104713463382234,0.5566576171283824,0.03386607264249142
63119,clustered,32,middle,3,0.5,0.39909655562226626,0.3027246677425578,0.6820573913354806,0.05616991938840454
63120,periodic,64,middle,3,0.0,-3.5196743784146247,0.3027246677425578,0.1957614801095835,0.05060645492890392
63121,jittered,64,middle,3,0.75,-0.5616938848090499,-0.45104713463382234,0.5224282222508552,0.05707577554470339
