seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
63640,0.9431941457278853,0.99444752418208,0.21079333060009722,0.9741933012174404,0.8379003520334848,0.9788265614979101,0.45528502102894586,0.47861263698653284,0.125,0.0,0.1875,0.0625,0.25,0.125,0.12439926377759439,0.27342194565176725,0.11607142857142858,-0.0
63641,0.9149950179975145,0.9887365297072817,0.17387763050363872,0.9819308990586548,0.8240711745425822,0.949473755421824,0.8918563664701515,0.40322688807348506,0.6875,0.0,0.625,0.0,0.625,0.0,0.9995499341172792,0.390646790593607,0.625,0.0
63642,0.8662621032634891,0.9911492457396462,0.7857663087986666,0.9855029908391582,0.8867302990628267,0.9879518573469273,0.8720743136910551,0.4116120488853174,0.75,0.0,0.75,0.0,0.75,0.0,0.9992108358984984,0.05688648746139011,0.75,0.0
63643,0.8598810947481124,0.9941853434403856,0.801931331184627,0.9850175232445968,0.8131046771501398,0.9496967264905503,0.48227796144320245,0.4242311028353926,0.3125,0.0,0.3125,0.0,0.3125,0.0,0.885494998452685,0.3900131186729045,0.3125,0.0
63644,0.8918799342918292,0.9880411288984794,0.4753849879999064,0.9825106789723045,0.7562316493749834,0.9405122812845861,0.6636852515685616,0.5248785803698381,0.5,0.0,0.5625,0.0625,0.5,0.125,0.8184414262043713,0.07238187274722355,0.4375,-0.0
63645,0.733417400193174,0.9877873405535464,0.20446060474407243,0.9824266447916796,0.830022191903476,0.9868531699738712,0.5099654352061399,0.6300039026931235,0.1875,0.0,0.25,0.0625,0.25,0.1875,0.5302606265687728,0.7466919781357596,0.17307692307692307,-0.0
63646,0.7623374150778993,0.993254234341239,0.12040646904892965,0.9768600603273323,0.8709166709437155,0.976374066853184,0.5938418778647578,0.40308171264405834,0.5625,0.0,0.5625,0.0,0.5,0.0625,0.9765833885241967,0.1918397825847089,0.5625,0.0
63647,0.7653432738937586,0.9867145040568341,0.45764563007066705,0.9782989594341333,0.8689220629143399,0.9798732320122794,0.6519844315589216,0.45836563253513446,0.4375,0.0,0.5,0.0625,0.4375,0.125,0.7384792384608205,0.15279113731032692,0.38888888888888884,-0.0
63648,0.7636514199970644,0.9930716524585572,0.1648084277326295,0.9853168360020719,0.8438006881195732,0.9753559992081857,0.5217310534191598,0.4932140265422434,0.3125,0.0,0.25,0.0,0.3125,0.0625,0.30780516039709666,0.08313074638174925,0.25,0.0
63649,0.8445985750224994,0.9945445153922702,0.09695909684065174,0.9860959507073028,0.8305912266101179,0.9714727936515816,0.9412829164709251,0.4382953140085529,0.8125,0.0,0.8125,0.0,0.6875,0.125,0.9998490648277036,0.2788690948092708,0.8125,0.0
63650,0.9173958176903905,0.9939151264158778,0.33160103621412823,0.9797853960626699,0.8639981265312062,0.9744278842569543,0.5580471730794854,0.46117292439949165,0.3125,0.0,0.375,0.0625,0.4375,0.125,0.5133647622021174,0.14912416836582598,0.28409090909090906,-0.0
63651,0.840364129170918,0.9945794134846974,0.29376751138625623,0.9825426725767741,0.8475678641875374,0.9613158157405459,0.7819776526158506,0.4367520113923089,0.5,0.0,0.5,0.0,0.5,0.0,0.9159166059977155,0.06375225225978189,0.5,0.0
