seed,regularity,run_length,acute_timing,acute_count,low_final,high_final,low_minus_high,low_maximum_step,high_maximum_step
63636,periodic,32,late,1,0.6083657556464249,0.16682009321884292,0.441545662427582,0.047251055138875786,0.05030671367910486
63637,jittered,32,late,1,0.7005269597555098,0.274886062866874,0.4256408968886358,0.058717653762398125,0.052147498179825946
63638,bernoulli,32,late,1,0.23385489656778127,0.18519292395531364,0.04866197261246763,0.03953391712305676,0.03549815282819224
63639,clustered,32,late,1,0.3288569178549988,0.11540588029890314,0.21345103755609568,0.05865882323238064,0.06398171490739407
63640,periodic,64,late,1,0.6613115033849905,0.20367000673202268,0.45764149665296777,0.04856819951782021,0.04538932584406369
63641,jittered,64,late,1,0.2478147792178734,0.17044199643427543,0.07737278278359797,0.04738855908201289,0.05022751604479819
63642,bernoulli,64,late,1,0.4974261984689917,0.1404280803371018,0.3569981181318899,0.04303112246690882,0.05896638981728497
63643,clustered,64,late,1,0.8842105921002857,0.2211990902487388,0.663011501851547,0.05161355844533344,0.0577850814780311
63644,periodic,80,late,1,0.7510288969704135,0.25659156510051834,0.4944373318698952,0.050993216029218136,0.05429305716532501
63645,jittered,80,late,1,0.3550656433458378,0.24181054469884433,0.11325509864699346,0.055985566554367205,0.040896141081054854
63646,bernoulli,80,late,1,0.8744436179975973,0.2562245209081977,0.6182190970893996,0.05361237224865423,0.05655246758798693
63647,clustered,80,late,1,0.21929097117710478,0.15994264283717285,0.05934832833993192,0.04175930051288551,0.04175930051288551
63648,periodic,16,early,1,0.516626501690396,0.279790597100401,0.23683590458999504,0.050811010157247205,0.05513311769102147
63649,jittered,16,early,1,0.4374211961960517,0.2742801251098673,0.16314107108618436,0.06804872282990287,0.052746941362902755
63650,bernoulli,16,early,1,0.6984708479122005,0.4333850001547798,0.26508584775742067,0.15902482368376442,0.08667222912818351
63651,clustered,16,early,1,0.33810762203391276,0.2277796284255596,0.11032799360835316,0.025522860247632284,0.03978928098597537
63652,periodic,32,early,1,0.4290798492708841,0.14579952365794696,0.28328032561293714,0.06186649749086759,0.04274753116014518
63653,jittered,32,early,1,0.35164226787561764,0.23665686891168264,0.114985398963935,0.060266615601682616,0.04978175710988664
63654,bernoulli,32,early,1,0.5472958366937264,0.2671728080677531,0.28012302862597327,0.03528356239306385,0.04765391522213308
63655,clustered,32,early,1,0.5988890789132646,0.3143155570402452,0.2845735218730194,0.0474867280493802,0.03678694330054941
63656,periodic,64,early,1,0.6897091306361859,0.17681413088886555,0.5128949997473203,0.04744415762138843,0.052732661949633663
63657,jittered,64,early,1,0.8618949917975801,0.1879847874716606,0.6739102043259195,0.052178573466307276,0.06220051805579546
63658,bernoulli,64,early,1,0.6784830042758844,0.19295806790193348,0.4855249363739509,0.047460176348432026,0.051389642851387585
63659,clustered,64,early,1,0.6679695208120596,0.20773679206118423,0.4602327287508754,0.05829536091340859,0.05028962565301448
63660,periodic,80,early,1,0.2823024284861509,0.19696593258218728,0.08533649590396361,0.05028376854387945,0.05441793235209319
63661,jittered,80,early,1,0.3255645427738665,0.25138857869073594,0.07417596408313054,0.0461486955295875,0.06257976118356162
63662,bernoulli,80,early,1,0.4472202325210013,0.2075988617651551,0.2396213707558462,0.04936578306455652,0.05446063863163805
63663,clustered,80,early,1,0.8812872224646455,0.16933219185352097,0.7119550306111245,0.059037440604681135,0.05359245709527338
