seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,event_count,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63185,jittered,64,late,0,0.25,10,-11.277643076545075,0.0,0.3001215132456101,0.0901357700068397
63186,bernoulli,64,late,0,1.0,10,-11.473433756801922,0.0,0.13001661197142375,0.049841904672164816
63187,clustered,64,late,0,0.5,10,-8.881286434315877,0.0,0.34284662312203484,0.09523462506824332
63188,periodic,80,late,0,0.0,13,-5.783654824074431,0.0,0.6226175964533955,0.12321261954329754
63189,jittered,80,late,0,0.75,13,-13.344505040864632,0.0,0.6168045247304742,0.09310678462259075
63190,bernoulli,80,late,0,0.25,13,-9.046074006026178,0.0,0.004276578904833487,0.06503395773495613
63191,clustered,80,late,0,1.0,13,-5.418587711508519,0.0,0.1468477261217691,0.05450482124190792
63192,periodic,16,early,1,0.5,4,-2.6841784018207187,0.36459807971391744,0.16239251348016803,0.04724172066933077
63193,jittered,16,early,1,0.0,4,-3.3932378608834504,0.36459807971391744,0.21863065561819367,0.049144315234034563
63194,bernoulli,16,early,1,0.75,4,-0.00620248852105291,0.36459807971391744,0.4069585404726167,0.2566376899695299
63195,clustered,16,early,1,0.25,4,-3.447210443749805,0.36459807971391744,0.3058984358150968,0.2132600141553575
63196,periodic,32,early,1,1.0,6,-0.9804687032183302,0.36459807971391744,0.08648247681751413,0.03497522718041393
63197,jittered,32,early,1,0.5,6,-2.5383938789303984,0.36459807971391744,0.06651321014509418,0.04859287322713732
63198,bernoulli,32,early,1,0.0,6,-4.098757964331707,0.36459807971391744,0.7047682890683279,0.3389702413374166
63199,clustered,32,early,1,0.75,6,-2.0053386039737324,0.36459807971391744,0.5177090677056488,0.22879609057998088
63200,periodic,64,early,1,0.25,11,-5.3019246812065655,0.36459807971391744,0.42622850326034756,0.2662156619027859
63201,jittered,64,early,1,1.0,11,-6.978576330528933,-1.3690770657517568,0.024610649246647298,0.05552340789880997
63202,bernoulli,64,early,1,0.5,11,-3.5961839205481825,0.36459807971391744,0.6091843614426926,0.39687232984545795
63203,clustered,64,early,1,0.0,11,-7.567586290141435,0.36459807971391744,0.21119996228731075,0.18170278777895243
63204,periodic,80,early,1,0.75,14,-4.880248613423828,0.36459807971391744,0.22250366992364431,0.1373990897988478
63205,jittered,80,early,1,0.25,14,-1.674042902007457,0.36459807971391744,0.3107404492309853,0.2571981170895914
63206,bernoulli,80,early,1,1.0,14,-7.747300685543757,0.36459807971391744,0.17458330278656764,0.1358629194195885
63207,clustered,80,early,1,0.5,14,-8.981269798643444,-1.3690770657517568,0.037010977636102796,0.06644835591410564
63208,periodic,16,middle,1,0.0,4,-0.589406656222912,0.36459807971391744,0.3840019852887617,0.14308119756860826
63209,jittered,16,middle,1,0.75,4,-0.782416219470287,0.36459807971391744,0.204832846550469,0.05267841007202345
63210,bernoulli,16,middle,1,0.25,4,-1.697900879972864,0.36459807971391744,0.32573888294630404,0.1317440249966545
63211,clustered,16,middle,1,1.0,4,0.46618880069887875,0.36459807971391744,0.49633933516133844,0.2926175499899352
63212,periodic,32,middle,1,0.5,6,-3.0575407221470137,0.36459807971391744,0.10928643788167294,0.08486646289529459
63213,jittered,32,middle,1,0.0,6,-5.0044763045205345,0.36459807971391744,0.07329024259833863,0.08465865708738818
63214,bernoulli,32,middle,1,0.75,6,-7.021517393020548,0.36459807971391744,0.37822248758765403,0.2509261397524188
63215,clustered,32,middle,1,0.25,6,-4.277336956888404,0.36459807971391744,0.5208340129233413,0.2706024514651103
63216,periodic,64,middle,1,1.0,11,-7.162522855591051,0.36459807971391744,0.3084660504232087,0.06785623956621806
63217,jittered,64,middle,1,0.5,11,-6.211926311955112,0.36459807971391744,0.5544872350751571,0.22447858564468776
63218,bernoulli,64,middle,1,0.0,11,-6.742684649314379,0.36459807971391744,0.01994710712425817,0.03901384740669639
63219,clustered,64,middle,1,0.75,11,-5.022401527744148,0.36459807971391744,0.16739047294060666,0.11457518931261462
63220,periodic,80,middle,1,0.25,14,-9.819026896429769,0.36459807971391744,0.9332167721942671,0.19596091350568845
63221,jittered,80,middle,1,1.0,14,-0.5486493134187558,0.36459807971391744,0.5451184758359235,0.29431385444499647
63222,bernoulli,80,middle,1,0.5,14,-7.877182060171648,0.36459807971391744,0.4597374565560185,0.37194749427338103
63223,clustered,80,middle,1,0.0,14,-11.300622315364652,0.36459807971391744,0.19249835037779897,0.12711680780605922
63224,periodic,16,late,1,0.75,4,-2.126890506071742,0.36459807971391744,0.4962966944799817,0.26112145688729294
63225,jittered,16,late,1,0.25,4,-0.5659294749671854,0.36459807971391744,0.45031750448626096,0.250673601707166
63226,bernoulli,16,late,1,1.0,4,-1.2078195620494319,0.36459807971391744,0.36758374302339214,0.2581784363575626
63227,clustered,16,late,1,0.5,4,-0.26274649659474597,0.36459807971391744,0.25678104305780775,0.06721927407632045
63228,periodic,32,late,1,0.0,6,-6.204985460589666,-1.3690770657517568,0.5555612869398037,0.07867561572829695
63229,jittered,32,late,1,0.75,6,-2.4712286009843027,0.36459807971391744,0.716296384750438,0.16167725938738253
63230,bernoulli,32,late,1,0.25,6,-5.580281593323092,0.36459807971391744,0.3547865092387723,0.2069545636727275
63231,clustered,32,late,1,1.0,6,0.32821711678217286,0.36459807971391744,0.19168006900870713,0.13314702401716844
63232,periodic,64,late,1,0.5,11,-7.922684985239922,0.36459807971391744,0.6355068764663185,0.3434658029537902
63233,jittered,64,late,1,0.0,11,-7.717033616362519,0.36459807971391744,0.2509684390854605,0.08497360238660201
63234,bernoulli,64,late,1,0.75,11,-9.921975245106893,0.36459807971391744,0.08581171317634691,0.10410230451419167
63235,clustered,64,late,1,0.25,11,-8.772223596545977,0.36459807971391744,0.533049233182162,0.25772577130451946
63236,periodic,80,late,1,1.0,14,-13.345290884770526,0.36459807971391744,0.9499304067870278,0.18989831860751893
63237,jittered,80,late,1,0.5,14,-2.488230941953925,-1.3690770657517568,0.3306535727327001,0.11090360510875932
63238,bernoulli,80,late,1,0.0,14,-10.490821888098553,0.36459807971391744,0.47159522862507264,0.1958807117563589
63239,clustered,80,late,1,0.75,14,-2.8968205153413185,-1.3690770657517568,0.8455216473621282,0.08748159394491761
63240,periodic,16,early,3,0.25,6,-0.4235477512531818,1.0937942391417523,0.6867465457138242,0.3276687187915148
63241,jittered,16,early,3,1.0,6,-0.7703134291962467,1.0937942391417523,0.39987816099160467,0.14845457172096843
63242,bernoulli,16,early,3,0.5,6,-2.8423460191402343,1.0937942391417523,0.3472407966499378,0.18492244229549715
63243,clustered,16,early,3,0.0,6,-2.4365515665317856,1.0937942391417523,0.7349317417040605,0.2560922061745659
63244,periodic,32,early,3,0.75,8,-4.378500755430899,1.0937942391417523,0.057725340691519994,0.05582559950829816
63245,jittered,32,early,3,0.25,8,-3.175090209531248,-0.6398809063239219,0.574214466603562,0.2640171345380768
63246,bernoulli,32,early,3,1.0,8,-4.117137449098595,1.0937942391417523,0.79636168867664,0.31102624423569913
63247,clustered,32,early,3,0.5,8,-2.2345625749770526,1.0937942391417523,0.6704655102091153,0.367739159929743
63248,periodic,64,early,3,0.0,13,-10.4939776045455,-0.6398809063239219,0.48421418017147333,0.2118725714751008
63249,jittered,64,early,3,0.75,13,-6.153624408824559,1.0937942391417523,0.06228333990637739,0.39380506970544055
63250,bernoulli,64,early,3,0.25,13,-8.762115670685269,1.0937942391417523,0.5681622353828644,0.36472262445126186
63251,clustered,64,early,3,1.0,13,-4.927915576420097,1.0937942391417523,0.5195097914627737,0.28864629038157374
63252,periodic,80,early,3,0.5,16,-9.9987679073921,1.0937942391417523,0.2316190997580104,0.22805944265354117
63253,jittered,80,early,3,0.0,16,-6.503502331552906,1.0937942391417523,0.4144513564588561,0.20885249994398536
63254,bernoulli,80,early,3,0.75,16,-5.345727336113511,1.0937942391417523,0.2654158239226216,0.35998071065050596
63255,clustered,80,early,3,0.25,16,-8.910826486349126,-0.6398809063239219,0.02581759048053191,0.07538873868849519
63256,periodic,16,middle,3,1.0,6,0.059203975863059526,-0.6398809063239219,0.22940441025234387,0.14671942579685265
63257,jittered,16,middle,3,0.5,6,-2.3463801413595102,1.0937942391417523,0.5610426889734402,0.28652800182979193
63258,bernoulli,16,middle,3,0.0,6,-3.3506364736677656,1.0937942391417523,0.28332682192302727,0.1383499822536986
63259,clustered,16,middle,3,0.75,6,-0.6209557415426937,1.0937942391417523,0.946529765390077,0.3715155420920446
63260,periodic,32,middle,3,0.25,8,-1.4064112855196433,1.0937942391417523,0.9896773088987835,0.41127832423571703
63261,jittered,32,middle,3,1.0,8,0.21549193522309562,1.0937942391417523,0.4244405383797224,0.321749857744121
63262,bernoulli,32,middle,3,0.5,8,-3.9547011457476593,1.0937942391417523,0.6199123527401652,0.26206508863242634
63263,clustered,32,middle,3,0.0,8,-1.7174484883208234,1.0937942391417523,0.1905364900193301,0.23257926267697487
63264,periodic,64,middle,3,0.75,13,-8.491974248054964,1.0937942391417523,0.5596810368163381,0.18568041629158427
63265,jittered,64,middle,3,0.25,13,-2.576327753183877,1.0937942391417523,0.4753285878265479,0.24511540982576463
63266,bernoulli,64,middle,3,1.0,13,-3.2942950575409524,1.0937942391417523,0.12979838638062,0.09363789111045201
63267,clustered,64,middle,3,0.5,13,-6.525246125590465,1.0937942391417523,0.881394085331699,0.3301821530090648
63268,periodic,80,middle,3,0.0,16,-9.441352734443953,-0.6398809063239219,0.015398339095142008,0.09846116208865008
63269,jittered,80,middle,3,0.75,16,-8.857294929111177,-0.6398809063239219,0.5769422781277275,0.3368260671240506
63270,bernoulli,80,middle,3,0.25,16,-10.06771335434257,1.0937942391417523,0.9540186176062526,0.25589585983709895
63271,clustered,80,middle,3,1.0,16,-6.251567336761321,1.0937942391417523,0.23635394700731316,0.15633033439966776
63272,periodic,16,late,3,0.5,6,-0.734984011479305,-0.6398809063239219,0.8251921547646024,0.3587823571073313
63273,jittered,16,late,3,0.0,6,-0.04427192261009412,-0.6398809063239219,0.43559939645193785,0.17150169849336783
63274,bernoulli,16,late,3,0.75,6,1.1041722003113221,1.0937942391417523,0.3552085332574555,0.36528906611047285
63275,clustered,16,late,3,0.25,6,-2.8759512268206175,1.0937942391417523,0.47089926572834545,0.26657040207772686
63276,periodic,32,late,3,1.0,8,-1.994675163369243,-0.6398809063239219,0.24160933406406068,0.08218941959485473
63277,jittered,32,late,3,0.5,8,-6.129951223681946,-0.6398809063239219,0.32423647779043097,0.13309785845905353
63278,bernoulli,32,late,3,0.0,8,-6.072706884001548,-0.6398809063239219,0.034347267933712025,0.055216388310745046
63279,clustered,32,late,3,0.75,8,-2.610413233296703,1.0937942391417523,0.2978640763819579,0.2463125510229697
63280,periodic,64,late,3,0.25,13,-7.4688284386724675,-2.3735560517895964,0.09894231441722572,0.07425878749373871
63281,jittered,64,late,3,1.0,13,-3.83712300011739,-0.6398809063239219,0.07214459957609012,0.036622951243283464
63282,bernoulli,64,late,3,0.5,13,-5.6642833644273365,1.0937942391417523,0.8038919850268006,0.27733057187503074
63283,clustered,64,late,3,0.0,13,-4.807349475422591,-0.6398809063239219,0.21891785696292398,0.2414872654472573
63284,periodic,80,late,3,0.75,16,-7.803575254223437,-0.6398809063239219,0.07968471928017078,0.14267569230608557
63285,jittered,80,late,3,0.25,16,-6.722247859190285,1.0937942391417523,0.28419278751912197,0.22707956285778358
63286,bernoulli,80,late,3,1.0,16,-3.347008847618168,-0.6398809063239219,0.0726900242870309,0.05750120655591922
63287,clustered,80,late,3,0.5,16,-11.913031718796422,1.0937942391417523,0.07214061267085696,0.12702142527298738
63288,periodic,16,early,0,0.25,3,-1.6132464136868225,0.0,0.08612024764361406,0.04814050434502756
63289,jittered,16,early,0,1.0,3,-1.2109023014546536,0.0,0.11933944995266657,0.0636383430376693
63290,bernoulli,16,early,0,0.5,3,-2.453462509237139,0.0,0.3151435822904355,0.09001844690832395
