model,heldout_nll,rmse_x,coverage_90,first_order_precision,implied_local_precision,posterior_content_precision,hyper_certainty,content_complexity,overconfidence_90,wrong_high_confidence_run_length,free_energy_initial,free_energy_final,phase,scenario,seed,alpha_local,alpha_hyper,input_scale,biased_priors
KalmanFixed,9.712710475785732,1.8997444730942887,0.4166666666666667,10.919533091655005,10.919533091655005,10.919533091655005,NaN,9508.180623593385,0.48333333333333334,13,218.924617628868,218.924617628868,sweep,none,11,0.25,0.25,1.0,false
HGF2,0.11398709853745569,0.31478740010719697,0.8944444444444445,0.04033847040762111,0.04033847040762111,10.05354079788531,NaN,9638.613048628935,0.005555555555555536,1,3.980428621344022,3.9845019529274666,sweep,none,11,0.25,0.25,1.0,false
BLT-HGF,0.11367420514228607,0.31386057841946263,0.8944444444444445,0.035212371561804165,0.035212371561804165,10.060265163349158,1.0898801452703342,9638.62829359631,0.005555555555555536,1,4.0203491683810055,4.025525624800137,sweep,none,11,0.25,0.25,1.0,false
KalmanFixed,0.10967193758573626,0.31608207769770597,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,14.380347622682294,0.011111111111111183,2,1.3915779393938483,1.3915779393938483,sweep,none,23,0.25,0.25,1.0,false
HGF2,0.10984807675082522,0.3245672630186896,0.8777777777777778,1.3272558466009308,1.3272558466009308,11.564030744754875,NaN,14.414013196930197,0.022222222222222254,2,1.4584482735169224,1.48257577090671,sweep,none,23,0.25,0.25,1.0,false
BLT-HGF,0.10131871255671793,0.32118768222131344,0.8833333333333333,0.7712612084271173,0.7712612084271173,11.263966375037382,0.8380656331212252,14.450276610880259,0.01666666666666672,2,1.582020547975091,1.6051475474248684,sweep,none,23,0.25,0.25,1.0,false
KalmanFixed,0.12867938135422008,0.30496257900466817,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,18.814674872863772,0.011111111111111183,2,1.8219655511945303,1.8219655511945303,sweep,none,37,0.25,0.25,1.0,false
HGF2,0.10798226049820833,0.3063375417695587,0.8888888888888888,1.0484847744244832,1.0484847744244832,11.261225257645357,NaN,18.987864112438572,0.011111111111111183,2,1.6417324635589814,1.6684559852847474,sweep,none,37,0.25,0.25,1.0,false
BLT-HGF,0.10200217790362519,0.3080364703502925,0.8888888888888888,0.6622104555138398,0.6622104555138398,11.097318319349775,0.8449012486913693,19.015085988669615,0.011111111111111183,2,1.7429050065945695,1.7701851208664054,sweep,none,37,0.25,0.25,1.0,false
KalmanFixed,2.013000009107656,0.8668858334609094,0.5333333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,1755.55361196673,0.3666666666666667,6,44.508048393867014,44.508048393867014,sweep,none,11,0.25,0.5,1.0,false
HGF2,0.11385504025139011,0.31450423522871923,0.8944444444444445,0.05786876067265832,0.05786876067265832,10.077497995114761,NaN,1780.1695377734275,0.005555555555555536,1,3.4255118328656473,3.4306084696703376,sweep,none,11,0.25,0.5,1.0,false
BLT-HGF,0.11360708110869779,0.3136026392115902,0.8944444444444445,0.044834496320403254,0.044834496320403254,10.068542143952516,1.308299081652847,1780.2103658002557,0.005555555555555536,1,3.466575086949378,3.471091900355174,sweep,none,11,0.25,0.5,1.0,false
KalmanFixed,0.11090092352548271,0.31731502930326244,0.8833333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,15.567864517010863,0.01666666666666672,2,1.4194158786174271,1.4194158786174271,sweep,none,23,0.25,0.5,1.0,false
HGF2,0.10997260213130866,0.3249319459153278,0.8666666666666667,1.2920028872726883,1.2920028872726883,11.523961078864646,NaN,15.613421117567727,0.033333333333333326,2,1.4793639466445112,1.5029707815535522,sweep,none,23,0.25,0.5,1.0,false
BLT-HGF,0.10310874944561112,0.3195421824088231,0.8777777777777778,0.6636872477177229,0.6636872477177229,10.985016234777286,1.1319827174548578,15.662518644980825,0.022222222222222254,2,1.5801486094659485,1.5962067007073435,sweep,none,23,0.25,0.5,1.0,false
KalmanFixed,0.13032950848807573,0.3058459367954832,0.8944444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,18.994191413782936,0.005555555555555536,2,1.8593829470789276,1.8593829470789276,sweep,none,37,0.25,0.5,1.0,false
HGF2,0.10772122613220585,0.3056400690859537,0.8888888888888888,0.9579588444003964,0.9579588444003964,11.164021511085375,NaN,19.17853548658998,0.011111111111111183,2,1.6746093210279605,1.7014719865815464,sweep,none,37,0.25,0.5,1.0,false
BLT-HGF,0.1042945891834745,0.3064707316542709,0.9,0.5474901341402475,0.5474901341402475,10.823254760946002,1.1411681421755127,19.209472603552044,0.0,2,1.7559089266765433,1.7774681458113748,sweep,none,37,0.25,0.5,1.0,false
KalmanFixed,0.765116278767735,0.553058608850421,0.6277777777777778,10.919533091655005,10.919533091655005,10.919533091655005,NaN,561.0040060721532,0.27222222222222225,3,16.240743388182487,16.240743388182487,sweep,none,11,0.25,1.0,1.0,false
HGF2,0.11368366803509079,0.31404148480840366,0.8888888888888888,0.07991999232154948,0.07991999232154948,10.107558615174513,NaN,569.0210427395173,0.011111111111111183,1,3.0556605600126647,3.062082325786384,sweep,none,11,0.25,1.0,1.0,false
BLT-HGF,0.11351696619384816,0.3132130987540704,0.8888888888888888,0.0561858913400424,0.0561858913400424,10.07887590430218,1.6960448072766439,569.0630556775193,0.011111111111111183,1,3.093856356545669,3.0980110693223333,sweep,none,11,0.25,1.0,1.0,false
KalmanFixed,0.11264353470006475,0.3187468163098597,0.8833333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,17.13715978014038,0.01666666666666672,2,1.458889112864564,1.458889112864564,sweep,none,23,0.25,1.0,1.0,false
HGF2,0.11008561197902371,0.32502736281186684,0.8666666666666667,1.2550602296035802,1.2550602296035802,11.483402711520723,NaN,17.19676795888887,0.033333333333333326,2,1.502404956832188,1.525852840429971,sweep,none,23,0.25,1.0,1.0,false
BLT-HGF,0.10451445302800569,0.3187066005155064,0.8777777777777778,0.591572971517559,0.591572971517559,10.809338199484895,1.5437996796804978,17.25501845471603,0.022222222222222254,2,1.5917952046858344,1.602912753487856,sweep,none,23,0.25,1.0,1.0,false
KalmanFixed,0.13346355157144357,0.307340600155627,0.8944444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,19.50614061048937,0.005555555555555536,2,1.9304090392288435,1.9304090392288435,sweep,none,37,0.25,1.0,1.0,false
HGF2,0.10816881597712445,0.304945245999115,0.8833333333333333,0.8323636157417651,0.8323636157417651,11.026859800729769,NaN,19.708128122689818,0.01666666666666672,2,1.7277099266119587,1.7550445841062918,sweep,none,37,0.25,1.0,1.0,false
BLT-HGF,0.10651796092782805,0.30604555707120124,0.9,0.4519460580284333,0.4519460580284333,10.627453978256984,1.5576207007107392,19.745654935454994,0.0,2,1.8014512958776652,1.817566093751032,sweep,none,37,0.25,1.0,1.0,false
KalmanFixed,0.4348167661078397,0.4397487134376198,0.7277777777777777,10.919533091655005,10.919533091655005,10.919533091655005,NaN,263.4221314949808,0.17222222222222228,3,8.758866022751397,8.758866022751397,sweep,none,11,0.25,2.0,1.0,false
HGF2,0.11347790861030378,0.31350390806300854,0.8888888888888888,0.10540121698461409,0.10540121698461409,10.142228965633933,NaN,267.2106680719568,0.011111111111111183,1,2.803683679210436,2.811659277864518,sweep,none,11,0.25,2.0,1.0,false
BLT-HGF,0.11341515297097793,0.3126567971796724,0.8944444444444445,0.06863938030122538,0.06863938030122538,10.090390908914436,2.265613539555611,267.250576058432,0.005555555555555536,1,2.841122846676773,2.8449729393463272,sweep,none,11,0.25,2.0,1.0,false
KalmanFixed,0.11492481122077727,0.3202961151857903,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,19.0326890390161,0.011111111111111183,2,1.5105647247283331,1.5105647247283331,sweep,none,23,0.25,2.0,1.0,false
HGF2,0.11012781937247587,0.3246856084059725,0.8777777777777778,1.1986402215148566,1.1986402215148566,11.42412221139628,NaN,19.10847808417135,0.022222222222222254,2,1.529599591030364,1.5533261356937687,sweep,none,23,0.25,2.0,1.0,false
BLT-HGF,0.1056600270160434,0.3182910401676065,0.8833333333333333,0.5329946578216108,0.5329946578216108,10.68547567537663,2.1170069025120877,19.17571447128059,0.01666666666666672,2,1.6160845743362096,1.6239667712042662,sweep,none,23,0.25,2.0,1.0,false
KalmanFixed,0.13798105727179008,0.30951977151238363,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,20.448113921373512,0.011111111111111183,2,2.032767658020807,2.032767658020807,sweep,none,37,0.25,2.0,1.0,false
HGF2,0.10936540981291913,0.3059744145845594,0.8833333333333333,0.6874842297732748,0.6874842297732748,10.866506842423075,NaN,20.67891616187958,0.01666666666666672,2,1.799774264544493,1.8265428442131464,sweep,none,37,0.25,2.0,1.0,false
BLT-HGF,0.10837646847015847,0.306730392100457,0.9,0.36466062055050924,0.36466062055050924,10.477940967825385,2.1390526552665046,20.722261132796394,0.0,2,1.8691071270897923,1.8803973495484276,sweep,none,37,0.25,2.0,1.0,false
KalmanFixed,0.3142848961167227,0.3927121883905709,0.7666666666666667,10.919533091655005,10.919533091655005,10.919533091655005,NaN,161.0330245438265,0.1333333333333333,3,6.028682258058854,6.028682258058854,sweep,none,11,0.25,4.0,1.0,false
HGF2,0.11325414124214074,0.31298597690622826,0.8944444444444445,0.13205990108689292,0.13205990108689292,10.17839863753097,NaN,163.33373822274768,0.005555555555555536,1,2.631100327907321,2.6407134190964356,sweep,none,11,0.25,4.0,1.0,false
BLT-HGF,0.11330276634280737,0.3120508358873999,0.9,0.08162096638771624,0.08162096638771624,10.102502989743458,3.064775187956288,163.37213512984235,0.0,1,2.66774560956983,2.671283451882892,sweep,none,11,0.25,4.0,1.0,false
KalmanFixed,0.11792507976439956,0.3220684826970073,0.8777777777777778,10.919533091655005,10.919533091655005,10.919533091655005,NaN,21.18361710024492,0.022222222222222254,2,1.578527450208419,1.578527450208419,sweep,none,23,0.25,4.0,1.0,false
HGF2,0.11001863680148109,0.323760814959049,0.8888888888888888,1.1037788862904538,1.1037788862904538,11.32581476754809,NaN,21.28356989378655,0.011111111111111183,2,1.5678362767497762,1.5919627148073734,sweep,none,23,0.25,4.0,1.0,false
BLT-HGF,0.10673782605023485,0.31816037754282833,0.8944444444444445,0.47182769619926906,0.47182769619926906,10.581288469377313,2.908516705106173,21.35739427129537,0.005555555555555536,2,1.6584560127259311,1.6644162899161168,sweep,none,23,0.25,4.0,1.0,false
KalmanFixed,0.14355119178899242,0.3123118832719213,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,21.842307162341108,0.011111111111111183,2,2.158965002167354,2.158965002167354,sweep,none,37,0.25,4.0,1.0,false
HGF2,0.11017414521650222,0.3077011531143616,0.8944444444444445,0.5559757548914465,0.5559757548914465,10.71602979325725,NaN,22.112266934121816,0.005555555555555536,2,1.8789135967737556,1.9037877373598717,sweep,none,37,0.25,4.0,1.0,false
BLT-HGF,0.10971536474553874,0.30773558937645334,0.9,0.29793837637655335,0.29793837637655335,10.375062162470606,2.9425238109878378,22.15732879580509,0.0,2,1.9421613600133223,1.950564804212688,sweep,none,37,0.25,4.0,1.0,false
KalmanFixed,4.911035490233112,1.3481688765564699,0.5,10.919533091655005,10.919533091655005,10.919533091655005,NaN,4751.684940822511,0.4,7,110.15455110604034,110.15455110604034,sweep,none,11,0.5,0.25,1.0,false
HGF2,0.11388179868563308,0.31493810249885323,0.8888888888888888,0.07291901055586789,0.07291901055586789,10.093406314538118,NaN,4816.94678119933,0.011111111111111183,1,3.631162826410543,3.6373689661670086,sweep,none,11,0.5,0.25,1.0,false
BLT-HGF,0.11332980083491796,0.3139705527656966,0.8944444444444445,0.06203563757353159,0.06203563757353159,10.102334395953914,1.0220927617352633,4816.9593149599805,0.005555555555555536,1,3.6784459947518737,3.685904393945636,sweep,none,11,0.5,0.25,1.0,false
KalmanFixed,0.1091203399655874,0.3153908582878105,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,13.739061643395152,0.011111111111111183,2,1.378955868541196,1.378955868541196,sweep,none,23,0.5,0.25,1.0,false
HGF2,0.10986864417856967,0.32427090388403823,0.8777777777777778,1.3708674733577426,1.3708674733577426,11.608428821081997,NaN,13.765491568122005,0.022222222222222254,2,1.445231416376236,1.4700063785887656,sweep,none,23,0.5,0.25,1.0,false
BLT-HGF,0.10100020224676541,0.3209670092034582,0.8888888888888888,0.8011883359724004,0.8011883359724004,11.30327620143903,0.8375193519696802,13.799842896236056,0.011111111111111183,2,1.5670680254770815,1.5907628180815496,sweep,none,23,0.5,0.25,1.0,false
KalmanFixed,0.11905203863490088,0.2999274730310202,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,16.43173931421003,0.011111111111111183,2,1.6037948060555736,1.6037948060555736,sweep,none,37,0.5,0.25,1.0,false
HGF2,0.1080570640352014,0.30452862872587444,0.8888888888888888,1.1500105101549596,1.1500105101549596,11.368027208100424,NaN,16.533457464588714,0.011111111111111183,2,1.568725948968604,1.5949573353528927,sweep,none,37,0.5,0.25,1.0,false
BLT-HGF,0.10165850409733236,0.30680753245707343,0.8888888888888888,0.7056429161472465,0.7056429161472465,11.15834328281317,0.8420099304111811,16.561518106603685,0.011111111111111183,2,1.6799542632453748,1.7062770239656684,sweep,none,37,0.5,0.25,1.0,false
KalmanFixed,1.0605344297106574,0.6384543767277769,0.6277777777777778,10.919533091655005,10.919533091655005,10.919533091655005,NaN,881.7593633578289,0.27222222222222225,5,22.93164987330378,22.93164987330378,sweep,none,11,0.5,0.5,1.0,false
HGF2,0.11366092734382156,0.31441049902061846,0.8888888888888888,0.10445774948095152,0.10445774948095152,10.135704213392104,NaN,894.0878278191116,0.011111111111111183,1,3.0899173844482606,3.097785235447391,sweep,none,11,0.5,0.5,1.0,false
BLT-HGF,0.11318252888969534,0.3134749049815759,0.8944444444444445,0.07794347209416902,0.07794347209416902,10.115935442517102,1.2592131855717048,894.1305214302138,0.005555555555555536,1,3.1368186535969085,3.1435648148064286,sweep,none,11,0.5,0.5,1.0,false
KalmanFixed,0.10974747679892755,0.3161185582351219,0.8833333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,14.421089585915313,0.01666666666666672,2,1.3931611615505068,1.3931611615505068,sweep,none,23,0.5,0.5,1.0,false
HGF2,0.11000439293664716,0.3245117518734936,0.8722222222222222,1.3367650932889934,1.3367650932889934,11.570286901204511,NaN,14.451599288578512,0.02777777777777779,2,1.4591033844355643,1.4831357821203965,sweep,none,23,0.5,0.5,1.0,false
BLT-HGF,0.10286841393301123,0.3192090136534509,0.8777777777777778,0.691418699300804,0.691418699300804,11.019231545404013,1.1309681986928286,14.498742963082556,0.022222222222222254,2,1.5594207827056696,1.575871139161894,sweep,none,23,0.5,0.5,1.0,false
KalmanFixed,0.11977046961174526,0.3002769459043047,0.8944444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,16.450218053873243,0.005555555555555536,2,1.6200858248167032,1.6200858248167032,sweep,none,37,0.5,0.5,1.0,false
HGF2,0.10772730483652825,0.304840567562022,0.8944444444444445,1.1047162163602395,1.1047162163602395,11.32135817286601,NaN,16.55726172666194,0.005555555555555536,2,1.58334927407166,1.6098893511565984,sweep,none,37,0.5,0.5,1.0,false
BLT-HGF,0.10358842624430237,0.3056968377098057,0.9,0.6066911332582217,0.6066911332582217,10.901931037814958,1.1366346445476658,16.589537770666748,0.0,2,1.673736269594044,1.6942501230159062,sweep,none,37,0.5,0.5,1.0,false
KalmanFixed,0.4364582049228521,0.43758530692295455,0.7444444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,286.4709226013395,0.15555555555555556,3,8.794963823974498,8.794963823974498,sweep,none,11,0.5,1.0,1.0,false
HGF2,0.1133670138052719,0.3136729353112239,0.8944444444444445,0.14446418679436224,0.14446418679436224,10.189273704240502,NaN,290.49337962457116,0.005555555555555536,1,2.7288831725403377,2.7389029074706563,sweep,none,11,0.5,1.0,1.0,false
BLT-HGF,0.11299776023647089,0.31283842098736553,0.9,0.09665557244158327,0.09665557244158327,10.132754294084602,1.6499297824231256,290.53596789475705,0.0,1,2.7754609930876106,2.7818060939051983,sweep,none,11,0.5,1.0,1.0,false
KalmanFixed,0.11062369567786776,0.3169203870470009,0.8833333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,15.281501402470107,0.01666666666666672,2,1.4130090128430746,1.4130090128430746,sweep,none,23,0.5,1.0,1.0,false
HGF2,0.11012182436497915,0.32461827635138096,0.8666666666666667,1.3039410453597524,1.3039410453597524,11.533936638308779,NaN,15.317387939364774,0.033333333333333326,2,1.4748509473241915,1.4984648533372533,sweep,none,23,0.5,1.0,1.0,false
BLT-HGF,0.10426397378961821,0.3183146524275688,0.8777777777777778,0.6204350920548676,0.6204350920548676,10.843307345073091,1.5420065638763738,15.373103083580657,0.022222222222222254,2,1.564165329984726,1.575536808029661,sweep,none,23,0.5,1.0,1.0,false
KalmanFixed,0.12123592686124426,0.300876631575594,0.8944444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,16.624613243429284,0.005555555555555536,2,1.653296449857954,1.653296449857954,sweep,none,37,0.5,1.0,1.0,false
HGF2,0.10765219502467543,0.30437557706872564,0.8944444444444445,1.0219041574601997,1.0219041574601997,11.234345298062083,NaN,16.738595583416682,0.005555555555555536,2,1.610523123000713,1.637619605308386,sweep,none,37,0.5,1.0,1.0,false
BLT-HGF,0.10537350560482814,0.3050256951861757,0.9,0.5305991959746688,0.5305991959746688,10.727429907936198,1.5499618685121328,16.776049212833495,0.0,2,1.6914231611836295,1.707400452112758,sweep,none,37,0.5,1.0,1.0,false
KalmanFixed,0.27129136148147026,0.37166446852822055,0.7944444444444444,10.919533091655005,10.919533091655005,10.919533091655005,NaN,138.47481453505299,0.10555555555555562,3,5.053645643376312,5.053645643376312,sweep,none,11,0.5,2.0,1.0,false
HGF2,0.11299512626141725,0.31290115765011295,0.8944444444444445,0.19102874226239838,0.19102874226239838,10.25143818770228,NaN,140.3827596107019,0.005555555555555536,1,2.4859680728522195,2.498558966563428,sweep,none,11,0.5,2.0,1.0,false
BLT-HGF,0.11279426247106618,0.31201873149729814,0.9,0.11803521335826077,0.11803521335826077,10.152499856588788,2.215939362430612,140.42228651148758,0.0,1,2.5332290917935643,2.5391709557430397,sweep,none,11,0.5,2.0,1.0,false
KalmanFixed,0.11175981981016356,0.3177355655823715,0.8833333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,16.27633223157037,0.01666666666666672,2,1.4387445181015315,1.4387445181015315,sweep,none,23,0.5,2.0,1.0,false
HGF2,0.11021301746012203,0.32447348411120835,0.8777777777777778,1.2620151472675059,1.2620151472675059,11.489417935681216,NaN,16.31738195986022,0.022222222222222254,2,1.4928016360536807,1.5164343210855173,sweep,none,23,0.5,2.0,1.0,false
BLT-HGF,0.10533302697420552,0.31782554446718525,0.8777777777777778,0.5683521758490574,0.5683521758490574,10.72603483372735,2.113556189304041,16.38139776940087,0.022222222222222254,2,1.577462187238025,1.585603535689208,sweep,none,23,0.5,2.0,1.0,false
KalmanFixed,0.12340384292851243,0.30180134531655234,0.8944444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,17.012752736372285,0.005555555555555536,2,1.7024167449419076,1.7024167449419076,sweep,none,37,0.5,2.0,1.0,false
HGF2,0.10820929835130975,0.3044336192426906,0.8888888888888888,0.9135991410243083,0.9135991410243083,11.119425349822347,NaN,17.137591580016284,0.011111111111111183,2,1.6505103229323348,1.6786589683108983,sweep,none,37,0.5,2.0,1.0,false
BLT-HGF,0.10690651423027323,0.3051833755038253,0.9,0.46467976639275127,0.46467976639275127,10.59978874481963,2.1257237061838095,17.18154615584756,0.0,2,1.7267613694254578,1.7390909825256384,sweep,none,37,0.5,2.0,1.0,false
KalmanFixed,0.21103496716123196,0.34642983302425734,0.8666666666666667,10.919533091655005,10.919533091655005,10.919533091655005,NaN,87.65839180135026,0.033333333333333326,1,3.6887754844584264,3.6887754844584264,sweep,none,11,0.5,4.0,1.0,false
HGF2,0.11259202062165209,0.31223331879892596,0.8944444444444445,0.23932383306337524,0.23932383306337524,10.31528699728825,NaN,88.82420023873492,0.005555555555555536,1,2.322081935498703,2.337232173961376,sweep,none,11,0.5,4.0,1.0,false
BLT-HGF,0.11257844174894963,0.3112355070394007,0.9,0.13999035274361166,0.13999035274361166,10.172698545258468,3.006832501893218,88.8608411910999,0.0,1,2.3701169621434897,2.3756175455168074,sweep,none,11,0.5,4.0,1.0,false
KalmanFixed,0.11324826617778674,0.318619546865186,0.8833333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,17.362493444480616,0.01666666666666672,2,1.4724610901834052,1.4724610901834052,sweep,none,23,0.5,4.0,1.0,false
HGF2,0.11018924019883786,0.3239414423335716,0.8777777777777778,1.197470452413539,1.197470452413539,11.422761466482664,NaN,17.410678741031283,0.022222222222222254,2,1.515964228252408,1.5399985088073367,sweep,none,23,0.5,4.0,1.0,false
BLT-HGF,0.10623381782052728,0.3176069388391577,0.8888888888888888,0.5213040990829627,0.5213040990829627,10.636944076331035,2.9014464813107015,17.482705915111463,0.011111111111111183,2,1.6011684737043042,1.607319639763373,sweep,none,23,0.5,4.0,1.0,false
KalmanFixed,0.12611200584635734,0.3030517274973553,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,17.63396297687944,0.011111111111111183,2,1.7637723405568937,1.7637723405568937,sweep,none,37,0.5,4.0,1.0,false
HGF2,0.10893435664130185,0.3054588193226537,0.8833333333333333,0.7997877286590408,0.7997877286590408,10.995673924057833,NaN,17.77622602395025,0.01666666666666672,2,1.6993712332658502,1.7274719079030076,sweep,none,37,0.5,4.0,1.0,false
BLT-HGF,0.10811519033282489,0.30580334831145267,0.9,0.4075158006139959,0.4075158006139959,10.504532915026997,2.9202372150782434,17.823998982483587,0.0,2,1.7711391438362585,1.7808841274503004,sweep,none,37,0.5,4.0,1.0,false
KalmanFixed,2.510043229962803,0.9652489401243695,0.5611111111111111,10.919533091655005,10.919533091655005,10.919533091655005,NaN,2376.1646349287507,0.3388888888888889,7,55.76597911922007,55.76597911922007,sweep,none,11,1.0,0.25,1.0,false
