seed,acute_slice,chronic_rate,scheduled_dose,scheduled_opportunities,low_available_final_persistent_probability,low_available_evidence_margin,low_available_formed,low_available_acute_change,low_available_acute_absolute_change,low_available_maximum_step,low_available_post_event_opportunities,low_available_realized_encounter_rate,low_available_avoided_encounter_rate,low_available_avoidance_action_rate,low_available_realized_avoidance_mediator,low_available_realized_avoidance_encounter_mediator,low_unavailable_final_persistent_probability,low_unavailable_evidence_margin,low_unavailable_formed,low_unavailable_acute_change,low_unavailable_acute_absolute_change,low_unavailable_maximum_step,low_unavailable_post_event_opportunities,low_unavailable_realized_encounter_rate,low_unavailable_avoided_encounter_rate,low_unavailable_avoidance_action_rate,low_unavailable_realized_avoidance_mediator,low_unavailable_realized_avoidance_encounter_mediator,high_available_final_persistent_probability,high_available_evidence_margin,high_available_formed,high_available_acute_change,high_available_acute_absolute_change,high_available_maximum_step,high_available_post_event_opportunities,high_available_realized_encounter_rate,high_available_avoided_encounter_rate,high_available_avoidance_action_rate,high_available_realized_avoidance_mediator,high_available_realized_avoidance_encounter_mediator,high_unavailable_final_persistent_probability,high_unavailable_evidence_margin,high_unavailable_formed,high_unavailable_acute_change,high_unavailable_acute_absolute_change,high_unavailable_maximum_step,high_unavailable_post_event_opportunities,high_unavailable_realized_encounter_rate,high_unavailable_avoided_encounter_rate,high_unavailable_avoidance_action_rate,high_unavailable_realized_avoidance_mediator,high_unavailable_realized_avoidance_encounter_mediator
807217,43,0.15584771841600267,0.15,12,0.0005093057663287365,-6.3162861932329415,0,0.13113737830354094,0.13113737830354094,0.2035012037141184,6,0.5,0.5,0.7222222222222222,0.075,0.5,0.04937671880314056,-1.6919724477854703,0,0.13113737830354094,0.13113737830354094,0.1636632817598544,6,1.0,0.0,0.0,0.0,0.0,0.01479971398265115,-2.932570728142275,0,0.11165967500192012,0.11165967500192012,0.11165967500192012,6,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0125,0.16666666666666666,0.20082914945805364,-0.1154538361363453,0,0.11165967500192012,0.11165967500192012,0.11165967500192012,6,1.0,0.0,0.0,0.0,0.0
807218,55,0.1197733109799929,0.1375,11,0.037800111950328515,-1.9712437753157173,0,0.06335516774545469,0.06335516774545469,0.07075137922023927,4,0.5,0.5,0.5833333333333334,0.0625,0.5,0.12828042972938491,-0.6505826803768071,0,0.06335516774545469,0.06335516774545469,0.07544800304883115,4,1.0,0.0,0.0,0.0,0.0,0.7203193622697208,2.211712673027571,1,0.13007237556946372,0.13007237556946372,0.18361714570042942,4,0.75,0.25,0.4166666666666667,0.05,0.25,0.2756980229564579,0.2997641195498846,0,0.13007237556946372,0.13007237556946372,0.13007237556946372,4,1.0,0.0,0.0,0.0,0.0
807219,32,0.13880924125491098,0.175,14,0.0011875028238178872,-5.469048062311142,0,-0.0014904221689952344,0.0014904221689952344,0.02988884930520394,11,0.5454545454545454,0.45454545454545453,0.6170212765957447,0.15,0.45454545454545453,0.024082685759869656,-2.436218341377323,0,-0.0014904221689952344,0.0014904221689952344,0.02988884930520394,11,1.0,0.0,0.0,0.0,0.0,0.0012821244959785134,-5.3922874939988485,0,-0.0043275947060674325,0.0043275947060674325,0.05385205514246091,11,0.9090909090909091,0.09090909090909091,0.19148936170212766,0.0125,0.09090909090909091,0.028914918122629092,-2.2483900541152213,0,-0.0043275947060674325,0.0043275947060674325,0.02988884930520394,11,1.0,0.0,0.0,0.0,0.0
807220,49,0.12229453373186971,0.0875,7,0.0046617990427628994,-4.098014772219734,0,0.07155409722070386,0.07155409722070386,0.07155409722070386,2,0.5,0.5,0.5666666666666667,0.075,0.5,0.024075751264105823,-2.4365134337172965,0,0.07155409722070386,0.07155409722070386,0.07155409722070386,2,1.0,0.0,0.0,0.0,0.0,0.13728654728238404,-0.5723458988573042,0,0.12990064835282605,0.12990064835282605,0.12990064835282605,2,0.5,0.5,0.26666666666666666,0.0375,0.5,0.18481943355134525,-0.21836395570632594,0,0.12990064835282605,0.12990064835282605,0.12990064835282605,2,1.0,0.0,0.0,0.0,0.0
807221,49,0.0992611371797268,0.1125,9,0.026658499819543498,-2.3319605814916304,0,-0.06303946499090018,0.06303946499090018,0.08530223717994967,3,0.6666666666666666,0.3333333333333333,0.5,0.0125,0.3333333333333333,0.12589465170529746,-0.6720890712167562,0,-0.06303946499090018,0.06303946499090018,0.08075976297115697,3,1.0,0.0,0.0,0.0,0.0,0.10084978226959163,-0.922151635986366,0,-0.09398858260422521,0.09398858260422521,0.17000249235531834,3,1.0,0.0,0.16666666666666666,0.0125,0.0,0.5527318728302779,1.4773811461613138,1,-0.09398858260422521,0.09398858260422521,0.09398858260422521,3,1.0,0.0,0.0,0.0,0.0
807222,41,0.09732584475428761,0.1,8,0.010121537475885439,-3.31725022031938,0,-0.0016109575826614292,0.0016109575826614292,0.0955275294305798,4,0.5,0.5,0.6578947368421053,0.175,0.5,0.0443418935832005,-1.8048039372270417,0,-0.0016109575826614292,0.0016109575826614292,0.0955275294305798,4,1.0,0.0,0.0,0.0,0.0,0.0012088379721467944,-5.4512197918687475,0,-0.013873551395635605,0.013873551395635605,0.0955275294305798,4,0.75,0.25,0.13157894736842105,0.0,0.25,0.12993732839111555,-0.6358466271408509,0,-0.013873551395635605,0.013873551395635605,0.0955275294305798,4,1.0,0.0,0.0,0.0,0.0
807223,36,0.1322502377553599,0.1125,9,0.21469755530048448,-0.031172231885665536,0,0.1147707629900962,0.1147707629900962,0.11597345278797103,2,1.0,0.0,0.2558139534883721,0.0125,0.0,0.15279654375655913,-0.44716724347270786,0,0.1147707629900962,0.1147707629900962,0.1147707629900962,2,1.0,0.0,0.0,0.0,0.0,0.06297792860263682,-1.4342561386488724,0,0.16401374685235492,0.16401374685235492,0.16401374685235492,2,1.0,0.0,0.16279069767441862,0.0,0.0,0.7095951997578284,2.1590852270146224,1,0.16401374685235492,0.16401374685235492,0.16401374685235492,2,1.0,0.0,0.0,0.0,0.0
807224,35,0.13386352338895385,0.1125,9,0.002170098258115671,-4.865144002552515,0,0.0018349170838137564,0.0018349170838137564,0.0801753738232579,4,0.5,0.5,0.5,0.075,0.5,0.0012799573328531474,-5.3939813848055,0,0.0018349170838137564,0.0018349170838137564,0.0801753738232579,4,1.0,0.0,0.0,0.0,0.0,0.0017642783961019197,-5.0725813030310185,0,-0.013790455928136082,0.013790455928136082,0.0482571349575365,4,0.5,0.5,0.25,0.0125,0.5,0.002521565793305516,-4.714684100238821,0,-0.013790455928136082,0.013790455928136082,0.0482571349575365,4,1.0,0.0,0.0,0.0,0.0
807225,44,0.13674808391498333,0.1375,11,0.02669492868877329,-2.330557585901424,0,0.13989288848025422,0.13989288848025422,0.13989288848025422,5,1.0,0.0,0.2,0.0125,0.0,0.0830292790368389,-1.1362158641869926,0,0.13989288848025422,0.13989288848025422,0.13989288848025422,5,1.0,0.0,0.0,0.0,0.0,0.021464497941323785,-2.5539903832105377,0,0.15975081629468857,0.15975081629468857,0.15975081629468857,5,1.0,0.0,0.17142857142857143,0.0,0.0,0.37385862752918003,0.7499679178052239,0,0.15975081629468857,0.15975081629468857,0.15975081629468857,5,1.0,0.0,0.0,0.0,0.0
807226,41,0.13705658491247838,0.1375,11,0.06768116327637423,-1.3572005793005475,0,-0.010897141824566803,0.010897141824566803,0.1747643237296661,5,0.6,0.4,0.6052631578947368,0.1,0.4,0.18911591942272882,-0.19009857930284202,0,-0.010897141824566803,0.010897141824566803,0.1747643237296661,5,1.0,0.0,0.0,0.0,0.0,0.9968206718926471,7.0135673719325755,1,0.005951668742342542,0.005951668742342542,0.12116970590074794,5,0.8,0.2,0.4473684210526316,0.075,0.2,0.7179798560982134,2.2001293857496247,1,0.005951668742342542,0.005951668742342542,0.08260287315062065,5,1.0,0.0,0.0,0.0,0.0
807227,50,0.11091755987960998,0.0625,5,0.015028676917910638,-2.9169859833184892,0,0.07847260104188133,0.07847260104188133,0.07847260104188133,3,0.6666666666666666,0.3333333333333333,0.6551724137931034,0.0875,0.3333333333333333,0.07077568947794018,-1.309168217295306,0,0.07847260104188133,0.07847260104188133,0.07847260104188133,3,1.0,0.0,0.0,0.0,0.0,0.05738620535772873,-1.5331863260590908,0,0.13251386195486972,0.13251386195486972,0.15458966385455108,3,1.0,0.0,0.1724137931034483,0.025,0.0,0.3369236192837696,0.5886324407347765,0,0.13251386195486972,0.13251386195486972,0.13251386195486972,3,1.0,0.0,0.0,0.0,0.0
807228,39,0.10160871192928891,0.0875,7,0.6129005730075481,1.7251875214091548,1,0.4509445988320048,0.4509445988320048,0.4509445988320048,3,1.0,0.0,0.375,0.1125,0.0,0.46783321233174835,1.1368212709605057,1,0.4509445988320048,0.4509445988320048,0.4509445988320048,3,1.0,0.0,0.0,0.0,0.0,0.7444942752393696,2.335126720521754,1,0.2485254683165546,0.2485254683165546,0.2485254683165546,3,1.0,0.0,0.275,0.0625,0.0,0.8217738507826993,2.7940783647233487,1,0.2485254683165546,0.2485254683165546,0.2485254683165546,3,1.0,0.0,0.0,0.0,0.0
807229,38,0.15124096294333875,0.15,12,0.026046633494230302,-2.3558085234532484,0,-0.017770005025313146,0.017770005025313146,0.09558261106342336,5,0.6,0.4,0.4878048780487805,0.1,0.4,0.016441116703214416,-2.8257258205692892,0,-0.017770005025313146,0.017770005025313146,0.09558261106342336,5,1.0,0.0,0.0,0.0,0.0,0.004623085880451522,-4.106392678644951,0,-0.08393412504191672,0.08393412504191672,0.16880485222231179,5,1.0,0.0,0.21951219512195122,0.05,0.0,0.028608349819805038,-2.2593647339302487,0,-0.08393412504191672,0.08393412504191672,0.08393412504191672,5,1.0,0.0,0.0,0.0,0.0
807230,45,0.12330675565732746,0.075,6,0.007090259119922589,-3.676251504080092,0,-0.006413663827359438,0.006413663827359438,0.06095455048394771,3,1.0,0.0,0.4117647058823529,0.05,0.0,0.013085413586497792,-3.0574189806064,0,-0.006413663827359438,0.006413663827359438,0.06095455048394771,3,1.0,0.0,0.0,0.0,0.0,0.09084479854687627,-1.0376969049401057,0,-0.02657128022582983,0.02657128022582983,0.16632176421788863,3,1.0,0.0,0.2647058823529412,0.0,0.0,0.10389690388603054,-0.8889899969699682,0,-0.02657128022582983,0.02657128022582983,0.05304177418277492,3,1.0,0.0,0.0,0.0,0.0
807231,42,0.1183872613550962,0.1375,11,1.1071681432250494e-08,-17.05320882645829,0,0.5177669491215048,0.5177669491215048,0.605011090009691,6,0.6666666666666666,0.3333333333333333,0.7027027027027027,0.15,0.3333333333333333,0.000987895679703739,-5.653278695834007,0,0.5177669491215048,0.5177669491215048,0.5177669491215048,6,1.0,0.0,0.0,0.0,0.0,0.10159634554094327,-0.9139455324140151,0,0.15139993995994122,0.15139993995994122,0.17078125652366827,6,0.6666666666666666,0.3333333333333333,0.24324324324324326,0.0375,0.3333333333333333,0.24425327363537075,0.1361657649581247,0,0.15139993995994122,0.15139993995994122,0.15139993995994122,6,1.0,0.0,0.0,0.0,0.0
807232,47,0.10338717032319131,0.1,8,0.0070268646300208565,-3.6852966285787803,0,-0.014823775035107803,0.014823775035107803,0.05171229904991166,2,0.0,1.0,0.53125,0.05,1.0,0.015357802204883468,-2.894988319017532,0,-0.014823775035107803,0.014823775035107803,0.04272010541773488,2,1.0,0.0,0.0,0.0,0.0,0.27018559238753365,0.2719852097342108,0,-0.09726306370187188,0.09726306370187188,0.1553422073620997,2,0.5,0.5,0.3125,0.025,0.5,0.09753195780909367,-0.9592868092348885,0,-0.09726306370187188,0.09726306370187188,0.10644843089010442,2,1.0,0.0,0.0,0.0,0.0
807233,55,0.13479987534008597,0.1875,15,0.00425986699766828,-4.188582000980733,0,0.002488903850836933,0.002488903850836933,0.05523571179988043,5,0.2,0.8,0.4583333333333333,0.0625,0.8,0.0013763831996340139,-5.321252385519166,0,0.002488903850836933,0.002488903850836933,0.05523571179988043,5,1.0,0.0,0.0,0.0,0.0,0.0037283233876007926,-4.322394976079879,0,0.0073564627795689695,0.0073564627795689695,0.03249570940128427,5,0.8,0.2,0.20833333333333334,0.0125,0.2,0.011648320808885674,-3.1752101786328017,0,0.0073564627795689695,0.0073564627795689695,0.03249570940128427,5,1.0,0.0,0.0,0.0,0.0
807234,39,0.10576929295626396,0.1375,11,0.009511382181992462,-3.3800427955430092,0,0.09242264433189012,0.09242264433189012,0.15751406347388197,6,0.8333333333333334,0.16666666666666666,0.225,0.075,0.16666666666666666,0.08296681880121276,-1.1370365283974346,0,0.09242264433189012,0.09242264433189012,0.09668986627931786,6,1.0,0.0,0.0,0.0,0.0,0.011431427425257056,-3.1942252830981364,0,0.18460275940647133,0.18460275940647133,0.18460275940647133,6,0.8333333333333334,0.16666666666666666,0.175,0.0125,0.16666666666666666,0.21994853552724114,-0.0002999347040770761,0,0.18460275940647133,0.18460275940647133,0.18460275940647133,6,1.0,0.0,0.0,0.0,0.0
807235,32,0.1274685643259454,0.1125,9,0.17676428269547945,-0.2727590897739045,0,0.09820256597125498,0.09820256597125498,0.18902663055982516,6,0.5,0.5,0.5106382978723404,0.15,0.5,0.05947734994621175,-1.4951737912073757,0,0.09820256597125498,0.09820256597125498,0.09820256597125498,6,1.0,0.0,0.0,0.0,0.0,0.07129288078933438,-1.3013305774440402,0,0.07551901775490513,0.07551901775490513,0.12957660675982874,6,0.8333333333333334,0.16666666666666666,0.2127659574468085,0.0,0.16666666666666666,0.4001836808312925,0.8609665434879554,0,0.07551901775490513,0.07551901775490513,0.07948670628001869,6,1.0,0.0,0.0,0.0,0.0
807236,47,0.1344778398993662,0.1625,13,0.04618184881827092,-1.7622198245696694,0,0.19283309511199448,0.19283309511199448,0.19283309511199448,5,0.4,0.6,0.40625,0.0875,0.6,0.011751632795822399,-3.166275484352354,0,0.19283309511199448,0.19283309511199448,0.19283309511199448,5,1.0,0.0,0.0,0.0,0.0,0.029594919880055703,-2.22444449843627,0,0.24977610909902198,0.24977610909902198,0.24977610909902198,5,0.6,0.4,0.15625,0.0,0.4,0.2868027509901477,0.35470304529427477,0,0.24977610909902198,0.24977610909902198,0.24977610909902198,5,1.0,0.0,0.0,0.0,0.0
807237,51,0.08281681958483017,0.1125,9,0.024742794995853353,-2.408500527526784,0,0.1517267295918988,0.1517267295918988,0.18009258449530396,3,0.6666666666666666,0.3333333333333333,0.5,0.0125,0.3333333333333333,0.11392227585512671,-0.7856218730697022,0,0.1517267295918988,0.1517267295918988,0.18009258449530396,3,1.0,0.0,0.0,0.0,0.0,0.03269468894633627,-2.121635155269491,0,0.16563862257541073,0.16563862257541073,0.16563862257541073,3,1.0,0.0,0.10714285714285714,0.0,0.0,0.5068124642484038,1.2929179167218627,1,0.16563862257541073,0.16563862257541073,0.16563862257541073,3,1.0,0.0,0.0,0.0,0.0
807238,40,0.14898381574138442,0.2125,17,0.002749302753772628,-4.627988481174871,0,0.02634551429478738,0.02634551429478738,0.046594707209349384,8,0.375,0.625,0.5641025641025641,0.1125,0.625,0.0019125054148305025,-4.991760451063955,0,0.02634551429478738,0.02634551429478738,0.046594707209349384,8,1.0,0.0,0.0,0.0,0.0,0.0023847123889413693,-4.770622819877018,0,0.054965459881985604,0.054965459881985604,0.09099840966854728,8,0.875,0.125,0.23076923076923078,0.025,0.125,0.011060701339226889,-3.227568173616929,0,0.054965459881985604,0.054965459881985604,0.054965459881985604,8,1.0,0.0,0.0,0.0,0.0
807239,38,0.13950004738272942,0.0875,7,0.0024264213637028146,-4.753242053711582,0,-0.0029218323365255566,0.0029218323365255566,0.03199314024214708,3,0.3333333333333333,0.6666666666666666,0.5609756097560976,0.1625,0.6666666666666666,0.01110737704025859,-3.2233098952801265,0,-0.0029218323365255566,0.0029218323365255566,0.03199314024214708,3,1.0,0.0,0.0,0.0,0.0,0.0011667932281377467,-5.486662275985029,0,-0.022448471334074224,0.022448471334074224,0.02988884930520394,3,1.0,0.0,0.17073170731707318,0.0375,0.0,0.03231254404035727,-2.1337872705160335,0,-0.022448471334074224,0.022448471334074224,0.02988884930520394,3,1.0,0.0,0.0,0.0,0.0
807240,46,0.14713789427212434,0.125,10,0.04259051951081343,-1.846933124092865,0,0.03646359779636807,0.03646359779636807,0.07058181282730874,3,0.6666666666666666,0.3333333333333333,0.6060606060606061,0.15,0.3333333333333333,0.06378686046331954,-1.4206295701142408,0,0.03646359779636807,0.03646359779636807,0.062097266064263926,3,1.0,0.0,0.0,0.0,0.0,0.11480955219624725,-0.7768617560756386,0,0.044737594169359254,0.044737594169359254,0.06272368278991594,3,1.0,0.0,0.2727272727272727,0.05,0.0,0.21799193811659046,-0.0117405954860057,0,0.044737594169359254,0.044737594169359254,0.047467323624279634,3,1.0,0.0,0.0,0.0,0.0
807241,32,0.13548829461487413,0.175,14,0.000781800806452819,-5.887462093169186,0,0.43669579659138935,0.43669579659138935,0.43669579659138935,9,0.6666666666666666,0.3333333333333333,0.5106382978723404,0.1125,0.3333333333333333,0.006289912679081706,-3.7968319400114043,0,0.43669579659138935,0.43669579659138935,0.43669579659138935,9,1.0,0.0,0.0,0.0,0.0,0.0033307728599716443,-4.435548206273673,0,0.30630819592725167,0.30630819592725167,0.30630819592725167,9,1.0,0.0,0.19148936170212766,0.0,0.0,0.23864926858462754,0.10556721800645952,0,0.30630819592725167,0.30630819592725167,0.30630819592725167,9,1.0,0.0,0.0,0.0,0.0
807242,30,0.13503390975549018,0.0875,7,0.011379869680739112,-3.1987978127575096,0,0.008614990940295225,0.008614990940295225,0.17679630071497177,4,0.25,0.75,0.46938775510204084,0.1625,0.75,0.05604016040988334,-1.5583486652198466,0,0.008614990940295225,0.008614990940295225,0.17679630071497177,4,1.0,0.0,0.0,0.0,0.0,0.000163108431563025,-7.455265858941628,0,-0.0472427277325735,0.0472427277325735,0.10243880181849929,4,1.0,0.0,0.12244897959183673,0.0,0.0,0.06969264021827959,-1.3257539326897079,0,-0.0472427277325735,0.0472427277325735,0.10243880181849929,4,1.0,0.0,0.0,0.0,0.0
807243,30,0.11991103120366729,0.1125,9,0.015384642085154644,-2.893214947377112,0,-0.011514036773754066,0.011514036773754066,0.064155956874105,4,0.5,0.5,0.6122448979591837,0.0875,0.5,0.048836691373281324,-1.7035374947799276,0,-0.011514036773754066,0.011514036773754066,0.064155956874105,4,1.0,0.0,0.0,0.0,0.0,0.9767213265100709,5.0023301102516005,1,-0.025113867232899517,0.025113867232899517,0.2637919850870657,4,0.75,0.25,0.4489795918367347,0.0625,0.25,0.31420865093196504,0.4851502063918296,0,-0.025113867232899517,0.025113867232899517,0.08055238291383893,4,1.0,0.0,0.0,0.0,0.0
