seed,selected,posterior_entropy,maximum_update_identity_error,maximum_decomposition_error
778541,continuous_drift,1.184565794508636,1.3322676295501878e-15,1.4210854715202004e-14
778542,context_split,0.12433575505956636,4.884981308350689e-15,1.4210854715202004e-14
778543,continuous_drift,0.9753245546378835,3.552713678800501e-15,1.4210854715202004e-14
778544,change_point,0.3342198954657461,1.7763568394002505e-15,1.4210854715202004e-14
778545,continuous_drift,1.1182178855577811,1.7763568394002505e-15,1.4210854715202004e-14
778546,cue_local_relearning,0.6364894486232627,5.773159728050814e-15,2.842170943040401e-14
778547,context_split,0.4201827486378759,1.5543122344752192e-15,1.4210854715202004e-14
778548,continuous_drift,1.0472407227758636,2.6645352591003757e-15,1.4210854715202004e-14
778549,continuous_drift,0.728153758555722,2.6645352591003757e-15,1.4210854715202004e-14
778550,global_downweight,0.9794093226846086,3.1086244689504383e-15,2.842170943040401e-14
778551,cue_local_relearning,0.9137257894373576,2.6645352591003757e-15,7.105427357601002e-15
778552,context_split,0.45033771880577445,1.7763568394002505e-15,1.4210854715202004e-14
778553,context_split,0.013191392316696079,3.552713678800501e-15,1.4210854715202004e-14
778554,change_point,0.7195908348157594,1.5543122344752192e-15,1.4210854715202004e-14
778555,global_downweight,0.9906173315783627,1.3322676295501878e-15,1.4210854715202004e-14
778556,cue_local_relearning,0.8997962265198631,3.552713678800501e-15,2.842170943040401e-14
778557,continuous_drift,1.1859219148211064,3.9968028886505635e-15,1.4210854715202004e-14
778558,continuous_drift,0.7303925527924301,4.440892098500626e-15,1.4210854715202004e-14
778559,change_point,0.22752421855945112,2.4424906541753444e-15,7.105427357601002e-15
778560,change_point,0.901576436569214,1.7763568394002505e-15,1.4210854715202004e-14
778561,continuous_drift,1.0698243827181007,2.6645352591003757e-15,1.4210854715202004e-14
778562,context_split,0.25624384990007354,2.6645352591003757e-15,2.842170943040401e-14
778563,continuous_drift,0.5167381995109,1.7763568394002505e-15,1.4210854715202004e-14
778564,change_point,0.3013709506074495,2.220446049250313e-15,1.4210854715202004e-14
778565,global_downweight,1.0885599165928965,2.6645352591003757e-15,2.1316282072803006e-14
778566,cue_local_relearning,1.0432686034432468,3.3306690738754696e-15,2.842170943040401e-14
778567,context_split,0.2317602421223426,2.6645352591003757e-15,1.4210854715202004e-14
778568,cue_local_relearning,0.92261676401586,6.661338147750939e-15,1.4210854715202004e-14
778569,cue_local_relearning,1.3557576024350648,1.3322676295501878e-15,1.4210854715202004e-14
778570,continuous_drift,0.6881476527477453,5.995204332975845e-15,2.842170943040401e-14
778571,cue_local_relearning,1.0112669514239536,2.220446049250313e-15,2.1316282072803006e-14
778572,context_split,0.04856781776439303,2.220446049250313e-15,2.842170943040401e-14
778573,continuous_drift,1.1953098224180427,1.3322676295501878e-15,1.4210854715202004e-14
778574,change_point,0.37944119102291285,1.5543122344752192e-15,1.4210854715202004e-14
778575,continuous_drift,1.3414160931844503,2.220446049250313e-15,7.105427357601002e-15
778576,cue_local_relearning,0.9847460841908877,3.552713678800501e-15,2.842170943040401e-14
778577,continuous_drift,1.2082952789205186,1.7763568394002505e-15,1.4210854715202004e-14
778578,global_downweight,0.8504483695044216,3.1086244689504383e-15,1.4210854715202004e-14
778579,change_point,0.9009391144543563,1.1657341758564144e-15,7.105427357601002e-15
778580,global_downweight,0.9291330174377327,1.7763568394002505e-15,1.4210854715202004e-14
778581,context_split,0.5822134965284181,2.886579864025407e-15,1.4210854715202004e-14
778582,change_point,0.35696571173012787,1.7763568394002505e-15,1.4210854715202004e-14
778583,context_split,0.12907995311180723,2.6645352591003757e-15,1.4210854715202004e-14
778584,change_point,0.28793456493405334,3.552713678800501e-15,1.4210854715202004e-14
778585,cue_local_relearning,0.9890051603917184,3.774758283725532e-15,2.842170943040401e-14
778586,global_downweight,0.749408195889535,4.218847493575595e-15,2.842170943040401e-14
778587,context_split,0.02475195479734758,2.220446049250313e-15,1.4210854715202004e-14
778588,continuous_drift,0.26773187413279953,1.3322676295501878e-15,1.4210854715202004e-14
778589,continuous_drift,0.6969359794906927,2.6645352591003757e-15,1.4210854715202004e-14
778590,change_point,1.3596991663173876,1.3322676295501878e-15,0.0
778591,cue_local_relearning,1.0885133980957054,1.5543122344752192e-15,1.4210854715202004e-14
