seed,selected,heldout,transfer,zero_association_transfer,historical_retention,present_indexing,shuffled_selected,fixed_selected
778734,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.282776514752471, -2.3092895792680057, -2.224229059704135, -2.3597423543517912, -3.3909969599351886], ""matched_comparators"": [], ""maximum_decomposition_error"": 2.842170943040401e-14, ""preheldout_complexity_per_observation"": [0.3849110439503874, 0.48271244650765216, 0.28064312933807584, 0.4827697107730888, 0.07189245606412036]}",0.44999999999999996,0.0,0.0,0.44999999999999996,context_split,context_split
778735,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.11403333391620407, ""heldout_log_per_observation"": [-2.4523248408139686, -2.5637076061093333, -2.3382915068977645, -2.468507288217343, -2.4950651696581536], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3059325736224678, 0.402868871233181, 0.2696490029742022, 0.4185091148187034, 0.2618793652925584]}",0.44999999999999996,0.0,0.0,0.44999999999999996,change_point,global_downweight
778736,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": -0.006539082948746611, ""heldout_log_per_observation"": [-2.4875988931064814, -2.4409221065612767, -2.494137976055228, -2.4877175318404037, -2.4788347477728188], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.33554420423654197, 0.429252424450103, 0.33351953766149006, 0.4417886778529758, 0.24845920536229868]}",0.44999999999999996,0.0,0.0,0.44999999999999996,context_split,global_downweight
778737,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.3201051081417834, ""heldout_log_per_observation"": [-1.9694311925730927, -1.8163886447880966, -1.6493260844313093, -1.754835178268193, -1.456985805628542], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.344441310453554, 0.44703151052345885, 0.3361932866535257, 0.45760993348278256, 0.26304743185592]}",-0.45,0.0,0.0,-0.45,continuous_drift,context_split
778738,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.11021870412320656, ""heldout_log_per_observation"": [-2.354597724538653, -2.340047253816701, -2.2298285496934946, -2.4469454928185606, -2.3101826903537823], ""matched_comparators"": [""cue_local_relearning""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.41774610597420186, 0.513200813516591, 0.46961175304252417, 0.5291299149066544, 0.5413296766590229]}",-0.45,0.0,0.0,-0.45,context_split,cue_local_relearning
778739,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": 0.44361173976058677, ""heldout_log_per_observation"": [-2.7408950692371956, -2.6723092003380193, -2.4275248347553093, -2.5857380554458587, -2.871136574515896], ""matched_comparators"": [""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3135317415491043, 0.4080799150531959, 0.2120427497241534, 0.41157478286118104, 0.19107609601033645]}",0.44999999999999996,0.0,0.0,0.44999999999999996,continuous_drift,context_split
778740,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.38891481270613326, ""heldout_log_per_observation"": [-2.5227887287838895, -2.341114615608493, -2.1338739160777562, -2.48081810969616, -2.795137902987757], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3439244155653542, 0.4389874315630959, 0.36103321191135085, 0.4409191004438712, 0.07193853999455913]}",-0.45,0.0,0.0,-0.45,context_split,change_point
778741,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.5045841510972195, -2.597364529827008, -2.7113299703608753, -2.5590324680764693, -3.259198748892703], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2761860791839714, 0.36547226775050223, 0.21041205185335587, 0.36875895841416684, 0.12706407422173177]}",-0.45,0.0,0.0,-0.45,context_split,global_downweight
778742,change_point,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.052075140750566, -1.9660494681491194, -1.8496006257588036, -1.996940057860444, -1.8035228597610367], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2545953172329399, 0.345939497331523, 0.16378005809113866, 0.37107365484611377, 0.04773267202807995]}",-0.45,0.0,0.0,-0.45,change_point,context_split
778743,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.1280715678859572, ""heldout_log_per_observation"": [-1.7333397976962805, -1.8781219018997257, -1.6052682298103234, -1.9138142518732808, -4.294210198992224], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.33592035722456076, 0.42384677171775165, 0.30814838710595854, 0.42973790921383187, 0.0997525558376942]}",-0.44999999999997525,0.0,0.0,-0.44999999999997525,context_split,cue_local_relearning
778744,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": -0.16682716657719432, ""heldout_log_per_observation"": [-2.030263967480397, -2.030028983736365, -2.197091134057591, -2.087227404127879, -2.1500964500410102], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 2.842170943040401e-14, ""preheldout_complexity_per_observation"": [0.355254801429375, 0.4626936141653306, 0.34250455964416515, 0.44927389854623484, 0.05861773557279327]}",0.4499999999744344,0.0,0.0,0.4499999999744344,context_split,context_split
778745,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.305028125256907, -2.2969710382905753, -2.5112387851294873, -2.338842648728777, -2.9770488070636363], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.27683964693063157, 0.3716416866984866, 0.2215639274761897, 0.38930716644420177, 0.11393228629892711]}",-0.45,0.0,0.0,-0.45,cue_local_relearning,cue_local_relearning
778746,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.683588111998942, -2.604921879785719, -2.2218854855070536, -2.6498956188712146, -2.5602997940463883], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.36074923328829783, 0.4702392926335464, 0.2898683014749425, 0.47086366327993656, 0.13658707180960009]}",0.44999999999999996,0.0,0.0,0.44999999999999996,context_split,context_split
778747,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.02691886112766273, ""heldout_log_per_observation"": [-2.533810635281313, -2.4352346588395424, -2.50689177415365, -2.594958604382623, -3.4919686220432222], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.43844504968168924, 0.5279425648683671, 0.4459804487659271, 0.542412233833062, 0.12703690803418602]}",-0.45,0.0,0.0,-0.45,cue_local_relearning,context_split
778748,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.2303921200795207, ""heldout_log_per_observation"": [-2.339076282454955, -2.2351728875502346, -2.108684162375434, -2.3229760469011076, -3.039876358340452], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.32861089300859075, 0.43040167051640815, 0.36605757321157567, 0.44912942829399743, 0.16211292199338984]}",0.44999999999999996,0.0,0.0,0.44999999999999996,context_split,context_split
778749,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.700984102427757, -2.745310879978237, -2.548456212951444, -2.7966568729818793, -2.877375072756233], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.34572396226285224, 0.435441228692847, 0.281827039923722, 0.42361859143877617, 0.18809787712947082]}",0.44999999999999996,0.0,0.0,0.44999999999999996,context_split,global_downweight
