seed,truth,selected,truth_probability,posterior,maximum_update_identity_error,maximum_decomposition_error
777195,cue_local_relearning,cue_local_relearning,0.9356988650220633,"[0.028398844035780482, 0.9356988650220633, 4.497848069971334e-09, 0.03590228644430811, 8.208013853490318e-19]",9.769962616701378e-15,2.842170943040401e-14
777196,cue_local_relearning,cue_local_relearning,0.7829131957997104,"[0.2091371047313337, 0.7829131957997104, 0.0026033768760425073, 0.005346322592913376, 7.446002169231745e-17]",8.881784197001252e-15,1.1368683772161603e-13
777197,cue_local_relearning,cue_local_relearning,0.6510956870167247,"[0.34255081340901256, 0.6510956870167247, 0.00025068123718959494, 0.006102818337073102, 4.6133034173360945e-23]",1.1546319456101628e-14,5.684341886080802e-14
777198,cue_local_relearning,cue_local_relearning,0.5514841339398258,"[0.4454458580485217, 0.5514841339398258, 1.8838350544680732e-10, 0.0030700078232691183, 5.486532968277289e-25]",1.1546319456101628e-14,8.526512829121202e-14
777199,cue_local_relearning,global_downweight,0.1294000865513661,"[0.8409315545831696, 0.1294000865513661, 6.216494421867886e-08, 0.02966829670052022, 5.026191057620217e-22]",1.509903313490213e-14,1.1368683772161603e-13
777200,context_split,context_split,0.99847486542065,"[1.8375004191665964e-13, 4.763408992591343e-08, 0.99847486542065, 1.6487400090653363e-06, 0.001523438205067286]",6.217248937900877e-15,5.684341886080802e-14
777201,context_split,context_split,0.9937946317066922,"[8.437003052575866e-06, 0.005049852912721292, 0.9937946317066922, 0.0009925914829435542, 0.00015448689459032276]",2.220446049250313e-15,5.684341886080802e-14
777202,context_split,context_split,0.9999862415623944,"[4.2628762308013626e-08, 8.751241907795156e-06, 0.9999862415623944, 4.96456692526539e-06, 1.0210078343029158e-14]",1.0658141036401503e-14,8.526512829121202e-14
777203,context_split,context_split,0.9999995631775599,"[5.872159160530798e-09, 6.921631649752543e-08, 0.9999995631775599, 3.617339643491715e-07, 4.925198989902822e-24]",1.1546319456101628e-14,5.684341886080802e-14
777204,context_split,context_split,0.9993807653961361,"[2.9611721152333774e-06, 3.867311646579217e-05, 0.9993807653961361, 0.0005776003152829798, 9.855081196665578e-32]",2.042810365310288e-14,5.684341886080802e-14
777205,context_split,context_split,0.9993504435977234,"[6.365027420444324e-05, 0.00029219679504076054, 0.9993504435977234, 0.0002937093330313605, 1.9986693408459974e-17]",9.769962616701378e-15,5.684341886080802e-14
777206,context_split,context_split,0.9931004860237911,"[5.822084239743265e-06, 0.0015267955527178997, 0.9931004860237911, 0.005366896339251176, 9.66066929756513e-19]",1.176836406102666e-14,5.684341886080802e-14
777207,context_split,context_split,0.9999997095587958,"[2.1700187047343854e-07, 1.2655356955766551e-08, 0.9999997095587958, 5.843732756566564e-08, 2.346649301932723e-09]",5.329070518200751e-15,5.684341886080802e-14
777208,context_split,context_split,0.9999879888440945,"[8.467941968841728e-06, 1.9464350242113133e-07, 0.9999879888440945, 3.3471872458128485e-06, 1.3831884910315328e-09]",5.10702591327572e-15,2.842170943040401e-14
777209,context_split,context_split,0.9999946245083157,"[6.053080650073954e-10, 3.6527104550834674e-07, 0.9999946245083157, 5.009615330776311e-06, 1.142500655442083e-29]",1.4210854715202004e-14,2.842170943040401e-14
777210,context_split,context_split,0.9999997748151593,"[6.549149601976619e-10, 1.613819576694874e-07, 0.9999997748151593, 6.314796775936717e-08, 1.8432165831445387e-16]",1.1546319456101628e-14,5.684341886080802e-14
777211,context_split,context_split,0.9999256354903744,"[3.5196631640407316e-05, 3.6235862999741637e-05, 0.9999256354903744, 2.9320149855257805e-06, 2.875058541140475e-18]",7.549516567451064e-15,5.684341886080802e-14
777212,context_split,context_split,0.9699657021499092,"[0.02534956727923872, 0.0012408270247570687, 0.9699657021499092, 0.0034431109700831003, 7.925760119364092e-07]",3.6637359812630166e-15,1.1368683772161603e-13
777213,context_split,context_split,0.991178616917912,"[0.007664131975057837, 0.00024100958547705804, 0.991178616917912, 0.0009162415215529487, 3.255074536696002e-16]",7.105427357601002e-15,8.526512829121202e-14
777214,context_split,context_split,0.9303105514264566,"[5.720239664160886e-09, 1.375612324423344e-05, 0.9303105514264566, 4.436823842830873e-06, 0.06967124990621659]",4.884981308350689e-15,8.526512829121202e-14
777215,context_split,context_split,0.9999949050578141,"[7.967055348840655e-07, 2.899326098583198e-07, 0.9999949050578141, 4.008304032512909e-06, 8.587560188615696e-15]",6.661338147750939e-15,5.684341886080802e-14
777216,context_split,context_split,0.99997773813259,"[9.037329943299157e-09, 1.308594149570521e-06, 0.99997773813259, 2.094423593050883e-05, 1.721998962991146e-23]",1.0658141036401503e-14,5.684341886080802e-14
777217,context_split,context_split,0.9999971882739643,"[1.3345900174404082e-06, 1.9207598679535423e-07, 0.9999971882739643, 1.2850600308087772e-06, 5.011844218067561e-16]",7.105427357601002e-15,2.842170943040401e-14
777218,context_split,context_split,0.9999997348752446,"[2.1211802181087472e-07, 2.213458628449295e-09, 0.9999997348752446, 5.079314271236628e-08, 1.3238041418852766e-13]",4.440892098500626e-15,8.526512829121202e-14
777219,context_split,context_split,0.9999997642919329,"[5.529852519731196e-15, 4.0496930751972274e-10, 0.9999997642919329, 2.3530309222539765e-07, 9.483265790344009e-17]",8.881784197001252e-15,1.1368683772161603e-13
777220,context_split,context_split,0.9995786556475362,"[0.0003829568206155794, 2.8289094199446125e-05, 0.9995786556475362, 1.0098437648532403e-05, 2.0268977811979023e-16]",8.881784197001252e-15,5.684341886080802e-14
777221,context_split,context_split,0.9978974070707528,"[1.5959637896797412e-08, 1.3329433270139204e-05, 0.9978974070707528, 0.0020892475363392675, 4.796401293009497e-18]",6.217248937900877e-15,5.684341886080802e-14
777222,context_split,context_split,0.9999819428629375,"[5.9900512311099535e-09, 1.3114085559921547e-06, 0.9999819428629375, 1.6739738455322682e-05, 1.262509271616476e-27]",1.1546319456101628e-14,5.684341886080802e-14
777223,context_split,context_split,0.9999810849683659,"[7.420911222793023e-09, 1.1029226449734573e-05, 0.9999810849683659, 7.081542185173081e-06, 7.968420879108298e-07]",3.552713678800501e-15,8.526512829121202e-14
777224,context_split,context_split,0.9990224878845948,"[2.6134325022181838e-05, 0.000690939507081326, 0.9990224878845948, 1.5788350135194752e-05, 0.000244649933166519]",3.3306690738754696e-15,8.526512829121202e-14
777225,context_split,context_split,0.999835723146077,"[7.423423502213878e-06, 6.9480497629119425e-09, 0.999835723146077, 6.330148507796224e-06, 0.00015051633386312316]",3.885780586188048e-15,1.1368683772161603e-13
777226,context_split,context_split,0.9993732756396132,"[2.5898437995590994e-07, 9.401589105069677e-05, 0.9993732756396132, 0.0005324494641846502, 2.0771519128745264e-11]",5.773159728050814e-15,2.842170943040401e-14
777227,context_split,context_split,0.9998282725572586,"[0.00016211461496435837, 8.461999682787306e-06, 0.9998282725572586, 1.1508280940115536e-06, 1.6356440868890037e-16]",6.8833827526759706e-15,8.526512829121202e-14
777228,context_split,context_split,0.9999612007180136,"[7.327943611444603e-10, 6.494842120525593e-06, 0.9999612007180136, 3.2303704800788416e-05, 2.2706198575128778e-12]",6.439293542825908e-15,8.526512829121202e-14
777229,context_split,context_split,0.9498186615303182,"[0.014596231457267942, 0.0007417442775900804, 0.9498186615303182, 0.0004161142833919773, 0.034427248451431594]",2.220446049250313e-15,5.684341886080802e-14
777230,context_split,context_split,0.9989278510104751,"[4.049876670716242e-06, 0.0005524602759471012, 0.9989278510104751, 0.0005156388369072145, 4.402410606696652e-24]",1.0880185641326534e-14,5.684341886080802e-14
777231,context_split,context_split,0.98874732809623,"[2.8957834798309798e-05, 0.0023593540153617125, 0.98874732809623, 0.008864360053609913, 1.5463814624390644e-21]",1.0658141036401503e-14,5.684341886080802e-14
777232,context_split,context_split,0.9999999547565885,"[1.9076873655508097e-12, 1.2865393557803067e-09, 0.9999999547565885, 4.39549644011252e-08, 4.3889502410223956e-20]",9.769962616701378e-15,5.684341886080802e-14
777233,context_split,change_point,0.41797879511343405,"[3.2417535005175123e-07, 2.7359720530859477e-09, 0.41797879511343405, 1.6664144678655053e-07, 0.582020711333797]",6.217248937900877e-15,8.526512829121202e-14
777234,context_split,context_split,0.9999523448964467,"[4.410336040638432e-05, 1.4371302840972228e-06, 0.9999523448964467, 2.0897059064981406e-06, 2.490695643337762e-08]",3.552713678800501e-15,8.526512829121202e-14
777235,context_split,context_split,0.9998938660813738,"[4.147602011006786e-09, 9.454679374209222e-06, 0.9998938660813738, 9.667509164986115e-05, 4.748433355560439e-19]",1.0658141036401503e-14,5.684341886080802e-14
777236,context_split,context_split,0.9999966390665412,"[3.6004983277523445e-08, 2.32351670923423e-07, 0.9999966390665412, 3.0925768044818245e-06, 6.293087369112397e-21]",1.2656542480726785e-14,5.684341886080802e-14
777237,context_split,change_point,0.0038930456781218524,"[5.220450490983939e-17, 1.3123801289413643e-12, 0.0038930456781218524, 1.1186865750123875e-06, 0.9961058356339908]",7.105427357601002e-15,5.684341886080802e-14
777238,context_split,context_split,0.9999999908909637,"[5.078473834579829e-10, 8.04641802963274e-09, 0.9999999908909637, 5.547707962147466e-10, 1.516128063800887e-23]",1.4210854715202004e-14,5.684341886080802e-14
777239,context_split,context_split,0.9962322967006357,"[0.0006726754163860638, 5.347097989460713e-06, 0.9962322967006357, 0.00041526935661083305, 0.0026744114283777636]",2.220446049250313e-15,1.1368683772161603e-13
777240,context_split,context_split,0.9999999667050086,"[2.6385746351280074e-09, 1.7236244564421805e-08, 0.9999999667050086, 1.3420172362231243e-08, 5.415183502161675e-23]",9.769962616701378e-15,5.684341886080802e-14
777241,context_split,context_split,0.9999996174321522,"[2.2707575881121717e-11, 1.1144056329162455e-07, 0.9999996174321522, 2.711043572325654e-07, 2.1972450000424687e-13]",5.10702591327572e-15,1.1368683772161603e-13
777242,context_split,context_split,0.9999769551253928,"[1.3319113931637936e-15, 7.247281485080212e-10, 0.9999769551253928, 2.3044138993844227e-05, 1.0883933930526456e-11]",7.993605777301127e-15,8.526512829121202e-14
777243,context_split,context_split,0.9999959586015412,"[1.581938017900775e-06, 1.4842658986979234e-08, 0.9999959586015412, 2.4446177816022225e-06, 1.3152714378336437e-16]",9.769962616701378e-15,2.842170943040401e-14
777244,context_split,context_split,0.9999990878738099,"[9.32655867179587e-11, 6.42492722521905e-07, 0.9999990878738099, 2.6944355228503784e-07, 9.664977409500692e-11]",6.217248937900877e-15,8.526512829121202e-14
777245,context_split,context_split,0.9998973907073835,"[9.938946259303841e-05, 1.8423144467297591e-06, 0.9998973907073835, 1.3760639376393432e-06, 1.4516390469194033e-09]",3.552713678800501e-15,5.684341886080802e-14
777246,context_split,context_split,0.999997722560156,"[5.970843255919418e-07, 1.448292924481895e-06, 0.999997722560156, 2.3206259394328774e-07, 1.6613106515851768e-19]",9.769962616701378e-15,1.1368683772161603e-13
777247,context_split,context_split,0.9999897907848282,"[7.5175246557926846e-06, 1.514425436363576e-06, 0.9999897907848282, 1.1772650796646672e-06, 5.096469340606896e-17]",1.0658141036401503e-14,2.842170943040401e-14
777248,context_split,context_split,0.9999787873369145,"[1.6684945377897284e-06, 9.466968801210305e-08, 0.9999787873369145, 1.944949884166592e-05, 1.8008468750099037e-14]",7.105427357601002e-15,5.684341886080802e-14
777249,context_split,context_split,0.9997113392368426,"[6.414049495383717e-07, 1.8390966972671092e-05, 0.9997113392368426, 0.00026962839123501926, 3.536745850263449e-29]",1.509903313490213e-14,5.684341886080802e-14
777250,context_split,context_split,0.9413674126655294,"[0.012762402298559206, 0.0021261560816278917, 0.9413674126655294, 0.005292743827376639, 0.03845128512690703]",2.220446049250313e-15,8.526512829121202e-14
777251,context_split,context_split,0.9999944653182546,"[3.332005713460578e-08, 5.412361979084543e-06, 0.9999944653182546, 8.899954271607687e-08, 1.6624122436967558e-13]",7.105427357601002e-15,5.684341886080802e-14
777252,context_split,context_split,0.9999862463068037,"[1.2317815518764963e-05, 5.099524322872262e-07, 0.9999862463068037, 9.259252270345812e-07, 1.817220388899425e-14]",6.217248937900877e-15,5.684341886080802e-14
777253,context_split,context_split,0.9997992883480498,"[9.426028485394063e-13, 7.91418256387197e-08, 0.9997992883480498, 0.00012803107289557138, 7.260143628639454e-05]",5.329070518200751e-15,5.684341886080802e-14
777254,context_split,context_split,0.9999703582779834,"[2.3857307767739394e-07, 2.8057984238724026e-05, 0.9999703582779834, 1.3451646881951183e-06, 1.1986538230960646e-14]",7.549516567451064e-15,5.684341886080802e-14
