meta_state,gamma_min,gamma_max,gamma_l2_lr,policy_horizon,stable,dwell_times,precision_sign_changes,precision_amplitude,mean_dwell,max_dwell,refocus_count,policy_switches,gamma_l2_min,gamma_l2_max
low,0.5,8.0,1.2,1,False,3;1;1,11,7.5,1.6666666666666667,3.0,0,0,0.5,8.0
high,0.5,8.0,1.2,3,False,1;1;1,12,5.3999999999999995,1.0,1.0,3,6,0.5,5.8999999999999995
low,0.5,8.0,1.2,3,False,3;3;3,11,7.5,3.0,3.0,3,6,0.5,8.0
high,0.5,8.0,1.2,5,False,1;1;1,12,5.3999999999999995,1.0,1.0,3,6,0.5,5.8999999999999995
low,0.5,8.0,1.2,5,False,3;3;3,11,7.5,3.0,3.0,9,6,0.5,8.0
high,0.5,8.0,1.2,8,False,1;1;1,12,5.3999999999999995,1.0,1.0,3,6,0.5,5.8999999999999995
low,0.5,8.0,1.2,8,False,3;3;3,11,7.5,3.0,3.0,9,6,0.5,8.0
high,0.5,8.0,1.2,12,False,1;1;1,12,5.3999999999999995,1.0,1.0,3,6,0.5,5.8999999999999995
low,0.5,8.0,1.2,12,False,3;3;3,11,7.5,3.0,3.0,15,6,0.5,8.0
high,0.5,8.0,1.8,1,False,1;1;1,40,7.5,1.0,1.0,0,0,0.5,8.0
low,0.5,8.0,1.8,1,False,3;1;1,40,7.5,1.6666666666666667,3.0,0,0,0.5,8.0
high,0.5,8.0,1.8,3,False,1;1;1,40,7.5,1.0,1.0,3,6,0.5,8.0
low,0.5,8.0,1.8,3,False,3;3;3,40,7.5,3.0,3.0,3,6,0.5,8.0
high,0.5,8.0,1.8,5,False,1;1;1,40,7.5,1.0,1.0,3,6,0.5,8.0
low,0.5,8.0,1.8,5,False,3;3;3,40,7.5,3.0,3.0,9,6,0.5,8.0
high,0.5,8.0,1.8,8,False,1;1;1,40,7.5,1.0,1.0,3,6,0.5,8.0
low,0.5,8.0,1.8,8,False,3;3;3,40,7.5,3.0,3.0,9,6,0.5,8.0
