seed,episode,agent,phase,violation,probability_positive,correct,first_action,second_action,sample_packets,forecast_error,line_search_invariant
13001,13,full,training,false,0.6564207907992164,true,1,2,2,0.2898141694123202,true
13001,13,factorized_replay,training,false,0.3215821819252051,false,1,2,2,0.29060907580874595,true
13001,13,random,training,false,0.65713248800785,true,2,3,2,0.49920127378778895,true
13001,13,precision_blind,training,false,0.6561128924289957,true,1,2,2,0.30179255083906636,true
13001,14,full,training,false,0.8100362958737619,true,3,2,2,0.4409677344355451,true
13001,14,factorized_replay,training,false,0.6401118378323657,true,3,2,2,0.44110106894445633,true
13001,14,random,training,false,0.7298688039318904,true,1,2,2,0.49802739010569036,true
13001,14,precision_blind,training,false,0.7751092549767523,true,1,2,2,0.4377784087519652,true
13001,15,full,training,false,0.22636326223373646,true,3,2,2,0.7199945278942795,true
13001,15,factorized_replay,training,false,0.5066497145366722,false,3,2,2,0.7194039519952059,true
13001,15,random,training,false,0.14282420650277833,true,1,3,2,0.5204026874433105,true
13001,15,precision_blind,training,false,0.5966138396654707,false,1,2,2,0.7060567337678751,true
13001,16,full,training,false,0.8093212266594203,true,1,2,2,0.7097879518129128,true
13001,16,factorized_replay,training,false,0.6398572058885093,true,1,2,2,0.7098767579045417,true
13001,16,random,training,false,0.8065789633815814,true,1,2,2,0.5178072910108752,true
13001,16,precision_blind,training,false,0.809154131637683,true,2,1,2,0.7092631257778613,true
13001,17,full,training,false,0.1401913205690628,true,1,2,2,0.42828037621340304,true
13001,17,factorized_replay,training,false,0.4945779249848077,true,1,2,2,0.42875763562947133,true
