seed,model,episode_kind,episode_index,t,p_s1,p_s2,p_s3,p_s4,p_phi1,p_phi2,p_phi3,p_phi4
11,LocalPrecision,natural,1,14,0.00015071572675326943,0.0002966202097948828,0.9994092570831097,0.00014340698034230481,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,15,7.857414980551064e-5,7.729944088192836e-5,0.9997703447285705,7.378168074203942e-5,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,16,0.00031173685843160646,0.00014467894505025192,0.9993994653886916,0.00014411880782648641,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,17,0.00033185203538664695,0.00015012083824196733,0.9993694347081157,0.00014859241825548365,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,18,0.00032125623422441803,0.00016189459180104664,0.9993665917882442,0.0001502573857305892,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,19,0.00016315065135645866,0.0003352419935777128,0.9993486098892066,0.00015299746585940993,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,20,0.0001610258554886205,0.00036902024539331305,0.9993102194308952,0.00015973446822269065,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,21,0.00017630769662313838,0.0003780785431832844,0.9992678480982146,0.0001777656619786423,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,22,0.00017734050232569664,0.00016455099644697698,0.9994689995514098,0.00018910894981708924,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,23,0.0009850761076082028,0.000586401393162794,0.9971663644677868,0.0012621580314422884,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,24,0.007831754605071229,0.0034301841332855017,0.9849530239574203,0.0037850373042230684,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,1,0.002176591872541486,0.0014964443129016245,0.9948509756334635,0.0014759881810935173,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,2,0.0035457996291633894,0.0005856113715314645,0.9953134945536489,0.0005550944456560976,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,3,0.000708709993488364,0.00028438019851755654,0.9987774780261492,0.00022943178184499006,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,4,0.001286489430744561,0.0004813740280485814,0.99792295756759,0.0003091789736169573,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,5,0.014154810074661368,0.0024116313188585407,0.9820757890163151,0.0013577695901645184,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,6,0.8791909509203506,0.017521744938276816,0.09877209614784263,0.004515207993530035,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,7,0.8565861344608159,0.06039114943341961,0.07590930323481163,0.00711341287095335,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,8,0.22474393030905926,0.7333803666862403,0.031364188636361874,0.010511514368338326,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,9,0.12419766852740569,0.834509067846046,0.018383215560618085,0.022910048065930347,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,10,0.11299539953813707,0.8638850070841351,0.012425169193682604,0.010694424184045277,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,11,0.1873391344668971,0.7874808032058785,0.014717458579382307,0.010462603747842051,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,12,0.3381381689702179,0.6091555266373825,0.03429028249864027,0.018416021893759463,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,13,0.26805052539588653,0.6208819229536241,0.08275629570575638,0.02831125594473314,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,14,0.10896410835102778,0.7668854165228015,0.061330942747749015,0.06281953237842178,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,15,0.051769291250269,0.8583427472832665,0.06729569643418534,0.022592265032279082,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,16,0.03462572414940703,0.8965392271339666,0.05335771888383727,0.015477329832789167,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,17,0.042750435464479694,0.8627437871877828,0.07505963368845123,0.01944614365928604,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,18,0.031017033485822364,0.807373338878467,0.13418403092772196,0.02742559670798824,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,19,0.030903689886200715,0.7095958895088698,0.2111721907988174,0.04832822980611241,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,20,0.038984354244679414,0.6198075501947045,0.24373100157280306,0.09747709398781301,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,21,0.05445894734119198,0.42537919830201426,0.4122384446176718,0.10792340973912222,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,22,0.08824305475963631,0.39073171787572725,0.36793750799292,0.15308771937171642,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,23,0.07109832717476901,0.4200258159482874,0.20357324806766972,0.305302608809274,NaN,NaN,NaN,NaN
11,LocalPrecision,probe,1,24,0.07168928600449223,0.595499683326152,0.15469347572382575,0.17811755494553,NaN,NaN,NaN,NaN
11,BLTGlobal,natural,1,1,0.016083827988915368,0.05694024934674814,0.8973493409989339,0.029626581665402642,0.00830648817753925,0.01455282296305788,0.8960944635608533,0.08104622529854962
11,BLTGlobal,natural,1,2,0.01960715807642919,0.09982664107524312,0.8676395498069754,0.012926651041352226,0.005505993295405885,0.010210275581747731,0.9146531846500932,0.06963054647275328
11,BLTGlobal,natural,1,3,0.003961121780582496,0.9650987103896069,0.02820591063521024,0.002734257194600463,0.010800627335909228,0.006915819438528256,0.9426384609047561,0.03964509232080652
11,BLTGlobal,natural,1,4,0.0029338956330404644,0.9825238985377907,0.013330601858746648,0.0012116039704221822,0.007784611628594811,0.0018723646727105945,0.9639391083257165,0.02640391537297795
11,BLTGlobal,natural,1,5,0.002165903533620384,0.9642473253525928,0.031922520850717645,0.0016642502630691643,0.011725472223822772,0.0025395218385175066,0.9676320571116681,0.018102948825991647
11,BLTGlobal,natural,1,6,0.001283757281502998,0.019041582082025523,0.9783749889407218,0.0012996716957495956,0.010236541255432781,0.0020601144894977965,0.9786827100932017,0.009020634161867661
