seed,regime,dominance,depth,correct_2d,loss_2d,loss_1d,scalar_truth
702440,blended_capture,1.0,0.0,true,0.0002447899621578597,0.500182246432989,0.5
702440,self_led_witnessing,0.0,1.0,true,0.00011958585330216249,0.500056920373596,0.5
702440,known_urgent_threat,1.0,1.0,true,0.0006829453565165963,0.0006826908618127243,1.0
702441,quiet_narrowing,0.0,0.0,true,0.0004581802721016933,9.970167753980623e-5,0.0
702441,blended_capture,1.0,0.0,true,0.00027715855882391483,0.5000500309069935,0.5
702441,self_led_witnessing,0.0,1.0,true,0.00010910349204310436,0.5000007206756633,0.5
702441,known_urgent_threat,1.0,1.0,true,0.00017124543194991474,2.576187080291917e-6,1.0
702442,quiet_narrowing,0.0,0.0,true,0.0005222941490871009,0.00033535206569007103,0.0
702442,blended_capture,1.0,0.0,true,0.0004048759694639842,0.5002244519450192,0.5
702442,self_led_witnessing,0.0,1.0,true,0.00019910007165755626,0.5001880656037176,0.5
702442,known_urgent_threat,1.0,1.0,true,0.0013024366559448277,0.0012425559528257072,1.0
702443,quiet_narrowing,0.0,0.0,true,8.397840473217045e-5,1.1547538794930918e-6,0.0
702443,blended_capture,1.0,0.0,true,2.202047381312481e-5,0.5000215592966726,0.5
702443,self_led_witnessing,0.0,1.0,true,0.00028092457493626987,0.5000095130644627,0.5
702443,known_urgent_threat,1.0,1.0,true,0.000441849815309849,4.574060688984164e-5,1.0
702444,quiet_narrowing,0.0,0.0,true,0.00025812261281654117,0.00020210913867290808,0.0
702444,blended_capture,1.0,0.0,true,0.000595235999086517,0.5002866463525654,0.5
702444,self_led_witnessing,0.0,1.0,true,8.32155496382642e-5,0.500025837842244,0.5
702444,known_urgent_threat,1.0,1.0,true,0.00011048667943433047,7.090555329076947e-6,1.0
702445,quiet_narrowing,0.0,0.0,true,6.605348413191786e-5,1.0521208469859341e-6,0.0
702445,blended_capture,1.0,0.0,true,0.00010843977792748028,0.5000074441677136,0.5
