experiment,seed,iteration,phi_1,phi_2,phi_3,residual_1,residual_2,residual_3,global_state,free_energy_proxy
coordinated_global,8201,22,0.7596031044943947,0.7305697878575924,0.6249112129218011,0.4433127123008109,0.46170310800739534,0.37919487083784315,0.6249112129218011,7.06227820711034
coordinated_global,8201,23,0.7596031381859726,0.730569810170566,0.6249112364075807,0.4433126955551624,0.46170309792202147,0.3791948651068627,0.6249112364075807,7.062278232828063
coordinated_global,8201,24,0.7596031548953004,0.7305698212321802,0.6249112480534597,0.44331268724982886,0.46170309292274275,0.37919486226500876,0.6249112480534597,7.062278245580984
coordinated_global,8201,25,0.759603163182045,0.7305698267163084,0.6249112538283418,0.44331268313079364,0.4617030904444006,0.37919486085579523,0.6249112538283418,7.062278251904939
coordinated_global,8201,26,0.7596031672916418,0.7305698294353654,0.6249112566919708,0.4433126810880159,0.4617030892157033,0.37919486015699394,0.6249112566919708,7.062278255040884
coordinated_global,8201,27,0.7596031693296565,0.7305698307835381,0.6249112581119848,0.44331268007495117,0.46170308860651554,0.37919485981047096,0.6249112581119848,7.062278256595963
coordinated_global,8201,28,0.7596031703403263,0.7305698314520138,0.6249112588161427,0.44331267957255616,0.46170308830446805,0.3791948596386359,0.6249112588161427,7.062278257367086
coordinated_global,8201,29,0.7596031708415215,0.7305698317834777,0.6249112591653222,0.44331267932341384,0.46170308815470196,0.3791948595534253,0.6249112591653222,7.06227825774949
coordinated_global,8201,30,0.7596031710900636,0.7305698319478362,0.6249112593384741,0.44331267919986334,0.461703088080441,0.37919485951117154,0.6249112593384741,7.062278257939113
coordinated_global,8202,1,0.661198261670606,0.7302094134817256,0.5834935411929133,0.500433703339016,0.45434622456870416,0.44194622453772514,0.5834935411929133,6.91909231071913
coordinated_global,8202,2,0.7777794922859201,0.8599060274769947,0.6867713469973514,0.4430012220329801,0.39488531434514096,0.40501810705313396,0.6867713469973514,7.007106469929967
coordinated_global,8202,3,0.8359104085673086,0.9188664033330137,0.7358741469259417,0.4164766367343488,0.370810805044941,0.3932809195804759,0.7358741469259417,7.06385647859898
coordinated_global,8202,4,0.8658114789733685,0.9468864823613601,0.7601636612048863,0.40330160151637384,0.3600272302446814,0.3876404236315898,0.7601636612048863,7.094892172394687
coordinated_global,8202,5,0.8813890284880225,0.9605013531542685,0.7724056439145092,0.39653840510120264,0.35496373954506094,0.3848263985832523,0.7724056439145092,7.111205818551123
coordinated_global,8202,6,0.889540032163465,0.9672035438860498,0.7786344028594739,0.39301704997836995,0.352525894343721,0.38339783945276606,0.7786344028594739,7.1196529435574725
coordinated_global,8202,7,0.8938072548199101,0.9705318813076522,0.7818196377309132,0.3911741969727298,0.3513344083484324,0.3826665364595007,0.7818196377309132,7.124000032942646
coordinated_global,8202,8,0.89603862085478,0.9721955743695084,0.7834530496101855,0.390208975265308,0.350746133257324,0.38229065652257005,0.7834530496101855,7.126231815543061
