seed,selected,heldout,transfer,raw_transfer,zero_association_transfer,historical_retention,present_indexing,shuffled_selected,fixed_selected
783727,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.14624788634197294, ""heldout_log_per_observation"": [-2.110595986781921, -2.16485994716042, -1.9643481004399481, -2.1983814233437062, -2.4400347745191002], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4225312068139326, 0.5165142002809919, 0.2997510067440455, 0.5317861563073755, 0.23032791222278917]}",0.39999999997450697,0.39999999997450697,0.0,0.0,0.39999999997450697,global_downweight,global_downweight
783728,context_split,"{""best_matched_comparator"": ""continuous_drift"", ""generating_family_margin"": 0.262597156064035, ""heldout_log_per_observation"": [-2.1533249746156704, -2.067051138272988, -1.7203438943076597, -1.9829410503716947, -2.8118293270659587], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3022139726261155, 0.39145833462172913, 0.30813157046321055, 0.39196958057255443, 0.09639985670540989]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783729,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.05832477227953525, ""heldout_log_per_observation"": [-1.2597122960810347, -1.3149630196444733, -1.2488017846942157, -1.3432887150437338, -1.1904770124146804], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3018253507959711, 0.4027232236121842, 0.27444458841970526, 0.422023325886451, 0.25826489222410154]}",0.3999999997705622,0.3999999997705622,0.0,0.0,0.3999999997705622,cue_local_relearning,context_split
783730,context_split,"{""best_matched_comparator"": ""continuous_drift"", ""generating_family_margin"": 0.006120752966660703, ""heldout_log_per_observation"": [-2.2795827594474343, -2.0787738575368317, -2.026982286152621, -2.0331030391192817, -2.0739318391183925], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4268390778752827, 0.5339403556318755, 0.46307366875568917, 0.5405378905687039, 0.3757088982055552]}",0.4,0.4,0.0,0.0,0.4,cue_local_relearning,context_split
783731,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.062217788245385375, ""heldout_log_per_observation"": [-1.1029730785348182, -1.109300140400852, -0.9953978680810769, -1.112781714460338, -0.9331800798356915], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 7.105427357601002e-15, ""preheldout_complexity_per_observation"": [0.261452778080959, 0.3609658016007802, 0.24959089673196175, 0.3397287627187722, 0.18534501019582691]}",0.39987808594940577,0.39987808594940577,0.0,0.0,0.39987808594940577,change_point,continuous_drift
783732,context_split,"{""best_matched_comparator"": ""continuous_drift"", ""generating_family_margin"": 0.11821104138448835, ""heldout_log_per_observation"": [-2.031082373531617, -1.8735219962137215, -1.7436920996602456, -1.861903141044734, -1.8844016588504457], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4026901211102785, 0.5005013398432901, 0.4083316600318096, 0.5116892080542913, 0.3174411430330754]}",0.39999999997450697,0.39999999997450697,0.0,0.0,0.39999999997450697,global_downweight,cue_local_relearning
783733,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.28542142447867214, ""heldout_log_per_observation"": [-2.0466926098680522, -2.0650224580634937, -1.76127118538938, -2.1527809613189293, -2.2328876342204538], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.34454552244426545, 0.43906704658037005, 0.2146826760732408, 0.4203138522308661, 0.09033600228597484]}",0.39998645215918716,0.39998645215918716,0.0,0.0,0.39998645215918716,context_split,global_downweight
783734,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.0711434767309278, ""heldout_log_per_observation"": [-1.0880742897232079, -1.1348443937498693, -1.01693081299228, -1.2033060924413235, -4.0200447686534115], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.26673846103375415, 0.3609058681936885, 0.23684054351391257, 0.36322202141469645, 0.034572106755169814]}",0.4,0.4,0.0,0.0,0.4,context_split,global_downweight
783735,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.11144303735232963, ""heldout_log_per_observation"": [-1.3783423466855762, -1.4037722934043746, -1.2668993093332466, -1.447602889863326, -1.6214620236476653], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3278409625130507, 0.4157967435892162, 0.2739379680462731, 0.4326509666177434, 0.12336330544398817]}",0.39987808594940577,0.39987808594940577,0.0,0.0,0.39987808594940577,change_point,global_downweight
783736,change_point,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.049072190131624005, ""heldout_log_per_observation"": [-1.2872210870518614, -1.3335541351932267, -1.2059588022232868, -1.3653389892000147, -1.1568866120916628], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3585457013938904, 0.45285361783749484, 0.23484931598786804, 0.44446762445961446, 0.15695880001279924]}",0.0,0.0,0.0,0.0,0.0,change_point,global_downweight
