seed,truth,heldout_log_per_observation,preheldout_complexity_per_observation,matched_comparators,best_matched_comparator,generating_family_margin,maximum_decomposition_error
783257,continuous_drift,"[-1.6732098664626056, -1.786275766636514, -2.303463230014069, -1.5914147609663285, -2.328604944097294]","[0.25281842748724187, 0.324942620348196, 0.21379921524305182, 0.3158355614317082, 0.23306997413684294]","[""global_downweight"", ""cue_local_relearning"", ""context_split"", ""change_point""]",global_downweight,0.08179510549627711,1.4210854715202004e-14
783258,continuous_drift,"[-2.297398419218889, -2.338641900312684, -2.451459242417525, -2.431088897152116, -3.79808382466796]","[0.25493056782592166, 0.3534991892734313, 0.15939647418235084, 0.3557405741180959, 0.06634727162302513]","[""global_downweight"", ""cue_local_relearning""]",global_downweight,-0.13369047793322686,2.842170943040401e-14
783259,continuous_drift,"[-1.7825875970795133, -1.9431507060489475, -2.6118521817404563, -1.5958986579138381, -2.652709336369343]","[0.2694980331089859, 0.3448117942498529, 0.22301351104575262, 0.34471390532297, 0.14070090224010545]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",global_downweight,0.1866889391656752,1.4210854715202004e-14
783260,continuous_drift,"[-2.1598584895623683, -2.150908048134582, -2.0866461000564565, -2.275427926688973, -2.9500550756190353]","[0.28361498975718785, 0.3728131911823907, 0.2952418296286687, 0.39444987390244596, 0.30102680296517603]","[""global_downweight"", ""cue_local_relearning"", ""context_split"", ""change_point""]",context_split,-0.18878182663251675,1.4210854715202004e-14
783261,continuous_drift,"[-2.006331870997288, -1.9974036099031611, -2.099794038469625, -2.0710178880952146, -2.2397044134357094]","[0.31915144525839373, 0.40625366917181965, 0.22479370623957817, 0.39069186827516905, 0.020168926773868542]","[""global_downweight"", ""cue_local_relearning""]",cue_local_relearning,-0.07361427819205346,1.4210854715202004e-14
783262,continuous_drift,"[-1.7146745621965316, -1.822322234799028, -1.6695851099265946, -1.7355949191862212, -3.2554852624115824]","[0.31169585470725686, 0.39942653118770327, 0.3526596317180873, 0.41001699999595614, 0.15168206929003733]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",context_split,-0.06600980925962663,1.4210854715202004e-14
783263,continuous_drift,"[-1.6494209927525443, -1.6752432970180182, -1.9129114461550278, -1.6515125475196024, -1.856028141287542]","[0.3592071910557626, 0.4285344511520616, 0.2885058019493833, 0.3893365199209495, 0.22210237651636197]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",global_downweight,-0.0020915547670581347,1.4210854715202004e-14
783264,continuous_drift,"[-2.1705406058078474, -1.9255701762827364, -2.153800181256897, -1.767890809811833, -2.247784920690018]","[0.2327010488840742, 0.30261330979456225, 0.24063046161010856, 0.3189835017770713, 0.14663375116367156]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",cue_local_relearning,0.1576793664709033,1.4210854715202004e-14
783265,continuous_drift,"[-1.8501285232847247, -1.9406629001005156, -2.4259494211166555, -1.8414546363371302, -2.2146023981601903]","[0.30515108651588346, 0.39406476282600494, 0.30296729100705383, 0.39079278315420324, 0.24959014733091198]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",global_downweight,0.008673886947594411,2.1316282072803006e-14
783266,continuous_drift,"[-2.0181314623830016, -1.8975477902235571, -2.1447947948765407, -1.909396649769051, -2.611662846193253]","[0.21353227343597248, 0.28870773050479354, 0.15270354413726073, 0.27298147026700875, 0.08240108875935893]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",cue_local_relearning,-0.011848859545493973,1.4210854715202004e-14
783267,continuous_drift,"[-2.433975461107126, -2.3081621973497795, -2.3069220438559688, -2.2235230891024207, -3.1391340823674074]","[0.3325428051421548, 0.4273948455052304, 0.2086467459500909, 0.39452636374844935, 0.07125346410138604]","[""global_downweight"", ""cue_local_relearning""]",cue_local_relearning,0.08463910824735876,2.842170943040401e-14
783268,continuous_drift,"[-1.7467477483913498, -1.8953359339038833, -1.7030621310024046, -1.5225360833219703, -1.723112277496333]","[0.296649325942493, 0.3642305184758032, 0.2088937334435342, 0.3411690438191746, 0.1356404407823753]","[""global_downweight"", ""cue_local_relearning""]",global_downweight,0.2242116650693795,1.4210854715202004e-14
783269,continuous_drift,"[-1.9565640083852216, -2.1226559102669036, -2.1279138757371223, -1.8287384640103248, -2.702330301482905]","[0.22561813336459746, 0.31017438672033243, 0.21196680595809977, 0.30704895684701067, 0.12754090183610217]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",global_downweight,0.1278255443748968,1.4210854715202004e-14
