seed,truth,nearest_family,nearest_complexity_gap,complexity_per_observation
781114,cue_local_relearning,continuous_drift,0.011043576586767023,"[0.26757525757755557, 0.3493818112076033, 0.24239128711569316, 0.36042538779437033, 0.04911414128690556]"
781115,cue_local_relearning,continuous_drift,0.010757576303394467,"[0.4417211658483166, 0.5227511633755483, 0.4295563547897683, 0.5335087396789427, 0.3451568086507694]"
781116,cue_local_relearning,continuous_drift,0.025421358903615632,"[0.297898502136501, 0.36176256388094324, 0.20537569899957975, 0.3871839227845589, 0.06357435540058222]"
781117,cue_local_relearning,continuous_drift,0.028239880335181988,"[0.23070764354882103, 0.3116718980924769, 0.25038979914428344, 0.3399117784276589, 0.16480659955790414]"
781118,cue_local_relearning,continuous_drift,0.01397930035404954,"[0.2900518608224007, 0.3573266125562545, 0.220479042249042, 0.371305912910304, 0.04522654476632019]"
781119,cue_local_relearning,continuous_drift,0.011817078826564131,"[0.2517613167169963, 0.3359064350908951, 0.18617799987618155, 0.32408935626433094, 0.0810577275939109]"
781120,cue_local_relearning,continuous_drift,0.018319973941849976,"[0.27624708365243517, 0.3595039490250276, 0.2121923260807603, 0.37782392296687756, 0.1386722104223015]"
781121,cue_local_relearning,continuous_drift,0.03270004244984781,"[0.24755059228702933, 0.32415998051362876, 0.19373364626500186, 0.29145993806378095, 0.09183464786744595]"
781122,cue_local_relearning,continuous_drift,0.01432050722977618,"[0.3091013433768351, 0.394407374606406, 0.27349266274476586, 0.4087278818361822, 0.07872066454281758]"
781123,cue_local_relearning,continuous_drift,0.02130613650035884,"[0.27106136294929833, 0.3441134055113191, 0.22898727585750736, 0.3654195420116779, 0.11003680002130857]"
781124,cue_local_relearning,continuous_drift,0.01934793308473759,"[0.2736536264172719, 0.35779299772726375, 0.21652719038162768, 0.37714093081200134, 0.09672929873127577]"
781125,cue_local_relearning,continuous_drift,0.012647238246333459,"[0.2611494967770581, 0.33718114177272634, 0.16936595507797483, 0.3498283800190598, 0.06372829528088096]"
781126,cue_local_relearning,continuous_drift,0.007140892914283881,"[0.25897242179044266, 0.3242940555322497, 0.2062671999662977, 0.3314349484465336, 0.19906677359218514]"
781127,cue_local_relearning,continuous_drift,0.026474055542166253,"[0.3234544906557593, 0.4007933007536942, 0.22474209813844417, 0.42726735629586043, 0.08911530644107395]"
781128,cue_local_relearning,continuous_drift,0.021084317055996116,"[0.3519573609628615, 0.4195423693731763, 0.3625744672234328, 0.4406266864291724, 0.3275896353516204]"
781129,cue_local_relearning,continuous_drift,0.02054387893630405,"[0.26547952642875233, 0.3418289202681933, 0.17946430942724725, 0.36237279920449733, 0.029011161626613807]"
781130,cue_local_relearning,continuous_drift,0.003540753300217525,"[0.2906707137908932, 0.3832179709453611, 0.23846451424420687, 0.3867587242455786, 0.169706037762451]"
781131,cue_local_relearning,continuous_drift,0.0038520640210061574,"[0.1724661162531996, 0.2520975812292981, 0.11300263875313382, 0.24824551720829194, 0.07638614327653011]"
781132,cue_local_relearning,continuous_drift,0.008163527241736634,"[0.3183507753218448, 0.40777175194959986, 0.361200737550738, 0.4159352791913365, 0.1795765012384316]"
781133,cue_local_relearning,continuous_drift,0.031272572915298724,"[0.27167588873034554, 0.3492837309704831, 0.2461740619281263, 0.3805563038857818, 0.02743616281684379]"
781134,cue_local_relearning,continuous_drift,0.00019589774981465524,"[0.2920851349908644, 0.3762855549795794, 0.2516664059164358, 0.37648145272939404, 0.07322041614465861]"
781135,cue_local_relearning,continuous_drift,0.023790846328816118,"[0.3142700055375787, 0.3898383444587458, 0.3653384698056102, 0.41362919078756194, 0.18109202948011324]"
781136,cue_local_relearning,continuous_drift,0.005288385862404765,"[0.33468083353182326, 0.42759483411999005, 0.2879518788786096, 0.4223064482575853, 0.07311841073537272]"
781137,cue_local_relearning,continuous_drift,0.01464889508471956,"[0.2629202528767565, 0.3605423541242058, 0.21329399628311288, 0.3751912492089254, 0.13919056054336804]"
781138,cue_local_relearning,continuous_drift,0.020115463298366942,"[0.3206674011992576, 0.4139932294955086, 0.23266129410694916, 0.43410869279387554, 0.16474865595446977]"
781139,cue_local_relearning,continuous_drift,0.012432032827246475,"[0.2584555589551144, 0.3404092869954474, 0.13495560709005824, 0.3528413198226939, 0.030838547593970884]"
781140,cue_local_relearning,continuous_drift,0.012383970674239742,"[0.24372485253526477, 0.33203128288342665, 0.16470079565104626, 0.3444152535576664, 0.03138321145327037]"
781141,cue_local_relearning,continuous_drift,0.028616120409670487,"[0.273927984442444, 0.33786522617980985, 0.18855623122406065, 0.36648134658948034, 0.07564864343228389]"
781142,cue_local_relearning,continuous_drift,0.015073784149305824,"[0.26736878687759325, 0.34208977261674817, 0.27089334924842345, 0.32701598846744234, 0.07358476798395085]"
781143,cue_local_relearning,continuous_drift,0.027311965371962676,"[0.25605198245699573, 0.3320603498503915, 0.19548844060551285, 0.3593723152223542, 0.13158714839904728]"
781144,cue_local_relearning,continuous_drift,0.0025071147756406953,"[0.3002387395626722, 0.37250366451213873, 0.20817837406929152, 0.3750107792877794, 0.0691738306901531]"
781145,cue_local_relearning,continuous_drift,0.02302144096044928,"[0.3731620204633473, 0.4498432417337092, 0.30116080550228025, 0.4728646826941585, 0.28821880117987314]"
781146,cue_local_relearning,continuous_drift,0.01837671716785988,"[0.19326824657335848, 0.264057739879437, 0.11070918507291683, 0.2456810227115771, 0.02841440452248513]"
781147,cue_local_relearning,continuous_drift,0.0053304660476016785,"[0.32735386507013897, 0.40211237825658164, 0.24387965436612416, 0.4074428443041833, 0.16807373454158495]"
781148,cue_local_relearning,continuous_drift,0.0035860284133368836,"[0.24788193223810254, 0.333845219130568, 0.16790512480742129, 0.33025919071723114, 0.1493600554038076]"
781149,cue_local_relearning,continuous_drift,0.01897716399708177,"[0.3286102370829059, 0.40289171687091185, 0.3303404839993612, 0.4218688808679936, 0.2681951766567851]"
781150,cue_local_relearning,continuous_drift,0.002624410417378986,"[0.29230086767278823, 0.37458827189174765, 0.22285804691866995, 0.37721268230912663, 0.07788149002522025]"
781151,cue_local_relearning,continuous_drift,0.010542099215170575,"[0.24906744699039776, 0.323840488032397, 0.1773225140174627, 0.3343825872475676, 0.14795398139635624]"
781152,cue_local_relearning,continuous_drift,0.02580041833639568,"[0.3133055679019853, 0.39144406652066616, 0.3627317302215578, 0.41724448485706184, 0.24014643445214076]"
781153,cue_local_relearning,continuous_drift,0.03372809179571312,"[0.29971718449948753, 0.3711980676491787, 0.28443027369143575, 0.4049261594448918, 0.09345842074179506]"
781154,cue_local_relearning,continuous_drift,0.03431633186135591,"[0.30993550969426104, 0.38660959519565163, 0.33808261467403017, 0.42092592705700754, 0.16446302651384695]"
781155,cue_local_relearning,continuous_drift,0.006904667708631906,"[0.23075498529527627, 0.3105312157910814, 0.17064171073344578, 0.3174358834997133, 0.12280101897238994]"
781156,cue_local_relearning,continuous_drift,0.015950306340859366,"[0.2712685908677061, 0.35738560922112467, 0.21023399776819338, 0.37333591556198403, 0.1561242954095002]"
781157,cue_local_relearning,continuous_drift,0.0070221750735484645,"[0.23586655769954964, 0.3182295349436179, 0.19412522211375807, 0.32525171001716635, 0.1538917880967722]"
781158,cue_local_relearning,continuous_drift,0.02483986237767355,"[0.260524448081975, 0.3495280520772421, 0.2842586084550925, 0.37436791445491563, 0.07538862046411347]"
781159,cue_local_relearning,continuous_drift,0.02384456752682773,"[0.37118962937207295, 0.438148777048146, 0.3556236429510353, 0.4619933445749737, 0.05455741420591894]"
781160,cue_local_relearning,continuous_drift,0.026976402181311476,"[0.2666744960848015, 0.3397646400884326, 0.19687634675885937, 0.3667410422697441, 0.19580492764808333]"
781161,cue_local_relearning,continuous_drift,0.022559710574348246,"[0.19155110490050128, 0.26367655697876974, 0.17108864231081755, 0.286236267553118, 0.13944105425452566]"
781162,cue_local_relearning,continuous_drift,0.018930863653403796,"[0.31651405274332295, 0.4073878603703582, 0.2634664188341967, 0.426318724023762, 0.04036986092876695]"
781163,cue_local_relearning,continuous_drift,0.007277511866691622,"[0.1805371688322297, 0.26123269067667104, 0.14361611923305093, 0.26851020254336266, 0.0445566146477413]"
781164,cue_local_relearning,continuous_drift,0.029030299465546472,"[0.2596801911183678, 0.3258918436091343, 0.14269540595313748, 0.3549221430746808, 0.03865332763731625]"
781165,cue_local_relearning,continuous_drift,0.016186887364117053,"[0.3200187117311037, 0.40779008629142705, 0.2583686550935878, 0.4239769736555441, 0.12665512833008127]"
781166,cue_local_relearning,continuous_drift,0.024286073329448044,"[0.2430879335557655, 0.3178459730069663, 0.2632882675454862, 0.34213204633641436, 0.0836302225395442]"
