seed,total_length,pre_length,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,T0,null_mean,null_sd,Q50,Q90,Q95,Q99,p_CRT,E_null,selective_material_redescription,p00,p01,p10,p11,switch_count,switch_rate,mean_dwell,max_dwell,occupancy_min_fraction,cue_context_mix_balance,realized_cue_outcome_contrast,marker_accuracy,marker_informative_count
790708,32,24,True,True,0.07258064516129031,0.9274193548387097,1.6775636046207603e-10,0.9999999998322437,466515065.8760318,19.960800873284377,0.0,5.040297917944013,2.418293754831039,2.0425552537209817,2.3969211519734195,5.155445392996538,5.740462202644785,6.816492945575797,0.11,-0.7001642847007723,False,0.8607400221089504,0.13925997789104966,0.19925128908641798,0.8007487109135821,3,0.13043478260869565,6.0,15,0.2916666666666667,0.2916666666666667,0.85,1.0,22
790708,64,48,True,True,0.02337662337662337,0.9766233766233766,1.093067086248158e-22,1.0,2.189817122288847e+20,46.83551989441834,0.0,4.223908516810704,4.042927339977699,3.498586982367396,4.150184121054446,8.619345916968774,9.640687690064034,11.704523323618663,0.496,-5.41677917325333,False,0.8607400221089504,0.13925997789104966,0.19925128908641798,0.8007487109135821,8,0.1702127659574468,5.333333333333333,15,0.4375,0.4375,0.5773809523809524,0.975,40
790708,96,72,True,True,0.011392405063291136,0.9886075949367089,1.006295076231935e-26,1.0,1.1451598892022763e+24,55.39758650033907,0.0,12.461501984195143,6.232029672138903,4.331927532904492,6.2179105860473385,11.720425470942535,13.304643012524402,16.06280403159934,0.074,-0.8431410283292582,False,0.8607400221089504,0.13925997789104966,0.19925128908641798,0.8007487109135821,12,0.16901408450704225,5.538461538461538,15,0.3333333333333333,0.3333333333333333,0.5856227106227105,0.9310344827586207,58
790709,32,24,False,True,0.07258064516129031,0.9274193548387097,0.812194659562066,0.18780534043793395,0.018096412083760092,-4.012041587776578,0.0,-0.6706458913027005,-0.04783435440463437,0.6990770045563943,-0.16239324882840633,0.9758542463958785,1.4039723815374119,2.0576077124115897,0.821,-2.0746182728401124,False,0.6355670367575253,0.3644329632424747,0.02598338630278828,0.9740166136972117,0,0.0,24.0,24,0.0,0.0,0.0,0.9411764705882353,17
790709,64,48,False,True,0.02337662337662337,0.9766233766233766,0.03435145769496162,0.9656485423050385,0.6728659982808496,-0.3962090801866385,0.0,3.083369638697072,1.838790930358279,1.6681086208544875,1.8475099430910489,4.003991860997505,4.681940534273853,5.746740675537319,0.234,-1.5985708955767808,False,0.6355670367575253,0.3644329632424747,0.02598338630278828,0.9740166136972117,2,0.0425531914893617,16.0,44,0.0625,0.0625,0.426984126984127,0.9117647058823529,34
790709,96,72,False,True,0.011392405063291136,0.9886075949367089,0.03865788160363849,0.9613421183963615,0.28657044230993167,-1.2497709011119595,0.0,2.703317024601027,1.5530731772435347,1.9946073298692835,1.5342030907156543,4.11158377394707,5.083757976745359,6.573516696856932,0.272,-2.3804409521443315,False,0.6355670367575253,0.3644329632424747,0.02598338630278828,0.9740166136972117,2,0.028169014084507043,24.0,44,0.041666666666666664,0.041666666666666664,0.46515151515151515,0.9,50
790710,32,24,False,True,0.07258064516129031,0.9274193548387097,0.03416608487543416,0.9658339151245657,2.2123401709270722,0.7940508561615691,0.0,1.9638905993823987,0.9987780700471619,1.2014596895813354,0.8890617487049601,2.5792686275885717,3.1586502542177826,4.113943095527938,0.209,-1.1947596548353838,False,0.9673459157962082,0.032654084203791886,0.17717323795041767,0.8228267620495824,1,0.043478260869565216,12.0,23,0.041666666666666664,0.041666666666666664,0.5,0.8947368421052632,19
790710,64,48,False,True,0.02337662337662337,0.9766233766233766,0.04027590131862185,0.9597240986813781,0.5703688466609071,-0.5614720280269831,0.0,1.8792104174921753,0.30942306893075744,1.1891841679146435,0.16480428162896765,1.9659240957787163,2.5212104769079353,3.5535707717526392,0.111,-0.64200005941576,False,0.9673459157962082,0.032654084203791886,0.17717323795041767,0.8228267620495824,1,0.02127659574468085,24.0,47,0.020833333333333332,0.020833333333333332,0.6923076923076923,0.9166666666666666,36
790710,96,72,False,True,0.011392405063291136,0.9886075949367089,0.046953289277726094,0.953046710722274,0.23390507273245506,-1.4528399180151412,0.0,1.3779888671931462,-0.6921372753247728,1.101215728245259,-0.8726860249627648,0.7388082757691694,1.4332328566005836,2.985163197178996,0.053,-0.055243989407437466,False,0.9673459157962082,0.032654084203791886,0.17717323795041767,0.8228267620495824,1,0.014084507042253521,36.0,71,0.013888888888888888,0.013888888888888888,0.8,0.9259259259259259,54
790711,32,24,True,True,0.07258064516129031,0.9274193548387097,0.0031866591799561556,0.9968133408200438,24.480647110764878,3.1978828915580175,0.0,2.04268244512916,-1.1115254538044435,1.6614104398270184,-1.0664282168537556,0.8884262895496473,1.528268575797125,2.5744568808899895,0.031,0.5144138693320348,True,0.8801454526383883,0.11985454736161176,0.30856917145124896,0.691430828548751,4,0.17391304347826086,4.8,14,0.20833333333333334,0.20833333333333334,0.41269841269841273,1.0,14
