seed,total_length,pre_length,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,T0,null_mean,null_sd,Q50,Q90,Q95,Q99,p_CRT,E_null,selective_material_redescription,p00,p01,p10,p11,switch_count,switch_rate,mean_dwell,max_dwell,occupancy_min_fraction,cue_context_mix_balance,realized_cue_outcome_contrast,marker_accuracy,marker_informative_count
790718,96,72,False,False,0.011392405063291136,0.9886075949367089,0.5269946109112811,0.473005389088719,0.010343115877601415,-4.571434113168477,0.0,-1.740247470111526,-0.8876648921442354,1.0544399426898066,-1.1066040419078844,0.41700891359053327,1.1854501112528875,2.6098533887019073,0.812,-2.9256975813644135,False,0.9834375314025071,0.01656246859749279,0.2108741607580723,0.7891258392419276,0,0.0,72.0,72,0.0,0.0,0.0,0.9107142857142857,56
790719,96,72,True,True,0.011392405063291136,0.9886075949367089,8.76259681584436e-26,1.0,1.3150996014319283e+23,53.23336954415824,0.0,9.063009701855192,3.413092096256375,4.284307294512578,3.3108227101024346,8.974059106281207,10.720482212697979,13.771498117802043,0.099,-1.657472510842787,False,0.6016039060629172,0.39839609393708275,0.2977136846686389,0.7022863153313611,20,0.28169014084507044,3.4285714285714284,12,0.4166666666666667,0.4166666666666667,0.4146011396011396,0.9807692307692307,52
790720,96,72,True,True,0.011392405063291136,0.9886075949367089,3.3155045949753907e-31,1.0,3.4756964588405404e+28,65.7181774825789,0.0,14.381428148501627,5.609293171518616,4.001410515514539,5.606495923418565,10.695550906902058,12.424603840262115,15.572233438071473,0.017,1.9568243082395114,True,0.764827434417592,0.235172565582408,0.15608056562287942,0.8439194343771206,13,0.18309859154929578,5.142857142857143,12,0.5,0.5,0.4873737373737374,0.8928571428571429,56
790721,96,72,True,True,0.011392405063291136,0.9886075949367089,2.9773845431698883e-09,0.9999999970226155,3870406.1832222776,15.168870016403355,0.0,6.555996580201658,5.813045623311159,3.0108581905697536,5.8334663106428835,9.509848851879092,11.004950723675382,12.76191772372122,0.397,-4.448954143473724,False,0.7215440743823806,0.27845592561761956,0.16860269485245397,0.831397305147546,16,0.22535211267605634,4.235294117647059,16,0.18055555555555555,0.18055555555555555,0.5398148148148149,0.9387755102040817,49
790722,96,72,True,True,0.011392405063291136,0.9886075949367089,6.363246206784165e-08,0.9999999363675379,181097.61075186776,12.10679145080749,0.0,5.77073896832896,2.5531893739493023,2.963704900766949,2.6659577861927657,6.229881607336984,7.625872531261632,9.561408811213342,0.127,-1.8551335629326724,False,0.5465702643549222,0.45342973564507794,0.30907926634018257,0.6909207336598175,22,0.30985915492957744,3.130434782608696,16,0.2361111111111111,0.23611111111111108,0.4582202111613876,0.9111111111111111,45
790723,96,72,True,True,0.011392405063291136,0.9886075949367089,2.2400465440064627e-11,0.9999999999775995,514439649.0599986,20.058588806183245,0.0,11.397445930795,6.932206818834493,3.3024155658252377,6.9762426542237,11.053473957590667,12.088239859521636,15.238243681963409,0.085,-0.6907939287266363,False,0.8491248971905601,0.1508751028094399,0.25057459832007867,0.7494254016799212,18,0.2535211267605634,3.789473684210526,19,0.20833333333333334,0.20833333333333334,0.6105077928607341,0.8852459016393442,61
790724,96,72,True,True,0.011392405063291136,0.9886075949367089,3.6318057437388845e-08,0.9999999636819427,317299.1061367782,12.667600160475539,0.0,1.8064224618906146,2.6561048707079578,2.114143082231108,2.652242063525922,5.353116178425305,5.9851158666909345,7.772653015664662,0.656,-4.17869340480032,False,0.9704282827318236,0.029571717268176305,0.015586873471779339,0.9844131265282207,1,0.014084507042253521,36.0,64,0.1111111111111111,0.1111111111111111,0.46315789473684216,0.8775510204081632,49
790725,96,72,True,True,0.011392405063291136,0.9886075949367089,1.574462709430876e-16,0.9999999999999999,73191238579356.98,31.92409683819337,0.0,9.0288619324428,3.8861174720769003,3.277430942704516,3.8939885581806486,8.131394155512929,9.404565273142659,11.48519057134861,0.067,-0.3757033406998591,False,0.9383168844133147,0.061683115586685384,0.2220079458531104,0.7779920541468895,11,0.15492957746478872,6.0,28,0.2638888888888889,0.2638888888888889,0.6057234432234432,0.9482758620689655,58
790726,96,72,True,True,0.011392405063291136,0.9886075949367089,7.78119950478199e-11,0.999999999922188,148096544.3958478,18.813374946054587,0.0,5.982794898152531,0.4952911383168099,2.9307454201950596,0.5504378706722052,4.194283282161356,5.259361618148691,7.161268003928086,0.032,0.7234332800038406,True,0.8426122126824006,0.15738778731759934,0.19712879712111295,0.802871202878887,12,0.16901408450704225,5.538461538461538,17,0.3194444444444444,0.3194444444444444,0.6878306878306879,0.9,50
790727,96,72,True,True,0.011392405063291136,0.9886075949367089,9.291071879237585e-30,1.0,1.240296892522938e+27,62.385148291251504,0.0,10.659986832820099,4.7247036293023426,4.129081896120031,4.556123657956322,10.132752297396179,11.743118264394262,14.833364090734946,0.075,-1.083131431574163,False,0.9039855190330269,0.0960144809669731,0.07097849481987933,0.9290215051801207,8,0.11267605633802817,8.0,19,0.4027777777777778,0.40277777777777773,0.5134920634920636,0.9444444444444444,54
790728,96,72,True,True,0.011392405063291136,0.9886075949367089,1.4905721305226233e-18,1.0,7731049939854459.0,36.584021074917004,0.0,10.25148695046038,6.117595358920183,3.8272782135341155,6.1148282125534825,10.996272396455483,12.463403685217754,16.008323966056125,0.124,-2.2119167347573736,False,0.8515934966811044,0.14840650331889563,0.16900876444635896,0.8309912355536411,11,0.15492957746478872,6.0,20,0.4027777777777778,0.40277777777777785,0.34722222222222215,0.9464285714285714,56
790729,96,72,True,True,0.011392405063291136,0.9886075949367089,1.1792135396203979e-09,0.9999999988207865,9772350.112386169,16.095067538837704,0.0,11.67011583502562,3.6600277190635597,2.432416176745156,3.6129016766838404,6.809622763257349,7.676497572510102,9.25941181560312,0.001,3.9936182625155174,True,0.6343312743888343,0.3656687256111657,0.06923557981546077,0.9307644201845393,12,0.16901408450704225,5.538461538461538,19,0.19444444444444445,0.19444444444444445,0.801470588235294,0.9803921568627451,51
790730,96,72,True,True,0.011392405063291136,0.9886075949367089,9.63672501195814e-33,1.0,1.1958095271708818e+30,69.25637617444855,0.0,7.802572977149107,2.084879809560959,3.8028660128176295,2.0899299054312337,7.064032105686169,8.592172964832642,10.553123913985209,0.072,-0.7895999876835349,False,0.9008104005876172,0.09918959941238283,0.056046227224550216,0.9439537727754498,3,0.04225352112676056,18.0,33,0.5,0.5,0.46565656565656566,0.9454545454545454,55
790731,96,72,True,True,0.011392405063291136,0.9886075949367089,1.1158368837947049e-13,0.9999999999998884,103273943955.27547,25.360650944616808,4.527839539413356e-72,7.672982248065222,1.7588898351393425,2.9028599470496737,1.7845257128404703,5.435952822499297,6.270049927721469,8.29554114488924,0.024,1.4029323203437531,True,0.6864840344877177,0.31351596551228234,0.06382244199778718,0.9361775580022128,9,0.1267605633802817,7.2,17,0.2638888888888889,0.2638888888888889,0.5412698412698412,0.9302325581395349,43
790732,96,72,True,True,0.011392405063291136,0.9886075949367089,1.280254243565463e-12,0.9999999999987197,9001093054.70277,22.920611857430643,0.0,10.528314934853682,2.2970113745184766,3.216928424534784,2.2346398552809976,6.402916496566458,7.465112144423582,9.833298664326419,0.004,3.0632027904301005,True,0.48875145191356234,0.5112485480864375,0.1907106643876557,0.8092893356123444,23,0.323943661971831,3.0,11,0.3055555555555556,0.3055555555555556,0.5423280423280423,0.9782608695652174,46
790733,96,72,True,True,0.011392405063291136,0.9886075949367089,6.745292112053538e-13,0.9999999999993255,17084045269.77487,23.561410839756753,0.0,4.366433905241238,3.5407993244120513,3.2968795932552832,3.552731670833528,7.7906724148147735,8.878117248167069,11.36500443727816,0.417,-4.5116833429258305,False,0.5896973704441859,0.4103026295558141,0.26061221030820625,0.7393877896917938,22,0.30985915492957744,3.130434782608696,11,0.3194444444444444,0.3194444444444445,0.46507936507936504,1.0,52
