seed,total_length,pre_length,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,T0,null_mean,null_sd,Q50,Q90,Q95,Q99,p_CRT,E_null,selective_material_redescription,p00,p01,p10,p11,switch_count,switch_rate,mean_dwell,max_dwell,occupancy_min_fraction,cue_context_mix_balance,realized_cue_outcome_contrast,marker_accuracy,marker_informative_count,population
788557,32,24,True,True,0.07258064516129031,0.9274193548387097,9.205098095578422e-11,0.9999999999079491,850190500.3663703,20.560971000416014,0.0,5.809962688521711,2.249401535667268,2.313764513798743,2.1964059888731855,5.311726173164002,6.12209294046057,7.626057773196299,0.071,-0.3121302519388589,False,0.5525654789947547,0.4474345210052452,0.34284762718865053,0.6571523728113494,6,0.2608695652173913,3.4285714285714284,7,0.4166666666666667,0.4166666666666667,0.43333333333333335,1.0,21,consumed_v243_genuine_noncriterial
788558,32,24,True,True,0.07258064516129031,0.9274193548387097,8.515610092912877e-10,0.999999999148439,91902833.31984194,18.336242417316846,0.0,2.836390707795041,2.3210111820741335,2.613297907515248,2.283753895260378,5.744859380447995,6.720056661026128,8.488735345809541,0.422,-3.8836659532310867,False,0.6627145946133757,0.33728540538662427,0.10197670964421668,0.8980232903557834,4,0.17391304347826086,4.8,8,0.4166666666666667,0.4166666666666667,0.24444444444444446,1.0,23,consumed_v243_genuine_noncriterial
788559,32,24,True,True,0.07258064516129031,0.9274193548387097,1.6735121675273766e-08,0.9999999832648783,4676444.532288234,15.358048663840872,0.0,2.9019587761921244,0.5457403964519522,2.373674895296422,0.5236089664954418,3.5477121481440834,4.4728288353349095,6.1138238473840545,0.159,-1.570870059142785,False,0.9159412424141525,0.0840587575858475,0.20156948995777538,0.7984305100422244,2,0.08695652173913043,8.0,14,0.25,0.25,0.7222222222222222,0.8421052631578947,19,consumed_v243_genuine_noncriterial
788560,32,24,True,True,0.07258064516129031,0.9274193548387097,3.465569835076565e-09,0.9999999965344302,22582395.686240666,16.932681208765562,0.0,3.8282676986614073,4.548316952533872,2.238821967691096,4.628115707486363,7.312370929595913,8.150092935376414,9.965454736134014,0.629,-4.321825236715006,False,0.8399770026225356,0.16002299737746442,0.19010885606369593,0.809891143936304,4,0.17391304347826086,4.8,13,0.4166666666666667,0.4166666666666667,0.25,1.0,23,consumed_v243_genuine_noncriterial
788561,32,24,True,True,0.07258064516129031,0.9274193548387097,0.0005060060145547265,0.9994939939854454,154.58565085109905,5.040748317169829,0.0,5.4437797927113465,0.3425893088412739,1.2224136664419103,0.12496810262788283,2.0818675180121247,2.6590567966542173,3.745460376182474,0.001,2.784722996057129,True,0.9345797080950449,0.06542029190495512,0.4542574569124911,0.5457425430875089,3,0.13043478260869565,6.0,17,0.20833333333333334,0.20833333333333334,0.9047619047619048,0.9523809523809523,21,consumed_v243_genuine_noncriterial
788562,32,24,True,True,0.07258064516129031,0.9274193548387097,8.044732340037924e-11,0.9999999999195527,972821297.850073,20.69571096228569,0.0,4.024516589771153,0.2400099827341478,2.3767878820279327,0.37332508236630124,3.188675367688443,4.010356390808405,5.393302031089597,0.049,0.014160198962748005,True,0.8715641430931952,0.12843585690680487,0.15734799073757177,0.8426520092624283,6,0.2608695652173913,3.4285714285714284,7,0.4583333333333333,0.4583333333333333,0.6166666666666667,1.0,19,consumed_v243_genuine_noncriterial
788563,32,24,True,True,0.07258064516129031,0.9274193548387097,1.7945398439948047e-09,0.9999999982054603,43610549.90596332,17.590809649369426,0.0,8.480660709999366,2.043752016459552,2.215032377341706,2.064514356750577,4.767976335989447,5.604439211459306,7.276255502775339,0.002,2.87622149854006,True,0.5084126056746847,0.4915873943253154,0.13205574706357825,0.8679442529364217,4,0.17391304347826086,4.8,8,0.375,0.375,0.7111111111111111,1.0,20,consumed_v243_genuine_noncriterial
788564,32,24,True,True,0.07258064516129031,0.9274193548387097,7.502220207936686e-15,0.9999999999999925,10431694537894.729,29.97586983942405,0.0,6.755898518486113,3.924478273841537,2.6866508045096107,4.006849409183875,7.376308665893282,8.504932951567126,10.365852256615982,0.142,-1.7490344330810128,False,0.8682407806595259,0.13175921934047413,0.18242933414140725,0.8175706658585927,4,0.17391304347826086,4.8,9,0.4583333333333333,0.4583333333333333,0.8333333333333334,0.9583333333333334,24,consumed_v243_genuine_noncriterial
788565,32,24,True,True,0.07258064516129031,0.9274193548387097,1.60172053064797e-14,0.999999999999984,4886050223353.008,29.21740536774381,0.0,7.386717612808074,4.076379132974727,2.4707321542642733,4.100977432629605,7.2282340073442874,7.967575899576641,9.315614669061906,0.092,-0.5808582867685672,False,0.9122059886554528,0.08779401134454717,0.22606474765701862,0.7739352523429813,3,0.13043478260869565,6.0,9,0.4583333333333333,0.4583333333333333,0.5555555555555555,0.9565217391304348,23,consumed_v243_genuine_noncriterial
788566,32,24,True,True,0.07258064516129031,0.9274193548387097,0.0014502121069708575,0.9985497878930292,53.88685856988383,3.9868866368687303,0.0,5.673171908536123,2.4956607228980903,1.7236572715968235,2.4392575063415918,4.816075780953222,5.363749048588464,6.673972643345003,0.032,0.3094228599476585,True,0.7269981499549383,0.27300185004506167,0.17968776045011414,0.8203122395498859,5,0.21739130434782608,4.0,10,0.20833333333333334,0.20833333333333334,0.5000000000000001,1.0,22,consumed_v243_genuine_noncriterial
