arm,omega,kappa,n_seeds,mean_potential_aversive_count,mean_delivered_aversive_count,mean_suppressed_aversive_count,mean_exposure_rate,mean_successful_relief_action_count,mean_policy_approach_count,mean_policy_flee_count,mean_policy_appease_count,mean_policy_attenuate_count,potential_after_approach_count,exposed_after_approach_count,exposure_rate_after_approach,potential_after_flee_count,exposed_after_flee_count,exposure_rate_after_flee,potential_after_appease_count,exposed_after_appease_count,exposure_rate_after_appease,potential_after_attenuate_count,exposed_after_attenuate_count,exposure_rate_after_attenuate,exposure_accounting_error
closed_loop,0.6,0.4,20,52.7,34.1,18.6,0.6511356046284058,25.6,0.3,189.7,10.0,0.0,1,1,1.0,999,633,0.6336336336336337,49,43,0.8775510204081632,0,0,0.0,0.0
closed_loop,0.6,0.5,20,52.7,32.8,19.9,0.6267922011775657,27.1,0.3,189.75,9.95,0.0,1,1,1.0,999,608,0.6086086086086087,49,42,0.8571428571428571,0,0,0.0,7.105427357601002e-15
closed_loop,0.6,0.6,20,52.7,31.25,21.45,0.5961576521230134,28.45,0.3,199.7,0.0,0.0,1,1,1.0,1048,619,0.5906488549618321,0,0,0.0,0,0,0.0,3.552713678800501e-15
closed_loop,0.6,0.7,20,52.7,30.75,21.95,0.5868977316263405,29.35,0.3,199.7,0.0,0.0,1,1,1.0,1048,609,0.5811068702290076,0,0,0.0,0,0,0.0,3.552713678800501e-15
closed_loop,0.6,0.8,20,52.7,30.3,22.4,0.5785937520371877,29.8,0.3,199.7,0.0,0.0,1,1,1.0,1048,600,0.5725190839694656,0,0,0.0,0,0,0.0,3.552713678800501e-15
closed_loop,0.6,0.9,20,52.7,30.3,22.4,0.5785937520371877,29.8,0.3,199.7,0.0,0.0,1,1,1.0,1048,600,0.5725190839694656,0,0,0.0,0,0,0.0,3.552713678800501e-15
closed_loop,0.6,1.0,20,52.7,30.3,22.4,0.5785937520371877,29.8,0.3,199.7,0.0,0.0,1,1,1.0,1048,600,0.5725190839694656,0,0,0.0,0,0,0.0,3.552713678800501e-15
closed_loop,0.6,1.1,20,52.7,30.3,22.4,0.5785937520371877,29.8,0.3,199.7,0.0,0.0,1,1,1.0,1048,600,0.5725190839694656,0,0,0.0,0,0,0.0,3.552713678800501e-15
closed_loop,0.6,1.2,20,52.7,30.3,22.4,0.5785937520371877,29.8,0.3,199.7,0.0,0.0,1,1,1.0,1048,600,0.5725190839694656,0,0,0.0,0,0,0.0,3.552713678800501e-15
closed_loop,0.6,1.3,20,52.7,30.3,22.4,0.5785937520371877,29.8,0.3,199.7,0.0,0.0,1,1,1.0,1048,600,0.5725190839694656,0,0,0.0,0,0,0.0,3.552713678800501e-15
closed_loop,0.6,1.4,20,52.7,30.3,22.4,0.5785937520371877,29.8,0.3,199.7,0.0,0.0,1,1,1.0,1048,600,0.5725190839694656,0,0,0.0,0,0,0.0,3.552713678800501e-15
closed_loop,0.8,0.0,20,65.9,62.3,3.6,0.945865760719707,5.15,40.8,62.45,58.05,38.7,264,255,0.9659090909090909,415,378,0.9108433734939759,378,352,0.9312169312169312,255,255,1.0,8.43769498715119e-15
closed_loop,0.8,0.1,20,65.9,52.65,13.25,0.7994438037532612,15.55,0.6,122.4,68.15,8.85,4,4,1.0,791,594,0.7509481668773704,459,391,0.8518518518518519,58,58,1.0,7.105427357601002e-15
closed_loop,0.8,0.2,20,65.9,46.85,19.05,0.7120522647131273,22.6,0.3,149.35,49.8,0.55,1,1,1.0,969,641,0.6615067079463365,339,286,0.8436578171091446,3,3,1.0,3.552713678800501e-15
closed_loop,0.8,0.3,20,65.9,42.8,23.1,0.6510015301336568,26.6,0.3,159.65,39.5,0.55,1,1,1.0,1041,627,0.6023054755043228,267,219,0.8202247191011236,3,3,1.0,7.105427357601002e-15
closed_loop,0.8,0.4,20,65.9,40.1,25.8,0.6091782044325239,28.55,0.3,170.4,28.75,0.55,1,1,1.0,1107,634,0.5727190605239386,201,158,0.7860696517412935,3,3,1.0,3.552713678800501e-15
closed_loop,0.8,0.5,20,65.9,37.8,28.1,0.5751554303373484,30.1,0.3,189.7,10.0,0.0,1,1,1.0,1244,695,0.5586816720257235,67,54,0.8059701492537313,0,0,0.0,7.105427357601002e-15
closed_loop,0.8,0.6,20,65.9,35.55,30.35,0.5416171412803015,31.65,0.3,199.65,0.05,0.0,1,1,1.0,1311,704,0.5369946605644547,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,0.8,0.7,20,65.9,34.4,31.5,0.5232367127775607,32.8,0.3,199.7,0.0,0.0,1,1,1.0,1311,681,0.5194508009153318,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,0.8,0.8,20,65.9,33.75,32.15,0.5137244443649422,33.0,0.3,199.7,0.0,0.0,1,1,1.0,1311,668,0.509534706331045,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,0.8,0.9,20,65.9,33.75,32.15,0.5137244443649422,33.0,0.3,199.7,0.0,0.0,1,1,1.0,1311,668,0.509534706331045,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,0.8,1.0,20,65.9,33.75,32.15,0.5137244443649422,33.0,0.3,199.7,0.0,0.0,1,1,1.0,1311,668,0.509534706331045,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,0.8,1.1,20,65.9,33.75,32.15,0.5137244443649422,33.0,0.3,199.7,0.0,0.0,1,1,1.0,1311,668,0.509534706331045,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,0.8,1.2,20,65.9,33.75,32.15,0.5137244443649422,33.0,0.3,199.7,0.0,0.0,1,1,1.0,1311,668,0.509534706331045,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,0.8,1.3,20,65.9,33.75,32.15,0.5137244443649422,33.0,0.3,199.7,0.0,0.0,1,1,1.0,1311,668,0.509534706331045,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,0.8,1.4,20,65.9,33.75,32.15,0.5137244443649422,33.0,0.3,199.7,0.0,0.0,1,1,1.0,1311,668,0.509534706331045,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,1.0,0.0,20,79.75,74.95,4.8,0.940405198834141,6.7,47.45,43.95,74.6,34.0,387,367,0.9483204134366925,348,311,0.8936781609195402,583,544,0.9331046312178388,270,270,1.0,-2.6645352591003757e-15
closed_loop,1.0,0.1,20,79.75,60.6,19.15,0.7598432032866691,18.7,0.35,115.15,74.3,10.2,4,4,1.0,908,627,0.6905286343612335,590,488,0.8271186440677966,86,86,1.0,0.0
closed_loop,1.0,0.2,20,79.75,54.9,24.85,0.6880016184653011,23.65,0.05,132.0,58.55,9.4,1,1,1.0,1040,648,0.6230769230769231,468,363,0.7756410256410257,79,79,1.0,0.0
closed_loop,1.0,0.3,20,79.75,48.45,31.3,0.6081615042226577,28.9,0.05,149.6,50.25,0.1,1,1,1.0,1179,665,0.5640373197625106,407,295,0.7248157248157249,1,1,1.0,-3.552713678800501e-15
closed_loop,1.0,0.4,20,79.75,45.7,34.05,0.5730280367551999,30.8,0.05,160.35,39.5,0.1,1,1,1.0,1258,679,0.5397456279809221,328,226,0.6890243902439024,1,1,1.0,0.0
closed_loop,1.0,0.5,20,79.75,42.9,36.85,0.5391281563194756,32.9,0.05,170.3,29.55,0.1,1,1,1.0,1343,692,0.5152643335815339,243,157,0.6460905349794238,1,1,1.0,0.0
closed_loop,1.0,0.6,20,79.75,38.95,40.8,0.4903094128964538,34.65,0.05,199.95,0.0,0.0,1,1,1.0,1587,771,0.48582230623818523,0,0,0.0,0,0,0.0,0.0
closed_loop,1.0,0.7,20,79.75,37.65,42.1,0.47385313327437845,35.65,0.05,199.95,0.0,0.0,1,1,1.0,1587,745,0.4694391934467549,0,0,0.0,0,0,0.0,0.0
closed_loop,1.0,0.8,20,79.75,36.95,42.8,0.4649486493867764,36.05,0.05,199.95,0.0,0.0,1,1,1.0,1587,731,0.46061751732829237,0,0,0.0,0,0,0.0,0.0
closed_loop,1.0,0.9,20,79.75,36.95,42.8,0.4649486493867764,36.05,0.05,199.95,0.0,0.0,1,1,1.0,1587,731,0.46061751732829237,0,0,0.0,0,0,0.0,0.0
closed_loop,1.0,1.0,20,79.75,36.95,42.8,0.4649486493867764,36.05,0.05,199.95,0.0,0.0,1,1,1.0,1587,731,0.46061751732829237,0,0,0.0,0,0,0.0,0.0
closed_loop,1.0,1.1,20,79.75,36.95,42.8,0.4649486493867764,36.05,0.05,199.95,0.0,0.0,1,1,1.0,1587,731,0.46061751732829237,0,0,0.0,0,0,0.0,0.0
closed_loop,1.0,1.2,20,79.75,36.95,42.8,0.4649486493867764,36.05,0.05,199.95,0.0,0.0,1,1,1.0,1587,731,0.46061751732829237,0,0,0.0,0,0,0.0,0.0
closed_loop,1.0,1.3,20,79.75,36.95,42.8,0.4649486493867764,36.05,0.05,199.95,0.0,0.0,1,1,1.0,1587,731,0.46061751732829237,0,0,0.0,0,0,0.0,0.0
closed_loop,1.0,1.4,20,79.75,36.95,42.8,0.4649486493867764,36.05,0.05,199.95,0.0,0.0,1,1,1.0,1587,731,0.46061751732829237,0,0,0.0,0,0,0.0,0.0
closed_loop,1.2,0.0,20,91.15,86.1,5.05,0.9446059621046684,5.55,34.15,64.4,36.25,65.2,317,301,0.9495268138801262,558,504,0.9032258064516129,339,308,0.9085545722713865,601,601,1.0,1.1546319456101628e-14
closed_loop,1.2,0.1,20,91.15,72.45,18.7,0.7926930331856259,15.25,0.2,91.75,61.9,46.15,1,1,1.0,829,563,0.6791314837153196,555,447,0.8054054054054054,430,430,1.0,3.552713678800501e-15
closed_loop,1.2,0.2,20,91.15,59.35,31.8,0.6508500395002588,25.4,0.05,134.65,55.7,9.6,0,0,0.0,1219,721,0.5914684167350287,505,367,0.7267326732673267,91,91,1.0,3.552713678800501e-15
closed_loop,1.2,0.3,20,91.15,51.95,39.2,0.5708758025371088,30.8,0.05,159.55,40.1,0.3,0,0,0.0,1448,774,0.5345303867403315,363,253,0.696969696969697,4,4,1.0,0.0
closed_loop,1.2,0.4,20,91.15,48.25,42.9,0.5294045549013731,33.55,0.05,169.8,30.05,0.1,0,0,0.0,1535,766,0.4990228013029316,279,190,0.6810035842293907,1,1,1.0,7.105427357601002e-15
closed_loop,1.2,0.5,20,91.15,45.5,45.65,0.4994559505578546,35.65,0.05,170.4,29.55,0.0,0,0,0.0,1541,728,0.47242050616482806,274,174,0.635036496350365,0,0,0.0,7.105427357601002e-15
closed_loop,1.2,0.6,20,91.15,41.8,49.35,0.4588236215871121,37.15,0.05,190.3,9.65,0.0,0,0,0.0,1721,773,0.4491574665891923,94,55,0.5851063829787234,0,0,0.0,7.105427357601002e-15
closed_loop,1.2,0.7,20,91.15,39.6,51.55,0.4350687265248706,37.85,0.05,199.95,0.0,0.0,0,0,0.0,1815,784,0.4319559228650138,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,1.2,0.8,20,91.15,39.3,51.85,0.43168630204956393,38.45,0.05,199.95,0.0,0.0,0,0,0.0,1815,778,0.4286501377410468,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,1.2,0.9,20,91.15,39.3,51.85,0.43168630204956393,38.45,0.05,199.95,0.0,0.0,0,0,0.0,1815,778,0.4286501377410468,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,1.2,1.0,20,91.15,39.3,51.85,0.43168630204956393,38.45,0.05,199.95,0.0,0.0,0,0,0.0,1815,778,0.4286501377410468,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,1.2,1.1,20,91.15,39.3,51.85,0.43168630204956393,38.45,0.05,199.95,0.0,0.0,0,0,0.0,1815,778,0.4286501377410468,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,1.2,1.2,20,91.15,39.3,51.85,0.43168630204956393,38.45,0.05,199.95,0.0,0.0,0,0,0.0,1815,778,0.4286501377410468,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,1.2,1.3,20,91.15,39.3,51.85,0.43168630204956393,38.45,0.05,199.95,0.0,0.0,0,0,0.0,1815,778,0.4286501377410468,0,0,0.0,0,0,0.0,7.105427357601002e-15
closed_loop,1.2,1.4,20,91.15,39.3,51.85,0.43168630204956393,38.45,0.05,199.95,0.0,0.0,0,0,0.0,1815,778,0.4286501377410468,0,0,0.0,0,0,0.0,7.105427357601002e-15
