position,seed,history_length,ordinary_slice_count,overwhelming_slice_count,high_control_slice_count,low_control_slice_count,integrated_broadcast_slice_count,collapsed_broadcast_slice_count,profile_signature,q_T,q_D,q_P,m0,log_joint_T,log_joint_D,log_joint_P,log_likelihood_T,log_likelihood_D,log_likelihood_P,first_P_selection_time,first_qP_0_60_crossing_time,final_runner_up,cumulative_P_runner_up_log_BF,post_selection_log_BF,pre_and_selection_log_BF,stratum,eligible,retained,reason,state_sha256,reload_sha256,rehash_ok,released_block_authorization,cumulative_moderate,cumulative_strong,cumulative_very_strong,retained_moderate,retained_strong,retained_very_strong,q_P_ECDF,m0_ECDF
542,820542,20,15,5,5,15,10,10,L20-O5-LC15-CB10,4.329764713294177e-08,2.911753668570005e-09,0.9999999537905992,16.955167495936106,-46.45843771774543,-49.157780477627206,-29.50327022180932,-45.765290537185486,-47.77148611650732,-28.11697586068943,1,1,T,17.64831467649605,15.32863188859867,2.3196827878973805,,0,0,above_nonsaturation_range,7c3f5988e6727a6f3bf0d0aa12b2873a499df09ea860e62686d645adb29fead9,7c3f5988e6727a6f3bf0d0aa12b2873a499df09ea860e62686d645adb29fead9,1,820001:825504,14,31,55,14,31,40,0.8464752906976745,0.8401162790697675
543,820543,24,18,6,6,18,12,12,L24-O6-LC18-CB12,4.980175548504745e-09,1.1316979023961182e-08,0.9999999837028454,18.296961654165344,-55.31062327559416,-54.489784250229285,-36.19282259606393,-54.61747609503421,-53.1034898891094,-34.80652823494404,2,2,D,18.29696165416534,16.084977739069807,2.2119839150955354,,0,0,above_nonsaturation_range,59188f33c4c2de81f5d8c345b325236f52d7b57a75ca1640c0999621de2c09e2,59188f33c4c2de81f5d8c345b325236f52d7b57a75ca1640c0999621de2c09e2,1,820001:825504,14,31,55,14,31,40,0.8711845930232558,0.8713662790697675
544,820544,4,3,1,1,3,2,2,L4-O1-LC3-CB2,0.04002675078436867,0.024220084909484556,0.9357531643061467,3.151803728154568,-9.615089288602235,-10.117455044920778,-6.463285560447666,-8.92194210804229,-8.731160683800887,-5.076991199327775,1,2,T,3.8449509087145137,2.728378745309292,1.116572163405222,very_strong,1,0,eligible_after_stratum_quota,1f825be93ab585132f10a9a057334d1bdb41ace877d4c8c4afaa90948fd31220,1f825be93ab585132f10a9a057334d1bdb41ace877d4c8c4afaa90948fd31220,1,820001:825504,14,31,56,14,31,40,0.15843023255813954,0.1673328488372093
545,820545,6,4,2,1,5,3,3,L6-O2-LC5-CB3,0.029775585462825507,0.013996869114474142,0.9562275454227003,3.469307125006827,-14.725629875805696,-15.480484983828132,-11.256322750798871,-14.03248269524575,-14.094190622708242,-9.87002838967898,2,2,T,4.162454305566772,1.865362372257311,2.297091933309461,very_strong,1,0,eligible_after_stratum_quota,69206101d1d0313d8ba4380d03166ec8713b28fd98792ef91fbf4ee93e9bb0e3,69206101d1d0313d8ba4380d03166ec8713b28fd98792ef91fbf4ee93e9bb0e3,1,820001:825504,14,31,57,14,31,40,0.18077761627906977,0.18059593023255813
546,820546,8,6,2,2,6,4,4,L8-O2-LC6-CB4,3.4486909695081154e-05,3.278054001879348e-05,0.999932732550286,10.274863465344218,-20.869921738177517,-20.920666513872572,-10.595058272833304,-20.176774557617573,-19.53437215275268,-9.208763911713413,1,1,T,10.968010645904164,8.648327858006784,2.3196827878973805,,0,0,above_nonsaturation_range,3811df011cd97ab8ff5bf3d71393febb70d645c5ad87bcfbf1c6bff65ceb79b4,3811df011cd97ab8ff5bf3d71393febb70d645c5ad87bcfbf1c6bff65ceb79b4,1,820001:825504,14,31,57,14,31,40,0.5930232558139535,0.6102834302325582
547,820547,10,8,2,3,7,5,5,L10-O2-LC7-CB5,0.009298448384400767,0.0024022226811744813,0.9882993289344247,4.666138070519125,-21.563200808889537,-22.9166539288143,-16.897062738370416,-20.870053628329593,-21.530359567694408,-15.510768377250525,7,7,T,5.359285251079071,3.2345794282031646,2.1247058228759066,,0,0,above_nonsaturation_range,a309e4625e975e09fa48c40f82153e03d97575c0fd0dea7689818dea5af2ee95,a309e4625e975e09fa48c40f82153e03d97575c0fd0dea7689818dea5af2ee95,1,820001:825504,14,31,57,14,31,40,0.2628997093023256,0.2554505813953488
548,820548,12,9,3,3,9,6,6,L12-O3-LC9-CB6,0.00013861136249193468,2.5450810154365596e-05,0.9998359378273537,8.88367241847508,-27.57379286842798,-29.26871935661757,-18.690120449952904,-26.880645687868036,-27.88242499549768,-17.303826088833013,1,2,T,9.576819599035026,8.460247435629803,1.116572163405222,,0,0,above_nonsaturation_range,c7b1f5f2273e2fcd1a029236a69573fa3610ac92c1be4fc02326f7c8dfbf54dc,c7b1f5f2273e2fcd1a029236a69573fa3610ac92c1be4fc02326f7c8dfbf54dc,1,820001:825504,14,31,57,14,31,40,0.5446947674418605,0.5332485465116279
549,820549,16,12,4,4,12,8,8,L16-O4-LC12-CB8,8.491128404850487e-06,3.1458039498866163e-06,0.9999883630676453,11.676477019596307,-36.30740567083077,-37.30035808676865,-24.630928651234456,-35.61425849027082,-35.91406372564876,-23.244634290114565,2,4,T,12.369624200156252,11.103123165091391,1.266501035064861,,0,0,above_nonsaturation_range,9f0d1f4c06271e954e107d8c1b3911101c3d2558f5c12357756bc587e49347b8,9f0d1f4c06271e954e107d8c1b3911101c3d2558f5c12357756bc587e49347b8,1,820001:825504,14,31,57,14,31,40,0.6731468023255814,0.6742369186046512
550,820550,20,15,5,5,15,10,10,L20-O5-LC15-CB10,0.0004335486889414394,8.960221222806864e-05,0.9994768490988305,7.742983164361081,-43.45740632853406,-45.03403042462341,-35.71442316417298,-42.764259147974116,-43.64773606350352,-34.32812880305309,1,1,T,8.436130344921025,6.116447557023646,2.3196827878973805,,0,0,above_nonsaturation_range,5656a49bb48e28b66e507881d3c591f3df824c7f25d11b7e1c293ea030f47e46,5656a49bb48e28b66e507881d3c591f3df824c7f25d11b7e1c293ea030f47e46,1,820001:825504,14,31,57,14,31,40,0.47474563953488375,0.4643895348837209
551,820551,24,18,6,6,18,12,12,L24-O6-LC18-CB12,4.012561639077537e-09,1.8827830546371553e-10,0.99999999579916,19.333835982643556,-54.180933075776835,-57.24019698845504,-34.84709709313327,-53.48778589521689,-55.85390262733515,-33.460802732013384,1,3,T,20.026983163203504,18.56510545295907,1.4618777102444311,,0,0,above_nonsaturation_range,7686585ba8075a8fa902d2ff0bc66c91786e18678cd29b2cec839654b59a586a,7686585ba8075a8fa902d2ff0bc66c91786e18678cd29b2cec839654b59a586a,1,820001:825504,14,31,57,14,31,40,0.9007994186046512,0.8948037790697675
552,820552,4,3,1,1,3,2,2,L4-O1-LC3-CB2,0.3589321891113877,0.1636996231247164,0.477368187763896,0.2851545928676329,-9.665387188385141,-10.45048748861965,-9.380232595517509,-8.972240007825196,-9.06419312749976,-7.993938234397618,2,,T,0.9783017734275778,0.23331810282287746,0.7449836706047004,,0,0,below_formed_range,f1ed8d59ebbc74e202268f9a8cf9062602f771c2096823b17e40a2ce6a9748db,f1ed8d59ebbc74e202268f9a8cf9062602f771c2096823b17e40a2ce6a9748db,1,820001:825504,14,31,57,14,31,40,0.0403343023255814,0.04160610465116279
553,820553,6,4,2,1,5,3,3,L6-O2-LC5-CB3,0.0016858370466916826,0.00194264239974882,0.9963715205535595,6.240071092599863,-14.888069384288501,-14.746282480325064,-8.506211387725203,-14.194922203728556,-13.359988119205173,-7.119917026605313,2,3,D,6.240071092599862,5.527722717816982,0.7123483747828812,,0,0,above_nonsaturation_range,250698c343a218e433fa1831fd76ed225765a91072c9a13a56ef7f04f97b1ffb,250698c343a218e433fa1831fd76ed225765a91072c9a13a56ef7f04f97b1ffb,1,820001:825504,14,31,57,14,31,40,0.34974563953488375,0.37009447674418605
554,820554,8,6,2,2,6,4,4,L8-O2-LC6-CB4,0.004636734156917462,0.005983636569532738,0.9893796292735497,5.1080496044853945,-19.04768238805563,-18.792664155859608,-13.684614551374214,-18.354535207495687,-17.406369794739717,-12.298320190254323,1,1,D,5.1080496044853945,3.0590345624079145,2.0490150420774795,,0,0,above_nonsaturation_range,82f58f7877933492a8d084a0f5abe38ee28c650124767c6ee3c435eb6077bf13,82f58f7877933492a8d084a0f5abe38ee28c650124767c6ee3c435eb6077bf13,1,820001:825504,14,31,57,14,31,40,0.27053052325581395,0.287609011627907
555,820555,10,8,2,3,7,5,5,L10-O2-LC7-CB5,0.0022919800347146716,0.0004504036346935354,0.9972576163305918,6.07559304013253,-22.607714833827185,-24.234742054050002,-16.532121793694657,-21.91456765326724,-22.84844769293011,-15.145827432574766,1,3,T,6.768740220692476,5.3068625104480445,1.4618777102444311,,0,0,above_nonsaturation_range,2db862db594e61ea8b8a988e8a7d087654b3c6e37bfac35b04ca7541d96c5995,2db862db594e61ea8b8a988e8a7d087654b3c6e37bfac35b04ca7541d96c5995,1,820001:825504,14,31,57,14,31,40,0.37009447674418605,0.35192587209302323
