bundle_strength,volatility_sensitivity,initial_depth,initial_capture,final_depth,final_capture,residual,class
0.8,0.4,0.884,0.5,0.9999999723216064,0.07485032947046641,1.198525342126402e-8,self
0.8,0.4,0.884,0.596,0.999999970919409,0.07485032982228418,1.2592430719771249e-8,self
0.8,0.4,0.884,0.692,0.9999999673651528,0.07485033071406329,1.4131489003571713e-8,self
0.8,0.4,0.884,0.788,0.9999999621065664,0.07485033203346664,1.640855367559924e-8,self
0.8,0.4,0.884,0.884,0.9999999554924854,0.07485033369296974,1.92725723939103e-8,self
0.8,0.4,0.884,0.98,0.9999999477310461,0.07485033564035043,2.2633418436724347e-8,self
0.8,0.4,0.98,0.02,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.116,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.212,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.308,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.404,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.5,0.999999995227863,0.07485032372318257,2.0664230667310573e-9,self
0.8,0.4,0.98,0.596,0.9999999942338429,0.07485032397258676,2.496852055541936e-9,self
0.8,0.4,0.98,0.692,0.9999999910216911,0.07485032477853014,3.887772819943443e-9,self
0.8,0.4,0.98,0.788,0.999999986048603,0.07485032602630062,6.041211479481868e-9,self
0.8,0.4,0.98,0.884,0.9999999797128195,0.07485032761597742,8.784722212922238e-9,self
0.8,0.4,0.98,0.98,0.9999999722600122,0.07485032948592073,1.2011924847390593e-8,self
0.8,0.7,0.02,0.02,0.9999997568976842,0.0753003958735281,1.0530230064057914e-7,self
0.8,0.7,0.02,0.116,0.9999997518325072,0.07530039715142414,1.0749633495029594e-7,self
0.8,0.7,0.02,0.212,0.9999997447101351,0.07530039894833103,1.105814648489538e-7,self
0.8,0.7,0.02,0.308,0.9999997354083272,0.07530040129508897,1.1461064012802572e-7,self
0.8,0.7,0.02,0.404,0.9999997237817367,0.07530040422836769,1.1964681932650454e-7,self
0.8,0.7,0.02,0.5,0.999999709613907,0.07530040780277712,1.2578376286552671e-7,self
0.8,0.7,0.02,0.596,0.9999996926156429,0.07530041209127875,1.3314673874215523e-7,self
0.8,0.7,0.02,0.692,0.9999996724081718,0.07530041718943346,1.418998163087726e-7,self
0.8,0.7,0.02,0.788,0.9999996484922419,0.07530042322319798,1.5225925168963834e-7,self
0.8,0.7,0.02,0.884,0.9999996201835499,0.07530043036521598,1.6452145811865575e-7,self
0.8,0.7,0.02,0.98,0.9999995866213366,0.0753004388326494,1.7905928260283672e-7,self
0.8,0.7,0.116,0.02,0.9999997877900996,0.07530038807966574,9.192092833699395e-8,self
0.8,0.7,0.116,0.116,0.9999997855184951,0.0753003886527698,9.290489749265396e-8,self
0.8,0.7,0.116,0.212,0.9999997809835421,0.07530038979689535,9.486925974619074e-8,self
0.8,0.7,0.116,0.308,0.9999997741531501,0.07530039152013815,9.782791535859382e-8,self
0.8,0.7,0.116,0.404,0.9999997650571604,0.07530039381496982,1.0176793830843662e-7,self
0.8,0.7,0.116,0.5,0.999999753613962,0.07530039670198001,1.0672467920611457e-7,self
0.8,0.7,0.116,0.596,0.9999997396907775,0.07530040021466734,1.1275565203948095e-7,self
0.8,0.7,0.116,0.692,0.999999723020812,0.07530040442034179,1.199764218404081e-7,self
0.8,0.7,0.116,0.788,0.999999703302636,0.07530040939505116,1.2851755591102244e-7,self
0.8,0.7,0.116,0.884,0.9999996800502892,0.07530041526139915,1.385895531918364e-7,self
0.8,0.7,0.116,0.98,0.9999996526621454,0.07530042217117043,1.504530143142111e-7,self
0.8,0.7,0.212,0.02,0.9999998119778097,0.07530038197733745,8.144376926617603e-8,self
0.8,0.7,0.212,0.116,0.9999998119544965,0.07530038198321909,8.145386762307478e-8,self
0.8,0.7,0.212,0.212,0.9999998105476681,0.07530038233814842,8.206325002586785e-8,self
0.8,0.7,0.212,0.308,0.9999998064347616,0.07530038337579542,8.384479837753299e-8,self
0.8,0.7,0.212,0.404,0.9999997997942152,0.07530038505114192,8.672122037907808e-8,self
0.8,0.7,0.212,0.5,0.9999997907910555,0.07530038732255315,9.062103293456873e-8,self
0.8,0.7,0.212,0.596,0.9999997794416496,0.07530039018590007,9.553714656566327e-8,self
0.8,0.7,0.212,0.692,0.9999997656645675,0.0753003936617268,1.0150483356985596e-7,self
0.8,0.7,0.212,0.788,0.9999997492613144,0.07530039780011165,1.086100739620415e-7,self
0.8,0.7,0.212,0.884,0.9999997299543003,0.07530040267108831,1.169731088891875e-7,self
0.8,0.7,0.212,0.98,0.9999997073142743,0.0753004083829527,1.2677987281392488e-7,self
0.8,0.7,0.308,0.02,0.999999834884066,0.07530037619830822,7.15216854207195e-8,self
0.8,0.7,0.308,0.116,0.999999834884066,0.07530037619830822,7.15216854207195e-8,self
0.8,0.7,0.308,0.212,0.999999834884066,0.07530037619830822,7.15216854207195e-8,self
0.8,0.7,0.308,0.308,0.9999998337840801,0.07530037647582417,7.199815579831483e-8,self
0.8,0.7,0.308,0.404,0.9999998296185995,0.07530037752673502,7.380247717263876e-8,self
0.8,0.7,0.308,0.5,0.9999998228341551,0.07530037923838531,7.674122998784645e-8,self
0.8,0.7,0.308,0.596,0.9999998136920604,0.07530038154484833,8.070122369750104e-8,self
0.8,0.7,0.308,0.692,0.9999998022592259,0.0753003844292432,8.565347522831509e-8,self
0.8,0.7,0.308,0.788,0.9999997884912079,0.07530038790278275,9.161723595066984e-8,self
0.8,0.7,0.308,0.884,0.9999997722431658,0.07530039200200896,9.865524498273099e-8,self
0.8,0.7,0.308,0.98,0.9999997532453949,0.07530039679496599,1.0688432788356638e-7,self
0.8,0.7,0.404,0.02,0.9999998577903227,0.07530037041927962,6.159960152097949e-8,self
0.8,0.7,0.404,0.116,0.9999998577903227,0.07530037041927962,6.159960152097949e-8,self
0.8,0.7,0.404,0.212,0.9999998577903227,0.07530037041927962,6.159960152097949e-8,self
0.8,0.7,0.404,0.308,0.9999998577903227,0.07530037041927962,6.159960152097949e-8,self
0.8,0.7,0.404,0.404,0.999999856043735,0.0753003708599269,6.235615419799069e-8,self
0.8,0.7,0.404,0.5,0.9999998512680071,0.07530037206479726,6.442481056050334e-8,self
0.8,0.7,0.404,0.596,0.9999998439977182,0.07530037389902126,6.757401194799301e-8,self
0.8,0.7,0.404,0.692,0.9999998344844685,0.07530037629912295,7.169477526754355e-8,self
0.8,0.7,0.404,0.788,0.9999998227780307,0.07530037925254503,7.676554089489875e-8,self
0.8,0.7,0.404,0.884,0.9999998088831855,0.07530038275808147,8.278423801203315e-8,self
0.8,0.7,0.404,0.98,0.9999997926727979,0.0753003868478075,8.980593656585537e-8,self
0.8,0.7,0.5,0.02,0.9999998806965796,0.07530036464025155,5.167751768143716e-8,self
0.8,0.7,0.5,0.116,0.9999998806965796,0.07530036464025155,5.167751768143716e-8,self
0.8,0.7,0.5,0.212,0.9999998806965796,0.07530036464025155,5.167751768143716e-8,self
0.8,0.7,0.5,0.308,0.9999998806965796,0.07530036464025155,5.167751768143716e-8,self
0.8,0.7,0.5,0.404,0.9999998803886946,0.07530036471792804,5.1810881308824704e-8,self
0.8,0.7,0.5,0.5,0.9999998773571146,0.07530036548276639,5.3124041740229084e-8,self
0.8,0.7,0.5,0.596,0.9999998716454712,0.075300366923759,5.559809957863742e-8,self
0.8,0.7,0.5,0.692,0.9999998636641053,0.07530036893738079,5.905531138354982e-8,self
0.8,0.7,0.5,0.788,0.9999998535779895,0.07530037148201082,6.342421757903385e-8,self
0.8,0.7,0.5,0.884,0.9999998414894601,0.07530037453183071,6.866049010845137e-8,self
0.8,0.7,0.5,0.98,0.9999998273757593,0.07530037809258211,7.477398677444081e-8,self
0.8,0.7,0.596,0.02,0.9999999036028363,0.07530035886122412,4.175543404163456e-8,self
0.8,0.7,0.596,0.116,0.9999999036028363,0.07530035886122412,4.175543404163456e-8,self
0.8,0.7,0.596,0.212,0.9999999036028363,0.07530035886122412,4.175543404163456e-8,self
0.8,0.7,0.596,0.308,0.9999999036028363,0.07530035886122412,4.175543404163456e-8,self
0.8,0.7,0.596,0.404,0.9999999036028363,0.07530035886122412,4.175543404163456e-8,self
0.8,0.7,0.596,0.5,0.9999999020241469,0.07530035925951219,4.243925978929524e-8,self
0.8,0.7,0.596,0.596,0.9999998975882043,0.07530036037865767,4.436073453262656e-8,self
0.8,0.7,0.596,0.692,0.9999998908111241,0.07530036208844954,4.7296297392522335e-8,self
0.8,0.7,0.596,0.788,0.9999998819807365,0.07530036431627114,5.112127173182731e-8,self
0.8,0.7,0.596,0.884,0.9999998712743611,0.07530036701738653,5.575884981385847e-8,self
0.8,0.7,0.596,0.98,0.9999998587257634,0.07530037018327694,6.119440567065085e-8,self
0.8,0.7,0.692,0.02,0.9999999265090929,0.07530035308219728,3.183335056807128e-8,self
