seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
63641,0.8119991146460322,0.936700899251021,0.2325372501718662,0.9437781912352781,0.7403865221448958,0.8313099535813119,0.7621701778454211,0.4314523021288845,0.6875,0.0,0.625,0.0,0.625,0.0,0.9994895475032567,0.38958356175910763,0.625,0.0
63642,0.7351683001354885,0.9198964108831337,0.6303963617038624,0.9360254844483398,0.7975270730022328,0.9356534626444731,0.6701456638890748,0.4357186571879353,0.75,0.0,0.75,0.0,0.75,0.0,0.9990894602672105,0.05637917785314915,0.75,0.0
63643,0.7233152631739246,0.9605764619113127,0.6916413688735391,0.9409119177554396,0.7512560837062251,0.8087457165641341,0.4604657242292326,0.44051067214447953,0.3125,0.0,0.3125,0.0,0.3125,0.0,0.8858441412877789,0.389845336216066,0.3125,0.0
63644,0.7982176462966458,0.9106065232056921,0.4441239771907193,0.9523971748770591,0.6828113846450752,0.8423329482104427,0.5772373881228406,0.5057266886078307,0.5,0.0,0.5625,0.0625,0.5,0.125,0.8175215895602677,0.07258293911640322,0.4375,-0.0
63645,0.6418838976661088,0.9234885946823442,0.31923605183081727,0.9311341404972123,0.7727872726561192,0.9344731361418389,0.5005394170288655,0.5531888162726101,0.1875,0.0,0.25,0.0625,0.25,0.1875,0.5288977466248481,0.744127736861228,0.17307692307692307,-0.0
63646,0.7016100940723792,0.9339062120260897,0.1625800856970599,0.9068920715581346,0.784670966650932,0.9091389573644049,0.48511579864088933,0.432210402854455,0.5,0.0,0.5,0.0,0.4375,0.0625,0.9325005437845614,0.1909803094085777,0.5,0.0
63647,0.6895994385481113,0.9159971577920691,0.4487037731364693,0.9259021525598843,0.8037785161005087,0.9178732721966767,0.5709064212200767,0.4586968698184662,0.4375,0.0,0.5,0.0625,0.4375,0.125,0.73837264880408,0.15283337907803796,0.38888888888888884,-0.0
63648,0.6789658059604078,0.9429082023539671,0.2111025227309261,0.918267717215308,0.754443661871828,0.9046957127908194,0.4906718383541972,0.4832099475736684,0.3125,0.0,0.25,0.0,0.3125,0.0625,0.3080342507506996,0.08310737785126725,0.25,0.0
63649,0.7648020840221498,0.9718256969102004,0.13590138414085307,0.9517248154870569,0.7229189040728948,0.8969322656083064,0.7773418843137843,0.44734981704375165,0.8125,0.0,0.8125,0.0,0.6875,0.125,0.9998205620258194,0.27869968141515444,0.8125,0.0
63650,0.8482816043960056,0.9528981634169527,0.32432846216079864,0.892497591804691,0.8093405068793139,0.8995473981893013,0.513586494162148,0.46323405694131115,0.3125,0.0,0.375,0.0625,0.4375,0.125,0.5129738386924645,0.14898221801824993,0.28409090909090906,-0.0
63651,0.7251811580629611,0.9689937240405124,0.3131335308614854,0.9353671563187765,0.7720187934519314,0.8561715315100867,0.5976231359490902,0.45116213533762395,0.5,0.0,0.5,0.0,0.5,0.0,0.9173827818128903,0.06356810691496619,0.5,0.0
63652,0.6303038551661282,0.887725407153648,0.1742807527709868,0.9371785178821833,0.7793710144822441,0.8507487499545733,0.46133632969187705,0.45426080021079185,0.25,0.0,0.25,0.0,0.25,0.125,0.24605288978001855,0.3112016267812143,0.25,0.0
63653,0.4805846117426586,0.9489587697373498,0.2775781351953092,0.9695839636564523,0.6287834889903743,0.92468077289463,0.7064642287458777,0.4581906369897136,0.75,0.0,0.8125,0.0625,0.8125,0.0625,0.9999269876450094,0.29840292651196665,0.5625,-0.0
63654,0.6866990817074369,0.876978490745286,0.2841348113415253,0.9284579602063552,0.7955703699634302,0.9255549035623882,0.6690227552837453,0.49459569420084193,0.5625,0.0,0.5625,0.0,0.6875,0.125,0.9939478247314228,0.2797505258457156,0.5625,0.0
63655,0.5488174494602548,0.9511869885842114,0.6220011483170881,0.9459678094301026,0.7535220603975281,0.8723718988825279,0.4347589116707236,0.45079405280446316,0.0,0.0,0.0625,0.0625,0.125,0.125,0.008714968609142299,0.13545658871225374,-0.0,-0.0
63656,0.7648826792847747,0.9654516179920263,0.6855731572438247,0.9455503706171717,0.8188782921216415,0.8853052409211144,0.5526751612406511,0.5293574664349028,0.375,0.0,0.4375,0.125,0.375,0.1875,0.9508606101866302,0.8589574551407784,0.2375,-0.0
63657,0.5614898650565414,0.9398694140888113,0.20732595131874682,0.9468735570900979,0.7509442649541767,0.9024093528485477,0.5426098236078248,0.44008030597929904,0.5,0.0,0.4375,0.0,0.3125,0.125,0.9395907750283975,0.6471501796238912,0.4375,0.0
63658,0.6919392557138934,0.947286214228884,0.17186413599122968,0.9691543574505717,0.7419790508274542,0.9089983471832097,0.6485510116917612,0.45459154671924584,0.5625,0.0,0.5625,0.0625,0.5625,0.0625,0.9921700835054477,0.3136495793754329,0.5625,-0.0
63659,0.7995669247014174,0.9176505321445868,0.4022325492774614,0.9502740508470776,0.8360132425847934,0.9004868395610695,0.5812806289361827,0.5700379248734502,0.375,0.0,0.375,0.0,0.1875,0.1875,0.7017546047850501,0.7559224948514925,0.375,0.0
