seed,regularity,run_length,acute_timing,acute_count,low_final,high_final,low_minus_high,low_maximum_step,high_maximum_step
63640,periodic,64,late,1,0.7747380622442038,0.6696634306578206,0.1050746315863832,0.05273986727240787,0.05685499025805174
63641,jittered,64,late,1,0.6731143625852857,0.5520807317184362,0.12103363086684948,0.040311133196850535,0.0579312251716283
63642,bernoulli,64,late,1,0.7269633891919444,0.48052026214276233,0.24644312704918203,0.0460030838521448,0.058326248947076775
63643,clustered,64,late,1,0.7273286847258906,0.6589343763074091,0.06839430841848149,0.05460728195729936,0.05835329285437907
63644,periodic,80,late,1,0.693887573827034,0.7748514250962001,-0.08096385126916605,0.046962769144522964,0.05740465096375813
63645,jittered,80,late,1,0.7384334815533168,0.7529633965626332,-0.01452991500931644,0.04029567788151511,0.056244504995925704
63646,bernoulli,80,late,1,0.6793533274618827,0.7707891708461454,-0.0914358433842627,0.07085649810083705,0.05787190585106328
63647,clustered,80,late,1,0.7227327130261705,0.6555509354299486,0.0671817775962219,0.0663867517425013,0.05239100961248011
63648,periodic,16,early,1,0.5169438643964804,0.44499128293657236,0.07195258145990807,0.04858165838082018,0.05064658737778899
63649,jittered,16,early,1,0.44978466426427915,0.41180464307330555,0.0379800211909736,0.06643289889799509,0.042850783327454955
63650,bernoulli,16,early,1,0.5242122030491909,0.5435890519213116,-0.019376848872120656,0.13649635301144258,0.08287010641483034
63651,clustered,16,early,1,0.4608821056427532,0.4216812135071893,0.039200892135563936,0.03172939687936355,0.03934658839782296
63652,periodic,32,early,1,0.5106541267952295,0.43238283421404144,0.07827129258118803,0.06163317532391249,0.05696454278840596
63653,jittered,32,early,1,0.5133846003103562,0.5010416959306105,0.012342904379745612,0.056334155593805446,0.05209007889287087
63654,bernoulli,32,early,1,0.5818806132448495,0.6384176283341761,-0.056537015089326625,0.03877805022978731,0.04044299365711068
63655,clustered,32,early,1,0.5603209487152959,0.669530912017632,-0.10920996330233612,0.04505476356544935,0.02984269814935181
63656,periodic,64,early,1,0.6911514212133694,0.6557982009692532,0.035353220244116135,0.041283472878203664,0.05726545918414849
63657,jittered,64,early,1,0.6979310760741738,0.5686944860582023,0.12923659001597154,0.04908273639484095,0.05856755606891273
63658,bernoulli,64,early,1,0.7553937739398678,0.6401463419871585,0.11524743195270937,0.042819379845542904,0.05836908943583147
63659,clustered,64,early,1,0.6357514327673754,0.6494982705914194,-0.013746837824043956,0.0576812709926221,0.05537153010380391
63660,periodic,80,early,1,0.7193654745561289,0.6808111256241608,0.038554348931968074,0.03679838513656786,0.05826509245684819
63661,jittered,80,early,1,0.712705254693118,0.7002672271183277,0.012438027574790289,0.040760250076105176,0.05735775786206987
63662,bernoulli,80,early,1,0.7528459526040311,0.7395793607991065,0.013266591804924621,0.04702436059521964,0.054818049690182
63663,clustered,80,early,1,0.7784908222580508,0.5399792432546899,0.23851157900336084,0.061307527968067765,0.0537229057798746
