seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63044,periodic,80,late,0,0.5,0.2755902693492976,0.0,0.7647891629845288,0.054811436889857124
63045,jittered,80,late,0,0.0,-1.744988717100658,0.0,0.7300350439668138,0.05635753538640842
63046,bernoulli,80,late,0,0.75,-0.8682697701981275,0.0,0.7312814599485032,0.05648919826817461
63047,clustered,80,late,0,0.25,-1.6552644092809359,0.0,0.7040026036395576,0.055153410123417235
63048,periodic,16,early,1,1.0,0.3387564125656635,0.1009082225808526,0.5057672431534825,0.05585795071633559
63049,jittered,16,early,1,0.5,-1.460796391507676,0.1009082225808526,0.4396226947864927,0.05648919826817461
63050,bernoulli,16,early,1,0.0,-0.6394865291136518,0.1009082225808526,0.5767666092045078,0.10325100681347388
63051,clustered,16,early,1,0.75,-2.2622149448620767,0.1009082225808526,0.3399970590025867,0.03891316757159746
63052,periodic,32,early,1,0.25,-2.225455133231183,-0.6528635797955276,0.4912118250711605,0.05699567103749864
63053,jittered,32,early,1,1.0,-1.5907036300364683,0.1009082225808526,0.5241531802307193,0.05069836325373328
63054,bernoulli,32,early,1,0.5,0.32606472964238253,0.1009082225808526,0.5523921288395384,0.0561873841664019
63055,clustered,32,early,1,0.0,-2.011194365469742,0.1009082225808526,0.4842537492867555,0.0472549042321222
63056,periodic,64,early,1,0.75,-0.3567399192016344,0.1009082225808526,0.6371291035191845,0.052563773780949896
63057,jittered,64,early,1,0.25,-1.5255354684851552,0.1009082225808526,0.6008771151546889,0.05047303172446638
63058,bernoulli,64,early,1,1.0,-1.3701422635479443,0.1009082225808526,0.6039577472226014,0.04093455091194187
63059,clustered,64,early,1,0.5,-0.8324150370877406,0.1009082225808526,0.6288703005143942,0.04805722617356645
63060,periodic,80,early,1,0.0,-1.922398319026124,0.1009082225808526,0.6913569936976459,0.057668382391354245
63061,jittered,80,early,1,0.75,-1.7171301668922918,0.1009082225808526,0.6039598928530103,0.056334155593805446
63062,bernoulli,80,early,1,0.25,-1.232159007848854,0.1009082225808526,0.6163750721038161,0.04517483641051989
63063,clustered,80,early,1,1.0,0.18960972034737367,0.1009082225808526,0.6488833940318277,0.04223399516725074
63064,periodic,16,middle,1,0.5,-0.4231875454071443,0.1009082225808526,0.4570918612288561,0.032488052594458805
63065,jittered,16,middle,1,0.0,-0.5448888476015692,0.1009082225808526,0.4938517588659336,0.056334155593805446
63066,bernoulli,16,middle,1,0.75,0.4905462193578951,0.1009082225808526,0.49308488127468475,0.05283504313241094
63067,clustered,16,middle,1,0.25,-1.9321244969757851,0.1009082225808526,0.43383264701798147,0.035649989398912396
63068,periodic,32,middle,1,1.0,0.9647446769512433,0.1009082225808526,0.5898863965164046,0.042247032731919876
63069,jittered,32,middle,1,0.5,-2.082282789379401,0.1009082225808526,0.5456869593537096,0.05319683677607401
63070,bernoulli,32,middle,1,0.0,-1.3551498885393494,0.1009082225808526,0.510163221728061,0.030543891771626974
63071,clustered,32,middle,1,0.75,-1.2210524328539538,0.1009082225808526,0.4606425005464524,0.053393134998735714
63072,periodic,64,middle,1,0.25,-2.278473470939457,0.1009082225808526,0.7179670114409499,0.05877238559369302
63073,jittered,64,middle,1,1.0,1.2176854320510437,0.1009082225808526,0.7364920814163218,0.04389379227441015
63074,bernoulli,64,middle,1,0.5,-1.9802230005924697,0.1009082225808526,0.6005483916866944,0.0560008310336122
63075,clustered,64,middle,1,0.0,-2.7186704716549537,0.1009082225808526,0.686665480767007,0.058667453264562575
