seed,stage,episode,world,model,arm,guide_regime,contact_mode,packets,interventions,contact,pseudo_observations,selected_channels,packet_signature,contact_signature,replay_exact
17001,43A,34,configuration_violating,learned_joint,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,2;87;175;19;43;214;220;63,true
17001,43A,34,configuration_violating,factorized_replay,replay,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,2;87;175;19;43;214;220;63,true
17001,stress,34,coordinated_precision,adaptive_global,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,stress,34,coordinated_precision,rigid_global,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,stress,34,coordinated_precision,independent_local,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,stress,34,local_deviation,adaptive_global,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,stress,34,local_deviation,rigid_global,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,stress,34,local_deviation,independent_local,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,no_guidance,none,present,0,0,1,0,,,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,random_guidance,none,present,2,2,1,0,4;2,-1.2313951309135998;-0.9899475222467766;2.5294990456186124;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,scaffolded,accurate_stable,present,2,2,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,conclusion,accurate_stable,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,conclusion_info_matched,accurate_stable,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,scaffolded,noisy,present,2,2,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,conclusion,noisy,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,conclusion_info_matched,noisy,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,scaffolded,systematically_wrong,present,2,2,1,0,1;3,0.8201420137029587;1.5529963994012865;1.0162497201174459;1.9499728015988693,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,conclusion,systematically_wrong,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,conclusion_info_matched,systematically_wrong,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,scaffolded,context_switch,present,2,2,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,conclusion,context_switch,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,joint,joint,conclusion_info_matched,context_switch,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,no_guidance,none,present,0,0,1,0,,,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,random_guidance,none,present,2,2,1,0,4;2,-1.2313951309135998;-0.9899475222467766;2.5294990456186124;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,scaffolded,accurate_stable,present,2,2,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,conclusion,accurate_stable,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,conclusion_info_matched,accurate_stable,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,scaffolded,noisy,present,2,2,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,conclusion,noisy,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,conclusion_info_matched,noisy,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,scaffolded,systematically_wrong,present,2,2,1,0,2;1,-0.9899475222467766;0.8201420137029587;0.21639764879236262;1.0162497201174459,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,conclusion,systematically_wrong,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,conclusion_info_matched,systematically_wrong,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,scaffolded,context_switch,present,2,2,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,conclusion,context_switch,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,43B,34,factorized,factorized,conclusion_info_matched,context_switch,present,0,2,1,2,,,97;38;236;55;93;76;233;63,true
17001,stress,34,joint,learned_joint,scaffolded,accurate_stable,absent,2,2,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,224;97;22;26;230;228;202;191,true
17001,stress,34,joint,learned_joint,no_guidance,accurate_stable,absent,0,0,1,0,,,224;97;22;26;230;228;202;191,true
17001,stress,34,joint,learned_joint,scaffolded,accurate_stable,misattuned,2,2,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,98;15;183;82;59;144;217;191,true
17001,stress,34,joint,learned_joint,no_guidance,accurate_stable,misattuned,0,0,1,0,,,98;15;183;82;59;144;217;191,true
17001,43C,34,joint,guided_policy_learner,guided_training,accurate_stable,present,2,2,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43C,34,joint,random_policy_learner,random_training,none,present,2,2,1,0,4;2,-1.2313951309135998;-0.9899475222467766;2.5294990456186124;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43A,35,joint,learned_joint,autonomous,none,present,2,0,1,0,1;4,-0.56538695987134;-1.7760874595140528;-0.05060141688119402;-2.4803857540071945,210;20;48;76;171;248;234;63,true
17001,43A,35,joint,learned_joint,random,none,present,2,2,1,0,2;4,-0.13581107186763572;-1.7760874595140528;1.2248479346816945;-2.4803857540071945,210;20;48;76;171;248;234;63,true
