seed,bundle_gain,transfer_gain,joint_action_gain,factorized_action_gain,action_interaction,adversarial_advantage,capacity_log_score_gain,noisy_guidance_log_loss_gain,wrong_guidance_log_loss_gain,stale_guidance_log_loss_gain,accurate_conclusion_accuracy_advantage,wrong_suggestion_cost,noisy_transfer_gain,wrong_transfer_gain,stale_transfer_gain,noisy_information_matched_gain,wrong_information_matched_gain,stale_information_matched_gain,joint_guidance_interaction,adaptive_release_gain,coordinated_global_gain,post_scaffold_accuracy_gain,post_scaffold_transfer_gain,post_scaffold_new_channel_rate,contact_absent_scaffold_accuracy,contact_misattuned_scaffold_accuracy,contact_only_accuracy
17011,0.140625,0.15625,0.171875,-0.015625,0.1875,-0.03125,0.9034931376501527,0.20530987424494646,1.027103328637218,1.042277142821807,0.125,0.625,0.09375,0.171875,0.1171875,0.27764729967865137,0.6279379038390391,0.6418366097046138,0.019440714376314228,0.38655519755264534,0.4428318976393296,0.0,0.0,1.0,0.875,0.859375,0.625
17012,0.125,0.1015625,0.109375,-0.015625,0.125,0.046875,0.9338860274971044,0.13642357669011523,1.0013974495457434,1.018404773475908,0.203125,0.609375,0.13671875,0.125,-0.0234375,0.1886377989848545,0.5979494821061595,0.6195165011665521,0.0004274089025679828,0.2652838294525466,0.46690537323390036,0.0,0.0,1.0,0.78125,0.75,0.609375
17013,0.09375,-0.0078125,0.140625,0.03125,0.109375,-0.03125,0.37388536035148334,0.10997501590081138,1.0261159380088267,0.967452194965168,0.21875,0.6875,0.01171875,0.1328125,-0.0234375,0.15143957297180577,0.6231245037028672,0.5677808034240923,-0.030442486312117767,0.12436511306183062,0.330287013421354,0.0,0.0,1.0,0.78125,0.8125,0.59375
17014,0.03125,0.0234375,-0.046875,0.09375,-0.140625,-0.109375,0.8714053557174177,-0.050751550036197524,1.031429227047166,0.9610028119097183,0.25,0.640625,0.0859375,0.25,0.1015625,0.08083577486318727,0.6259531308643463,0.5583335834829042,-0.06690459915031433,0.43613877562119785,0.03694780427720867,0.0,0.09375,1.0,0.703125,0.734375,0.578125
17015,0.09375,0.078125,0.125,-0.03125,0.15625,0.03125,0.614935054323158,0.21788041780860373,1.035766743555471,1.1088013989319978,0.15625,0.59375,0.03125,0.1328125,0.0625,0.21845127712209117,0.6298301796452725,0.6994556779444933,-0.0592583621198961,0.4239598008053196,0.3601014456948611,0.0,0.0,1.0,0.8125,0.828125,0.59375
17016,0.015625,0.046875,0.0625,-0.0625,0.125,-0.15625,0.5024842264162452,0.025014787409349037,0.9733511940681373,0.9966592590393977,0.265625,0.546875,-0.015625,0.1328125,-0.0390625,0.08938213848018894,0.5691604865378083,0.5947991210217276,-0.017194812970668716,0.2028731820588825,0.24071763659333634,0.0,0.0,1.0,0.671875,0.703125,0.59375
17017,0.046875,-0.03125,0.109375,0.109375,0.0,0.0625,0.5391382219061001,0.1373744303584168,1.0094598724796997,1.0446754477233937,0.234375,0.625,-0.0234375,0.12890625,0.0703125,0.18231513007487388,0.6072816626773422,0.6383078816452326,-0.041027443790312645,0.28929650580613675,0.3489674933184861,0.0,0.0,1.0,0.78125,0.765625,0.625
17018,0.078125,0.03125,0.140625,0.078125,0.0625,-0.0625,0.638918237409166,-0.046233053417923775,0.9967677691035723,0.989924458089697,0.234375,0.609375,0.04296875,0.09375,0.09375,0.023577501706783077,0.5964920691973212,0.5904314238606058,0.006005100479350101,0.21412326051306296,0.2358065343086737,0.0,0.0,1.0,0.6875,0.703125,0.65625
17019,0.125,0.0625,0.25,-0.03125,0.28125,-0.125,0.6668459047289996,0.02981819771998967,0.9828136903627734,1.0622728293078088,0.1875,0.53125,0.0546875,0.04296875,0.140625,0.13138029128861456,0.5814179885009562,0.6510254385709012,-0.024667390831032976,-0.0012876684673237548,0.15124168196079701,0.1875,0.03125,1.0,0.765625,0.78125,0.625
17020,0.046875,0.09375,0.109375,0.0,0.109375,0.109375,0.5814191581540205,0.15203173814658,1.000643536474083,1.048166441784374,0.234375,0.515625,0.11328125,0.05859375,-0.015625,0.1782071937696561,0.5978057055433408,0.6500672674482859,-0.04564877761026409,0.16491387934124502,0.3920853081671807,0.0625,-0.0625,1.0,0.703125,0.75,0.59375
