seed,stage,episode,phase,world,model,arm,guide_regime,contact_mode,precision_mode,root,bundle_self,bundle_world,bundle_policy,bundle_outcome,probability_positive,root_correct,root_log_loss,root_brier,bundle_accuracy,transfer_accuracy,false_root_revision,false_component_revision,time_to_correct,first_action,second_action,expected_information_gain,realized_information_gain,joint_bundle_log_score,forecast_error,release_weight,replay_exact,contact_value
17020,stress,33,heldout_before,joint,learned_joint,no_guidance,accurate_stable,misattuned,adaptive_global,1,-1,-1,-1,-1,0.31245414389583737,false,1.1632975601063,0.4727193042460059,0.75,0.75,true,0.25,-1,0,0,0.0,0.0,-2.3487744754634203,0.5812401698058339,0.28149252810160025,true,-0.9480668148330089
17020,43C,33,heldout_before,joint,guided_policy_learner,guided_training,accurate_stable,present,adaptive_global,1,-1,-1,-1,-1,0.4985897092723798,false,0.6959717473507985,0.25141227964755664,0.75,0.5,true,0.25,-1,1,2,0.07185903799774052,-0.013638994753897404,-2.3487744754634203,0.5812401698058339,0.2808838846804399,true,0.24193318516699108
17020,43C,33,heldout_before,joint,random_policy_learner,random_training,none,present,adaptive_global,1,-1,-1,-1,-1,0.30329428677576986,false,1.1930517013401585,0.4853988508392832,0.5,0.0,true,0.5,-1,1,4,0.01137563863515667,0.06587444898426087,-2.3487744754634203,0.5812401698058339,0.28149598322114866,true,0.24193318516699108
17020,43A,34,heldout_before,joint,learned_joint,autonomous,none,present,adaptive_global,1,1,1,-1,1,0.6430447825716236,true,0.4415409108685834,0.1274170272493395,0.75,0.5,false,0.25,1,1,2,0.0307331662412631,0.03752528673238731,-1.3126825437766447,0.5782711967302155,0.28281085784549875,true,0.42089794301916006
17020,43A,34,heldout_before,joint,learned_joint,random,none,present,adaptive_global,1,1,1,-1,1,0.5219226932200436,true,0.6502357993465933,0.22855791125797656,0.75,0.5,false,0.25,2,4,1,0.013432942487452415,-0.00301916465942087,-1.3126825437766447,0.5773834420763683,0.2815730481293193,true,0.42089794301916006
17020,43A,34,heldout_before,joint,factorized_replay,replay,none,present,adaptive_global,1,1,1,-1,1,0.569157095686876,true,0.563598792123773,0.18562560819696772,0.75,0.5,false,0.25,1,1,2,0.01819875497395862,0.005623665736206873,-1.7803591335761488,0.578109720962168,0.28268660983321275,true,0.42089794301916006
17020,43A,34,heldout_before,joint,shuffled_replay,replay,none,present,adaptive_global,1,1,1,-1,1,0.5675233886206456,true,0.566473317047379,0.18703601939016917,1.0,1.0,false,0.0,1,1,2,0.018045606374138545,0.005174880444641317,-1.7213786724662554,0.5780614589428483,0.2826526415438093,true,0.42089794301916006
17020,43A,34,heldout_before,joint,learned_joint,precision_blind,none,present,adaptive_global,1,1,1,-1,1,0.5585857687707116,true,0.5823471023965406,0.19484652353174364,0.75,0.5,false,0.25,2,4,2,0.016860925960930362,0.0029056084959002693,-1.3126825437766447,0.578721811722651,0.2829545006694975,true,0.42089794301916006
17020,43A,34,heldout_before,factorized,factorized,autonomous,none,present,adaptive_global,1,-1,1,-1,1,0.3810502770736561,false,0.9648239517382553,0.38309875951059785,0.5,0.0,true,0.5,-1,1,2,0.018595374700537848,0.02500426175422954,-2.57676764245786,0.5837895699852994,0.28476762659232513,true,0.42089794301916006
17020,43A,34,heldout_before,factorized,factorized,random,none,present,adaptive_global,1,-1,1,-1,1,0.345052220993096,false,1.0640595082079531,0.42895659322607643,0.75,0.5,true,0.25,-1,4,1,0.017588703398214167,0.04524609830799586,-2.57676764245786,0.5831405835801506,0.2836644463587643,true,0.42089794301916006
17020,43A,34,heldout_before,configuration_violating,learned_joint,autonomous,none,present,adaptive_global,1,1,1,-1,-1,0.5339682984685227,true,0.6274188079479979,0.21718554683232397,0.75,0.5,false,0.25,2,1,2,0.019441483774537915,-0.022802295197512645,-4.410197511640578,0.5780684858858238,0.282746506311174,true,0.0808979430191602
17020,43A,34,heldout_before,configuration_violating,factorized_replay,replay,none,present,adaptive_global,1,1,1,-1,-1,0.5020937497865815,true,0.6889684241635856,0.2479106340015873,0.75,0.5,false,0.25,2,1,2,0.017530239898943534,-0.025092027661451466,-2.7707578376040263,0.5780499905918783,0.2827154539152959,true,0.0808979430191602
17020,stress,34,heldout_before,coordinated_precision,adaptive_global,autonomous,none,present,adaptive_global,1,1,1,-1,1,0.6430447825716236,true,0.4415409108685834,0.1274170272493395,0.75,0.5,false,0.25,1,1,2,0.0307331662412631,0.03752528673238731,-1.3126825437766447,0.5782711967302155,0.28281085784549875,true,0.42089794301916006
17020,stress,34,heldout_before,coordinated_precision,rigid_global,autonomous,none,present,rigid_global,1,1,1,-1,1,0.6250930075847221,true,0.46985482818160773,0.14055525296186924,0.75,0.5,false,0.25,2,1,2,0.02782730776381992,0.02769181240084695,-1.3126825437766447,0.5689215296463448,0.0,true,0.42089794301916006
17020,stress,34,heldout_before,coordinated_precision,independent_local,autonomous,none,present,independent_local,1,1,1,-1,1,0.5535773409147645,true,0.5913538059448824,0.19929319054473238,0.75,0.5,false,0.25,2,1,2,0.010721655581110823,0.00055226557737309,-1.3126825437766447,0.9693469598693342,1.0,true,0.42089794301916006
17020,stress,34,heldout_before,local_deviation,adaptive_global,autonomous,none,present,adaptive_global,1,1,1,-1,1,0.6430447825716236,true,0.4415409108685834,0.1274170272493395,0.75,0.5,false,0.25,1,1,2,0.0307331662412631,0.03752528673238731,-1.3126825437766447,0.5782711967302155,0.28281085784549875,true,0.42089794301916006
17020,stress,34,heldout_before,local_deviation,rigid_global,autonomous,none,present,rigid_global,1,1,1,-1,1,0.6250930075847221,true,0.46985482818160773,0.14055525296186924,0.75,0.5,false,0.25,2,1,2,0.02782730776381992,0.02769181240084695,-1.3126825437766447,0.5689215296463448,0.0,true,0.42089794301916006
17020,stress,34,heldout_before,local_deviation,independent_local,autonomous,none,present,independent_local,1,1,1,-1,1,0.5535773409147645,true,0.5913538059448824,0.19929319054473238,0.75,0.5,false,0.25,2,1,2,0.010721655581110823,0.00055226557737309,-1.3126825437766447,0.9693469598693342,1.0,true,0.42089794301916006
17020,43B,34,heldout_before,joint,joint,no_guidance,none,present,adaptive_global,1,1,1,-1,1,0.4554818332584123,false,0.7863994461545063,0.2965000339116195,0.75,0.75,true,0.25,-1,0,0,0.0,0.0,-1.3126825437766447,0.5810332449164988,0.2814854718291427,true,0.42089794301916006
17020,43B,34,heldout_before,joint,joint,random_guidance,none,present,adaptive_global,1,1,1,-1,1,0.5219226932200436,true,0.6502357993465933,0.22855791125797656,0.75,0.5,false,0.25,2,4,1,0.013432942487452415,-0.00301916465942087,-1.3126825437766447,0.5773834420763683,0.2815730481293193,true,0.42089794301916006
17020,43B,34,heldout_before,joint,joint,scaffolded,accurate_stable,present,adaptive_global,1,1,1,-1,1,0.6430447825716236,true,0.4415409108685834,0.1274170272493395,0.75,0.5,false,0.25,1,1,2,0.04244519775232458,0.03752528673238731,-1.3126825437766447,0.5782711967302155,0.28281085784549875,true,0.42089794301916006
17020,43B,34,heldout_before,joint,joint,conclusion,accurate_stable,present,adaptive_global,1,1,1,-1,1,0.7912360901127684,true,0.23415888531458637,0.04358237007140415,0.75,0.75,false,0.25,1,0,0,0.17687116015248927,0.17687116015248927,-1.3126825437766447,0.5811143494016855,0.2814854718291427,true,0.42089794301916006
