seed,cell,truth,slice_index,event,precision,control,broadcast,real_danger,persistent_probability,absolute_persistent_posterior_change,maximum_absolute_pairwise_log_bf,exceeds_empirical_p99,exceeds_multiplied_bound,exceeds_analytic_bound
813341,P_favoring,P,11,1,overwhelm,low,collapsed,0,0.9998741759986913,0.0009580149479209155,2.3196827878973805,0,0,0
813341,P_favoring,P,12,1,overwhelm,low,collapsed,0,0.9999851582929614,0.00011098229427008999,2.3196827878973805,0,0,0
813341,P_favoring,P,13,1,overwhelm,low,collapsed,0,0.9999580471267212,2.711116624021237e-05,1.0735736801623024,0,0,0
813341,P_favoring,P,14,1,overwhelm,low,collapsed,0,0.9999949439516356,3.689682491436752e-05,2.3196827878973805,0,0,0
813341,P_favoring,P,15,1,overwhelm,low,collapsed,0,0.9999993828993917,4.438947756146838e-06,2.3196827878973805,0,0,0
813341,P_favoring,P,16,1,overwhelm,low,collapsed,0,0.9999999238642723,5.409648805576595e-07,2.3196827878973805,0,0,0
813341,P_favoring,P,17,1,overwhelm,low,collapsed,0,0.9999999905217756,6.665750329482023e-08,2.3196827878973805,0,0,0
813341,P_favoring,P,18,1,overwhelm,low,collapsed,0,0.9999999988113312,8.289555597507103e-09,2.3196827878973805,0,0,0
813341,P_favoring,P,19,1,overwhelm,low,collapsed,0,0.9999999965571731,2.2541580824153584e-09,1.0735736801623024,0,0,0
813341,P_favoring,P,20,1,overwhelm,low,collapsed,0,0.9999999900176827,6.539490393642211e-09,1.0735736801623024,0,0,0
813341,P_favoring,P,21,1,overwhelm,low,collapsed,0,0.9999999917289929,1.711310204655092e-09,0.19493764530120528,0,0,0
813341,P_favoring,P,22,1,overwhelm,low,collapsed,0,0.9999999989537113,7.224718379106321e-09,2.3196827878973805,0,0,0
813341,P_favoring,P,23,1,overwhelm,low,collapsed,0,0.9999999998670931,9.133818146267458e-10,2.3196827878973805,0,0,0
813342,P_favoring,P,0,1,overwhelm,low,collapsed,0,0.7544486293022921,0.5044486293022921,2.3196827878973805,1,0,0
813342,P_favoring,P,1,1,overwhelm,low,collapsed,0,0.180595545269176,0.5738530840331161,2.670557431416735,1,0,0
813342,P_favoring,P,2,1,overwhelm,low,collapsed,0,0.6676122973097889,0.4870167520406129,2.3196827878973805,1,0,0
813342,P_favoring,P,3,1,overwhelm,low,collapsed,0,0.9473068475573618,0.27969455024757295,2.3196827878973805,0,0,0
813342,P_favoring,P,4,1,overwhelm,low,collapsed,0,0.8668393338500227,0.08046751370733918,1.0735736801623024,0,0,0
813342,P_favoring,P,5,1,overwhelm,low,collapsed,0,0.8833048920822454,0.016465558232222732,0.19493764530120528,0,0,0
813342,P_favoring,P,6,1,overwhelm,low,collapsed,0,0.8977764329378872,0.01447154085564184,0.19493764530120528,0,0,0
813342,P_favoring,P,7,1,overwhelm,low,collapsed,0,0.9872654128627762,0.08948897992488902,2.3196827878973805,0,0,0
813342,P_favoring,P,8,1,overwhelm,low,collapsed,0,0.9985144094973372,0.011248996634560915,2.3196827878973805,0,0,0
813342,P_favoring,P,9,1,overwhelm,low,collapsed,0,0.9958508194157758,0.0026635900815613622,1.0735736801623024,0,0,0
813342,P_favoring,P,10,1,overwhelm,low,collapsed,0,0.9884289401042431,0.007421879311532709,1.0735736801623024,0,0,0
813342,P_favoring,P,11,1,overwhelm,low,collapsed,0,0.9986086880962318,0.01017974799198873,2.3196827878973805,0,0,0
