seed,cell,truth,slice_count,acute_event_slice_count,acute_empirical_p99_exceedance_count,multiplied_bound_exceedance_count,analytic_bound_exceedance_count,p50_persistent_change,p90_persistent_change,p99_persistent_change,maximum_persistent_change,maximum_absolute_pairwise_log_bf
813337,P_favoring,P,24,24,1,0,0,1.3586794356257315e-08,0.06283351154172359,0.4322977406489159,0.5044486293022921,2.3196827878973805
813338,P_favoring,P,24,24,1,0,0,8.221884456593997e-08,0.02422832931580976,0.4322977406489159,0.5044486293022921,2.670557431416735
813339,P_favoring,P,24,24,3,0,0,1.4772712068622518e-06,0.4248200915027008,0.5578900594450266,0.5738530840331161,2.670557431416735
813340,P_favoring,P,24,24,1,0,0,8.290184538850554e-07,0.022532521848462085,0.43692433876186665,0.5044486293022921,2.670557431416735
813341,P_favoring,P,24,24,4,0,0,0.0001473830395368747,0.4092901167976329,0.47073170757688876,0.47956162634313504,2.670557431416735
813342,P_favoring,P,24,24,3,0,0,0.0018485451810508202,0.4248200915027008,0.5578900594450266,0.5738530840331161,2.670557431416735
813343,P_favoring,P,24,24,1,0,0,1.7745399363278125e-06,0.02005211745577161,0.43692433876186665,0.5044486293022921,2.3196827878973805
813344,P_favoring,P,24,24,1,0,0,3.158396109648187e-07,0.022532521848462085,0.43692433876186665,0.5044486293022921,2.3196827878973805
813345,P_favoring,P,24,24,2,0,0,4.602446727175469e-06,0.12181279578983747,0.41102262833551173,0.4202333134435244,2.670557431416735
813346,P_favoring,P,24,24,1,0,0,9.123739375116457e-09,0.07168708746462774,0.43692433876186665,0.5044486293022921,2.3196827878973805
813347,P_favoring,P,24,24,1,0,0,2.1634549760007893e-06,0.02005211745577161,0.43692433876186665,0.5044486293022921,2.3196827878973805
813348,P_favoring,P,24,24,1,0,0,2.595799299953683e-07,0.022532521848462085,0.43692433876186665,0.5044486293022921,2.670557431416735
813349,P_favoring,P,24,24,1,0,0,0.00013222084853914406,0.15682800614830195,0.4383222785628602,0.487740892915249,2.3196827878973805
813350,P_favoring,P,24,24,1,0,0,8.907202580765716e-05,0.06305566814025543,0.43692433876186665,0.5044486293022921,2.670557431416735
813351,mixed_provocation,T,72,20,0,0,0,0.0,9.924961655774201e-06,0.09042028485886236,0.24920032113082025,2.670557431416735
813352,mixed_provocation,D,80,20,2,0,0,0.0,0.0012020573731410726,0.3797187552403474,0.43186814752688996,2.3196827878973805
813353,mixed_provocation,P,88,20,1,0,0,0.0,1.3026877796784569e-05,0.2490306607363342,0.5044486293022921,2.3196827878973805
813354,mixed_provocation,T,72,20,0,0,0,0.0,2.0353800647476245e-05,0.08105367869329143,0.22677778639404433,2.670557431416735
813355,mixed_provocation,D,80,20,0,0,0,0.0,0.030929304197055286,0.2296035332371008,0.233866231394307,2.3196827878973805
813356,mixed_provocation,P,88,20,1,0,0,0.0,0.000173298514378517,0.2490306607363342,0.5044486293022921,2.3196827878973805
813357,mixed_provocation,T,72,20,0,0,0,0.0,0.0001223200686222572,0.08773564888339076,0.14025805081239534,1.7321727881872817
813358,mixed_provocation,D,80,20,0,0,0,0.0,0.006933015992080353,0.22220394118538578,0.23115017166490348,2.670557431416735
813359,mixed_provocation,P,88,20,1,0,0,0.0,0.005154254368617699,0.2490306607363342,0.5044486293022921,2.3196827878973805
813360,mixed_provocation,T,72,20,0,0,0,0.0,0.004480158685680963,0.08105367869329143,0.22677778639404433,2.670557431416735
813361,mixed_provocation,D,80,20,0,0,0,0.0,0.0005758290687717831,0.06175663974542734,0.21982582928576724,2.670557431416735
813362,mixed_provocation,P,88,20,1,0,0,0.0,0.0024988582570316204,0.2490306607363342,0.5044486293022921,2.3196827878973805
813363,mixed_provocation,T,72,20,0,0,0,0.0,0.00026217747838281036,0.11238836304941127,0.14025805081239534,2.670557431416735
813364,mixed_provocation,D,80,20,0,0,0,0.0,0.0005194869904620125,0.08440707645272312,0.16880281518480272,2.2199785861241947
813365,mixed_provocation,P,88,20,1,0,0,0.0,3.349233324229092e-05,0.2490306607363342,0.5044486293022921,2.3196827878973805
813366,mixed_provocation,T,72,20,0,0,0,5.293955920339377e-23,4.348503863059818e-06,0.07605007410511976,0.22677778639404433,2.670557431416735
813367,mixed_provocation,D,80,20,2,0,0,0.0,0.13819502788392438,0.4290811242601116,0.491715701014021,2.3196827878973805
813368,mixed_provocation,P,88,20,2,0,0,0.0,0.15954975217714365,0.34756072036030244,0.4202333134435244,2.3196827878973805
813369,mixed_provocation,T,72,20,1,0,0,0.0,0.12086531421974528,0.35164534055130936,0.5044486293022921,2.3196827878973805
813370,mixed_provocation,D,80,20,0,0,0,0.0,0.00016995681825262657,0.08440707645272312,0.16880281518480272,2.2199785861241947
813371,mixed_provocation,P,88,20,2,0,0,0.0,0.037496328335706854,0.4798444840822845,0.4870167520406127,2.670557431416735
813372,mixed_provocation,T,72,20,0,0,0,0.0,0.0034091614096393007,0.09325960000593293,0.14025805081239534,2.0139176950613855
813373,mixed_provocation,D,80,20,0,0,0,0.0,0.00016247436706611542,0.08440707645272312,0.16880281518480272,2.2199785861241947
813374,mixed_provocation,P,88,20,1,0,0,0.0,0.0010675108597963487,0.2490306607363342,0.5044486293022921,2.3196827878973805
813375,mixed_provocation,T,72,20,0,0,0,0.0,6.763794848077222e-07,0.08105367869329143,0.22677778639404433,2.670557431416735
813376,mixed_provocation,D,80,20,1,0,0,0.0,0.18474309713832923,0.29207258629010235,0.3689191420772825,2.670557431416735
813377,mixed_provocation,P,88,20,1,0,0,0.0,1.9155422625516305e-05,0.2490306607363342,0.5044486293022921,2.3196827878973805
813378,mixed_provocation,T,72,20,0,0,0,0.0,0.0003618068913829623,0.07605007410511976,0.22677778639404433,2.670557431416735
813379,mixed_provocation,D,80,20,2,0,0,0.0,0.020259910519193777,0.3797187552403474,0.43186814752688996,2.3196827878973805
813380,mixed_provocation,P,88,20,1,0,0,0.0,0.0007941594069297949,0.2490306607363342,0.5044486293022921,2.3196827878973805
813381,mixed_provocation,T,72,20,0,0,0,0.0,0.00018727974746700403,0.08105367869329143,0.22677778639404433,2.670557431416735
813382,mixed_provocation,D,80,20,0,0,0,0.0,0.0008231636254176168,0.08440707645272312,0.16880281518480272,2.2199785861241947
813383,mixed_provocation,P,88,20,2,0,0,0.0,0.0043810612190672595,0.38539289586104153,0.4202333134435244,2.3196827878973805
813384,mixed_provocation,T,72,20,0,0,0,0.0,0.001172701560131179,0.12135244183517832,0.14025805081239534,2.670557431416735
813385,mixed_provocation,D,80,20,0,0,0,0.0,0.0073626518466742225,0.18982027179208244,0.21982582928576724,2.670557431416735
813386,mixed_provocation,P,88,20,1,0,0,0.0,8.75688622244963e-06,0.2490306607363342,0.5044486293022921,2.3196827878973805
813387,mixed_provocation,T,72,20,0,0,0,0.0,2.0645352987543115e-06,0.11238836304941127,0.14025805081239534,2.670557431416735
813388,mixed_provocation,D,80,20,0,0,0,0.0,0.0001516445912933294,0.08440707645272312,0.16880281518480272,2.1740935518980034
813389,mixed_provocation,P,88,20,1,0,0,0.0,0.02246410325371169,0.2490306607363342,0.5044486293022921,2.3196827878973805
813390,mixed_provocation,T,72,20,0,0,0,0.0,2.073067758477025e-05,0.11238836304941127,0.14025805081239534,2.670557431416735
813391,mixed_provocation,D,80,20,0,0,0,0.0,2.641650089819418e-05,0.08440707645272312,0.16880281518480272,2.2199785861241947
813392,mixed_provocation,P,88,20,2,0,0,0.0,0.00010584597822544914,0.39634088692268094,0.5044486293022921,2.3196827878973805
813393,mixed_provocation,T,72,20,0,0,0,0.0,5.3532307453938355e-05,0.08105367869329143,0.22677778639404433,2.670557431416735
813394,mixed_provocation,D,80,20,0,0,0,0.0,0.00012798778614863383,0.08440707645272312,0.16880281518480272,2.2199785861241947
813395,mixed_provocation,P,88,20,1,0,0,0.0,3.0014235607999984e-07,0.2490306607363342,0.5044486293022921,2.3196827878973805
813396,mixed_provocation,T,72,20,0,0,0,0.0,2.104589124683927e-05,0.08105367869329143,0.22677778639404433,2.670557431416735
813397,mixed_provocation,D,80,20,0,0,0,0.0,0.00114336242969243,0.08440707645272312,0.16880281518480272,2.2199785861241947
813398,mixed_provocation,P,88,20,1,0,0,0.0,0.0005371551842732079,0.23140754378502953,0.5035062700871445,2.3196827878973805
813399,mixed_provocation,T,72,20,2,0,0,0.0,0.0023885611066196597,0.43030365884905597,0.4549586424281154,2.670557431416735
813400,mixed_provocation,D,80,20,0,0,0,0.0,0.000864398445580801,0.08440707645272312,0.16880281518480272,2.0837726510771195
