domain_index,positive_history_fraction,low_stakes_permission,high_stakes_permission,stakes_separated,permission_posterior_flat,shared_routes_unchanged,untreated_context_unchanged,locality_holds,property_holds,provenance_events
34,0.34,0.5866202830452127,0.015520267719472175,true,true,true,true,true,true,315
35,0.35,0.5866380705472493,0.015523630395504818,true,true,true,true,true,true,315
36,0.36,0.5867622181703692,0.015547121314967573,true,true,true,true,true,true,315
37,0.37,0.5875634854982429,0.015699629877473864,true,true,true,true,true,true,315
38,0.38,0.591732923648744,0.01651881446504756,true,true,true,true,true,true,315
39,0.39,0.6077861144216248,0.020115326481378093,true,true,true,true,true,true,315
40,0.4,0.6348790772052051,0.02818481941271062,true,true,true,true,true,true,315
41,0.41,0.6893579951118238,0.05685900132185224,true,true,true,true,true,true,315
42,0.42,0.7296013053827269,0.09777474842148311,true,true,true,true,true,true,315
43,0.43,0.7705412143282052,0.17280297142354586,true,true,true,true,true,true,315
44,0.44,0.7885685443128421,0.22251936936805783,true,true,true,true,true,true,315
45,0.45,0.8097795840950829,0.2985391154919984,true,true,true,true,true,true,315
46,0.46,0.8267643712821964,0.3748656604821764,true,true,true,true,true,true,315
47,0.47,0.8396343362317643,0.44189609744587505,true,true,true,true,true,true,315
48,0.48,0.8490298834372809,0.49525949485994386,true,true,true,true,true,true,315
49,0.49,0.8535965707145358,0.5223046798143319,true,true,true,true,true,true,315
50,0.5,0.8538059863744183,0.523559580263929,true,true,true,true,true,true,315
51,0.51,0.8985660825751397,0.7931762009278795,true,true,true,true,true,true,315
52,0.52,0.9002218922777063,0.802037452433548,true,true,true,true,true,true,315
53,0.53,0.9044043544419997,0.8236751020185396,true,true,true,true,true,true,315
54,0.54,0.9084852729483929,0.8436758077035441,true,true,true,true,true,true,315
55,0.55,0.9120104621183767,0.860001283356182,true,true,true,true,true,true,315
56,0.56,0.9162383527517983,0.87835073166878,true,true,true,true,true,true,315
57,0.57,0.9191963276250927,0.8903608147356671,true,true,true,true,true,true,315
58,0.58,0.9233494208620309,0.9060431858223851,true,true,true,true,true,true,315
59,0.59,0.9262348802044923,0.9161173441401756,true,true,true,true,true,true,315
60,0.6,0.9280572048996333,0.9221314941492444,true,true,true,true,true,true,315
61,0.61,0.9300109738773092,0.9282806667520791,true,true,true,true,true,true,315
62,0.62,0.9306314094344523,0.9301689402722667,true,true,true,true,true,true,315
63,0.63,0.9308135480792354,0.9307173922485352,true,true,true,true,true,true,315
64,0.64,0.9308530004358517,0.9308358390376986,true,true,true,true,true,true,315
65,0.65,0.9308602172410932,0.9308574923354136,true,true,true,true,true,true,315
66,0.66,0.9308613948117778,0.9308610251206544,true,true,true,true,true,true,315
67,0.67,0.930861542938094,0.9308614695009213,true,true,true,true,true,true,315
68,0.68,0.9308615750065073,0.9308615657062148,true,true,true,true,true,true,315
69,0.69,0.9308615790429755,0.9308615778156202,true,true,true,true,true,true,315
70,0.7,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
71,0.71,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
72,0.72,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
73,0.73,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
74,0.74,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
75,0.75,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
76,0.76,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
77,0.77,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
78,0.78,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
79,0.79,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
80,0.8,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
81,0.81,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
82,0.82,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
83,0.83,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
84,0.84,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
85,0.85,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
86,0.86,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
87,0.87,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
88,0.88,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
89,0.89,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
90,0.9,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
91,0.91,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
92,0.92,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
93,0.93,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
94,0.94,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
95,0.95,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
96,0.96,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
97,0.97,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
98,0.98,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
99,0.99,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
100,1.0,0.930861579511847,0.9308615792222347,true,true,true,true,true,true,315
