seed,truth,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error
787138,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,6.195545817568911e-17,1.0,185999553862511.4,32.856765391050224,0.0
787139,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,2.219003908270902e-08,0.9999999778099609,519318.02739788877,13.160271744034196,0.0
787140,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.6668994185996179e-22,1.0,6.913247105039366e+19,45.68255620819009,0.0
787141,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,6.05236671100791e-14,0.9999999999999395,190399692058.74194,25.972391341963828,0.0
787142,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.7786177504706068e-16,0.9999999999999998,64790130296273.875,31.802174397443707,0.0
787143,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,6.589131796484377e-16,0.9999999999999994,17488931677120.295,30.492589321167827,0.0
787144,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,6.062484864277035e-10,0.9999999993937514,19008191.906494077,16.76038059718435,0.0
787145,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,8.144691124575663e-13,0.9999999999991855,14148710373.122482,23.372889317173524,0.0
787146,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.8109000452975823e-11,0.9999999999818909,636351388.3464081,20.271261466133915,0.0
787147,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,2.106861617081464e-07,0.9999997893138383,54695.97556249238,10.909545412805691,0.0
787148,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,9.613323485700822e-11,0.9999999999038668,119872046.29136355,18.601935450959104,0.0
787149,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.0644370588345593e-15,0.999999999999999,10826086412890.205,30.012979746249144,0.0
787150,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,2.3275611667312184e-13,0.9999999999997673,49509708895.02569,24.625434626581708,0.0
787151,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.4630408732640295e-12,0.9999999999985368,7876531538.247117,22.787153483796374,0.0
787152,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,7.015220403182943e-17,1.0,164266935573359.06,32.73251387649155,0.0
787153,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,7.076376482067353e-14,0.9999999999999292,162847293515.6522,25.816078749038084,0.0
787154,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,9.313244383191607e-19,1.0,1.2373440560438166e+16,37.054328680106714,0.0
787155,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,3.905849091763745e-12,0.9999999999960941,2950366824.023113,21.805195346694155,0.0
787156,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.2534229035235771e-12,0.9999999999987466,9193774541.390774,22.941792411666356,0.0
787157,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,2.9501662511898664e-20,1.0,3.906114638582774e+17,40.50648976227813,0.0
787158,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.4494167857503704e-13,0.999999999999855,79505685964.98004,25.099094377621228,0.0
787159,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.784705877689296e-15,0.9999999999999982,6456911317480.272,29.496172195156163,0.0
787160,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.215077458715788e-12,0.9999999999987849,9483911908.12723,22.972862716633976,0.0
787161,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.0166416063674313e-06,0.9999989833583935,11335.042548318153,9.335654316645934,0.0
787162,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,7.812489258031772e-16,0.9999999999999992,14750340383736.818,30.322287275311623,0.0
787163,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,2.6266719200935787e-14,0.9999999999999738,438718192853.5158,26.80712311417784,0.0
787164,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,2.8755948923307343e-13,0.9999999999997123,40074099487.22662,24.41399606450276,0.0
787165,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,3.0084065111223323e-21,1.0,3.8304954923550367e+18,42.789525840089695,0.0
787166,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.2768248475177523e-07,0.9999998723175152,90252.67742130406,11.41036854247313,0.0
787167,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,8.739877595549372e-11,0.9999999999126011,131851818.89602949,18.697189265860146,0.0
787168,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,3.129574521715638e-14,0.9999999999999687,368218986321.11646,26.631943669655264,0.0
787169,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,8.343807977686734e-08,0.9999999165619202,138110.64024158087,11.835810383797822,0.0
787170,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,2.3840393849834397e-11,0.9999999999761596,483368171.3622745,19.99628918079381,0.0
787171,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,9.399473694159798e-11,0.9999999999060053,122599285.38448334,18.624431752611578,0.0
787172,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.8863617956132371e-13,0.9999999999998113,61089487747.37683,24.83560563836057,0.0
787173,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,3.0916083850306e-11,0.999999999969084,372740856.6837387,19.73639398195546,0.0
787174,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,5.8042749959026195e-11,0.9999999999419572,198537932.60125622,19.106490736062952,0.0
787175,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,2.2706514902158075e-16,0.9999999999999998,50750578103601.32,31.557944124989532,0.0
787176,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,5.5093373523767924e-18,1.0,2091664903230908.0,35.27673674818321,0.0
787177,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,0.00011424758133899533,0.999885752418661,100.85439789226099,4.6136778717018725,0.0
787178,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,7.582331315364569e-08,0.9999999241766869,151980.78568408414,11.931509381864869,0.0
787179,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,4.637971701869085e-13,0.9999999999995361,24846394762.124615,23.935978498968943,0.0
787180,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,3.933177092153129e-24,1.0,2.9298674608412384e+21,49.429244139673024,0.0
787181,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,5.0705860377295527e-17,1.0,227265398797681.53,33.05713960817638,0.0
787182,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,1.0443011791918028e-16,0.9999999999999999,110348315310186.06,32.33466298172895,0.0
787183,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,5.365879175780499e-07,0.9999994634120825,21475.849565468263,9.97468430674368,0.0
787184,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,4.720540144980909e-18,1.0,2441179870544719.0,35.43125787084341,0.0
787185,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,2.403842694024694e-16,0.9999999999999999,47938609330262.695,31.500942335967153,0.0
787186,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,8.349112875018435e-12,0.9999999999916509,1380228983.8971572,21.045515252710864,0.0
787187,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,3.3532813669064877e-12,0.9999999999966467,3436540605.782192,21.9577311644847,0.0
787188,cue_local_relearning,False,False,0.011392405063291136,0.9886075949367089,7.441254854671135e-15,0.9999999999999926,1548621543689.1929,28.06838632452201,0.0
