seed,truth,regret,truth_weight,off_truth_weight,entropy,largest_absorber,largest_absorber_weight,weight_global_downweight,weight_cue_local_relearning,weight_context_split,weight_continuous_drift,weight_change_point,gap_truth_minus_global_downweight,gap_truth_minus_cue_local_relearning,gap_truth_minus_context_split,gap_truth_minus_continuous_drift,gap_truth_minus_change_point
788074,continuous_drift,-0.07013932756223795,0.7552252712265277,0.24477472877347228,0.7604015919673239,context_split,0.1707229465063808,0.0006240118259904046,0.0317869509981997,0.1707229465063808,0.7552252712265277,0.04164081944290137,0.2096094809313458,0.07568141262248762,-0.17006109298476701,0.0,-0.2527132503183003
788075,continuous_drift,-0.009476310627247742,0.23959678248340552,0.7604032175165945,1.199155775718873,global_downweight,0.39925988230872256,0.39925988230872256,0.32540367834544637,0.034357929827516426,0.23959678248340552,0.0013817270349092891,0.009914361347988176,-0.03441661657006456,0.018554112928471866,0.0,-0.046598026041738905
788076,continuous_drift,-0.14712806115179666,0.07780365910618009,0.9221963408938199,1.2304039571563898,change_point,0.5859610870423453,0.13709495594978577,0.06361124821006613,0.13552904969162272,0.07780365910618009,0.5859610870423453,-0.047092588533825364,0.007720803014505506,-0.1616712033240546,0.0,-0.17693562175670774
788077,continuous_drift,0.005662722919326679,0.8889183863109409,0.11108161368905911,0.3569420411507683,cue_local_relearning,0.10953647444093441,0.0015408649583073504,0.10953647444093441,6.351506540287994e-07,0.8889183863109409,3.639139163234911e-06,0.19206243512020116,0.06246263730438617,0.033742076799485154,0.0,0.10523700734342611
788078,continuous_drift,-0.0010339356226030105,0.9889184963507313,0.011081503649268742,0.062430137191665146,cue_local_relearning,0.010748688871457884,0.00032882920886056604,0.010748688871457884,3.984698166582715e-06,0.9889184963507313,8.707836698266972e-10,-0.09357314278908824,-0.0691628966226796,0.3205359098272398,0.0,0.5579586097032667
788079,continuous_drift,-0.008817095246031581,0.9152426383927064,0.08475736160729364,0.3337644431939419,change_point,0.0709880055933298,0.00012183076789737803,0.0017469231406459515,0.011900602105420646,0.9152426383927064,0.0709880055933298,0.43844568985469934,0.19790124650384833,-0.03822683946898486,0.0,-0.08606558829569178
788080,continuous_drift,-0.03819679392324238,0.39523342535555117,0.6047665746444488,0.9005949836924836,global_downweight,0.5282985091170392,0.5282985091170392,0.07646696534085923,9.426705826504881e-07,0.39523342535555117,1.5751596777715316e-07,-0.05353616468043132,-0.08540656307554872,0.3211075972276145,0.0,0.727096410621912
788081,continuous_drift,-0.021132867485739393,0.1661759287603326,0.8338240712396674,1.3082580762008116,global_downweight,0.398957719515443,0.398957719515443,0.15179328446386944,0.28307306497966384,0.1661759287603326,2.2806910527788622e-09,-0.08989768260657183,-0.03374580303448038,0.8948380691753339,0.0,1.0021962930006083
788082,continuous_drift,0.020927143030004647,0.6672990691904827,0.33270093080951735,0.8466400228800243,global_downweight,0.23920086107129473,0.23920086107129473,0.0905904170657046,0.0029091382797626674,0.6672990691904827,5.143927554421792e-07,0.1627093939647617,-0.01862321547404111,-0.13138153210050518,0.0,0.004381824759673414
788083,continuous_drift,-0.00423139181603327,0.25143502607291646,0.7485649739270835,0.9279403565725421,global_downweight,0.6063106882124815,0.6063106882124815,0.14225225126012203,1.7127601662797829e-06,0.25143502607291646,3.2169431383961653e-07,0.021248323992458573,-0.0807792464438748,0.7920821966168772,0.0,0.7429462730357885
