group,seed,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,transition_00,transition_01,transition_10,transition_11,transition_mean_00,transition_mean_11,occupancy_then,occupancy_now,occupancy_min_fraction,cue_marker_outcome_contrast,cue_first_second_contrast,marker_aligned_log_signal,marker_switch_rate
neutral,788513,False,False,0.07258064516129031,0.9274193548387097,3.119321239984872e-09,0.9999999968806788,25089070.121381935,17.03794285593328,0.0,7.820379162715658,3.564187145282617,3.4929468190411774,8.122486872960552,0.7398036011045267,0.745878482138727,12.296179975659724,11.703820024340281,0.4876591676808449,0.28333333333333327,0.08333333333333333,6.664409020350408,0.5217391304347826
neutral,788514,False,False,0.07258064516129031,0.9274193548387097,0.28712922612447894,0.7128707738755211,0.1943023613588579,-1.6383397695132613,0.0,20.815415711025373,0.9183513836100483,0.9075536588082607,0.35867924655630445,0.9080364025201598,0.7419231713713472,22.714022151809033,1.285977848190953,0.053582410341289737,-0.08333333333333337,0.4166666666666667,1.0210060700917643,0.34782608695652173
neutral,788515,True,True,0.07258064516129031,0.9274193548387097,1.1919892894140512e-07,0.999999880801071,656556.7403300775,13.39476439752046,0.0,8.637487274081929,4.040436518792088,3.9735180205613596,6.348558186564632,0.7336424368490846,0.7060576901848873,12.72893653158957,11.27106346841044,0.4696276445171015,0.16666666666666666,-0.25,1.15559922004172,0.6521739130434783
neutral,788516,False,False,0.07258064516129031,0.9274193548387097,0.025168179069040154,0.9748318209309599,3.0312556890438045,1.1089769524998512,0.0,1.370025636622399,2.603892686793333,1.86212131598124,17.163960360603028,0.6705367399293647,0.8669430700631954,3.997091417806598,20.002908582193403,0.1665454757419416,0.1888888888888889,0.16666666666666666,7.418352305193125,0.5217391304347826
neutral,788517,True,True,0.07258064516129031,0.9274193548387097,2.227201282084251e-05,0.9999777279871792,3513.78778234587,8.164449874876093,0.0,2.7624023026638493,1.502958778458392,1.9280850041766613,16.806553914701084,0.7544430345269032,0.8632979166619688,5.2595345691352415,18.740465430864745,0.21914727371396853,0.04444444444444442,-0.25,2.2335922215070942,0.34782608695652173
neutral,788518,False,False,0.07258064516129031,0.9274193548387097,0.23710768721553666,0.7628923127844633,0.2518037963436375,-1.3791050806641088,0.0,19.72035662011672,1.3500246684450146,1.306230708598126,0.6233880028401207,0.8921794799577084,0.7228552908042168,22.02169493114375,1.9783050688562358,0.08242937786900988,-0.12222222222222223,0.3333333333333333,4.127386369423392,0.4782608695652174
neutral,788519,True,True,0.07258064516129031,0.9274193548387097,1.9366855828435202e-09,0.9999999980633144,40409692.77973599,17.514580234445603,0.0,7.369803442815426,1.9996769382837634,2.984485765054419,10.64603385384639,0.7935062345716479,0.7890657571038941,10.363486954871243,13.636513045128755,0.4318119564529685,0.25,-0.16666666666666666,3.8712010109078907,0.5652173913043478
neutral,788520,False,False,0.07258064516129031,0.9274193548387097,3.819811810350616e-05,0.9999618018818965,2048.7365355335573,7.624978557996691,0.0,12.424872807239336,2.392561664451542,3.2399611311619183,4.942604397147194,0.8230050060387138,0.7118139834005477,15.76566888900898,8.23433111099101,0.3430971296246255,-0.13333333333333333,0.25,-3.275217578801594,0.5652173913043478
neutral,788521,True,True,0.07258064516129031,0.9274193548387097,6.748646085719228e-05,0.9999325135391428,1159.5746320392025,7.055808520332873,0.0,4.515532430169171,3.967368646152011,3.9829792400589694,10.534119683619858,0.6771411251128251,0.7559670800087788,8.508556266212631,15.491443733787378,0.3545231777588595,0.18333333333333335,-0.16666666666666666,5.853478804134079,0.6086956521739131
neutral,788522,True,True,0.07258064516129031,0.9274193548387097,3.453709500537877e-06,0.9999965462904994,22659.867386854734,10.02835068226367,0.0,4.36220247625306,4.7549294214242375,4.460981609513413,9.421886492809298,0.6466557087339576,0.7294721227855772,9.758648434174921,14.241351565825086,0.4066103514239549,-0.1722222222222222,-0.25,-2.8138272966452518,0.5217391304347826
