seed,truth,regret,truth_weight,off_truth_weight,entropy
787073,global_downweight,0.00873587786790401,0.7674673387495656,0.23253266125043437,0.6689866763169176
787074,global_downweight,0.03424083748036022,0.1807129072081271,0.819287092791873,0.849752110553211
787075,global_downweight,0.007899011686631319,0.5576343063488053,0.4423656936511947,0.8332777494201176
787076,global_downweight,0.010138624823071929,0.6432777402934494,0.3567222597065506,0.8153074563760669
787077,global_downweight,-0.02998918388116915,0.7398875298659239,0.2601124701340761,0.586808932037212
787078,global_downweight,-0.0053324556968818255,0.21833756237029595,0.7816624376297041,0.5593787637241617
787079,global_downweight,-0.013282232342522052,0.47834338893662043,0.5216566110633796,0.9956701826619754
787080,global_downweight,0.00746055406916953,0.6630787073243986,0.33692129267560145,0.7644773978397792
787081,global_downweight,0.01030002395367132,0.5785278532141045,0.4214721467858955,0.8288535999723463
787082,global_downweight,-0.0006203811116363885,0.6580445877688137,0.3419554122311863,0.6651006576523578
787083,global_downweight,0.04984583315278831,0.06747504923471345,0.9325249507652865,0.5806087740483598
787084,global_downweight,0.0019652851784416705,0.8382347910580238,0.1617652089419762,0.5410963506865223
787085,global_downweight,0.02411513782730908,0.49957081083250104,0.500429189167499,0.796191563345412
787086,global_downweight,0.0034882612487615225,0.11997915152114938,0.8800208484788506,1.2792728475017454
787087,global_downweight,0.021446159889927152,0.3086030338931675,0.6913969661068324,0.7207998079868968
787088,global_downweight,0.004351152943175822,0.8224446955020296,0.1775553044979704,0.5906106189670253
787089,global_downweight,0.09255365509438979,0.021697283879480434,0.9783027161205196,0.4021590273290844
787090,global_downweight,0.002233467302064381,0.9298684267890053,0.07013157321099472,0.29924286286160323
787091,global_downweight,-0.009743520996789398,0.38836889932849133,0.6116311006715087,0.804773761300666
787092,global_downweight,0.0073944714189506655,0.7770983379868323,0.22290166201316775,0.6294162430372618
787093,global_downweight,0.0034547230767513347,0.8240549152120075,0.17594508478799253,0.5867824908129246
787094,global_downweight,-0.009843178122188427,0.8634299332885136,0.13657006671148642,0.47905412374730894
787095,global_downweight,0.03310460667076794,0.22263832596504543,0.7773616740349546,0.654203318492589
