seed,association_auc,learned_association_cue1,learned_association_cue2,learned_association_cue3,learned_association_cue4,learned_association_cue5,learned_association_cue6,learned_similarity_cue2,cue1_root_revision,cue1_broad_attribution,cue1_narrowed_attribution,cue1_broad_minus_narrowed,cue1_transfer_cue2,cue1_transfer_cue3,cue1_transfer_cue4,cue1_structural_win,cue5_root_revision,cue5_max_untreated_transfer,cue5_floor_clean,segment_q0,segment_q1,segment_q2
802061,1.0,0.9175824175824175,0.5274725274725275,0.8846153846153846,0.9010989010989011,0.532967032967033,0.4010989010989011,0.9505494505494505,0.35070989908796557,0.27437531583133556,0.07633458325663,0.19804073257470556,0.019269774675163,0.2697768454522813,0.2813387102573791,1,0.03320668529893456,0.027733055854055277,0,2,1,2
802062,1.0,0.8736263736263736,0.532967032967033,0.9175824175824175,0.9065934065934066,0.521978021978022,0.5,0.9505494505494505,0.2925462957863152,0.26529058048809406,0.027255715298221128,0.23803486518987294,0.019288766755141684,0.24432437889846093,0.2378947899800804,1,0.019166517332279365,0.016007201288497086,1,2,0,2
802063,1.0,0.8791208791208791,0.46153846153846156,0.9120879120879121,0.8956043956043956,0.5274725274725275,0.489010989010989,0.945054945054945,0.29595705065291256,0.26839336397031355,0.02756368668259901,0.24082967728771454,-0.022765926973300987,0.2439206461425104,0.23416382029681004,1,0.02395278081847707,0.019741302872371302,1,2,0,2
802064,1.0,0.8681318681318682,0.5,0.9175824175824175,0.9010989010989011,0.5274725274725275,0.510989010989011,0.9505494505494505,0.2891025921870285,0.2621587633715242,0.026943828815504278,0.23521493455601994,0.0,0.24144831874960626,0.23191746406212188,1,0.02395278081847707,0.0200045202440029,0,2,0,2
802065,1.0,0.9285714285714286,0.42857142857142855,0.8956043956043956,0.8791208791208791,0.521978021978022,0.4175824175824176,0.9395604395604396,0.32515513369381244,0.2950041431143826,0.030150990579429826,0.2648531525349528,-0.046450733384830356,0.2572656002852143,0.2465462002733304,1,0.019166517332279365,0.016428443427668027,1,2,0,2
802066,1.0,0.8571428571428571,0.510989010989011,0.9065934065934066,0.9230769230769231,0.46153846153846156,0.510989010989011,0.9175824175824175,0.23311114258744747,0.20680262805238836,0.026308514535059113,0.18049411351732925,0.005123321815108772,0.18956290715902324,0.1972478898816864,1,-0.02668782299328326,0.022582004071239725,0,2,0,1
802067,1.0,0.9285714285714286,0.5054945054945055,0.8956043956043956,0.8736263736263736,0.5,0.521978021978022,0.9340659340659341,0.32515513369381244,0.2950041431143826,0.030150990579429826,0.2648531525349528,0.0035731333372946983,0.2572656002852143,0.2429730669360357,1,0.0,0.0,1,2,0,2
802068,1.0,0.8791208791208791,0.42857142857142855,0.8901098901098901,0.8736263736263736,0.5439560439560439,0.45604395604395603,0.9340659340659341,0.29595705065291256,0.26839336397031355,0.02756368668259901,0.24082967728771454,-0.04227957866470183,0.23091154501490985,0.22115471916920948,1,0.03828729363976435,0.029872503828827113,0,2,0,2
802069,1.0,0.8571428571428571,0.521978021978022,0.9010989010989011,0.9010989010989011,0.521978021978022,0.4340659340659341,0.9615384615384616,0.2821168675785215,0.2558083530434624,0.026308514535059113,0.22949983850840328,0.012400741432022966,0.22631353113441832,0.22631353113441832,1,0.019166517332279365,0.015375338079740564,1,2,0,2
802070,1.0,0.8956043956043956,0.45604395604395603,0.9175824175824175,0.8791208791208791,0.44505494505494503,0.45054945054945056,0.9560439560439561,0.30599049267776113,0.27752688738680986,0.028463605290951266,0.2490632820958586,-0.026900263092550447,0.2555524993792291,0.23201476917324737,1,-0.04781633063201918,0.03993451789047753,0,2,0,2
