stage,seed,arm,organization_match_max_abs,organization_match_bitwise,organization_match_within_tolerance,match_bundle_max_abs,match_couplings_max_abs,match_precisions_max_abs,match_field_profile_max_abs,low_carrier_plasticity,high_carrier_plasticity,plasticity_difference,corrective_target_coupling_1,corrective_target_coupling_2,low_final_coupling_1,low_final_coupling_2,high_final_coupling_1,high_final_coupling_2,revision_trajectory_divergence,carrier_read_ablated
confirmation,18501,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.08419906988552509,-0.16601538721942782,0.0424725884177881,0.07543352353618536,0.0424725884177881,0.07543352353618536,0.0,false
confirmation,18501,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.08419906988552509,-0.16601538721942782,0.0424725884177881,0.07543352353618536,-0.1025833259911763,-0.21902234305313414,0.24800411590686017,false
confirmation,18502,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.06111670552934076,-0.07264017983855464,-0.008430395942572668,0.052705604608279416,-0.008430395942572668,0.052705604608279416,0.0,false
confirmation,18502,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.06111670552934076,-0.07264017983855464,-0.008430395942572668,0.052705604608279416,0.09290683657618042,-0.043353398199073495,0.12928667940792846,false
confirmation,18503,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.14221485792537622,-0.24803826764214543,-0.057953900275225706,0.12268159792402697,-0.057953900275225706,0.12268159792402697,0.0,false
confirmation,18503,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.14221485792537622,-0.24803826764214543,-0.057953900275225706,0.12268159792402697,0.13106837141049643,-0.31688002280802835,0.38344589575442745,false
confirmation,18504,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.033365331353086385,0.029573684235992805,-0.01918673550555046,-0.03313955289865249,-0.01918673550555046,-0.03313955289865249,0.0,false
confirmation,18504,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.033365331353086385,0.029573684235992805,-0.01918673550555046,-0.03313955289865249,0.02078230091090757,0.004840822485456753,0.05291350457795039,false
confirmation,18505,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.002757943097419487,-0.12349841019755183,0.007273262284791242,0.0739114112571336,0.007273262284791242,0.0739114112571336,0.0,false
confirmation,18505,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.002757943097419487,-0.12349841019755183,0.007273262284791242,0.0739114112571336,0.006017121689250924,-0.11280899110954402,0.16231899419101684,false
confirmation,18506,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.05602521557022548,0.030834848094474076,-0.025417017175597335,-0.0296321386336343,-0.025417017175597335,-0.0296321386336343,0.0,false
confirmation,18506,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.05602521557022548,0.030834848094474076,-0.025417017175597335,-0.0296321386336343,0.06977959616155788,-0.024369038987821133,0.08079877510686859,false
confirmation,18507,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.06370608620077413,0.08837802434943608,0.03447994881618635,-0.034890025138497864,0.03447994881618635,-0.034890025138497864,0.0,false
confirmation,18507,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.06370608620077413,0.08837802434943608,0.03447994881618635,-0.034890025138497864,-0.04662927630167975,0.0934072509449396,0.15149431854667197,false
confirmation,18508,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.07518541708471364,0.08359724730471786,-0.023662762571990473,-0.03318229816063145,-0.023662762571990473,-0.03318229816063145,0.0,false
confirmation,18508,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.07518541708471364,0.08359724730471786,-0.023662762571990473,-0.03318229816063145,0.09172773401666845,0.11598266855989284,0.15612546902007501,false
confirmation,18509,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.028022678372535886,-0.17618349586429102,-0.0024455380364615436,0.10618012321663076,-0.0024455380364615436,0.10618012321663076,0.0,false
confirmation,18509,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.028022678372535886,-0.17618349586429102,-0.0024455380364615436,0.10618012321663076,0.054004421077171766,-0.13897222665776032,0.23873294123123998,false
confirmation,18510,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.010580459722070404,0.014265348755993978,0.013770493006123966,-0.02533736404934747,0.013770493006123966,-0.02533736404934747,0.0,false
confirmation,18510,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.010580459722070404,0.014265348755993978,0.013770493006123966,-0.02533736404934747,0.007324378022998696,0.009988311896449133,0.018130822779510065,false
confirmation,18511,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.06635947737785451,-0.12245994980460896,0.03589447595162969,0.07860932684035643,0.03589447595162969,0.07860932684035643,0.0,false
confirmation,18511,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.06635947737785451,-0.12245994980460896,0.03589447595162969,0.07860932684035643,-0.08643244577923823,-0.10195115817022632,0.1774151018896073,false
confirmation,18512,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.07583746239989116,-0.2086751026912439,-0.02990429667880131,0.11315789199411061,-0.02990429667880131,0.11315789199411061,0.0,false
confirmation,18512,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.07583746239989116,-0.2086751026912439,-0.02990429667880131,0.11315789199411061,0.08985627386763331,-0.21677960497670623,0.29646712174386064,false
confirmation,18513,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.03550243836844202,0.1061552355643693,0.023111805274645188,-0.05922073654887485,0.023111805274645188,-0.05922073654887485,0.0,false
confirmation,18513,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.03550243836844202,0.1061552355643693,0.023111805274645188,-0.05922073654887485,-0.03700873931037831,0.09976424390431923,0.14813059113820723,false
confirmation,18514,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.012630882930494833,-0.014971109556039764,0.010397789704234361,0.005247051509315874,0.010397789704234361,0.005247051509315874,0.0,false
confirmation,18514,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.012630882930494833,-0.014971109556039764,0.010397789704234361,0.005247051509315874,-0.03821068817074169,-0.016799729934058153,0.0340191626502656,false
