seed,configural_root_revision,cue_root_revision,paired_root_difference,configural_root_revised,cue_root_revised,configural_untreated_transfer,cue_untreated_transfer,configural_treated_revision,cue_treated_revision,cue_control_difference,configural_loglik_budget,cue_loglik_budget,budget_mismatch_fraction,budget_valid,freeze_written
711398,0.68934852410223,0.0,0.68934852410223,true,false,0.4963309373536056,0.0,0.3780000000000003,0.3780000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711399,0.0034174117149281848,0.0,0.0034174117149281848,false,false,0.002460536434748293,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711400,0.9545239302259282,0.0,0.9545239302259282,true,false,0.6872572297626682,0.0,0.5630000000000004,0.5630000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711401,0.8951228345766602,0.0,0.8951228345766602,true,false,0.6444884408951953,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711402,0.8642446827212873,0.0,0.8642446827212873,true,false,0.6222561715593268,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711403,0.26545953842215686,0.0,0.26545953842215686,true,true,0.19113086766395293,0.0,0.6000000000000005,0.6000000000000005,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711404,0.21374008018891671,0.0,0.21374008018891671,false,false,0.15389285773602002,0.0,0.4150000000000002,0.4150000000000002,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711405,0.00033482732095332804,0.0,0.00033482732095332804,false,false,0.0002410756710863962,0.0,0.3040000000000002,0.3040000000000002,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711406,0.7668155132020313,0.0,0.7668155132020313,true,false,0.5521071695054626,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711407,0.04182788052335847,0.0,0.04182788052335847,false,false,0.0301160739768181,0.0,0.34100000000000014,0.34100000000000014,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711408,0.04272960659330062,0.0,0.04272960659330062,false,false,0.030765316747176447,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711409,0.776705623076732,0.0,0.776705623076732,true,false,0.559228048615247,0.0,0.3780000000000003,0.3780000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711410,0.8600034272067454,0.0,0.8600034272067454,true,false,0.6192024675888567,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711411,0.11138298040229651,0.0,0.11138298040229651,false,false,0.08019574588965349,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711412,0.6920275913105002,0.0,0.6920275913105002,true,false,0.4982598657435601,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711413,0.7906316410228801,0.0,0.7906316410228801,true,false,0.5692547815364737,0.0,0.3780000000000003,0.3780000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711414,0.7270736669028167,0.0,0.7270736669028167,true,false,0.5234930401700281,0.0,0.3780000000000003,0.3780000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711415,0.4843079680287338,0.0,0.4843079680287338,false,false,0.34870173698068835,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711416,0.017365176800643742,0.0,0.017365176800643742,false,false,0.012502927296463493,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711417,0.09204875272559687,0.0,0.09204875272559687,false,false,0.06627510196242975,0.0,0.3780000000000003,0.3780000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711418,0.8724866992717858,0.0,0.8724866992717858,true,false,0.6281904234756858,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711419,0.9559571703104632,0.0,0.9559571703104632,true,false,0.6882891626235335,0.0,0.5630000000000004,0.5630000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711420,0.8242666310005338,0.0,0.8242666310005338,true,false,0.5934719743203843,0.0,0.5630000000000004,0.5630000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711421,0.9052121472822505,0.0,0.9052121472822505,true,false,0.6517527460432203,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
