bundle_strength,volatility_sensitivity,initial_depth,initial_capture,final_depth,final_capture,residual,class
0.8,0.7,0.692,0.308,0.9999999265090929,0.07530035308219728,3.183335056807128e-8,self
0.8,0.7,0.692,0.404,0.9999999265090929,0.07530035308219728,3.183335056807128e-8,self
0.8,0.7,0.692,0.5,0.9999999265090929,0.07530035308219728,3.183335056807128e-8,self
0.8,0.7,0.692,0.596,0.999999926387076,0.075300353112981,3.18862034506593e-8,self
0.8,0.7,0.692,0.692,0.9999999251467828,0.07530035342589494,3.242344935759452e-8,self
0.8,0.7,0.692,0.788,0.9999999228709532,0.07530035400006471,3.3409248649821255e-8,self
0.8,0.7,0.692,0.884,0.9999999198399283,0.07530035476476292,3.4722168619658366e-8,self
0.8,0.7,0.692,0.98,0.9999999162482895,0.07530035567089853,3.62779243127672e-8,self
0.8,0.7,0.788,0.02,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.116,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.212,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.308,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.404,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.5,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.596,0.9999999494153498,0.07530034730317102,2.191126709551298e-8,self
0.8,0.7,0.788,0.692,0.9999999485856776,0.07530034751248924,2.227064820311589e-8,self
0.8,0.7,0.788,0.788,0.9999999466382808,0.07530034800379855,2.3114183388309668e-8,self
0.8,0.7,0.788,0.884,0.9999999438786947,0.07530034870001527,2.4309526808176553e-8,self
0.8,0.7,0.788,0.98,0.9999999405391948,0.0753003495425387,2.575606593435478e-8,self
0.8,0.7,0.884,0.02,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.116,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.212,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.308,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.404,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.5,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.596,0.9999999723216064,0.07530034152414536,1.1989183818790287e-8,self
0.8,0.7,0.884,0.692,0.9999999718159527,0.07530034165171688,1.220821300560492e-8,self
0.8,0.7,0.884,0.788,0.9999999701208985,0.07530034207936255,1.294244335688892e-8,self
0.8,0.7,0.884,0.884,0.9999999675625552,0.07530034272480765,1.4050616359423988e-8,self
0.8,0.7,0.884,0.98,0.9999999644169207,0.0753003435184206,1.541318062642169e-8,self
0.8,0.7,0.98,0.02,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.116,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.212,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.308,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.404,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.5,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.596,0.999999995227863,0.07530033574512031,2.0671007200191074e-9,self
0.8,0.7,0.98,0.692,0.9999999949237921,0.07530033582183446,2.1988121955074883e-9,self
0.8,0.7,0.98,0.788,0.9999999934247644,0.07530033620002456,2.848131622981891e-9,self
0.8,0.7,0.98,0.884,0.999999991008872,0.07530033680953065,3.894600516440072e-9,self
0.8,0.7,0.98,0.98,0.9999999879957483,0.07530033756971231,5.1997663752623625e-9,self
0.8,1.0,0.02,0.02,0.9999997494569666,0.07575122123747631,1.0856111375361683e-7,self
0.8,1.0,0.02,0.116,0.99999974547046,0.07575122224876224,1.1028848016381724e-7,self
0.8,1.0,0.02,0.212,0.9999997404953754,0.07575122351082798,1.1244420069419637e-7,self
