seed,history_length,matches,posterior_mean_association,posterior_absolute_deviation_from_zero,credible_interval_lower,credible_interval_upper,credible_interval_covers_zero,maximum_untreated_transfer,floor_violation
50172,800,408,0.5099750623441397,0.009975062344139696,0.4749753702760549,0.54534969173979,1,0.006961415667913862,0
50173,800,377,0.4713216957605985,0.028678304239401486,0.43610101467522316,0.5076987031600835,1,0.02000214366306652,1
50174,800,386,0.4825436408977556,0.017456359102244412,0.4479309498766131,0.5169629143206785,1,0.012180415704985847,0
50175,800,399,0.49875311720698257,0.0012468827930174342,0.46475906279941814,0.5323999918484145,1,0.0008702472630094382,0
50176,800,402,0.5024937655860349,0.0024937655860348684,0.46783124835147677,0.5372746290711735,1,0.0017404878297987425,0
50177,800,382,0.4775561097256858,0.022443890274314204,0.44284070020613403,0.5115260431515266,1,0.015657964946698022,0
50178,800,408,0.5099750623441397,0.009975062344139696,0.47484667757479193,0.5432489504478438,1,0.006961415667913862,0
50179,800,401,0.5012468827930174,0.0012468827930174342,0.46679908529908853,0.5351592995739076,1,0.0008702472630095492,0
50180,800,399,0.49875311720698257,0.0012468827930174342,0.462998272248093,0.533207809215037,1,0.0008702472630094382,0
50181,800,410,0.5124688279301746,0.012468827930174564,0.4781217796942757,0.5475046961259878,1,0.008701367899383472,0
50182,800,415,0.5187032418952618,0.018703241895261846,0.484765831860864,0.5526778881419102,1,0.013049960199435495,0
50183,800,397,0.49625935162094764,0.003740648379052358,0.46193135323353296,0.5306686721743153,1,0.0026107150043313543,0
50184,800,423,0.5286783042394015,0.028678304239401542,0.4939937080771,0.5638829423693853,1,0.02000214366306652,1
50185,800,405,0.5062344139650873,0.006234413965087282,0.47259298541351297,0.5412491675296212,1,0.004351102394504203,0
50186,800,371,0.46384039900249374,0.03615960099750626,0.43054823848015195,0.49799005604461155,0,0.025210015184052414,1
50187,800,372,0.46508728179551123,0.03491271820448877,0.43188894933933636,0.4996266938296173,0,0.024342481554477935,1
50188,800,399,0.49875311720698257,0.0012468827930174342,0.4653841181752989,0.5332726001129844,1,0.0008702472630094382,0
50189,800,414,0.5174563591022444,0.017456359102244412,0.482204190467988,0.5514786839661784,1,0.012180415704985958,0
50190,800,391,0.48877805486284287,0.01122194513715713,0.454656789691766,0.5241029742710228,1,0.007831421905608149,0
50191,800,414,0.5174563591022444,0.017456359102244412,0.4821709449464557,0.5526129966157961,1,0.012180415704985958,0
50192,800,410,0.5124688279301746,0.012468827930174564,0.4784563901456797,0.5469311235961573,1,0.008701367899383472,0
50193,800,404,0.5049875311720698,0.004987531172069848,0.46991401920836384,0.5392057037334156,1,0.003480922090938754,0
