stage,seed,condition,model,generating_carrier_id,selected_carrier_id,samples_to_formation,formed,formation_rmse,interference_shared_carrier,interference_baseline_rmse,interference_after_rmse,interference_degradation,cluster_margin,estimate_affect,estimate_self_world_coupling,estimate_policy,estimate_policy_outcome_coupling,carrier_residue_norm,coupling_residue_norm,carrier_ablation_loss,coupling_ablation_loss,carrier_residue_present,coupling_residue_present
pilot,18106,shuffled,hybrid,2,1,7,true,0.19591413956220738,true,0.19591413956220738,0.3326087978074875,0.1366946582452801,0.8679534947813233,-0.859599399016858,-0.07561062650267296,0.778472044533898,0.23532804001600463,1.697056274847714,0.043824023827058516,1.697056274847714,0.043824023827058516,true,false
pilot,18107,prepared,assembly,3,3,3,true,0.2271211878785701,true,0.2271211878785701,0.2271211878785701,0.0,0.7306251466655,0.38302077955511926,0.05234914691582353,-0.07479485272767135,0.15514775062807645,0.0,0.16806864947458006,0.0,0.16806864947458006,false,true
pilot,18107,prepared,recruitment,3,3,4,true,0.22321870604909666,true,0.22321870604909666,0.32907137748804777,0.10585267143895111,1.432626905217518,0.7520331165613493,0.008079855878681591,-0.4120947110872061,0.20742301958591663,0.7106335201775948,0.0,0.7106335201775948,0.0,true,false
pilot,18107,prepared,hybrid,3,3,4,true,0.22321870604909666,true,0.22321870604909666,0.32907137748804777,0.10585267143895111,1.432626905217518,0.7520331165613493,0.008079855878681591,-0.4120947110872061,0.20742301958591663,0.7106335201775948,0.15323906275623475,0.7106335201775948,0.15323906275623475,true,true
pilot,18107,arbitrary,assembly,0,3,10,true,0.2744608316452596,true,0.2744608316452596,0.2744608316452596,0.0,1.524787484112161,0.6366370275705922,-0.2544443406958548,-0.752810721553479,-0.5267201092362291,0.0,0.5706623860833552,0.0,0.5706623860833552,false,true
pilot,18107,arbitrary,recruitment,0,3,6,true,0.2619940297010929,true,0.2619940297010929,0.4242861919127575,0.1622921622116646,1.366055786389309,0.6955272237863017,-0.22719358626121863,-0.9591021236895926,-0.4176967206047003,0.7106335201775948,0.0,0.7106335201775948,0.0,true,false
pilot,18107,arbitrary,hybrid,0,3,6,true,0.2619940297010929,true,0.2619940297010929,0.4242861919127575,0.1622921622116646,1.366055786389309,0.6955272237863017,-0.22719358626121863,-0.9591021236895926,-0.4176967206047003,0.7106335201775948,0.520309822605412,0.7106335201775948,0.520309822605412,true,true
pilot,18107,shuffled,assembly,3,3,10,true,0.2608978862171909,false,0.2608978862171909,0.2608978862171909,0.0,0.110100037103397,0.2890573809089319,-0.2025252045578063,-0.25498389976630115,-0.13308359747246604,0.0,0.04210918911062343,0.0,0.04210918911062343,false,false
pilot,18107,shuffled,recruitment,3,3,13,true,0.2603752944558295,true,0.2603752944558295,0.17489942877145695,-0.08547586568437257,0.16719194145762706,0.5027848906303581,-0.09519869824745911,-0.07245858074435617,-0.0904987019096784,0.97082439194738,0.0,0.97082439194738,0.0,true,false
pilot,18107,shuffled,hybrid,3,3,13,true,0.2603752944558295,true,0.2603752944558295,0.17489942877145695,-0.08547586568437257,0.16719194145762706,0.5027848906303581,-0.09519869824745911,-0.07245858074435617,-0.0904987019096784,0.97082439194738,0.03839367242439195,0.97082439194738,0.03839367242439195,true,false
