mapping,seed,trial,true_depth,noiseless_external_load,observed_external_load,state_depth,capture,class
theory,11,55,0.24651762689136095,0.5393489022561551,0.542040421699051,0.7992298827289493,0.3145942739445665,self
theory,11,56,0.3093232540535665,0.4531826490215966,0.4732265873733634,0.7818955169132349,0.32297195691382413,self
theory,11,57,0.3786199814755817,0.36680747105033606,0.36146939135858047,0.7888476784237123,0.3166687772893373,self
theory,11,58,0.43537863266020854,0.302857424033823,0.32171352301323397,0.8079584834183102,0.3040157138630364,self
theory,11,59,0.4835383879340054,0.2533959669009156,0.24618307972376213,0.8398817324348898,0.27888414622409563,self
theory,11,60,0.5407848614696285,0.20033461628269492,0.20520039844888502,0.8664983485633614,0.2489563895667172,self
theory,11,61,0.5705907858985734,0.1751726594974446,0.1867291807522401,0.8886904585758001,0.2245713546745361,self
theory,11,62,0.6217483653357171,0.13592058416989203,0.15564233161638347,0.9071935524487049,0.20721117424537203,self
theory,11,63,0.687410780065185,0.09282641939848335,0.10452947181624311,0.9226208589408607,0.19455942259155054,self
theory,11,64,0.7376530794212843,0.0653846114002782,0.056720385137502105,0.9354836691950652,0.1851340074382856,self
theory,11,65,0.8059902146961251,0.035757806953972855,0.028591918330142768,0.9462082819276765,0.17797105716341013,self
theory,11,66,0.8735219846514565,0.015196853948181089,0.019335913971395693,0.9551501318027371,0.1724319773165927,self
theory,11,67,0.9022519505183496,0.009076947118593814,0.0,0.9626055692326585,0.16808490674472612,self
theory,11,68,0.8449642077775339,0.022834292026545296,0.01094162989755286,0.9688216820111227,0.16463131023144498,self
theory,11,69,0.7970079859276497,0.03914546988829181,0.04414478019303708,0.9740044842863466,0.16186009342554344,self
theory,11,70,0.7694438496146161,0.05049833155650137,0.04750190498559875,0.9783257442733159,0.15961860020553642,self
theory,11,71,0.7132284909969787,0.07812600345707642,0.10055051075972136,0.9819286769887406,0.15779403959628296,self
theory,11,72,0.6794579535996218,0.0976098433350151,0.11025210081006555,0.9849326906771145,0.15630141035065712,self
theory,23,1,0.9,0.009499999999999995,0.019939732158617485,0.88327233684608,0.19775048820227953,self
theory,23,2,0.8347294928740546,0.025948623499383802,0.009261213285468757,0.9026760903901785,0.1920851779466226,self
theory,23,3,0.7846736734932082,0.04404715554256405,0.04641570416684362,0.9188543390160158,0.18620620941620958,self
theory,23,4,0.7424294823035023,0.06302544300711976,0.06504449539558842,0.9323432615589949,0.1806736966622572,self
theory,23,5,0.7047475856999532,0.08281528874250614,0.10019989296488246,0.9435899073226107,0.17572389847725184,self
theory,23,6,0.676944043432218,0.0991468935202284,0.08733841802459656,0.9529670121676592,0.17142248138130498,self
theory,23,7,0.6192217579225247,0.1377424661576318,0.13485870075946632,0.9607853517084579,0.1677500590122041,self
theory,23,8,0.5541374812725678,0.18885371632567136,0.18121805623991527,0.9673040410251817,0.16464903793470242,self
theory,23,9,0.48482523634201363,0.25213478525455907,0.25561489706022433,0.9727391222449501,0.16204855288019268,self
theory,23,10,0.40730325578890836,0.3337249590685068,0.3553456709503584,0.9772707246009167,0.15987714434821965,self
theory,23,11,0.39168363472205586,0.35154636025172076,0.3544745548620046,0.9810490342677366,0.15806869479299065,self
theory,23,12,0.33174838190571426,0.42423221383134946,0.4511478773447498,0.9841992718254492,0.16305756755068918,self
theory,23,13,0.27374896612091326,0.5010685359999203,0.49723800737929774,0.9868258423146742,0.1706746886147132,self
theory,23,14,0.2180190188989923,0.5809195420635097,0.5864775837608203,0.9890157954240761,0.1848034254054085,self
theory,23,15,0.15179666324765972,0.6834764554539138,0.676011894523937,0.9846785908654709,0.2039628919643815,self
theory,23,16,0.08561077193911883,0.7943022773740854,0.7729452940194623,0.9469978436856994,0.23188039186253956,self
theory,23,17,0.14242140337966494,0.6986689969122382,0.6995809224512852,0.9124987495901256,0.25328648912788543,self
theory,23,18,0.19359665314063657,0.6177720399346835,0.6035196235454683,0.8908393691494577,0.2654270796675138,self
theory,23,19,0.2631891055296165,0.5157457794997342,0.5350190137044258,0.880167506606743,0.2706367496641745,self
theory,23,20,0.3126653927470259,0.44880741921122,0.4369938933615309,0.8913773651593561,0.26333022731983996,self
theory,23,21,0.3687947299111851,0.37849908833849905,0.37216267374185025,0.9094338119245005,0.24691121356981044,self
theory,23,22,0.4178894724876034,0.32191003292872256,0.3167086799809058,0.9244887178942037,0.2250185198794447,self
theory,23,23,0.4857285203994788,0.25125139699398386,0.24423682148647205,0.9370410321288142,0.20288919997644553,self
theory,23,24,0.5358905550028429,0.20462769808879075,0.20079645045676198,0.9475067628986696,0.18826579170687663,self
theory,23,25,0.590323376103597,0.15944318935879712,0.17414377900292452,0.9562327650126933,0.17835486002940118,self
