local_deviation_sd,seed,global_forecast_error,nested_forecast_error,global_accuracy,nested_accuracy,nested_effective_shrinkage
3.0,11003,5.740847243560214,1.84811151868159,0.43333333333333335,0.45,0.4888190382288983
3.0,11004,3.36827755826614,1.5208284525311808,0.43333333333333335,0.43333333333333335,1.4268817575466168
3.0,11005,3.3698911327254457,1.3041076091093267,0.5333333333333333,0.5333333333333333,1.1216100786639411
3.0,11006,5.490322488532919,1.9636032985863978,0.95,0.95,0.43416127344228606
3.0,11007,3.3843592297058582,0.9984513443804144,0.75,0.75,0.9311509607120005
3.0,11008,2.7140653348323314,0.9349675207694408,0.7333333333333333,0.7333333333333333,1.3400339055022508
3.0,11009,3.4299025642236964,1.1965790864316346,0.5,0.5,1.046552556867075
3.0,11010,4.404845211288662,1.4623542774425091,0.7166666666666667,0.7166666666666667,0.6249454920841265
3.0,11011,5.063526021091773,1.1912595577173957,0.9166666666666666,0.9166666666666666,0.5497915127075667
3.0,11012,4.970830829597652,1.3760564870614065,0.6333333333333333,0.6333333333333333,0.5245939194087275
3.0,11013,3.2909973852951855,1.443150083021023,0.9666666666666667,0.9666666666666667,1.254039678972363
3.0,11014,3.211957264879887,1.173520521111359,0.85,0.8666666666666667,1.1515984183572867
3.0,11015,4.585363049241169,1.1104596726337275,0.8333333333333334,0.85,0.5908469213421603
3.0,11016,4.2656944115541355,1.180419899153539,0.9333333333333333,0.9333333333333333,0.6123303707113472
3.0,11017,2.9164040579845625,1.2890918745409483,0.9333333333333333,0.9333333333333333,1.3314128261922014
3.0,11018,3.9143125630528433,1.2285293911118589,0.5666666666666667,0.5666666666666667,0.8577210582055349
3.0,11019,4.993644251009598,1.3480297545940365,0.9166666666666666,0.9166666666666666,0.5179853081736012
3.0,11020,3.654634802735823,1.377896837370633,0.6166666666666667,0.6166666666666667,0.9065760412996187
