seed,trial,condition,cause,bound_correct,local_correct,inverted_correct,bound_confidence,local_confidence,probability_positive
8501,62,coherent_ambiguous,1,true,true,true,0.9562498223510127,0.6296764191211812,0.9781249111755064
8501,63,coherent_ambiguous,-1,true,true,true,0.7298791208798858,0.34617932527947476,0.13506043956005712
8501,64,coherent_ambiguous,1,true,true,true,0.6553721312283849,0.6605766006084509,0.8276860656141924
8501,65,coherent_ambiguous,1,true,true,true,0.6197029688420663,0.5607339889446882,0.8098514844210332
8501,66,coherent_ambiguous,1,false,false,false,0.22855430984629588,0.6027340278994294,0.38572284507685206
8501,67,coherent_ambiguous,-1,true,true,true,0.7917815761586949,0.40516128079048225,0.10410921192065253
8501,68,coherent_ambiguous,-1,true,true,true,0.27016415283482065,0.5399308225050392,0.3649179235825897
8501,69,coherent_ambiguous,-1,true,true,true,0.8028645088515564,0.5204379470005748,0.09856774557422184
8501,70,coherent_ambiguous,-1,true,true,true,0.9212875000112979,0.6059367628823692,0.03935624999435106
8501,71,coherent_ambiguous,1,true,true,true,0.2815754869633471,0.4034122126835673,0.6407877434816736
8501,72,coherent_ambiguous,1,true,true,true,0.8497095416943123,0.7288458009149649,0.9248547708471562
8501,73,coherent_ambiguous,-1,true,true,true,0.5159110834747545,0.5264115391593038,0.24204445826262277
8501,74,coherent_ambiguous,1,true,true,true,0.7435391304760459,0.3747904709973573,0.871769565238023
8501,75,coherent_ambiguous,-1,true,true,true,0.9812157321941339,0.8055838725536769,0.009392133902933043
8501,76,coherent_ambiguous,-1,false,true,false,0.49136671744143223,0.28976965902924273,0.7456833587207161
8501,77,coherent_ambiguous,1,true,true,true,0.3445455696697661,0.18410820000508502,0.6722727848348831
8501,78,coherent_ambiguous,1,false,false,false,0.6412175183939679,0.38041419672179244,0.17939124080301605
8501,79,coherent_ambiguous,1,true,true,true,0.8124830162087868,0.4753235076440953,0.9062415081043934
8501,80,coherent_ambiguous,1,true,true,true,0.8098212831205895,0.42598316380225937,0.9049106415602948
8501,81,coherent_ambiguous,1,true,true,true,0.6374006826139409,0.7977936522049877,0.8187003413069704
8501,82,coherent_ambiguous,1,true,true,true,0.6042463292357954,0.27348794356362116,0.8021231646178977
8501,83,coherent_ambiguous,-1,true,true,true,0.8738178187643365,0.49987268126910783,0.06309109061783175
8501,84,coherent_ambiguous,-1,true,true,true,0.6861368192523487,0.4424557901158856,0.15693159037382565
8501,85,coherent_ambiguous,-1,true,true,true,0.8231324082747478,0.45337055726529246,0.08843379586262615
8501,86,coherent_ambiguous,-1,true,false,true,0.6503918345277354,0.28799287898293274,0.1748040827361323
8501,87,coherent_ambiguous,1,true,true,true,0.8164123706374447,0.44999769549844676,0.9082061853187223
8501,88,coherent_ambiguous,-1,true,true,true,0.875825760108433,0.5519976724671424,0.06208711994578349
8501,89,coherent_ambiguous,-1,true,true,true,0.6629563298448298,0.356549437383487,0.1685218350775851
8501,90,coherent_ambiguous,-1,true,true,true,0.9724846291852378,0.7184157794541028,0.013757685407381086
8501,91,coherent_ambiguous,-1,true,true,true,0.5987270091192791,0.28236829841599825,0.20063649544036047
8501,92,coherent_ambiguous,-1,false,false,false,0.20236675022528172,0.5807480760227586,0.6011833751126409
8501,93,coherent_ambiguous,-1,true,false,true,0.3298365797084346,0.46857588724187,0.3350817101457827
8501,94,coherent_ambiguous,-1,true,true,true,0.5111394488434684,0.25780729014659504,0.24443027557826577
8501,95,coherent_ambiguous,1,true,true,true,0.9057163353956996,0.5232474048341097,0.9528581676978498
8501,96,coherent_ambiguous,-1,false,false,false,0.610795625698271,0.2854069826139227,0.8053978128491355
8501,97,coherent_ambiguous,1,true,true,true,0.3291238750060632,0.3016613684208044,0.6645619375030316
8501,98,coherent_ambiguous,-1,true,true,true,0.20892980682237372,0.6047433414110038,0.39553509658881314
8501,99,coherent_ambiguous,1,true,true,true,0.7904518909267224,0.3768876627036328,0.8952259454633612
8501,100,coherent_ambiguous,-1,true,true,true,0.963238003991742,0.7183644510667144,0.01838099800412902
8501,101,coherent_ambiguous,1,true,true,true,0.7918122961787875,0.41083056793834816,0.8959061480893937
8501,102,coherent_ambiguous,1,true,true,true,0.9680915763275557,0.6975899134644891,0.9840457881637779
8501,103,coherent_ambiguous,-1,true,true,true,0.9059833530449672,0.5423399926349025,0.04700832347751637
8501,104,coherent_ambiguous,-1,false,false,false,0.414301540384294,0.17512748644713802,0.707150770192147
8501,105,coherent_ambiguous,1,true,true,true,0.9792298393248648,0.7847240482063288,0.9896149196624324
8501,106,coherent_ambiguous,1,false,false,false,0.06567558342157898,0.35262074785774616,0.4671622082892105
8501,107,coherent_ambiguous,-1,false,false,false,0.8472531544074267,0.4536375178623681,0.9236265772037133
8501,108,coherent_ambiguous,1,true,true,true,0.9443619684332545,0.6270265506931827,0.9721809842166272
8501,109,coherent_ambiguous,-1,true,true,true,0.7254887053653174,0.4297197547656859,0.13725564731734127
8501,110,coherent_ambiguous,1,true,true,true,0.39119364377888166,0.17100813633676593,0.6955968218894408
8501,111,coherent_ambiguous,1,true,true,true,0.9134947320848081,0.5524462063596498,0.9567473660424041
8501,112,coherent_ambiguous,1,true,true,true,0.8015095906946073,0.4852216043510588,0.9007547953473036
8501,113,coherent_ambiguous,1,true,true,true,0.8617639518863935,0.4513555038518989,0.9308819759431968
8501,114,coherent_ambiguous,1,true,false,true,0.05074445725454524,0.19604191054837272,0.5253722286272726
8501,115,coherent_ambiguous,-1,true,true,true,0.8619325854384216,0.7937330526371918,0.06903370728078922
8501,116,coherent_ambiguous,1,true,true,true,0.9480955805933988,0.6127812938757772,0.9740477902966994
8501,117,coherent_ambiguous,1,true,true,true,0.6488806870907404,0.35280149596668026,0.8244403435453702
8501,118,coherent_ambiguous,1,true,true,true,0.8642949847843542,0.6304498606589045,0.9321474923921771
8501,119,coherent_ambiguous,1,true,true,true,0.8432559663011248,0.7329981361664681,0.9216279831505624
8501,120,coherent_ambiguous,1,true,false,true,0.512928377302982,0.4604517626450746,0.756464188651491
8501,121,coherent_ambiguous,-1,true,true,true,0.13213125720838126,0.4472372173685335,0.43393437139580937
8501,122,coherent_ambiguous,-1,true,true,true,0.7086255092039857,0.3442532041018344,0.14568724539800715
8501,123,coherent_ambiguous,-1,true,true,true,0.8580612529810844,0.4894291233490189,0.07096937350945781
8501,124,coherent_ambiguous,-1,true,true,true,0.916378748613897,0.5753907317408239,0.04181062569305149
8501,125,coherent_ambiguous,1,true,true,true,0.8796268206808919,0.5192496590289358,0.939813410340446
8501,126,coherent_ambiguous,-1,true,true,true,0.31038458354609944,0.14255216932879886,0.3448077082269503
8501,127,coherent_ambiguous,1,true,true,true,0.905675652272175,0.5940522805117372,0.9528378261360875
8501,128,coherent_ambiguous,-1,false,false,false,0.33750161283264113,0.25951607140735183,0.6687508064163206
8501,129,coherent_ambiguous,-1,true,true,true,0.0909526750408437,0.48382007380176534,0.45452366247957815
8501,130,coherent_ambiguous,-1,true,false,true,0.12443184209526459,0.45246337000773457,0.4377840789523677
8501,131,coherent_ambiguous,1,true,true,true,0.5040624701857661,0.2246387372781673,0.752031235092883
8501,132,coherent_ambiguous,1,true,true,true,0.8028681597075991,0.5645324544591682,0.9014340798537995
8501,133,coherent_ambiguous,-1,true,true,true,0.05087044827235543,0.32729420684070804,0.4745647758638223
8501,134,coherent_ambiguous,-1,true,true,true,0.09380610689270874,0.5968482019306741,0.45309694655364563
8501,135,coherent_ambiguous,-1,true,true,true,0.9113718735974887,0.584125514709278,0.04431406320125565
8501,136,coherent_ambiguous,1,true,true,true,0.5429094965044923,0.24093093765844342,0.7714547482522461
8501,137,coherent_ambiguous,1,true,true,true,0.7590689497586354,0.6445771011895846,0.8795344748793177
8501,138,coherent_ambiguous,-1,true,true,true,0.5902962279698828,0.4785768481863326,0.2048518860150586
8501,139,coherent_ambiguous,1,true,true,true,0.5525882910582369,0.27069617109179694,0.7762941455291185
8501,140,coherent_ambiguous,-1,true,false,true,0.14196673877612642,0.5933201771717496,0.4290166306119368
8501,141,coherent_ambiguous,1,true,true,true,0.5621833428099616,0.25593629945544855,0.7810916714049808
8501,142,coherent_ambiguous,-1,true,true,true,0.7427377986438887,0.5450740148015284,0.12863110067805567
8501,143,coherent_ambiguous,-1,true,true,true,0.8767997768934892,0.525006873261605,0.06160011155325537
8501,144,coherent_ambiguous,1,true,false,true,0.06342211561130573,0.46083300416356215,0.5317110578056529
8501,145,coherent_ambiguous,-1,true,true,true,0.9590116425704843,0.6947165113254847,0.02049417871475785
8501,146,coherent_ambiguous,-1,true,true,true,0.8289291887297525,0.5718209726282404,0.08553540563512374
8501,147,coherent_ambiguous,-1,true,true,true,0.5565444946129943,0.6338810459173377,0.22172775269350284
8501,148,coherent_ambiguous,1,true,true,true,0.270945055755468,0.3999385552679861,0.635472527877734
8501,149,coherent_ambiguous,-1,true,true,true,0.9750004161799529,0.7735901997967191,0.012499791910023553
