seed,dose,closed_exposure,open_exposure,exposure_effect,closed_revision,open_revision,revision_effect,avoidance_mediator
701209,0.0,0,24,-24,0.0,0.016411680523848695,-0.016411680523848695,1.0
701209,0.5,9,24,-15,0.15055235396456612,0.016411680523848695,0.13414067344071742,0.5
701209,1.0,17,24,-7,0.7890999285586612,0.016411680523848695,0.7726882480348125,0.0
701210,0.0,0,24,-24,0.0,0.0007080688547250446,-0.0007080688547250446,1.0
701210,0.5,9,24,-15,0.003839087525774117,0.0007080688547250446,0.0031310186710490724,0.5
701210,1.0,19,24,-5,0.1510782105128049,0.0007080688547250446,0.15037014165807985,0.0
701211,0.0,0,24,-24,0.0,0.3636015457903145,-0.3636015457903145,1.0
701211,0.5,7,24,-17,0.49719933217554474,0.3636015457903145,0.13359778638523023,0.5
701211,1.0,18,24,-6,0.5864254984788959,0.3636015457903145,0.2228239526885814,0.0
701212,0.0,0,24,-24,0.0,0.32361406990252917,-0.32361406990252917,1.0
701212,0.5,8,24,-16,0.6390828435097176,0.32361406990252917,0.3154687736071884,0.5
701212,1.0,18,24,-6,0.8353398318382466,0.32361406990252917,0.5117257619357174,0.0
701213,0.0,0,24,-24,0.0,0.46994153782771914,-0.46994153782771914,1.0
701213,0.5,10,24,-14,0.7261661389649172,0.46994153782771914,0.2562246011371981,0.5
701213,1.0,20,24,-4,0.8147069283070418,0.46994153782771914,0.3447653904793227,0.0
701214,0.0,0,24,-24,0.0,0.0030400587396735013,-0.0030400587396735013,1.0
701214,0.5,10,24,-14,0.013206376141316615,0.0030400587396735013,0.010166317401643114,0.5
701214,1.0,21,24,-3,0.4720918759658156,0.0030400587396735013,0.4690518172261421,0.0
701215,0.0,0,24,-24,0.0,0.0002131276683944749,-0.0002131276683944749,1.0
701215,0.5,12,24,-12,0.0015141160497107824,0.0002131276683944749,0.0013009883813163074,0.5
701215,1.0,22,24,-2,0.06409628559182236,0.0002131276683944749,0.06388315792342789,0.0
701216,0.0,0,24,-24,0.0,0.15403167839423226,-0.15403167839423226,1.0
701216,0.5,11,24,-13,0.6679886575205788,0.15403167839423226,0.5139569791263465,0.5
701216,1.0,19,24,-5,0.945250427086619,0.15403167839423226,0.7912187486923867,0.0
701217,0.0,0,24,-24,0.0,0.30905408689799907,-0.30905408689799907,1.0
701217,0.5,10,24,-14,0.6837955919419472,0.30905408689799907,0.3747415050439481,0.5
701217,1.0,17,24,-7,0.7406505777208492,0.30905408689799907,0.4315964908228501,0.0
701218,0.0,0,24,-24,0.0,0.005318499382157666,-0.005318499382157666,1.0
701218,0.5,10,24,-14,0.030617362692994154,0.005318499382157666,0.025298863310836486,0.5
701218,1.0,20,24,-4,0.5904946675088159,0.005318499382157666,0.5851761681266582,0.0
701219,0.0,0,24,-24,0.0,0.03512990964075684,-0.03512990964075684,1.0
701219,0.5,9,24,-15,0.3595046354895904,0.03512990964075684,0.32437472584883353,0.5
701219,1.0,16,24,-8,0.877626100325996,0.03512990964075684,0.8424961906852392,0.0
701220,0.0,0,24,-24,0.0,0.005997649907533044,-0.005997649907533044,1.0
701220,0.5,8,24,-16,0.02161406648414182,0.005997649907533044,0.015616416576608777,0.5
701220,1.0,19,24,-5,0.6020622164868549,0.005997649907533044,0.5960645665793218,0.0
701221,0.0,0,24,-24,0.0,0.000124716273657437,-0.000124716273657437,1.0
701221,0.5,9,24,-15,0.0004982944751830014,0.000124716273657437,0.0003735782015255644,0.5
701221,1.0,20,24,-4,0.03257595082610983,0.000124716273657437,0.0324512345524524,0.0
701222,0.0,0,24,-24,0.0,0.007912147892237459,-0.007912147892237459,1.0
701222,0.5,8,24,-16,0.02100716514988913,0.007912147892237459,0.013095017257651671,0.5
701222,1.0,20,24,-4,0.68234192745538,0.007912147892237459,0.6744297795631425,0.0
701223,0.0,0,24,-24,0.0,0.06373136893768157,-0.06373136893768157,1.0
701223,0.5,9,24,-15,0.33673283748930916,0.06373136893768157,0.2730014685516276,0.5
701223,1.0,18,24,-6,0.9261150355829207,0.06373136893768157,0.8623836666452391,0.0
701224,0.0,0,24,-24,0.0,0.0005373777296816274,-0.0005373777296816274,1.0
701224,0.5,11,24,-13,0.008721898305032973,0.0005373777296816274,0.008184520575351345,0.5
