seed,truth,selected,truth_probability,posterior,maximum_update_identity_error,maximum_decomposition_error
770010,global_downweight,global_downweight,0.5734975541724929,"[0.5734975541724929, 0.3820652637843033, 0.00046904176133098053, 0.04396813243106142, 7.850811530239875e-09]",3.552713678800501e-15,1.4210854715202004e-14
770011,global_downweight,global_downweight,0.6063668217987318,"[0.6063668217987318, 0.11326647789992741, 0.019197962859015753, 0.26108766712785714, 8.107031446779366e-05]",2.220446049250313e-15,1.4210854715202004e-14
770012,global_downweight,continuous_drift,0.47469101646222894,"[0.47469101646222894, 0.047441316162805065, 1.999682482997166e-08, 0.4778676473557402, 2.2400813901514764e-11]",6.661338147750939e-15,1.4210854715202004e-14
770013,global_downweight,continuous_drift,0.3549591255008242,"[0.3549591255008242, 0.18471548719012115, 0.0024010740520158213, 0.4579189275311371, 5.385725901840533e-06]",2.220446049250313e-15,2.842170943040401e-14
770014,global_downweight,global_downweight,0.5689294391093097,"[0.5689294391093097, 0.2072869432860193, 0.0073421932147045375, 0.20318870461904653, 0.013252719770919836]",2.220446049250313e-15,1.4210854715202004e-14
770015,global_downweight,global_downweight,0.5198403822708454,"[0.5198403822708454, 0.04762074270987209, 7.74554690663535e-06, 0.4325311128983662, 1.657400965838501e-08]",4.884981308350689e-15,1.4210854715202004e-14
770016,global_downweight,cue_local_relearning,0.27080110778548344,"[0.27080110778548344, 0.6535006815805413, 1.8103713894517784e-07, 0.07569802471309282, 4.883743685738615e-09]",4.440892098500626e-15,1.4210854715202004e-14
770017,global_downweight,global_downweight,0.7224613044903336,"[0.7224613044903336, 0.16876097408270363, 5.8106265561690445e-05, 0.1087195526356416, 6.252575940295152e-08]",2.9976021664879227e-15,1.4210854715202004e-14
770018,global_downweight,global_downweight,0.6210540389253908,"[0.6210540389253908, 0.22483704304812605, 0.00011222389724126399, 0.15399627320028048, 4.2092896153463564e-07]",3.552713678800501e-15,2.842170943040401e-14
770019,global_downweight,global_downweight,0.4985068528643722,"[0.4985068528643722, 0.3651345978939958, 2.0774281473103727e-06, 0.13635638379245094, 8.802103381429623e-08]",2.3869795029440866e-15,1.4210854715202004e-14
770020,global_downweight,global_downweight,0.6120340884819029,"[0.6120340884819029, 0.2918369411624652, 0.0005382728066568341, 0.09558864835563569, 2.0491933394676527e-06]",3.552713678800501e-15,1.4210854715202004e-14
770021,global_downweight,global_downweight,0.49785870343242494,"[0.49785870343242494, 0.43683742793818353, 0.002646062535587769, 0.06265780265987034, 3.4339333444882886e-09]",3.552713678800501e-15,2.842170943040401e-14
770022,global_downweight,change_point,0.1386562779400485,"[0.1386562779400485, 0.14017645156131106, 0.2107585075498585, 0.01441305080817073, 0.4959957121406112]",1.3322676295501878e-15,2.1316282072803006e-14
770023,global_downweight,global_downweight,0.7978130174240357,"[0.7978130174240357, 0.11941603086291608, 3.5140585341623047e-06, 0.08276743443644266, 3.2180714290385764e-09]",4.440892098500626e-15,2.842170943040401e-14
770024,global_downweight,continuous_drift,0.3982357179243806,"[0.3982357179243806, 0.16293395379361042, 1.1798252107092043e-06, 0.43882901397800733, 1.3447879076353967e-07]",3.552713678800501e-15,1.4210854715202004e-14
770025,global_downweight,global_downweight,0.7714995908857865,"[0.7714995908857865, 0.17520993964349388, 6.484876705339259e-06, 0.05328398072175197, 3.872262270288937e-09]",3.9968028886505635e-15,2.842170943040401e-14
770026,global_downweight,global_downweight,0.7177544381449407,"[0.7177544381449407, 0.1289563462238264, 0.01014553684147367, 0.14314367607475656, 2.71500261834731e-09]",2.220446049250313e-15,1.4210854715202004e-14
770027,global_downweight,global_downweight,0.6205313666092277,"[0.6205313666092277, 0.14634371053451337, 4.781731069315751e-06, 0.23312014007081666, 1.0543729768144853e-09]",4.440892098500626e-15,2.842170943040401e-14
770028,global_downweight,change_point,0.045094603616494165,"[0.045094603616494165, 0.03923005006236071, 0.3212473854972719, 0.02183161949176843, 0.5725963413321049]",1.4432899320127035e-15,1.4210854715202004e-14
770029,global_downweight,global_downweight,0.4209348605172525,"[0.4209348605172525, 0.37496442932754037, 3.277085957005646e-08, 0.20410067725684944, 1.2749810518518926e-10]",3.774758283725532e-15,1.4210854715202004e-14
770030,global_downweight,global_downweight,0.48780442422017223,"[0.48780442422017223, 0.03068361868654568, 8.957118931634242e-09, 0.48151194811486897, 2.1294239460430842e-11]",6.217248937900877e-15,1.4210854715202004e-14
770031,global_downweight,continuous_drift,0.30044920338413994,"[0.30044920338413994, 0.02183524341370723, 3.434545980681514e-05, 0.6776810459824285, 1.617599175524567e-07]",4.440892098500626e-15,2.842170943040401e-14
770032,global_downweight,global_downweight,0.6480270913959476,"[0.6480270913959476, 0.26920714960257813, 0.005345899893606449, 0.07737479947710726, 4.505963076036851e-05]",2.220446049250313e-15,1.4210854715202004e-14
770033,global_downweight,global_downweight,0.4870851477623647,"[0.4870851477623647, 0.38905748221236464, 0.0236381312705828, 0.06522204644521036, 0.03499719230947734]",1.3322676295501878e-15,1.4210854715202004e-14
770034,global_downweight,global_downweight,0.5763465312556697,"[0.5763465312556697, 0.1816202558470185, 0.003820330939083919, 0.23816049095415454, 5.2391004073430355e-05]",2.4424906541753444e-15,7.105427357601002e-15
770035,global_downweight,cue_local_relearning,0.24722477919621938,"[0.24722477919621938, 0.5529864752832074, 0.08747152628829508, 0.11224120919628669, 7.601003599131405e-05]",3.3306690738754696e-15,1.4210854715202004e-14
770036,global_downweight,global_downweight,0.6070006749992343,"[0.6070006749992343, 0.09142863141323936, 0.00010429289838554763, 0.3014664006848681, 4.272783452815275e-12]",3.1086244689504383e-15,1.4210854715202004e-14
770037,global_downweight,change_point,0.09154999475699077,"[0.09154999475699077, 0.03676524645317632, 0.1831803640562918, 0.007543573480633991, 0.6809608212529071]",1.3322676295501878e-15,1.4210854715202004e-14
770038,global_downweight,continuous_drift,0.2741534850900318,"[0.2741534850900318, 0.014739496273986328, 0.024190083136862845, 0.6170247350049365, 0.06989220049418245]",1.1102230246251565e-15,7.105427357601002e-15
770039,global_downweight,global_downweight,0.47227993992724726,"[0.47227993992724726, 0.2035229532487051, 0.00041802473845001774, 0.3237496385077148, 2.944357788271726e-05]",1.7763568394002505e-15,1.4210854715202004e-14
770040,global_downweight,cue_local_relearning,0.45955103858400903,"[0.45955103858400903, 0.46396003366164257, 3.47858304438012e-07, 0.07648851840764946, 6.148839442131097e-08]",3.552713678800501e-15,1.4210854715202004e-14
770041,global_downweight,global_downweight,0.6440260450864193,"[0.6440260450864193, 0.09215233552094954, 0.09990898372081768, 0.1638889704526601, 2.366521915342119e-05]",1.7763568394002505e-15,2.1316282072803006e-14
770042,global_downweight,global_downweight,0.7065017575372222,"[0.7065017575372222, 0.15552020855965376, 0.00048216507479188005, 0.13749578807757, 8.075076204447327e-08]",3.3306690738754696e-15,1.4210854715202004e-14
770043,global_downweight,global_downweight,0.6634583689254389,"[0.6634583689254389, 0.24798507335454975, 0.00016340040021552732, 0.08830248484746923, 9.067247232661787e-05]",1.7763568394002505e-15,1.4210854715202004e-14
