seed,truth,predicted,T_probability,D_probability,P_probability
750169,D,D,3.0000957038069478e-05,0.9999699990175696,2.5392360621961414e-11
750170,P,P,4.978187448378731e-07,6.075910668137286e-10,0.9999995015736641
750171,T,D,0.3991541587060312,0.6008458412938571,1.1165369686154568e-13
750172,D,D,0.001545372974743651,0.9984546270241045,1.1518080534551015e-12
750173,P,P,2.5070244167022975e-07,1.27318966781387e-07,0.9999996219785916
750174,T,T,0.8697800811207708,0.11329177438132107,0.01692814449790816
750175,D,D,0.0031116448154005936,0.9968883545378472,6.467521803825552e-10
750176,P,P,8.431780671371847e-12,4.166285480637782e-12,0.9999999999874019
750177,T,D,0.3597222003169735,0.6402777996785518,4.4746997771910106e-12
750178,D,D,6.860155994360019e-06,0.9999667709902877,2.6368853717875733e-05
750179,P,P,1.244954965094235e-12,1.1576315489300192e-14,0.9999999999987436
750180,T,T,0.9814460451711872,0.018553888069357066,6.675945578828395e-08
750181,D,D,2.2875570993146522e-06,0.9999977124402636,2.637093391984112e-12
750182,P,P,1.0080892140235746e-08,7.253885914178662e-10,0.9999999891937192
750183,T,T,0.7563705655559789,0.24362942020694678,1.4237074434789156e-08
750184,D,D,3.5606108387051384e-06,0.9999958696066773,5.697824840659491e-07
750185,P,P,3.3169240480723914e-13,5.77268033759007e-16,0.9999999999996678
750186,T,T,0.9396926777325929,0.06030732220845829,5.89488032050534e-11
750187,D,D,0.11511161175739201,0.8848864640187692,1.9242238386665544e-06
750188,P,P,3.2799319847657255e-12,2.618515792738173e-13,0.9999999999964582
750189,T,T,0.9291511822976375,0.07084881665483604,1.047526483869396e-09
750190,D,D,2.891174074188835e-07,0.9999997108780482,4.544301648398829e-12
750191,P,P,3.700877677663094e-14,9.912435638991847e-16,0.999999999999962
750192,T,T,0.9377183951237463,0.062281593485214816,1.1391038825758446e-08
750193,D,D,0.0012160344119275658,0.9987839652832604,3.0481199609618497e-10
750194,P,P,1.8772276600407863e-08,1.9756973260138905e-10,0.9999999810301538
750195,T,T,0.9618559382607157,0.03812874428174064,1.5317457543633185e-05
750196,D,D,3.2844687111780876e-06,0.9999967154108971,1.203916079035287e-10
750197,P,P,2.4530645536788984e-14,5.51253829371711e-16,0.9999999999999749
