seed,length,acute_count,acute_widths,control_level,action_dependence,low_control_fraction,chronic_profile,scheduled_dose,available_formation_margin,available_formed,available_final_persistent_probability,available_max_step_change,available_realized_avoidance_mediator,available_avoidance_rate,available_realized_event_fraction,replay_formation_margin,replay_formed,replay_final_persistent_probability,replay_max_step_change,replay_realized_avoidance_mediator,replay_avoidance_rate,replay_realized_event_fraction
809319,90,0,,3,0.5,0.5,none,0.0,0.16719117280662443,0,0.7315361237899771,0.05719641561764616,0.0,0.0,0.0,0.16719117280662443,0,0.7315361237899771,0.05719641561764616,0.0,0.0,0.0
809320,60,0,,3,0.5,0.5,bursty-moderate,0.18333333333333332,-0.5637835594664227,0,0.6606347670367799,0.05496458257791492,0.1,0.23333333333333334,0.18333333333333332,-1.0187638753888586,0,0.5785871262005812,0.05235138187192884,0.0,0.0,0.18333333333333332
809321,90,0,,3,0.5,0.5,none,0.0,-1.3929865242642685,0,0.6102203267741109,0.058666803406335344,0.0,0.0,0.0,-1.3929865242642685,0,0.6102203267741109,0.058666803406335344,0.0,0.0,0.0
809322,90,0,,3,0.5,0.5,none,0.0,0.15319403328260184,0,0.7776794686368215,0.05701829685116988,0.0,0.0,0.0,0.15319403328260184,0,0.7776794686368215,0.05701829685116988,0.0,0.0,0.0
809323,120,0,,3,0.5,0.5,none,0.0,0.652655091064436,0,0.7282151136282908,0.05139339216804861,0.0,0.0,0.0,0.652655091064436,0,0.7282151136282908,0.05139339216804861,0.0,0.0,0.0
809324,120,0,,3,0.5,0.5,steady-low,0.08333333333333333,-0.037659420756269935,0,0.8256260556622007,0.05843989218684109,0.05,0.30833333333333335,0.075,-0.6969579041284135,0,0.7289221094955894,0.052884500566099724,0.0,0.0,0.08333333333333333
809325,90,0,,4,0.75,0.25,none,0.0,0.6204637166232445,0,0.8152666792805077,0.0554640405427268,0.0,0.0,0.0,0.6204637166232445,0,0.8152666792805077,0.0554640405427268,0.0,0.0,0.0
809326,60,0,,4,0.75,0.25,bursty-moderate,0.18333333333333332,0.16960952148923303,0,0.7093657828931245,0.052486471825291425,0.08333333333333333,0.2833333333333333,0.11666666666666667,-0.6264881956856119,0,0.643455720558269,0.057234524882599835,0.0,0.0,0.18333333333333332
809327,120,0,,4,0.75,0.25,steady-low,0.08333333333333333,1.0428025939204875,1,0.8090347236199812,0.05202700432953766,0.041666666666666664,0.25,0.075,-0.5501858789973177,0,0.7055035648457957,0.051061270785474955,0.0,0.0,0.08333333333333333
809328,90,0,,4,0.75,0.25,bursty-moderate,0.17777777777777778,0.42442630413178795,0,0.8342750995429682,0.05936453681205622,0.044444444444444446,0.23333333333333334,0.12222222222222222,-0.1373461980876236,0,0.7872429009077339,0.048893327139208465,0.0,0.0,0.17777777777777778
809329,90,0,,4,0.75,0.25,none,0.0,1.629539133567811,1,0.8894580940540758,0.0518362234259776,0.0,0.0,0.0,1.629539133567811,1,0.8894580940540758,0.0518362234259776,0.0,0.0,0.0
809330,90,0,,4,0.75,0.25,none,0.0,1.6949676245602814,1,0.8513038793242153,0.05197808379818869,0.0,0.0,0.0,1.6949676245602814,1,0.8513038793242153,0.05197808379818869,0.0,0.0,0.0
809331,120,0,,4,0.75,0.25,bursty-moderate,0.18333333333333332,-0.5826629452016834,0,0.7231860389026337,0.043491483686976085,0.08333333333333333,0.3,0.125,-0.8660230394311013,0,0.6831099682967184,0.05419627686207795,0.0,0.0,0.18333333333333332
809332,90,0,,4,0.75,0.25,bursty-moderate,0.17777777777777778,0.47301518843528,0,0.7609659901374357,0.05547588325147168,0.07777777777777778,0.34444444444444444,0.12222222222222222,-1.1247180425284624,0,0.576174578837302,0.057319188290407386,0.0,0.0,0.17777777777777778
809333,120,0,,5,1.0,0.0,bursty-moderate,0.18333333333333332,-2.9532407456273564,0,0.537872462060391,0.06065563221330872,0.025,0.14166666666666666,0.14166666666666666,-3.8215213551539557,0,0.5158214332332958,0.05815898128948793,0.0,0.0,0.18333333333333332
809334,120,0,,5,1.0,0.0,bursty-moderate,0.18333333333333332,-1.2423633969881411,0,0.7249350461592907,0.05987809630968155,0.125,0.2833333333333333,0.15833333333333333,-1.7413393639897679,0,0.6633241340415322,0.05757828960878986,0.0,0.0,0.18333333333333332
809335,90,0,,5,1.0,0.0,none,0.0,0.667703231168802,0,0.8202293399153496,0.05413610713711858,0.0,0.0,0.0,0.667703231168802,0,0.8202293399153496,0.05413610713711858,0.0,0.0,0.0
809336,120,0,,5,1.0,0.0,bursty-moderate,0.18333333333333332,-2.7893699178583056,0,0.5025496440619257,0.06051475520570554,0.075,0.325,0.11666666666666667,-4.801304243611468,0,0.3041348563128374,0.05801795625467798,0.0,0.0,0.18333333333333332
809337,120,0,,5,1.0,0.0,none,0.0,1.5702787100707376,1,0.8662955710709952,0.05665964704022386,0.0,0.0,0.0,1.5702787100707376,1,0.8662955710709952,0.05665964704022386,0.0,0.0,0.0
809338,120,0,,5,1.0,0.0,bursty-moderate,0.18333333333333332,-0.8275922105890301,0,0.7301696727345712,0.061796778547652975,0.05,0.15833333333333333,0.15833333333333333,-2.0012824521154062,0,0.6344131679227462,0.05802016156621981,0.0,0.0,0.18333333333333332
809339,60,0,,5,1.0,0.0,steady-low,0.08333333333333333,-0.46458474180093523,0,0.628183250018913,0.05165094260417813,0.15,0.4166666666666667,0.05,0.35354678575093623,0,0.7639643063682372,0.054671803291593324,0.0,0.0,0.08333333333333333
809340,60,0,,5,1.0,0.0,none,0.0,1.041308976701269,1,0.8245865829204474,0.04886389288762394,0.0,0.0,0.0,1.041308976701269,1,0.8245865829204474,0.04886389288762394,0.0,0.0,0.0
809341,120,1,2,1,0.0,1.0,steady-low,0.1,1.5265686632251496,1,0.831212284950426,0.06016685198788396,0.06666666666666667,0.24166666666666667,0.075,-0.07139039209189568,0,0.7440345381485106,0.05183853322072707,0.0,0.0,0.1
809342,120,1,3,1,0.0,1.0,bursty-moderate,0.20833333333333334,1.295985457592824,1,0.852934136642543,0.039645699593398864,0.058333333333333334,0.23333333333333334,0.10833333333333334,3.333247701620853,1,0.8417071509217338,0.04041774979011514,0.0,0.0,0.20833333333333334
809343,120,1,3,1,0.0,1.0,none,0.025,0.30090479607297027,0,0.8298273236377991,0.05317652476905932,0.041666666666666664,0.15833333333333333,0.025,-0.14845333183717546,0,0.7941110479822258,0.05317652476905932,0.0,0.0,0.025
809344,60,1,3,1,0.0,1.0,steady-low,0.13333333333333333,0.6795279333415933,0,0.7651232100057102,0.0410715168476552,0.15,0.4166666666666667,0.1,0.604741450945592,0,0.7456682526551012,0.05655544701632309,0.0,0.0,0.13333333333333333
809345,120,1,2,1,0.0,1.0,bursty-moderate,0.2,0.43484179633710807,0,0.7213567375436049,0.055595735352760745,0.08333333333333333,0.225,0.15,0.9901047443197815,0,0.7199229357413782,0.055595735352760745,0.0,0.0,0.2
809346,90,1,3,1,0.0,1.0,bursty-moderate,0.2111111111111111,0.3887913735755979,0,0.8064739896366127,0.05642619261942616,0.06666666666666667,0.2,0.17777777777777778,0.2511120439823067,0,0.7673698863108276,0.060174445567054424,0.0,0.0,0.2111111111111111
