seed,regulation,evidence_present,root_change,uptake
704199,true,false,0.0,1.341190496209523
704199,true,true,0.9941016118461219,1.4743474250533897
704200,false,false,0.0,0.45
704200,false,true,0.22347424122948584,0.45
704200,true,false,0.0,1.4817963225364208
704200,true,true,0.9746604344496921,1.5117256761306794
704201,false,false,0.0,0.45
704201,false,true,0.004283068469268059,0.45
704201,true,false,0.0,1.4627858896326589
704201,true,true,0.05948541673092836,1.4507360454733518
704202,false,false,0.0,0.45
704202,false,true,0.00024313498823354577,0.45
704202,true,false,0.0,1.4698697245392793
704202,true,true,0.13484604906551917,1.5019673728579759
704203,false,false,0.0,0.45
704203,false,true,0.092131691572247,0.45
704203,true,false,0.0,1.4989676947399961
704203,true,true,0.9621400074682481,1.3802423405565343
704204,false,false,0.0,0.45
704204,false,true,0.2663094439643317,0.45
704204,true,false,0.0,1.3869619928611783
704204,true,true,0.9791574239119919,1.43980304383257
704205,false,false,0.0,0.45
704205,false,true,0.003098747013604683,0.45
704205,true,false,0.0,1.442428403353864
704205,true,true,0.31625539431375543,1.3725069707426112
704206,false,false,0.0,0.45
704206,false,true,0.0184840898041761,0.45
704206,true,false,0.0,1.3775550139184305
704206,true,true,0.9578002757748477,1.3810196335482696
704207,false,false,0.0,0.45
704207,false,true,0.030471202300562935,0.45
704207,true,false,0.0,1.4388580172532262
704207,true,true,0.9496285774133519,1.497997392185105
704208,false,false,0.0,0.45
704208,false,true,0.002891382268853302,0.45
704208,true,false,0.0,1.4390526296991792
704208,true,true,0.10921436624093322,1.3842398688810391
704209,false,false,0.0,0.45
704209,false,true,0.008630382671347973,0.45
704209,true,false,0.0,1.4203653603779194
704209,true,true,0.6794803588556297,1.465365636848365
704210,false,false,0.0,0.45
704210,false,true,0.05648434692999293,0.45
704210,true,false,0.0,1.441127298093401
704210,true,true,0.996247466509672,1.4030193932130601
704211,false,false,0.0,0.45
704211,false,true,0.00019643382954565714,0.45
704211,true,false,0.0,1.3583073949553477
704211,true,true,0.11984882646634315,1.3994227421335992
704212,false,false,0.0,0.45
704212,false,true,0.012058615060829479,0.45
704212,true,false,0.0,1.4116637363726194
704212,true,true,0.4041357101423966,1.4562735709145818
704213,false,false,0.0,0.45
704213,false,true,0.10199234163013142,0.45
704213,true,false,0.0,1.386850386187741
704213,true,true,0.9896690791840456,1.3930814810807446
704214,false,false,0.0,0.45
704214,false,true,0.0007664512931445237,0.45
704214,true,false,0.0,1.3655479697927277
704214,true,true,0.12173743117421995,1.4089773021122858
704215,false,false,0.0,0.45
704215,false,true,0.03713384453355905,0.45
704215,true,false,0.0,1.4178544813660738
704215,true,true,0.9067007795359254,1.4786837288717103
704216,false,false,0.0,0.45
704216,false,true,0.0007503965190797659,0.45
704216,true,false,0.0,1.4233925277410824
704216,true,true,0.08894819263481282,1.4875532020604796
704217,false,false,0.0,0.45
704217,false,true,0.0001596997035061396,0.45
704217,true,false,0.0,1.4520437826534351
704217,true,true,0.029378885273169664,1.417899520855797
704218,false,false,0.0,0.45
704218,false,true,0.3937276741942749,0.45
704218,true,false,0.0,1.4367123262297732
704218,true,true,0.9482533099825967,1.4559764398328898
704219,false,false,0.0,0.45
704219,false,true,0.2458470198186603,0.45
704219,true,false,0.0,1.5136544077517005
704219,true,true,0.9130439781428695,1.3634681125749473
704220,false,false,0.0,0.45
704220,false,true,0.13554160292227596,0.45
