seed,policy,o2_truth_reliability,o2_matches,o2_trials,o2_posterior_mean,h1_episode_log_bf,h1_cumulative_log_bf,h2_episode_log_bf,h2_cumulative_log_bf,paired_latent_mismatch
800387,0,0.7978662695079206,3,5,0.8260869565217391,-0.7497198588428393,18.254863780706444,2.1680363354240892,29.68820988116061,0
800388,1,0.8446593157980329,4,5,0.8254716981132075,2.103388531109183,20.358252311815626,1.8964935248904045,31.584703406051013,0
800389,0,0.7806354168232472,3,5,0.8202764976958525,1.0936263966167132,21.45187870843234,-0.27640055726738133,31.308302848783633,0
800390,1,0.8529126321892531,3,5,0.8153153153153153,0.5181378536327461,21.970016562065084,3.139845131277905,34.448147980061535,0
800391,0,0.8179447589384395,5,5,0.8193832599118943,0.6553583682875894,22.625374930352674,-0.6553583682875894,33.79278961177395,0
800392,1,0.8590316436540019,5,5,0.8232758620689655,2.1795892890060244,24.8049642193587,1.6344231797024502,35.4272127914764,0
800393,0,0.8120834088447749,5,5,0.8270042194092827,0.3863990186959718,25.19136323805467,0.9830879768861909,36.41030076836259,0
800394,1,0.7871586727617442,3,5,0.8223140495867769,1.0674954130087428,26.258858651063413,-1.2265084469380483,35.18379232142454,0
800395,0,0.8188665830151045,4,5,0.8218623481781376,-0.5601744123120351,25.698684238751376,0.5601744123120351,35.74396673373658,0
800396,1,0.7977716349283365,2,5,0.8134920634920635,-0.3887476246192456,25.30993661413213,-0.1364882392331932,35.60747849450338,0
