seed,episode,regime,agent,context,correct,samples,first_action,probability_positive,phi_channel_1,phi_channel_3,joint_descends,depth_readout,policy_entropy,policy_free_energy,active_inference_objective
8701,4,training,local,0.5,true,3,1,0.9931521119806811,-0.03471880201684857,0.4136336831654128,true,0.7622606121755283,0.0,0.0,23.450511676132226
8701,4,training,random,0.5,true,3,1,0.9978687811617237,-0.0889240740577349,1.0742710163761213,true,0.824476840276033,0.0,0.0,22.344436673501953
8701,4,training,fixed,0.5,true,3,1,0.9976480748610774,0.2527514791948349,0.7514163996136872,true,0.7597972228349581,0.0,0.0,26.153811978349708
8701,4,training,no_binding,0.5,true,3,1,0.8138883678374547,-0.1648169790630942,1.0525034739117194,true,0.8257117478376613,0.0,0.0,23.139318262773845
8701,5,training,full,1.0,true,3,1,0.00016397257421625727,-0.7134371428074123,1.9576303714010157,true,0.8178820930575239,0.0,0.0,20.35907116647983
8701,5,training,local,1.0,true,3,1,0.0002878658033475112,-0.4318719560328894,1.1935885044418029,true,0.7649547098366241,0.0,0.0,22.644663426147194
8701,5,training,random,1.0,true,3,1,0.00016397257421625727,-0.7134371428074123,1.9576303714010157,true,0.8178820930575239,0.0,0.0,20.35907116647983
8701,5,training,fixed,1.0,true,3,1,4.666228752299804e-6,-0.5540794891481516,2.4430036310283025,true,0.7514867084770454,0.0,0.0,24.74930535068679
8701,5,training,no_binding,1.0,true,3,1,0.10792551128022783,-0.8135727937706064,1.9570929617458184,true,0.8188180520040894,0.0,0.0,21.457631452859502
8701,6,training,full,-1.0,true,3,1,0.055829557385017076,1.9273778069734897,-0.8273980669763229,true,0.8293416856435546,0.0,0.0,22.891833698904456
8701,6,training,local,-1.0,true,3,1,0.03798424156388215,1.1969325592759685,-0.9324158305711681,true,0.7976163811127385,0.0,0.0,24.37327945922918
8701,6,training,random,-1.0,true,3,1,0.055829557385017076,1.9273778069734897,-0.8273980669763229,true,0.8293416856435546,0.0,0.0,22.891833698904456
8701,6,training,fixed,-1.0,true,3,1,0.06112412988741745,1.934478136074137,-1.0292685303998412,true,0.7569415497858342,0.0,0.0,27.773641064074297
8701,6,training,no_binding,-1.0,true,3,1,0.31434328786748506,1.9109387057670084,-0.8980422222700574,true,0.8295769897402528,0.0,0.0,23.115185582361327
8701,7,training,full,-0.5,true,3,1,0.7353976848989342,1.1509061253249444,0.06727059498578926,true,0.8319777292519179,0.0,0.0,21.979220020537753
8701,7,training,local,-0.5,true,3,1,0.6194480550093999,0.7134854440095298,-0.19891334417078665,true,0.8176341427780023,0.0,0.0,22.969359233619535
8701,7,training,random,-0.5,true,3,1,0.7353976848989342,1.1509061253249444,0.06727059498578926,true,0.8319777292519179,0.0,0.0,21.979220020537753
8701,7,training,fixed,-0.5,true,3,1,0.6890813452021513,0.4247681364131029,1.0424334464569383,true,0.7547057584262173,0.0,0.0,24.800577021206013
8701,7,training,no_binding,-0.5,true,3,1,0.5737277222315608,1.136173667931814,0.004540030729855518,true,0.8313957367592678,0.0,0.0,21.98361525623389
8701,8,training,full,0.0,true,3,1,0.18117478711963525,0.47551114339014805,0.6419650123635462,true,0.8318162851419284,0.0,0.0,20.96629681158741
8701,8,training,local,0.0,true,3,1,0.28717217992139654,0.2722727940837726,0.22078007815436948,true,0.8183908281077092,0.0,0.0,21.09305150064903
8701,8,training,random,0.0,true,3,1,0.18117478711963525,0.47551114339014805,0.6419650123635462,true,0.8318162851419284,0.0,0.0,20.96629681158741
8701,8,training,fixed,0.0,true,3,1,0.1537892202513377,0.5525938510147524,0.7364524739035119,true,0.7735021736223483,0.0,0.0,24.19727542866522
8701,8,training,no_binding,0.0,true,3,1,0.39271700144558314,0.4360840529843757,0.6015392561379113,true,0.8313897796926981,0.0,0.0,21.03993887125778
8701,9,training,full,0.5,true,3,1,0.9963872937261306,-0.049526886971967055,0.9974821638648953,true,0.8369297997368124,0.0,0.0,24.07835605290947
