seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
62011,0.8058994863313418,0.7471096514090774,0.4920769889872232,0.10908725335366293,0.30917184620866045,0.9914214535524054,0.729690965608196,0.4975217660929095,0.375,0.0,0.3125,0.0625,0.25,0.0,0.13412958684688223,0.007403937691818629,0.3125,-0.0
62012,0.7339593866461906,0.9985712845212354,0.9988850757698735,0.5528600094611271,0.3267526873842538,0.9842601578055264,0.1640960554782586,0.18280378677442805,0.3125,0.0,0.125,0.0,0.25,0.125,0.06109907126072551,0.08616672153700414,0.125,0.0
62013,0.4167776651023586,0.9984593389273699,0.07999105883535763,0.7250609194605893,0.5770501254581657,0.9999694580065572,0.7111121670257071,0.4031144232805476,0.4375,0.0,0.3125,0.125,0.25,0.0625,0.03696912134237265,0.019323205678835616,0.20138888888888887,-0.0
62014,0.7216427684843021,0.9980546453499264,0.05216183691723934,0.9896147373236304,0.3653973702695564,0.999980036616485,0.7141926048490761,0.6379606944069371,0.3125,0.0,0.4375,0.25,0.375,0.3125,0.11844702729165732,0.16414415091368673,0.1647727272727273,-0.0
62015,0.8678319946595942,0.9692581518352681,0.06526109490999028,0.8174044039950953,0.2995460006654654,0.9993508874894264,0.9894132853457867,0.33062708154599296,0.6875,0.0,0.625,0.0625,0.6875,0.125,0.9968091064835279,0.05736301198117402,0.425,-0.0
62016,0.9167308652749667,0.9793120279509882,0.15148697281894263,0.4278226427256189,0.3417375134434603,0.9752175389082284,0.3666918718476093,0.6483705590208257,0.1875,0.0,0.25,0.0625,0.3125,0.25,0.2222406935646347,0.3799274556744967,0.17307692307692307,-0.0
62017,0.9830555265614667,0.9636867198521623,0.1499450819891441,0.7863062556645162,0.17734566352680406,0.9998753185719531,0.630043290690584,0.6482175532749722,0.5,0.0,0.375,0.125,0.4375,0.1875,0.14127047741036247,0.02965175591046198,0.25,-0.0
62018,0.14684072378543375,0.9993211539843414,0.8211313065328474,0.48216738822500693,0.874364493989684,0.9999508731989365,0.9997055719903853,0.2446491940442857,0.8125,0.0,0.8125,0.0625,0.6875,0.3125,0.9999927211278912,0.2550455982728481,0.47916666666666674,-0.0
62019,0.9978716572899596,0.8163952437147578,0.16576788231828413,0.25184925784619105,0.502667408357542,0.9999195063375154,0.6715553651483835,0.5778956484471245,0.3125,0.0,0.125,0.0625,0.25,0.1875,0.0031965209015234635,0.025956045427135917,0.125,-0.0
62020,0.9712062635560892,0.9417114049168394,0.02272175257264867,0.24324980312557867,0.2675211638119652,0.9990823069219643,0.009692923302380606,0.12300421714314208,0.0625,0.0,0.1875,0.1875,0.1875,0.1875,0.1489523911518914,0.1372500551054294,0.05416666666666667,-0.0
