seed,model,posterior_mode,episode_kind,episode_index,t,p_s1,p_s2,p_s3,p_s4,p_phi1,p_phi2,p_phi3,p_phi4
11,BLTGlobal,filtered,probe,1,91,0.0607576656902328,0.8615214771772092,0.026695666941112615,0.05102519019144529,0.02042121547202255,0.769533255180096,0.030160428156541713,0.17988510119133963
11,BLTGlobal,filtered,probe,1,92,0.011719689879979138,0.9327622481695165,0.009430357856205426,0.04608770409429915,0.00803129322463981,0.8580503534158048,0.02690179090890509,0.10701656245065037
11,BLTGlobal,filtered,probe,1,93,0.015327857374677161,0.9702937409677467,0.0055859925590593055,0.008792409098516729,0.005162549272145827,0.925950774261311,0.006574498001703616,0.06231217846483955
11,BLTGlobal,filtered,probe,1,94,0.015442417679543668,0.9759573136114938,0.004045727459567356,0.0045545412493953625,0.004716696087825837,0.948217789936863,0.0071993310754122734,0.039866182899899225
11,BLTGlobal,filtered,probe,1,95,0.0021195183846139227,0.9945891612468101,0.0016217676453359532,0.0016695527232398447,0.05377742458036949,0.9005113568843739,0.021934614443950496,0.023776604091305997
11,BLTGlobal,filtered,probe,1,96,0.0012869841055192996,0.9962073955812191,0.0012506245921384148,0.0012549957211230628,0.1467848188343358,0.7978803118689449,0.037663751700268575,0.017671117596450573
11,BLTGlobal,filtered,probe,1,97,0.011387719267454315,0.9827217132454157,0.0029447549548614403,0.002945812532268604,0.033851024555721414,0.9347988966247005,0.00931149850697301,0.022038580312605156
11,BLTGlobal,filtered,probe,1,98,0.003418050581302216,0.9851550333428237,0.008424532911780868,0.0030023831640936054,0.009583511525249442,0.9646644561819584,0.004324810796144141,0.021427221496648472
11,BLTGlobal,filtered,probe,1,99,0.0030291073231258334,0.9858891451779253,0.003309814898585581,0.007771932600363042,0.005330953037682731,0.9705685074699401,0.0035528842558790767,0.02054765523649786
11,BLTGlobal,filtered,probe,1,100,0.0013943101443185065,0.9956612561785912,0.0014103707281238548,0.0015340629489664958,0.05470246411386713,0.9067590597545532,0.021490782754124176,0.01704769337745565
11,BLTGlobal,filtered,probe,1,101,0.0028457352337382035,0.9853978515878248,0.008891336556650125,0.002865076621787052,0.01391927183593332,0.960288432257111,0.006150309415198422,0.019641986491757402
11,BLTGlobal,filtered,probe,1,102,0.001354178543603958,0.9957846344175088,0.001505312615905261,0.0013558744229820049,0.07085057077619449,0.889653687503273,0.02279387339041565,0.016701868330116967
11,BLTGlobal,filtered,probe,1,103,0.0011544216432106732,0.9965288122126567,0.0011621939698010888,0.0011545721743313462,0.17615589781381163,0.7713994279050065,0.03763693416663694,0.014807740114544684
11,BLTGlobal,filtered,probe,1,104,0.0029059592472679913,0.9824409518297564,0.011747092340374772,0.002905996582600809,0.04080908733116309,0.9286361579601002,0.009550951965855502,0.021003802742881238
11,BLTGlobal,filtered,probe,1,105,0.0029716283378095343,0.9807625222967346,0.013294212980697669,0.002971636384758006,0.011137635838498985,0.9595466404436014,0.008182951919503694,0.021132771798395716
11,BLTGlobal,filtered,probe,1,106,0.002984692224774133,0.9854499918318109,0.0035562544355917138,0.008009061507822863,0.005549024028898519,0.9700309404128143,0.0039575938835355335,0.020462441674751232
11,BLTGlobal,filtered,probe,1,107,0.0029620897623146326,0.9857676389046438,0.007993530366587025,0.0032767409664542276,0.004648822630014184,0.9716239687321797,0.0036862772850308123,0.020040931352774922
11,BLTGlobal,filtered,probe,1,108,0.002947424599781879,0.9841648409682542,0.009899088020800239,0.0029886464111637933,0.004542337394791076,0.9704550035390008,0.005086020964214901,0.019916638101993123
11,BLTGlobal,filtered,probe,1,109,0.015038718750533081,0.2292875932882284,0.7405954026147288,0.015078285346509875,0.04693028255019404,0.8308987442353243,0.05353449702704846,0.06863647618743332
11,BLTGlobal,filtered,probe,1,110,0.10476969885121673,0.14729552314383818,0.2619772042982019,0.48595757370674325,0.014043201142130984,0.7218194550363648,0.06112355647645275,0.2030137873450515
11,BLTGlobal,filtered,probe,1,111,0.011906317395532,0.021323537753419042,0.022463362464263524,0.9443067823867853,0.06574773702384283,0.8232335914823068,0.032164509968666447,0.07885416152518376
11,BLTGlobal,filtered,probe,1,112,0.005729605738726223,0.007985058413879066,0.020425996862647237,0.9658593389847474,0.01693277669349868,0.924814904213971,0.009337879621149597,0.04891443947138076
11,BLTGlobal,filtered,probe,1,113,0.0018071803635407334,0.0020317612526683467,0.002601990821771427,0.9935590675620193,0.07723063022183091,0.8741756183881008,0.023847133292569152,0.024746618097499066
11,BLTGlobal,filtered,probe,1,114,0.0012255795385648061,0.001245855032462401,0.0012882225598386163,0.9962403428691342,0.18778686245506473,0.7565198521285039,0.038361102890995306,0.01733218252543606
11,BLTGlobal,filtered,probe,1,115,0.002974215349394128,0.0029793298452832385,0.01216876153033747,0.9818776932749853,0.0437986350708654,0.9236748308084431,0.009803443260786724,0.02272309085990471
11,BLTGlobal,filtered,probe,1,116,0.0013173925934138909,0.001317876966820536,0.0015101240455220781,0.9958546063942436,0.12507295091919848,0.833547537844603,0.023982242634072448,0.017397268602126155
11,BLTGlobal,filtered,probe,1,117,0.75705855077964,0.013378406248827683,0.013492404345741723,0.21607063862579046,0.20300865566202528,0.6987525576585257,0.03745148748720264,0.0607872991922462
11,BLTGlobal,filtered,probe,1,118,0.9420201380802786,0.006152477764861145,0.021890428059202195,0.0299369560956581,0.06019652407254408,0.8790136659754846,0.013112577579140743,0.04767723237283058
