seed,model,posterior_mode,t,p_gA,p_gB
11,HierFixed,filtered,93,0.5367918201596276,0.4632081798403725
11,HierFixed,filtered,94,0.5345843109500499,0.46541568904995007
11,HierFixed,filtered,95,0.5325092522930468,0.46749074770695315
11,HierFixed,filtered,96,0.5305586971554641,0.46944130284453595
11,HierFixed,filtered,97,0.5287251753261362,0.47127482467386383
11,HierFixed,filtered,98,0.5910913847895382,0.4089086152104619
11,HierFixed,filtered,99,0.6470915492417956,0.3529084507582043
11,HierFixed,filtered,100,0.6382660562872878,0.36173394371271217
11,HierFixed,filtered,101,0.6299700929100506,0.37002990708994943
11,HierFixed,filtered,102,0.6221718873354475,0.3778281126645525
11,HierFixed,filtered,103,0.6148415740953207,0.38515842590467936
11,HierFixed,filtered,104,0.6079510796496015,0.3920489203503985
11,HierFixed,filtered,105,0.5377389719266708,0.4622610280733291
11,HierFixed,filtered,106,0.5354746336110706,0.46452536638892944
11,HierFixed,filtered,107,0.5333461555944062,0.46665384440559365
11,HierFixed,filtered,108,0.5313453862587418,0.46865461374125816
11,HierFixed,filtered,109,0.5294646630832174,0.4705353369167827
11,HierFixed,filtered,110,0.5276967832982242,0.4723032167017757
11,HierFixed,filtered,111,0.5260349763003307,0.47396502369966914
11,HierFixed,filtered,112,0.524472877722311,0.47552712227768906
11,HierFixed,filtered,113,0.5230045050589723,0.47699549494102766
11,HierFixed,filtered,114,0.521624234755434,0.478375765244566
11,HierFixed,filtered,115,0.5203267806701078,0.47967321932989193
11,HierFixed,filtered,116,0.5191071738299015,0.4808928261700984
11,HierFixed,filtered,117,0.5179607434001074,0.4820392565998925
11,HierFixed,filtered,118,0.5168830987961011,0.4831169012038989
11,HierFixed,filtered,119,0.45094200958501235,0.5490579904149876
11,HierFixed,filtered,120,0.5188369196030296,0.48116308039697037
11,HierFixed,filtered,121,0.5820570545943122,0.417942945405688
11,HierFixed,filtered,122,0.5126599242730855,0.48734007572691457
11,HierFixed,filtered,123,0.5119003288167002,0.4880996711832997
11,HierFixed,filtered,124,0.5111863090876982,0.48881369091230187
11,HierFixed,filtered,125,0.5105151305424364,0.48948486945756364
11,HierFixed,filtered,126,0.5098842227098901,0.49011577729010986
11,HierFixed,filtered,127,0.5092911693472967,0.4907088306527033
11,HierFixed,filtered,128,0.5087336991864588,0.49126630081354106
11,HierFixed,filtered,129,0.5082096772352713,0.49179032276472856
11,HierFixed,filtered,130,0.4428764331026096,0.5571235668973905
11,HierFixed,filtered,131,0.4463038471164528,0.5536961528835471
11,HierFixed,filtered,132,0.44952561628946563,0.5504743837105343
11,HierFixed,filtered,133,0.4525540793120979,0.5474459206879021
11,HierFixed,filtered,134,0.5203624905790862,0.4796375094209137
11,HierFixed,filtered,135,0.5191407411443411,0.480859258855659
11,HierFixed,filtered,136,0.5179922966756806,0.4820077033243194
11,HierFixed,filtered,137,0.5169127588751397,0.4830872411248603
11,HierFixed,filtered,138,0.5158979933426313,0.48410200665736874
11,HierFixed,filtered,139,0.5149441137420733,0.4850558862579266
11,HierFixed,filtered,140,0.5140474669175489,0.4859525330824511
11,HierFixed,filtered,141,0.513204618902496,0.4867953810975041
11,HierFixed,filtered,142,0.5124123417683462,0.48758765823165384
11,HierFixed,filtered,143,0.5116676012622453,0.48833239873775464
11,HierFixed,filtered,144,0.5754797459817235,0.4245202540182766
11,HierFixed,filtered,145,0.5709509612228201,0.4290490387771799
11,HierFixed,filtered,146,0.5666939035494508,0.43330609645054907
11,HierFixed,filtered,147,0.5626922693364839,0.43730773066351614
11,HierFixed,filtered,148,0.5589307331762947,0.4410692668237052
11,HierFixed,filtered,149,0.5553948891857171,0.44460511081428283
11,HierFixed,filtered,150,0.5520711958345741,0.4479288041654259
11,HierFixed,filtered,151,0.612250936730642,0.3877490632693582
11,HierFixed,filtered,152,0.6055158805268035,0.39448411947319667
11,HierFixed,filtered,153,0.5991849276951952,0.40081507230480484
11,HierFixed,filtered,154,0.5932338320334833,0.4067661679665167
11,HierFixed,filtered,155,0.5876398021114742,0.4123601978885256
11,HierFixed,filtered,156,0.5823814139847858,0.4176185860152142
11,HierFixed,filtered,157,0.5774385291456985,0.42256147085430135
11,HierFixed,filtered,158,0.5727922173969567,0.42720778260304343
11,HierFixed,filtered,159,0.5684246843531392,0.43157531564686064
11,HierFixed,filtered,160,0.564319203291951,0.4356807967080491
11,HierFixed,filtered,161,0.5604600510944339,0.4395399489055661
11,HierFixed,filtered,162,0.5568324480287679,0.44316755197123225
11,HierFixed,filtered,163,0.5534225011470417,0.4465774988529583
11,HierFixed,filtered,164,0.5502171510782192,0.4497828489217807
11,HierFixed,filtered,165,0.5472041220135262,0.4527958779864738
11,HierFixed,filtered,166,0.5443718746927146,0.45562812530728547
11,HierFixed,filtered,167,0.5417095622111517,0.45829043778884826
11,HierFixed,filtered,168,0.4742187544680785,0.5257812455319214
11,HierFixed,filtered,169,0.47576562919999377,0.5242343708000062
11,HierFixed,filtered,170,0.5421950868478507,0.45780491315214933
11,HierFixed,filtered,171,0.6033288188667136,0.39667118113328637
11,HierFixed,filtered,172,0.5971290897347108,0.40287091026528915
11,HierFixed,filtered,173,0.5913013443506282,0.4086986556493719
11,HierFixed,filtered,174,0.5858232636895904,0.4141767363104096
11,HierFixed,filtered,175,0.580673867868215,0.419326132131785
11,HierFixed,filtered,176,0.575833435796122,0.4241665642038778
11,HierFixed,filtered,177,0.5712834296483548,0.42871657035164507
11,HierFixed,filtered,178,0.5670064238694537,0.4329935761305465
11,HierFixed,filtered,179,0.5629860384372863,0.43701396156271366
11,HierFixed,filtered,180,0.5592068761310494,0.44079312386895075
11,HierFixed,filtered,181,0.5556544635631865,0.4443455364368137
11,HierFixed,filtered,182,0.5523151957493951,0.44768480425060475
11,HierFixed,filtered,183,0.5491762840044314,0.45082371599556853
11,HierFixed,filtered,184,0.5462257069641657,0.4537742930358344
11,HierFixed,filtered,185,0.5434521645463157,0.45654783545368427
11,HierFixed,filtered,186,0.5408450346735368,0.45915496532646327
11,HierFixed,filtered,187,0.5383943325931245,0.4616056674068754
11,HierFixed,filtered,188,0.5360906726375371,0.46390932736246304
11,HierFixed,filtered,189,0.5339252322792848,0.4660747677207153
11,HierFixed,filtered,190,0.5318897183425275,0.46811028165747237
11,HierFixed,filtered,191,0.529976335241976,0.47002366475802415
11,HierFixed,filtered,192,0.5281777551274573,0.4718222448725426
11,HierFixed,filtered,193,0.52648708981981,0.4735129101801901
11,HierFixed,filtered,194,0.5248978644306215,0.47510213556937864
11,HierFixed,filtered,195,0.5234039925647842,0.47659600743521585
11,HierFixed,filtered,196,0.5219997530108972,0.4780002469891029
11,HierFixed,filtered,197,0.5206797678302432,0.4793202321697567
11,HierFixed,filtered,198,0.5194389817604287,0.48056101823957137
11,HierFixed,filtered,199,0.5182726428548029,0.48172735714519704
11,HierFixed,filtered,200,0.5171762842835149,0.48282371571648525
11,HierFixed,smoothed,1,0.5966189381317445,0.40338106186825573
11,HierFixed,smoothed,2,0.6027861043954729,0.3972138956045272
11,HierFixed,smoothed,3,0.6093469195696519,0.3906530804303482
11,HierFixed,smoothed,4,0.6163265101804807,0.3836734898195193
11,HierFixed,smoothed,5,0.6237516065749794,0.3762483934250204
11,HierFixed,smoothed,6,0.6316506452925315,0.3683493547074686
11,HierFixed,smoothed,7,0.6400538779707778,0.35994612202922194
11,HierFixed,smoothed,8,0.6411373945590323,0.35886260544096793
11,HierFixed,smoothed,9,0.6427614373392145,0.3572385626607857
11,HierFixed,smoothed,10,0.644932226049632,0.3550677739503681
11,HierFixed,smoothed,11,0.6476580743491759,0.3523419256508241
11,HierFixed,smoothed,12,0.6509494216568654,0.3490505783431344
11,HierFixed,smoothed,13,0.6548188731326026,0.3451811268673972
11,HierFixed,smoothed,14,0.659281247952252,0.34071875204774793
11,HierFixed,smoothed,15,0.6566878436484044,0.3433121563515959
11,HierFixed,smoothed,16,0.6546945204478906,0.3453054795521095
11,HierFixed,smoothed,17,0.6532936443469646,0.3467063556530353
11,HierFixed,smoothed,18,0.6524798502882185,0.34752014971178136
11,HierFixed,smoothed,19,0.6522500216135553,0.3477499783864449
11,HierFixed,smoothed,20,0.65260327812805,0.34739672187195014
11,HierFixed,smoothed,21,0.6535409727289925,0.34645902727100736
11,HierFixed,smoothed,22,0.6550666965871952,0.3449333034128048
11,HierFixed,smoothed,23,0.6571862929004126,0.3428137070995873
11,HierFixed,smoothed,24,0.6677549828049569,0.33224501719504307
11,HierFixed,smoothed,25,0.6711402452204069,0.32885975477959295
11,HierFixed,smoothed,26,0.6675860557437922,0.33241394425620785
11,HierFixed,smoothed,27,0.6722906777762512,0.32770932222374877
11,HierFixed,smoothed,28,0.670060328921669,0.329939671078331
11,HierFixed,smoothed,29,0.6684812749438083,0.33151872505619195
11,HierFixed,smoothed,30,0.6675474684019023,0.3324525315980978
11,HierFixed,smoothed,31,0.6672553330155782,0.3327446669844219
11,HierFixed,smoothed,32,0.6676037499684626,0.3323962500315375
11,HierFixed,smoothed,33,0.6609347899418833,0.3390652100581167
11,HierFixed,smoothed,34,0.654882175919337,0.3451178240806631
11,HierFixed,smoothed,35,0.6494227276769069,0.35057727232309305
11,HierFixed,smoothed,36,0.6445355366894098,0.35546446331059023
11,HierFixed,smoothed,37,0.6402018860551912,0.35979811394480865
11,HierFixed,smoothed,38,0.6364051788143756,0.3635948211856243
11,HierFixed,smoothed,39,0.6331308743860409,0.36686912561395923
11,HierFixed,smoothed,40,0.6303664328808862,0.3696335671191137
11,HierFixed,smoothed,41,0.6281012670761268,0.37189873292387327
11,HierFixed,smoothed,42,0.62632670186868,0.3736732981313199
11,HierFixed,smoothed,43,0.6250359410513687,0.3749640589486312
11,HierFixed,smoothed,44,0.6242240412848924,0.37577595871510755
11,HierFixed,smoothed,45,0.6317658576904358,0.3682341423095643
11,HierFixed,smoothed,46,0.6398123092956446,0.3601876907043555
11,HierFixed,smoothed,47,0.6483942122981557,0.35160578770184425
11,HierFixed,smoothed,48,0.6575444335605323,0.3424555664394677
11,HierFixed,smoothed,49,0.6672980164833535,0.33270198351664665
11,HierFixed,smoothed,50,0.6699087728797288,0.33009122712027134
11,HierFixed,smoothed,51,0.6655648597585793,0.33443514024142085
11,HierFixed,smoothed,52,0.6618550248237391,0.33814497517626074
11,HierFixed,smoothed,53,0.6587650601967346,0.34123493980326525
11,HierFixed,smoothed,54,0.6562831319704836,0.34371686802951634
11,HierFixed,smoothed,55,0.6543997348879492,0.3456002651120507
11,HierFixed,smoothed,56,0.6531076559390286,0.3468923440609716
11,HierFixed,smoothed,57,0.6524019467362572,0.3475980532637429
11,HierFixed,smoothed,58,0.6522799045635395,0.34772009543646043
11,HierFixed,smoothed,59,0.6527410620253207,0.3472589379746793
11,HierFixed,smoothed,60,0.6537871852565603,0.3462128147434397
11,HierFixed,smoothed,61,0.655422280686655,0.344577719313345
11,HierFixed,smoothed,62,0.6576526103832091,0.342347389616791
11,HierFixed,smoothed,63,0.6604867160344223,0.3395132839655777
11,HierFixed,smoothed,64,0.6562779872247023,0.34372201277529746
11,HierFixed,smoothed,65,0.6526677698554177,0.3473322301445823
11,HierFixed,smoothed,66,0.649642237562175,0.3503577624378251
11,HierFixed,smoothed,67,0.6471898032000214,0.35281019679997866
11,HierFixed,smoothed,68,0.6453010744671444,0.35469892553285565
11,HierFixed,smoothed,69,0.6439688179343543,0.35603118206564555
11,HierFixed,smoothed,70,0.6431879313425896,0.35681206865741055
11,HierFixed,smoothed,71,0.6429554240623494,0.3570445759376505
11,HierFixed,smoothed,72,0.6432704056402206,0.35672959435977936
11,HierFixed,smoothed,73,0.6441340823886288,0.3558659176113713
11,HierFixed,smoothed,74,0.637777205940938,0.3622227940590618
11,HierFixed,smoothed,75,0.6319479868777019,0.3680520131222979
11,HierFixed,smoothed,76,0.6266241005301678,0.37337589946983224
11,HierFixed,smoothed,77,0.6217851575463661,0.37821484245363385
11,HierFixed,smoothed,78,0.6174126258042315,0.3825873741957685
11,HierFixed,smoothed,79,0.6134897594375172,0.38651024056248273
11,HierFixed,smoothed,80,0.6100015347026913,0.38999846529730875
11,HierFixed,smoothed,81,0.6069345924411949,0.3930654075588052
11,HierFixed,smoothed,82,0.6042771869167072,0.3957228130832928
11,HierFixed,smoothed,83,0.602019140831475,0.3979808591685249
11,HierFixed,smoothed,84,0.6001518063494274,0.3998481936505726
11,HierFixed,smoothed,85,0.5986680319768029,0.40133196802319704
11,HierFixed,smoothed,86,0.5975621351734514,0.4024378648265486
11,HierFixed,smoothed,87,0.5968298805899128,0.4031701194100869
11,HierFixed,smoothed,88,0.5964684638469318,0.40353153615306836
11,HierFixed,smoothed,89,0.5964765007952791,0.4035234992047208
11,HierFixed,smoothed,90,0.5968540222147575,0.4031459777852424
11,HierFixed,smoothed,91,0.5976024739320797,0.40239752606792034
11,HierFixed,smoothed,92,0.5987247223580777,0.40127527764192217
11,HierFixed,smoothed,93,0.6002250654654472,0.3997749345345527
11,HierFixed,smoothed,94,0.6021092492490675,0.39789075075093266
11,HierFixed,smoothed,95,0.6043844897319393,0.39561551026806063
11,HierFixed,smoothed,96,0.6070595006010187,0.39294049939898124
11,HierFixed,smoothed,97,0.6101445265787829,0.3898554734212172
11,HierFixed,smoothed,98,0.6136513826583379,0.386348617341662
11,HierFixed,smoothed,99,0.6097218036951156,0.39027819630488425
11,HierFixed,smoothed,100,0.5980725852411386,0.4019274147588615
11,HierFixed,smoothed,101,0.5867989639221274,0.41320103607787256
11,HierFixed,smoothed,102,0.5758577641670732,0.4241422358329267
11,HierFixed,smoothed,103,0.5652070835088292,0.4347929164911707
11,HierFixed,smoothed,104,0.5548061321065767,0.4451938678934233
11,HierFixed,smoothed,105,0.544615076529413,0.45538492347058696
11,HierFixed,smoothed,106,0.5427945170371362,0.4572054829628638
11,HierFixed,smoothed,107,0.5411378514398953,0.4588621485601049
11,HierFixed,smoothed,108,0.5396387350609347,0.46036126493906543
11,HierFixed,smoothed,109,0.538291426603484,0.461708573396516
11,HierFixed,smoothed,110,0.5370907661628126,0.4629092338371873
11,HierFixed,smoothed,111,0.5360321554648926,0.4639678445351074
11,HierFixed,smoothed,112,0.5351115402559871,0.46488845974401305
11,HierFixed,smoothed,113,0.5343253947757212,0.46567460522427867
11,HierFixed,smoothed,114,0.533670708254171,0.46632929174582893
11,HierFixed,smoothed,115,0.5331449733812538,0.4668550266187461
11,HierFixed,smoothed,116,0.5327461767042649,0.46725382329573506
11,HierFixed,smoothed,117,0.5324727909167817,0.46752720908321826
11,HierFixed,smoothed,118,0.5323237690094054,0.4676762309905947
11,HierFixed,smoothed,119,0.5322985402599373,0.4677014597400628
11,HierFixed,smoothed,120,0.5405329157567783,0.4594670842432216
11,HierFixed,smoothed,121,0.5407913699738911,0.459208630026109
11,HierFixed,smoothed,122,0.5330925296864514,0.4669074703135488
11,HierFixed,smoothed,123,0.533638766202374,0.46636123379762584
11,HierFixed,smoothed,124,0.534313832035668,0.46568616796433204
11,HierFixed,smoothed,125,0.5351203125448428,0.4648796874551572
11,HierFixed,smoothed,126,0.5360612963786576,0.4639387036213422
11,HierFixed,smoothed,127,0.5371403873049867,0.46285961269501336
11,HierFixed,smoothed,128,0.5383617180124834,0.46163828198751655
11,HierFixed,smoothed,129,0.5397299659379005,0.4602700340620995
11,HierFixed,smoothed,130,0.5412503711796756,0.45874962882032455
11,HierFixed,smoothed,131,0.5511180750222365,0.4488819249777634
11,HierFixed,smoothed,132,0.5611815502159466,0.4388184497840534
11,HierFixed,smoothed,133,0.5714793377296328,0.42852066227036734
11,HierFixed,smoothed,134,0.5820508758984535,0.41794912410154644
11,HierFixed,smoothed,135,0.5847793732533072,0.4152206267466927
11,HierFixed,smoothed,136,0.5878325575695567,0.4121674424304433
11,HierFixed,smoothed,137,0.5912221218935192,0.4087778781064806
11,HierFixed,smoothed,138,0.5949610475353719,0.405038952464628
11,HierFixed,smoothed,139,0.5990636537848069,0.40093634621519314
11,HierFixed,smoothed,140,0.6035456527508645,0.3964543472491355
11,HierFixed,smoothed,141,0.6084242095359678,0.3915757904640321
11,HierFixed,smoothed,142,0.6137180079746132,0.38628199202538666
11,HierFixed,smoothed,143,0.6194473221884805,0.3805526778115193
11,HierFixed,smoothed,144,0.625634094232006,0.37436590576799395
11,HierFixed,smoothed,145,0.6244514833814117,0.37554851661858846
11,HierFixed,smoothed,146,0.6237454952331289,0.37625450476687106
11,HierFixed,smoothed,147,0.6235134260027603,0.3764865739972396
