scenario,t,x_true,y,x_mean,x_var,z_mean,h_mean
dream,63,2.3155280475196816,2.4076991595149364,2.4315896580765455,0.09969134058021903,-3.7789763276436648,-3.712039990948026
dream,64,9.76897209515244,10.094228394561677,10.074497309480263,0.09974652451247748,-4.000355204057457,-4.026183954329644
dream,65,13.266804586121959,13.521852468293073,13.507637228779108,0.09964021889137693,-3.766138075053378,-3.996991781859606
dream,66,18.727789587578616,18.528761613174666,18.512405002797188,0.09971286592743686,-3.9418247746365793,-4.114411886483545
dream,67,14.609356715942182,14.538300555110558,14.550054000031524,0.09961444953756286,-3.7379545189052656,-3.976306838613142
dream,68,15.113380617408124,14.651922227290653,14.647133923417009,0.0994226583406467,-3.415047294931476,-3.469917870140769
dream,69,22.379872243428483,22.505308897968117,22.483414934963374,0.09974513844027416,-3.9716241985362277,-3.8988769162400456
dream,70,25.705546595652404,25.864128904963803,25.84774969673212,0.09963641226664942,-3.7334617726382917,-3.9438813915625737
dream,71,24.7837019192837,24.94577443351057,24.943393975090636,0.09939027051712553,-3.367362595984454,-3.2992763556171956
dream,72,45.79932976169731,45.81220022460249,45.79451941180296,0.09992005411454194,-5.024407098447761,-4.388573102928498
dream,73,42.42334718761951,42.10180041535068,42.10673026599738,0.09964861901978013,-3.875134552392383,-3.9784891145887458
dream,74,57.48917266840963,57.72213870133564,57.70650112400315,0.09991175553071949,-4.9703835286853835,-4.675810284358691
dream,75,59.51161222930969,59.53058371383442,59.5212107047886,0.0998009726540935,-4.3641145608995044,-4.586681531930164
dream,76,62.869334349414196,63.49089409439948,63.47908908570809,0.09983003967869954,-4.473050296834739,-4.658051921481334
dream,77,61.20870249429675,61.19650999110915,61.19396049407761,0.09971398165724112,-4.106992388159196,-4.07622548110091
dream,78,65.01266426790673,65.41060792985847,65.39433935695786,0.09977641835466775,-4.164309956178053,-4.28158215097235
dream,79,57.07533471904237,57.10420435133372,57.11733165646178,0.09973852167231313,-4.0737341229798645,-4.290683593439328
dream,80,51.19732568326565,51.407755305773776,51.41756878562417,0.09965611499946825,-3.8699618732831538,-4.097046746184187
noetic,1,-0.4054828811991374,-0.17476910761517095,-0.05640279892824781,0.09904522074371419,-0.1274556305441777,0.013706818196101901
noetic,2,-2.9750828408279055,-3.198856012316445,-3.0184284618372015,0.09426353355621842,-0.5187327502142318,-0.02982547786526832
noetic,3,-3.6882829604160783,-3.4241721246600614,-3.3695158358687722,0.09018147712614727,0.05000117915253716,-0.03290402726152202
noetic,4,-2.1485902748443353,-1.9254965810336615,-2.037147381239268,0.09124680550364285,-0.08676446849724159,-0.06520832223736343
noetic,5,-3.2446072195162245,-3.254217483619476,-3.1423627982232682,0.09151926942018265,-0.13033725710364713,-0.10543533698973219
noetic,6,-2.9756677417653505,-2.314139358097774,-2.3777710985302107,0.09051836717544692,-0.02281696764870755,-0.11614431363755284
noetic,7,-4.192571612419786,-4.349321945119539,-4.211964634969503,0.09342926132896107,-0.4183976962576848,-0.2035241413995911
noetic,8,-1.75208025034832,-1.4897024291834207,-1.6263213384116273,0.09456062153853383,-0.6251588489370518,-0.3148083698438051
noetic,9,-2.883129765308617,-3.014885159776648,-2.9140234226178863,0.09313809665928542,-0.39898283344043506,-0.3794730123039633
noetic,10,-1.3566457876755553,-1.6477753092094367,-1.7285879232553372,0.0927881098955439,-0.3616121432473291,-0.42260797822491863
noetic,11,1.460986829920948,1.592707071712251,1.470071007560899,0.09620892861216052,-1.0203979005365797,-0.5832737293622291
noetic,12,2.049310028463351,2.0313822899455865,1.9876602981359643,0.09311263859110813,-0.4421703293806356,-0.5780789371489771
noetic,13,3.1269267866502615,2.9625966774662524,2.8941973340929126,0.09363323944999494,-0.5235287270439076,-0.6158296616212962
noetic,14,3.387745444466009,2.926995850707763,2.914241083869385,0.09281455523403624,-0.41593986217169737,-0.5594113928859983
noetic,15,2.6056228740990153,2.943182047402489,2.929915212220417,0.09240389009318942,-0.3567887158347841,-0.5031249939602526
noetic,16,0.5079207198889554,0.2528586677805835,0.3628330579711695,0.09565414943227755,-0.9028481018529869,-0.6572105192134232
noetic,17,0.19510815056923758,-0.04566371065477354,-0.018582770028092388,0.09306248604524658,-0.46329930256752894,-0.6165816041212698
noetic,18,-0.9593081109355978,-1.7940629997037398,-1.7031510190375676,0.09488226180886075,-0.7550608103724633,-0.7199399928799827
noetic,19,-0.08720693796936567,0.02717349487828154,-0.05447862049244817,0.09503684931627708,-0.7975868499338384,-0.8087309313706119
noetic,20,0.43617344637683547,0.2663287153157059,0.24647990891589097,0.09375987363650021,-0.5952469056461245,-0.7486032608595201
noetic,21,-1.0641770421915946,-1.172627536113157,-1.0991245943595205,0.09477510616325412,-0.7550954109467488,-0.8178131307525977
noetic,22,-1.1360795319703332,-0.6988980991023104,-0.7203712485552671,0.09378077071901321,-0.602897825227501,-0.7589043819027805
noetic,23,-3.0459610724646713,-3.096064196969258,-3.003582689833365,0.09616531634400939,-1.057706688271538,-0.9072053287310052
noetic,24,-3.4990087933383816,-3.4391550750290305,-3.4063083870084516,0.09439238535170824,-0.7152369379918978,-0.8755300257829499
noetic,25,-3.941822473616158,-4.351881437064305,-4.294285415261073,0.09483855032269696,-0.7883521103292489,-0.9105551892849096
noetic,26,-3.834302980199827,-3.8223357860428377,-3.837368554252432,0.09415602571128888,-0.6807009898108257,-0.8331440863443924
noetic,27,-2.318204743158718,-2.3297072277453075,-2.3963359379082045,0.0949362312090344,-0.8016165680876925,-0.8920294632133207
noetic,28,-2.4405638162535923,-2.530345253138942,-2.51522080855536,0.09404141502350033,-0.6607696616830615,-0.8143115858848934
noetic,29,-2.712968877340333,-3.171278154497578,-3.1252630977323235,0.09411435474434111,-0.6588642292919854,-0.8134181235015986
noetic,30,-1.8763577370085431,-1.8369291796801146,-1.8982131596411573,0.09458655925450499,-0.7372783124496189,-0.8549144666629009
noetic,31,-0.21451122332568576,-0.3427433079908784,-0.4127161511735779,0.09520917443907484,-0.8586447722255037,-0.927644929741895
noetic,32,-0.16634692870295884,0.10500458449576489,0.07692476534681088,0.09435110228433587,-0.7172856143516394,-0.8804180911750161
noetic,33,-0.17945889825371641,-0.24883471783312072,-0.22947186834626426,0.09398507212956893,-0.6522283536253147,-0.8105488740245754
noetic,34,1.4462686553665385,1.007637359290249,0.94271792759862,0.09470320298471198,-0.7586313225251439,-0.8629115790751375
noetic,35,2.3421989494301494,2.8005020514710646,2.7209172990474326,0.09582214730395411,-0.9908733841757283,-0.974807082534433
noetic,36,4.160326714501683,4.430722104301389,4.357986740944561,0.09605952071146157,-1.0594250785243264,-1.0743213572782944
noetic,37,5.801052321983616,5.70414250144271,5.642051481240253,0.09603012577370831,-1.0653468174646932,-1.1431657533328285
noetic,38,5.677912006340392,5.670603028794627,5.655703519995172,0.09520382709814702,-0.9053555940678211,-1.0564995493018743
noetic,39,7.634270829144211,7.04169202230387,6.976416304442011,0.09608840199780559,-1.077323356608395,-1.1360237774544473
noetic,40,7.093301271978284,6.779111557391369,6.7717213369779286,0.09512248403576735,-0.8894371818830412,-1.0313913626228028
noetic,41,6.591492339174646,6.627606163308975,6.617213439272713,0.09465589741152325,-0.7885667238609552,-0.9365396266979318
noetic,42,6.914840603478386,6.755971862966804,6.7294268618032085,0.09434754646711735,-0.7202872753670537,-0.8839169462361892
noetic,43,6.544980988113948,6.582639572261648,6.571100295845092,0.09391658065046568,-0.6441210246251965,-0.796706741226527
noetic,44,9.7107510028439,9.867566738480315,9.772378327089504,0.09737412833251582,-1.43626251983405,-1.0263528769083388
noetic,45,8.18722348978223,8.364611686527411,8.408994107384634,0.09517135062315642,-0.8777762578264007,-1.030586261323129
noetic,46,6.904555869184043,6.529014057034724,6.590604167095087,0.09578014186055311,-1.0034258832725833,-1.0930264678518578
noetic,47,6.375179862225609,6.3301857017015095,6.326671745883924,0.09491554449790228,-0.8446923313086546,-0.9852008559030133
noetic,48,6.594481109593906,6.71866922969757,6.681692032292925,0.09477967310585265,-0.8011077212080744,-0.9642059780808959
noetic,49,5.75571391115596,5.702298989422273,5.73698255371682,0.0946252734231957,-0.7710827716445682,-0.9355597697142105
noetic,50,1.4279491673726081,1.1630347666963272,1.2518999106504825,0.09792714954761625,-1.6758881442208797,-1.1870728134405446
noetic,51,-0.3532713939315189,0.05707958803686561,0.10289681889684067,0.09595334693862632,-1.064456045416729,-1.2061642784667583
noetic,52,-1.576950778326299,-2.360511416221152,-2.2903904608637053,0.09714754100298385,-1.3909554090747642,-1.3347462039323004
noetic,53,-0.6390107278241707,-0.08447313491870631,-0.14455422542472773,0.09712722799925204,-1.3989012184312997,-1.4286346249862822
noetic,54,-1.0623591572501747,-0.2582524147034806,-0.25371989428593017,0.09625182000139272,-1.176061624999564,-1.304569598157416
noetic,55,-0.9383529527620934,-0.866614929121488,-0.8414412743782645,0.0959759561824729,-1.0908465234261135,-1.2532084738591274
noetic,56,0.7537131395760202,0.15986643684786128,0.12169184305254367,0.09602031118270857,-1.091601231643057,-1.248441122408855
noetic,57,1.9940171978592933,2.07755678037589,2.015631378477702,0.09684368017791324,-1.3018539227921806,-1.3392082238782879
noetic,58,0.9491339419624023,0.847991101935094,0.886691411025179,0.09637249911223335,-1.1885363253067596,-1.3415559257574472
noetic,59,2.21480043616305,2.158838156401842,2.1135686767222817,0.09656132759866386,-1.2368760318694587,-1.3700722345733436
noetic,60,2.391181261254354,2.122448690492012,2.1179086120070663,0.09603688895945396,-1.117220282300093,-1.2481511877096414
noetic,61,1.5890968628476778,1.8085912274316602,1.8175678679298422,0.09558718205052591,-1.0001305964977147,-1.1411412435449029
noetic,62,3.538270298488358,3.462427148376529,3.3996507033808223,0.09638329881630613,-1.1622606050616466,-1.2213838495936413
noetic,63,0.8314777243174325,0.9236488363126872,0.9914297717062484,0.09706069526582238,-1.3650269090612637,-1.3393386211675606
noetic,64,3.7775358083574746,4.102792107766711,4.033328923949432,0.09780244738831052,-1.6501253761053203,-1.5007411649646376
noetic,65,5.143009996099743,5.3980578782708575,5.353117278217982,0.09713095428919241,-1.4230898930651539,-1.5418397343363557
noetic,66,6.80947271709228,6.610444742688328,6.567712115679697,0.09719782989011491,-1.450653474004903,-1.5765880499141873
noetic,67,5.692246110866263,5.621189950034639,5.6407513571457395,0.09683542304705327,-1.3504797496001606,-1.5077261512356466
noetic,68,6.162120487347314,5.700662097229843,5.688841822026041,0.09654325670597351,-1.26182918595002,-1.4031194802081548
noetic,69,8.853995723206,8.979432377745633,8.910796760306043,0.09808014012122034,-1.7836749374970229,-1.5816773146146712
noetic,70,10.18108219886973,10.33966450818113,10.292392530489241,0.09747803102976488,-1.5505692350036293,-1.642417988647622
noetic,71,10.079208709156616,10.241281223383488,10.22725972936738,0.09697492074496279,-1.4016427929284405,-1.5474897528485556
noetic,72,15.05080202978926,15.06367249269444,14.997815172445849,0.09876851006231685,-2.2162584826326537,-1.7914798154057943
noetic,73,14.284118393617465,13.962571621348632,13.97016014527125,0.09734065194988967,-1.5392519782501939,-1.6635227089118398
noetic,74,18.43396467274045,18.66693070566646,18.604720490682197,0.09884695082553899,-2.2863348002619706,-1.8981638810789627
noetic,75,19.241596669462503,19.260568153987233,19.22776012165001,0.09793150685624169,-1.7728723927891985,-1.914062291077729
noetic,76,20.621307928890886,21.24286767387617,21.195898739026433,0.09842200554546011,-2.0161514605118156,-2.020310683883041
noetic,77,19.976250738736017,19.964058235548414,19.967756273820243,0.09785054718555929,-1.7627520303184765,-1.8660453888116821
noetic,78,20.98552941385301,21.38347307580475,21.339472238853713,0.09817734340652336,-1.8805612535101677,-1.94362370773097
noetic,79,18.103862863596046,18.1327324958874,18.171462158936937,0.0981900048566984,-1.8974693897169999,-1.9978394792500178
noetic,80,15.762036802838637,15.972466425346758,15.99816408318029,0.09800858592193996,-1.8231498697621116,-1.9808805418025883
mpe,1,-0.9604239838649741,-0.7297102102810076,-0.7147670441232957,0.09795217800886227,0.12217719411354477,-0.25824163420328483
mpe,2,-4.849591411883838,-5.073364583372378,-5.012039759234433,0.09860445751866191,-2.3009404714570203,-1.7347305881568218
mpe,3,-6.78881354780154,-6.524702712045523,-6.4707657590113525,0.09694107494642693,-1.6488727755214942,-1.874951920502437
mpe,4,-5.160684245009232,-4.937590551198559,-4.978535367109242,0.09661511522686107,-1.5391113697291527,-1.817665454248301
mpe,5,-7.2601708926818915,-7.269781156785143,-7.219943111737474,0.0980380055327307,-1.9458207225566764,-2.034191877631739
mpe,6,-7.349869078991994,-6.688340695324418,-6.69376992695492,0.09681766458770964,-1.567630328243635,-1.6950684810118506
mpe,7,-9.818794754264818,-9.975545086964571,-9.920829357020354,0.0984870377489338,-2.1143816884504845,-1.9934575013281013
mpe,8,-7.6650816275706415,-7.402703806405742,-7.442336729194961,0.09803999630247552,-1.9092224166165752,-2.0665330382650984
mpe,9,-9.881135812265992,-10.012891206734022,-9.969797395192607,0.0985355547071666,-2.1610431984485747,-2.215559874789907
mpe,10,-8.972449252753076,-9.263578774286957,-9.267983191418065,0.09787972675577558,-1.868588077143767,-1.970220096059746
mpe,11,-6.085917575958697,-5.954197334167394,-5.999275558898611,0.09841852248440852,-2.0623321720172885,-2.1053971732415353
