seed,arm,contact_descent,root_change,p1_permission_episode,p2_permission_episode,conjunction_episode,root_revision_episode,both_permissions_before_root,p1_final_permission,p2_final_permission,p1_probe_strengthening,p2_probe_strengthening,p1_opposed_effect,p2_opposed_effect,escalation_coupled
710131,befriend_none,false,0.0,0,0,0,0,false,0.01557246583497326,0.01557246583497326,,,,,
710131,escalation_probe,,,,,,,,,,0.08525718133757387,0.123925847607536,0.0,0.0,false
710132,befriend_both,false,0.01344492284177947,14,14,14,0,false,0.9288180424816591,0.9288180424816591,,,,,
710132,befriend_one,false,0.0,9,0,0,0,false,0.9308615034933827,0.023644058935132977,,,,,
710132,befriend_none,false,0.0,0,0,0,0,false,0.023644058935132977,0.023644058935132977,,,,,
710132,escalation_probe,,,,,,,,,,1.0451809050255845,-0.03002527614459427,0.0,0.0,false
710133,befriend_both,false,0.0,0,0,0,0,false,0.0673503323959811,0.0673503323959811,,,,,
710133,befriend_one,false,0.0,17,0,0,0,false,0.9282954169156639,0.015520947691097011,,,,,
710133,befriend_none,false,0.0,0,0,0,0,false,0.015520947691097011,0.015520947691097011,,,,,
710133,escalation_probe,,,,,,,,,,0.03187860391116515,0.028940368842747755,0.0,0.0,false
710134,befriend_both,false,0.0,0,0,0,0,false,0.14810366175702416,0.14810366175702416,,,,,
710134,befriend_one,false,0.0,17,0,0,0,false,0.9240896252153595,0.01555734704341822,,,,,
710134,befriend_none,false,0.0,0,0,0,0,false,0.01555734704341822,0.01555734704341822,,,,,
710134,escalation_probe,,,,,,,,,,0.16977906374772322,0.13757135691989886,0.0,0.0,false
710135,befriend_both,false,0.01752736285597154,18,18,18,0,false,0.9214474056050552,0.9214474056050552,,,,,
710135,befriend_one,false,0.0,8,0,0,0,false,0.9308588599874765,0.015555287274769106,,,,,
710135,befriend_none,false,0.0,0,0,0,0,false,0.015555287274769106,0.015555287274769106,,,,,
710135,escalation_probe,,,,,,,,,,0.27292637936748454,-0.03580151621225691,0.0,0.0,false
710136,befriend_both,false,0.00017128453194659794,24,24,24,0,false,0.7306564744379525,0.7306564744379525,,,,,
710136,befriend_one,false,0.0,11,0,0,0,false,0.930818759598463,0.015524662876759127,,,,,
710136,befriend_none,false,0.0,0,0,0,0,false,0.015524662876759127,0.015524662876759127,,,,,
710136,escalation_probe,,,,,,,,,,0.11820648602927775,0.031179966055503883,0.0,0.0,false
710137,befriend_both,true,0.2349298037435289,18,18,18,18,false,0.9118793251456407,0.9118793251456407,,,,,
710137,befriend_one,false,0.0,10,0,0,0,false,0.9308611947702476,0.015526522317057204,,,,,
710137,befriend_none,false,0.0,0,0,0,0,false,0.015526522317057204,0.015526522317057204,,,,,
710137,escalation_probe,,,,,,,,,,0.9405995358621089,-0.09934250285273483,0.0,0.0,false
710138,befriend_both,false,0.08454628323088194,20,20,20,0,false,0.8844466953792194,0.8844466953792194,,,,,
710138,befriend_one,false,0.0,9,0,0,0,false,0.9307854142745869,0.015611489654161103,,,,,
710138,befriend_none,false,0.0,0,0,0,0,false,0.015611489654161103,0.015611489654161103,,,,,
