seed,cell,triplet,variant,length,event_count,truth,formation_truth,selected,T_probability,D_probability,P_probability,winning_log_evidence,formation_selected,high_or_integrated,false_P_eligible,false_P,maximum_prior_difference,maximum_slice_log_bf,maximum_posterior_step,brier_P
813200,matched_permutation,19,irregular_bursts,120,18,D,0,D,0.00014824201615976573,0.9998510246476763,7.333361639572577e-07,8.81651538898339,0,1,1,0,0.7498510246476764,2.2199785861241947,0.2476761349016825,5.377819293675459e-13
813201,D_favoring,,,24,24,D,0,D,0.062897829149441,0.9371017658740487,4.0497651032899375e-07,2.70128023414766,0,1,1,0,0.7064547699447541,2.2199785861241947,0.32298742445229167,1.6400597391824958e-13
813202,D_favoring,,,24,24,D,0,D,0.0009694295886551857,0.9990304669080966,1.0350324821211919e-07,6.93783270897746,0,1,1,0,0.7493620344275752,2.2199785861241947,0.33445106539223834,1.0712922390459554e-14
813203,D_favoring,,,24,24,D,0,D,0.1538233053272846,0.8461763740486685,3.206240469425866e-07,1.7049232421618612,0,1,1,0,0.7044748241956582,2.2199785861241947,0.24888639805113089,1.0279977947784198e-13
813204,D_favoring,,,24,24,D,0,D,0.07437688206078874,0.9255844748866806,3.8643052530772154e-05,2.5212802341476745,0,1,1,0,0.7156050290985793,2.2199785861241947,0.29736862239781103,1.4932855088960162e-09
813205,D_favoring,,,24,24,D,0,D,0.00027375670673515266,0.9997262432910652,2.1995958887746042e-12,8.202996983457375,0,1,1,0,0.7498740330932608,2.2199785861241947,0.35764641906954553,4.838222073914141e-24
813206,D_favoring,,,24,24,D,0,D,2.1641519621148083e-05,0.9999783584803323,4.6398073521286244e-14,10.740875241908917,0,1,1,0,0.7499853207290618,2.2199785861241947,0.29736862239781103,2.1527812264866836e-27
813207,D_favoring,,,24,24,D,0,D,0.0015803928886707905,0.9984150589967825,4.5481145467078135e-06,6.44849560078832,0,1,1,0,0.7484150589967825,2.2199785861241947,0.39717600935399494,2.068534592997522e-11
813208,D_favoring,,,24,24,D,0,D,0.07437975618866262,0.9256202420237953,1.787542061821641e-09,2.5212802341476745,0,1,1,0,0.6756202420237953,2.2199785861241947,0.25349081371977306,3.1953066227815636e-18
813209,D_favoring,,,24,24,D,0,D,0.010087580666999262,0.9899124182532393,1.0797614794927732e-09,4.586311442511729,0,1,1,0,0.7399124182532393,2.2199785861241947,0.4055867174769302,1.1658848525964225e-18
813210,D_favoring,,,24,24,D,0,D,0.01084870584708748,0.989151294051979,1.00933426172115e-10,4.512801500613406,0,1,1,0,0.7483637687967665,2.2199785861241947,0.3005465929162621,1.018755651884179e-20
813211,D_favoring,,,24,24,D,0,D,0.0004885110297894348,0.9995114867867932,2.1834173598517917e-09,7.6236598752682525,0,1,1,0,0.7498848728733105,2.2199785861241947,0.33878548267403485,4.767311367302169e-18
813212,D_favoring,,,24,24,D,0,D,0.0008860659519117042,0.9991139294640512,4.584037084111288e-09,7.027832708977449,0,1,1,0,0.7497911102574236,2.2199785861241947,0.2499641680358347,2.101339598850752e-17
813213,D_favoring,,,24,24,D,0,D,0.00025435965767573663,0.9997456403188113,2.3513110832538465e-11,8.276506925355726,0,1,1,0,0.7498234504068466,2.2199785861241947,0.25961787968940087,5.528663810232377e-22
813214,D_favoring,,,24,24,D,0,D,5.7584413560342245e-05,0.9999424023980931,1.3188346563283782e-08,9.762201025530665,0,1,1,0,0.7499609322890567,2.2199785861241947,0.2499641680358347,1.7393248507327913e-16
813215,D_favoring,,,24,24,D,0,D,0.0006398351996875177,0.999360164792405,7.907687734224226e-12,7.3536598752682565,0,1,1,0,0.7497776824037524,2.2199785861241947,0.24551879810241778,6.253152530200027e-23
813216,D_favoring,,,24,24,D,0,D,0.008302992362923324,0.9916968601870987,1.474499780602839e-07,4.782801500613388,0,1,1,0,0.7416968601870987,2.2199785861241947,0.2677167225949773,2.1741496029978203e-14
813217,D_favoring,,,24,24,D,0,T,0.5307287655757058,0.4692628264553363,8.407968957920511e-06,0.12308808240552338,0,1,1,0,0.4838893085282423,2.2199785861241947,0.2443235423083825,7.069394199735493e-11
813218,D_favoring,,,24,24,D,0,D,0.0009535899388577359,0.9990464096323369,4.288051635930057e-10,6.954322767079127,0,1,1,0,0.7497751894608398,2.2199785861241947,0.2687413501480083,1.8387386832402439e-19
813219,D_favoring,,,24,24,D,0,D,9.719529202301832e-05,0.9999028047079733,3.7835654762093885e-15,9.238691083632311,0,1,1,0,0.7499028047079733,2.2199785861241947,0.29736862239781103,1.4315367712763576e-29
813220,D_favoring,,,24,24,D,0,D,0.043766757753311646,0.9562332398770996,2.3695888235549183e-09,3.084127284235123,0,1,1,0,0.7062332398770996,2.2199785861241947,0.29736862239781103,5.614951192716382e-18
813221,D_favoring,,,24,24,D,0,D,0.002002257494345092,0.997997736395412,6.110242770327337e-09,6.211475716991664,0,1,1,0,0.749303674040656,2.2199785861241947,0.25685508687273234,3.7335066712337486e-17
813222,D_favoring,,,24,24,D,0,D,6.674348843265998e-06,0.9999933239099515,1.7412051759008648e-09,11.917232233894694,0,1,1,0,0.7499933239099515,2.2199785861241947,0.29736862239781103,3.0317954645839616e-18
