bank_seed,maintenance_seed,stratum,q0_P,A_delta_L_PT,A_delta_L_PD,B_delta_L_PT,B_delta_L_PD,M_PT,M_PD,A_root_revision_abs,B_root_revision_abs,A_transfer_abs,B_transfer_abs,root_revision_difference,transfer_difference,B_delivered,B_censored,B_avoidance,dose_M_PT,dose_M_PD,external_danger_selected,identity_danger_selected,external_danger_delta_L_PD
760291,762055,strong,0.7916050046438188,-40.44379837759851,-39.784958677147316,-20.418972619522254,-18.93439565539283,20.024825758076258,20.850563021754486,0.7983008081799499,0.7983008081799499,0.716255743779304,0.716255743779304,0.0,0.0,18,14,15,"[0.0, 11.653356088854071, 25.151688524071993, 34.13351050486553, 40.44379837759851]","[0.0, 10.522015856137898, 24.130914019954673, 32.85626752439819, 39.784958677147316]",T,P,-19.604669876959605
760352,762056,strong,0.8308057149520152,-36.47465028094933,-35.522056446924516,-21.9965445877055,-20.66656844358011,14.478105693243826,14.855488003344405,0.7533499935369898,0.7533499935369896,0.5687150672048571,0.568715067204857,2.220446049250313e-16,1.1102230246251565e-16,19,13,15,"[0.0, 9.52880305073218, 16.716847613217112, 25.21505976570469, 36.47465028094933]","[0.0, 8.75759828619707, 15.437805297264717, 22.495475577028053, 35.522056446924516]",D,P,-18.165119979850925
760368,762057,strong,0.8862626050268744,-36.321434784620116,-32.985246651412396,-19.604587171403,-17.547441354147686,16.716847613217116,15.43780529726471,0.7533499935369898,0.753349993536981,0.5687150672048571,0.5687150672048503,8.881784197001252e-15,6.772360450213455e-15,17,15,19,"[0.0, 4.249106076243791, 21.602397726259507, 30.265997688653737, 36.321434784620116]","[0.0, 3.5288351398816715, 22.582735809941767, 29.50004162798759, 32.985246651412396]",D,P,-24.606370578127134
760393,762058,strong,0.8720177641790725,-40.97860713395972,-42.4943777161305,-26.068090540465203,-27.01294230240893,14.910516593494517,15.48143541372157,0.634685190693322,0.634685190693322,0.5344717395312184,0.5344717395312184,0.0,0.0,21,11,16,"[0.0, 9.147209790700177, 14.045313505156567, 28.95583009865109, 40.97860713395972]","[0.0, 8.584989042726, 13.64114294557033, 29.1225783592919, 42.4943777161305]",D,P,-27.45176849977107
760396,762059,strong,0.8731764655513486,-35.44405938270472,-33.822128440490786,-19.92319047763886,-19.943886687942282,15.52086890506586,13.878241752548504,0.4959440536066897,0.4959440536066897,0.4504733046320507,0.4504733046320507,0.0,0.0,18,14,18,"[0.0, 5.063491524363037, 16.119048903059767, 26.29684959200454, 35.44405938270472]","[0.0, 4.915789441126815, 14.952222348605062, 25.23713939776479, 33.822128440490786]",D,P,-20.43630177634013
760425,762060,strong,0.7948003897582263,-38.26842769925792,-37.567202940300376,-23.472099987614794,-20.903667250558282,14.796327711643126,16.663535689742094,0.9857188096002949,0.9857187943142726,0.4779242713213545,0.47792426390994974,1.528602233680232e-08,7.411404767676544e-09,21,11,14,"[0.0, 12.849334797005323, 16.551459803310465, 24.502690885859394, 38.26842769925792]","[0.0, 12.08157940085411, 15.578169758982227, 22.60359525699201, 37.567202940300376]",D,P,-24.541869670486577
760459,762061,strong,0.835713750704177,-33.76447084624752,-30.59488167109439,-20.749748239335553,-18.6536667319578,13.014722606911967,11.941214939136593,0.5476790569546242,0.5476790569546242,0.4150404102287033,0.4150404102287033,0.0,0.0,20,12,12,"[0.0, 12.086148276941323, 24.070279985608693, 29.51536477000373, 33.76447084624752]","[0.0, 11.736360913911973, 21.977647846614843, 27.066046531212724, 30.59488167109439]",D,P,-45.23230235416384
760465,762062,strong,0.8744218886092098,-34.03187522442813,-31.949591190585984,-16.500642163091765,-15.124831592076127,17.531233061336362,16.824759598509857,0.5,0.5,0.42105263157894735,0.42105263157894735,0.0,0.0,16,16,18,"[0.0, 6.806451302452938, 16.284436712966414, 29.61738133827769, 34.03187522442813]","[0.0, 6.507597767596579, 14.811857886887541, 28.561120512421834, 31.949591190585984]",D,P,-20.150759867563647
760476,762063,strong,0.8756052248723729,-35.55824826455611,-32.64002816447026,-28.637608080251784,-27.314530672894204,6.920640184304329,5.325497491576055,0.7010205905262621,0.7010205905262621,0.6367473502967258,0.6367473502967258,0.0,0.0,25,7,11,"[0.0, 5.279696974488385, 16.81886418149106, 29.566182410222428, 35.55824826455611]","[0.0, 5.228763146315398, 16.93287927847382, 27.519384698118827, 32.64002816447026]",D,P,-29.300157933663513
760536,762064,strong,0.8806262507092795,-34.14606410627952,-30.76749091456546,-20.48234386115495,-17.298957212466203,13.66372024512457,13.468533702099258,0.7533499935369898,0.7533499935369898,0.5687150672048571,0.5687150672048571,0.0,0.0,20,12,17,"[0.0, 11.653356088854068, 21.512934759399545, 30.278551290067725, 34.14606410627952]","[0.0, 10.522015856137898, 18.99888521889993, 27.41126501815486, 30.76749091456546]",D,P,-29.42607795176505
