seed,stratum,intact_M_PT,intact_M_PD,action_mask_M_PT,action_mask_M_PD,forced_open_M_PT,forced_open_M_PD,substitution_M_PT,substitution_M_PD,common_A_delta_L_PT,common_A_delta_L_PD,common_M_PT,common_M_PD,fixed_root_difference,fixed_transfer_difference,fixed_M_PT,fixed_M_PD,broadcast_M_PT,broadcast_M_PD,equalized_A_delta_L_PT,equalized_A_delta_L_PD,equalized_M_PT,equalized_M_PD
762045,strong,14.478105693243819,14.855488003344401,0.0,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,-4.440892098500626e-16,0.0,0.0,0.0,14.478105693243819,14.855488003344401,11.430888299692164,11.598060832420945,1.3322676295501878e-15,0.0,-4.440892098500626e-16,0.0
762046,strong,17.263828683155758,15.470050079018261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.263828683155758,15.470050079018261,15.653865295138655,14.99152865124406,0.0,0.0,0.0,0.0
762047,strong,12.95135136527928,13.576653382063224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,12.95135136527928,13.576653382063224,9.497470864437663,9.240248474424238,0.0,0.0,-4.440892098500626e-16,0.0
762048,strong,10.992186137064031,11.67187135040487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,10.992186137064031,11.67187135040487,8.089811865955497,8.10909253481653,0.0,4.440892098500626e-16,0.0,0.0
762049,strong,17.09844087324911,15.610414540735782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.09844087324911,15.610414540735782,15.009392816720485,14.205591198578492,0.0,0.0,0.0,0.0
762050,strong,10.445205067125386,11.639626568651327,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,10.445205067125386,11.639626568651327,7.063746127505333,7.150545838679893,8.881784197001252e-16,4.440892098500626e-16,0.0,0.0
762051,strong,21.614951327673502,20.493959200109042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.614951327673502,20.493959200109042,18.350469250457152,17.6945594961829,0.0,0.0,0.0,0.0
762052,strong,20.418972619522258,18.934395655392834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.418972619522258,18.934395655392834,17.705996772038983,16.908622043517337,0.0,0.0,0.0,0.0
762053,strong,9.630819619006129,10.252672267406176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,9.630819619006129,10.252672267406176,6.800866909119161,6.537217629485397,0.0,4.440892098500626e-16,0.0,0.0
762054,strong,17.912826321368357,16.99736884198093,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,-8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,17.912826321368357,16.99736884198093,15.272272035106658,14.81891940777299,-8.881784197001252e-16,-8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16
762055,strong,20.024825758076258,20.850563021754486,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,20.024825758076258,20.850563021754486,14.36492033830232,13.419653745912925,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0
762056,strong,14.478105693243826,14.855488003344405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.478105693243826,14.855488003344405,11.430888299692164,11.598060832420945,0.0,0.0,0.0,0.0
762057,strong,16.716847613217116,15.43780529726471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.716847613217116,15.43780529726471,14.627799556688487,14.032981955107424,0.0,0.0,0.0,0.0
762058,strong,14.910516593494517,15.48143541372157,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,-4.440892098500626e-16,0.0,0.0,0.0,14.910516593494517,15.48143541372157,10.905129862919825,10.371404414031943,8.881784197001252e-16,8.881784197001252e-16,-4.440892098500626e-16,0.0
762059,strong,15.52086890506586,13.878241752548504,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,15.52086890506586,13.878241752548504,13.983327078270321,13.247044502441856,4.440892098500626e-16,0.0,0.0,0.0
762060,strong,14.796327711643126,16.663535689742094,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,14.796327711643126,16.663535689742094,9.760350082823834,9.853576683618737,2.220446049250313e-16,0.0,0.0,0.0
762061,strong,13.014722606911967,11.941214939136593,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,13.014722606911967,11.941214939136593,11.549602341337994,11.157341866697507,-8.881784197001252e-16,-1.7763568394002505e-15,0.0,0.0
762062,strong,17.531233061336362,16.824759598509857,0.0,0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-15,-8.881784197001252e-16,0.0,-4.440892098500626e-16,0.0,0.0,17.531233061336362,16.824759598509857,14.890678775074656,14.646310164301926,-1.3322676295501878e-15,-8.881784197001252e-16,0.0,-4.440892098500626e-16
762063,strong,6.920640184304329,5.325497491576055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,6.920640184304329,5.325497491576055,7.18246016915116,6.709826872956462,0.0,4.440892098500626e-16,0.0,0.0
762064,strong,13.66372024512457,13.468533702099258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.66372024512457,13.468533702099258,11.168009081305993,10.984732623226442,0.0,0.0,0.0,0.0
762065,strong,12.467741536973325,11.908970157383045,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,12.467741536973325,11.908970157383045,10.523536602887827,10.198795170560874,-2.220446049250313e-16,0.0,0.0,0.0
762066,strong,14.91051659349452,15.481435413721577,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,14.91051659349452,15.481435413721577,10.905129862919825,10.371404414031943,4.440892098500626e-16,0.0,0.0,0.0
