seed,bank_seed,stratum,dose,schedule,M_PT,M_PD,delivered_count,censored_count,mechanistic_error_PT,mechanistic_error_PD,matched_evidence_schedule_error
816025,820969,moderate,0.65,front_loaded,21.74515973719399,18.73546479673879,11,21,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816025,820969,moderate,0.75,front_loaded,24.441763692512488,21.438495641677633,8,24,1.7763568394002505e-15,8.881784197001252e-16,0.0
816025,820969,moderate,1.0,front_loaded,32.650289600113815,29.106869210770732,0,32,0.0,0.0,0.0
816026,820977,moderate,0.0,front_loaded,0.0,0.0,32,0,3.552713678800501e-15,3.552713678800501e-15,0.0
816026,820977,moderate,0.25,front_loaded,10.826798327157384,11.812235812122385,24,8,0.0,3.552713678800501e-15,0.0
816026,820977,moderate,0.35,front_loaded,14.528923333462526,15.3088261702505,21,11,0.0,3.552713678800501e-15,0.0
816026,820977,moderate,0.5,front_loaded,18.82922833776157,19.879397124435176,16,16,0.0,1.7763568394002505e-15,0.0
816026,820977,moderate,0.65,front_loaded,22.21313132566741,21.567939796165597,11,21,0.0,8.881784197001252e-16,0.0
816026,820977,moderate,0.75,front_loaded,26.56425397018515,26.591848917256375,8,24,8.881784197001252e-16,1.3322676295501878e-15,0.0
816026,820977,moderate,1.0,front_loaded,31.474911286055537,29.559226210267976,0,32,0.0,0.0,0.0
816027,820979,moderate,0.0,front_loaded,0.0,0.0,32,0,0.0,7.105427357601002e-15,0.0
816027,820979,moderate,0.25,front_loaded,10.826798327157377,11.812235812122395,24,8,0.0,0.0,0.0
816027,820979,moderate,0.35,front_loaded,13.11673917518592,13.43628892034571,21,11,0.0,3.552713678800501e-15,0.0
816027,820979,moderate,0.5,front_loaded,17.912826321368353,16.99736884198093,16,16,3.552713678800501e-15,3.552713678800501e-15,0.0
816027,820979,moderate,0.65,front_loaded,24.770095264039988,23.95830477648361,11,21,1.7763568394002505e-15,0.0,0.0
816027,820979,moderate,0.75,front_loaded,28.472220270345133,27.454895134611725,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816027,820979,moderate,1.0,front_loaded,38.26842769925791,37.56720294030038,0,32,0.0,0.0,0.0
816028,821011,moderate,0.0,front_loaded,0.0,0.0,32,0,3.552713678800501e-15,3.552713678800501e-15,0.0
816028,821011,moderate,0.25,front_loaded,8.76561653066818,8.412379799254929,24,8,3.552713678800501e-15,3.552713678800501e-15,0.0
816028,821011,moderate,0.35,front_loaded,10.673964118664728,9.863823664007176,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816028,821011,moderate,0.5,front_loaded,14.439460366602564,11.724975579208666,16,16,0.0,3.552713678800501e-15,0.0
816028,821011,moderate,0.65,front_loaded,18.472360992721,14.94083701390175,11,21,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816028,821011,moderate,0.75,front_loaded,21.143895100781542,16.737499365596136,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816028,821011,moderate,1.0,front_loaded,30.67269815151372,25.495097651793202,0,32,0.0,0.0,0.0
816029,821029,moderate,0.0,distributed,0.0,0.0,32,0,0.0,0.0,0.0
816029,821029,moderate,0.25,distributed,7.9717757700124565,7.190412680957149,24,8,0.0,0.0,0.0
816029,821029,moderate,0.35,distributed,11.219885955064036,10.667069617946634,21,11,0.0,3.552713678800501e-15,0.0
816029,821029,moderate,0.5,distributed,16.422636208536428,15.307127276297383,16,16,0.0,0.0,0.0
816029,821029,moderate,0.65,distributed,23.207483589986502,22.420739033132502,11,21,0.0,1.7763568394002505e-15,0.0
816029,821029,moderate,0.75,distributed,25.976509106526564,24.971094055738906,8,24,0.0,0.0,0.0
816029,821029,moderate,1.0,distributed,34.97887577478362,33.861434743129784,0,32,0.0,0.0,0.0
816030,821072,moderate,0.0,distributed,0.0,0.0,32,0,3.552713678800501e-15,3.552713678800501e-15,0.0
816030,821072,moderate,0.25,distributed,6.971839112359586,6.367233305879061,24,8,3.552713678800501e-15,3.552713678800501e-15,0.0
816030,821072,moderate,0.35,distributed,10.673964118664728,9.863823664007178,21,11,0.0,3.552713678800501e-15,0.0
816030,821072,moderate,0.5,distributed,16.768046541272366,16.47954111156772,16,16,1.7763568394002505e-15,3.552713678800501e-15,0.0
816030,821072,moderate,0.65,distributed,21.44994480560341,21.222721309223463,11,21,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816030,821072,moderate,0.75,distributed,25.15206981190855,24.71931166735158,8,24,1.7763568394002505e-15,1.3322676295501878e-15,0.0
816030,821072,moderate,1.0,distributed,31.20750690787493,28.204516690776387,0,32,0.0,0.0,0.0
816031,821121,moderate,0.0,distributed,0.0,0.0,32,0,0.0,0.0,0.0
