sweep_stage,eta_self,lambda_self,cross_level_coupling,parity_gap,parity_pass,h1_self_threat_complete_count,h1_median_self_threat_gap,h1_min_self_threat_gap,h1_earned_count,h1_tie_count,h1_failed_count,heldout_h1_minus_h2
coarse,1.0,0.9,1.0,0.065911335623342,false,10,2.0,1,0,2,8,0.12933368423121572
coarse,1.0,0.9,1.35,0.037646737456940194,true,10,1.0,1,0,10,0,0.08828837020432673
coarse,1.0,0.9,1.5,0.030505613953078936,true,10,1.0,1,0,10,0,0.07004255282299748
coarse,1.0,0.9,2.0,0.015862376598938244,true,10,0.0,0,0,10,0,0.021863494541299155
coarse,1.0,0.9,2.5,0.007121684647882209,true,10,0.0,0,0,10,0,-0.0025297342201585638
coarse,1.0,0.9,3.0,0.0015727360967225934,true,10,0.0,0,0,10,0,-0.012336795672123535
coarse,1.0,1.1,0.25,0.24589191091849394,false,10,9.0,7,0,0,10,0.12899483821744762
coarse,1.0,1.1,0.5,0.1472213194803309,false,10,5.0,3,0,0,10,0.1607160116211025
coarse,1.0,1.1,0.75,0.08275952737653341,false,10,3.0,2,0,2,8,0.16115713818554472
coarse,1.0,1.1,1.0,0.044196822413782644,true,10,1.0,1,0,10,0,0.14171663059459988
coarse,1.0,1.1,1.35,0.017798466429205684,true,10,0.0,0,0,10,0,0.09993702822333694
coarse,1.0,1.1,1.5,0.012218593136174238,true,10,0.0,0,0,10,0,0.081520971958702
coarse,1.0,1.1,2.0,0.0039047229877632317,true,10,0.0,0,0,10,0,0.03332665180457911
coarse,1.0,1.1,2.5,0.0009518829660903338,true,10,0.0,0,0,10,0,0.009250068120982946
